# A02 - 84 flagged links - CO CT FL
state	city	name	url
CO	Colorado Springs	GB Colorado Springs	https://gbcoloradosprings.com
CO	Colorado Springs	The HQ - Jiu Jitsu Headquarters	https://www.jiujitsucoloradosprings.com
CO	Denver	Low Summit Jiu Jitsu	http://www.lowsummitjiujitsu.com
CO	Durango	Durango BJJ	https://durangobjj.com
CO	Englewood	Guetho BJJ Denver	https://guethobjjdenver.com
CO	Englewood	Nova Mente Jiu Jitsu Academy	http://www.novamenteacademy.com
CO	Fort Collins	Gracie Jiu-Jitsu Fort Collins	http://graciefortcollins.com
CO	Fort Collins	Shugyo Training Center	http://www.shugyodojo.com
CO	Fort Collins	The Dojo LLC	http://www.thedojofc.com
CO	Granby	Mountain Beast MMA & Fitness	http://www.mountainbeast.com
CO	Grand Junction	Golden Fights MMA Gym	https://cagewarsnow.com
CO	Gunnison	Gunnison Jiu-Jitsu	http://www.gunnisonjiujitsu.com
CO	Lakewood	Atos BJJ Lakewood	http://www.atosbjjlakewood.com
CO	Lakewood	Flo Life BJJ + Colorado Holistic Martial Arts	https://www.flolifebjj.com
CO	Lakewood	Lakewood Martial Arts	http://www.campmartialarts.com
CO	Loveland	Infinite MMA Academy	http://www.infinitemixedmartialarts.com
CO	Loveland	Kingsnake Jiu-Jitsu	http://www.kingsnakebjj.com
CO	Loveland	Northern Colorado Jiu Jitsu	http://www.nocojiujitsu.com
CO	New Castle	Ground Zero Roaring Fork Valley BJJ	http://gzglenwoodsprings.com
CO	Parker	Jit Pit Academy	http://www.jitpit.com
CO	Peyton	Combative Fighting Systems Brazilian Jiu Jitsu	https://cfsfalcon.com
CO	Westminster	Flatirons Mixed Martial Arts Academy	http://www.flatironsmma.com
CO	Woodland Park	Discipleship Jiu-Jitsu	https://discipleshipjiujitsu.com
CT	Ansonia	Casa of Jiu Jitsu	http://www.casabjj.com/
CT	Bridgeport	ZR Association CT	https://zrbridgeportbjj.com/
CT	Danbury	BJJ For Christ Jiu Jitsu	http://www.bjjforchrist.org/
CT	Danbury	Danbury Academy Mixed Martial Arts	https://www.da-mma.com/
CT	Danbury	Team Delima Brazilian Jiu-Jitsu Association	http://delimajiujitsu.com/
CT	Glastonbury	Fortitude Jiu Jitsu	http://fortitudejj.com/
CT	New London	Strikezone MMA	http://www.strikezonemma.com/
CT	Norwalk	Ronin Martial Arts - Westport	https://www.westportmma.com/
CT	Stamford	Stamford Judo	http://www.stamfordjudo.us/
CT	Watertown	Thunder Martial Arts Academy	http://teamthundermma.net/
CT	West Hartford	Royce Gracie Brazilian Jiu Jitsu	http://gracie-jiu-jitsu.com/
CT	Wethersfield	Hartford Dojo	http://gracieacademy.com/
FL	Aventura	Marcus Aurelio Jiu Jitsu Academy	http://www.maximusmartialarts.com/
FL	Boca Raton	GB Boca Raton	http://braziliantopteamflorida.com/
FL	Boynton Beach	Xcell Jiu Jitsu	https://www.xcelljiujitsu.com/
FL	Cape Coral	Cali Style MMA	http://calistylemma.com/
FL	Clearwater	Grady's Family Mixed Martial Arts	http://www.gradysmma.com
FL	Coral Gables	Refit Academy - Coral Gables	http://www.refitacademycoralgables.com
FL	Dania Beach	Marcelo Meleiro BJJ – Nova Uniao South Florida	http://www.novauniaosouthflorida.com/
FL	Davie	RAIVA Brazilian Jiu Jitsu	http://www.raivabjj.com
FL	DeLand	West Volusia Academy Of Mixed Martial Arts	http://theacademyofmma.com/
FL	Deerfield Beach	Burns Bros Jiu Jitsu	https://burnsbrosjiujitsu.com/
FL	Delray Beach	Carlson Gracie Manny Soares	https://mannysoaresbjj.com
FL	Dunnellon	Team Carvalho Academy	http://www.teamcarvalho.com/home.html
FL	Fort Lauderdale	Renzo Gracie Fort Lauderdale	https://www.renzogracieftlauderdale.com/
FL	Fort Myers	Fight Zone MMA	http://www.fightzonefl.com/
FL	Fort Pierce	Team Carvalho Treasure Coast	http://www.teamcarvalho.com/
FL	Gainesville	Gainesville BJJ Florida	https://gainesvillebjjfl.com
FL	Gulf Breeze	Gulf Breeze Jiu Jitsu	https://gulfbreezejiujitsu.com/
FL	Hallandale Beach	Gracie Barra Hallandale Beach	http://gbhallandale.com
FL	Indian Harbour Beach	BLTeam Brazilian Jiu-Jitsu and Muay Thai Academy	https://blteam1.com/
FL	Inverness	Agogi Academy of Combatives	http://agogiac.com/
FL	Jacksonville Beach	Ludus Martial Arts LLC	http://ludusmartialarts.com/
FL	Jacksonville	Alpha Dogs Martial Arts	https://alphadogsmartialarts.com/
FL	Jupiter	Team Nogueira Bloise Academy	http://www.teamnog.com/
FL	Jupiter	The Jupiter Jiu Jitsu Academy in Jupiter Fl	http://www.jupiterjiujitsu.com/
FL	Key Biscayne	Alliance Jiu Jitsu	http://www.alliancekb.com
FL	Lake Worth	Combat Club Lake Worth	https://combatclublakeworth.com/
FL	Lauderhill	South Florida Fight Club	http://www.sffc.tv/
FL	Longwood	Kokopelli's Gym	http://www.kokogym.com/
FL	Melbourne	Master Lowell's MMA Academy	https://jlmma.com/
FL	Miami Beach	Black House Miami Beach	http://www.blackhousemiamibeach.com
FL	Miami	Champion Martial Arts	http://www.judochampion.com/
FL	Miami	Fight Sports Miami	https://fightsportsmiami.com/
FL	Miami	Refit Academy - Wynwood	http://www.refit-academy.com
FL	Miami	Teknica MMA	https://www.teknicamartialarts.com/
FL	Naples	Gracie Barra – Naples	http://www.graciebarranaples.com/
FL	Ocala	GTK Academy of Martial Arts	https://gtkacademy.com/
FL	Orange City	Orange City Academy Of Mixed Martial Arts	http://theacademyofmma.com/
FL	Orange City	USD & MMA Fitness	http://www.mmagetfit.com/
FL	Orlando	Alliance Jiu Jitsu Orlando	https://alliancejiujitsuorlando.com
FL	Orlando	American Combat Club	http://www.americancombatclub.com/
FL	Orlando	Central Florida BJJ	https://offers.avbjj.com/free-2-week-pass
FL	Orlando	Ronin Training Center Orlando	https://www.roninorlandofl.com/
FL	Oxford	Robson Moura Jiu-Jitsu	http://www.usajujitsu.net/
FL	Palm Beach Gardens	Gamblers Jiu-Jitsu & Kickboxing Club	http://gamblersjiujitsuclub.com/sign-up-for-free-trial/
FL	Panama City	Rilion Gracie Jiu-Jitsu Panama City	http://jiujitsulynnhaven.com/
FL	Pembroke Pines	Valente Brothers Jiu-Jitsu Pembroke Pines	http://www.graciemiami.com
FL	Pensacola	Team Remedy	https://teamremedymma.com/
FL	Plantation	Kumite Martial Arts	http://www.kumitemartialarts.com/
FL	Port Orange	Fight Sports Daytona	https://www.fightsportsdaytona.com/freetrial
