# A03 - 84 flagged links - FL GA IL IN KY
state	city	name	url
FL	Sanford	Cogito Jiu Jitsu	http://cogitojiujitsu.com/
FL	Sarasota	BJJ Academy Of Sarasota (wbjja)	http://www.wbjja.com/
FL	St. Augustine	GB Saint Augustine	https://gbsaintaugustine.com/
FL	St. Cloud	Full Circle MMA	http://www.nucfl.com/
FL	St. Petersburg	Elite Training Center	http://www.elitetraininginc.com/
FL	St. Petersburg	Synergy Martial Arts and Fitness	http://synergymartialarts.fitness/
FL	Stuart	Fist Factory	http://www.thefistfactory.com/
FL	Sunrise	American Tigers Martial Arts	https://americantigers.com/
FL	Tarpon Springs	New Port Richey Jiu-jitsu Academy	http://nprbjj.com/
FL	Vero Beach	American Top Team – Vero Beach	http://www.attverobeach.com/
FL	Vero Beach	Gracie Martial Arts – Vero Beach	http://www.graciemartialartsverobeach.com
FL	Vero Beach	Renato Tavares Assoc HQ	http://www.legacymmausa.com/
FL	West Palm Beach	GB Lake Park	https://lp.gblakepark.com/
FL	West Palm Beach	GB West Palm Beach	http://gbwestpalmbeach.com/
FL	West Palm Beach	Hands Down Martial Arts	http://www.wpbmma.com/
FL	West Palm Beach	Team Nogueira	http://www.teamnog.com/
FL	Weston	Vprok MMA Academy	http://www.vprokmma.com/United_States.html
FL	Wildwood	USA Jiu-Jitsu	http://www.usajujitsu.net/
GA	Acworth	Carlos Machado Jiu-Jitsu North Atlanta	http://www.cmjjnatl.com/
GA	Acworth	James Shook Brazilian Jiu-Jitsu	http://zenith.jamesshookbjj.com/
GA	Albany	Hamby Freestyle Jiu Jitsu	http://www.hambyfreestyle.com/
GA	Alpharetta	KBX Gym	http://www.kbxgym.com/
GA	Athens	Athens Fitness and MMA	http://www.athensfitnessandmma.com/
GA	Atlanta	Atlanta Kyusho and Jujitsu	http://www.atlantajujitsu.com/
GA	Augusta	Gracie Barra - Augusta	http://gbaugusta.com/
GA	Cartersville	AllAmbition Brazilian Jiu Jitsu	http://allambitionbjj.com/
GA	Covington	Ruff House Boxing and MMA	https://www.ruffhouseboxing.com/
GA	Cumming	World Jiu-Jitsu Academy	http://worldjiujitsuatlanta.com/
GA	Dalton	Veritas Brazilian Jiu-Jitsu - Kuzushi Club Dalton	http://veritasbjj.com/
GA	Flowery Branch	Full Throttle Fitness	http://www.fullthrottleoakwood.com/
GA	Fort Oglethorpe	Blalock International Mixed Martial Arts Academy	http://www.blalocksimb.com/
GA	Gainesville	Gracie Barra Gainesville	https://www.gbgainesville.com/
GA	Grovetown	Liberty Jiu-Jitsu Grovetown	http://libertybjj.community/
GA	Hoboken	Invictus Brazilian Jiu Jitsu & Defensive Arts	http://invictusbjj.online/
GA	Lawrenceville	Gwinnett Training Academy	http://www.gwinnetttrainingacademy.com/
GA	Leesburg	Black Sheep MMA	http://www.blacksheep-mma.com/
GA	Marietta	Advantage Jiu-Jitsu and Self Defense	https://www.advantagejj.com/
GA	Marietta	East Cobb Martial Arts	http://www.eastcobbma.com/
GA	Marietta	Fusion MMA	http://fusionfitnessandmma.com/
GA	Norcross	Nucleus Brazilian Jiu Jitsu	https://nucleusbjj.com
GA	Pooler	Coastal Combatives	http://www.coastalcombatives.com/
GA	Pooler	Redline MMA	http://www.redlinemma.com/
GA	Powder Springs	Tekniques Brazilian Jiu-Jitsu & Fitness	http://www.tekniquesbjj.com/
GA	Savannah	Champions Training Center	http://www.ctcsavannah.com
GA	Smyrna	Atlanta Budokan	http://www.atlantabudokan.com/
GA	Smyrna	Tonchu Martial Arts Academy	http://www.tonchumartialarts.com/
GA	Statesboro	Hanto Jiu-Jitsu Academy	https://hantojiu-jitsuacademy.com/
GA	Sylvester	Sylvester Jiu-Jitsu Academy	http://sylvesterjiujitsu.com/
GA	Tifton	Redemption Martial Arts Academy	http://www.martialartstifton.com/
GA	Valdosta	American Top Team Valdosta	http://att229.com/
GA	Villa Rica	Independent MMA & Fitness - Villa Rica	https://www.independentvillarica.com/
GA	Warner Robins	Zanshin South Gracie Jiu Jitsu	http://www.zanshinsouthgraciejiujitsu.com/
GA	Watkinsville	Megalodon MMA	http://www.megalodonmma.com/
IL	Alton	Alton Family Martial Arts & Fitness	https://www.altonfma.com/
IL	Burr Ridge	Force Brazilian Jiu-Jitsu	http://www.madeyoutap.com/
IL	Chicago	10th Planet Jiu Jitsu Chicago	http://www.10thplanetjjchicago.com
IL	Chicago	TDC MMA + Fitness	http://www.tdcmmaandfitness.com
IL	Downers Grove	Bodhi Collaborative BJJ	http://www.bodhicollaborative.com
IL	Fox Lake	Devine Jiu Jitsu Lake County	http://www.scholarwarriormma.com/devine-jiujitsu-lake-county
IL	Highland Park	Comprido BJJ	http://www.highlandparkbjj.com
IL	Lake Villa	Norse Academy Martial Arts	http://norseacademymartialarts.com/
IL	Lisle	Mequinho Jiu Jitsu	http://www.downersgrovejiujitsu.com
IL	Lombard	10th Planet Jiu Jitsu Lombard	http://www.10thplanetjjlombard.com/
IL	Machesney Park	Northern Illinois Combat Club and Fitness	http://www.niccfitness.com/
IL	Macomb	Cassady Martial Arts Academy Royce Gracie Jiu Jitsu	http://www.cassadymartialarts.com/
IL	Macomb	The Shed JiuJitsu Academy	https://theshedjiujitsuacademy.com/
IL	Mt. Vernon	Pedigo Submission Fighting	https://pedigosubmissionfighting.com
IL	New Baden	Middeke Brazilian Jiu Jitsu	https://www.middekebjj.com/
IL	Orland Park	Randori MMA & Jiu Jitsu	http://www.randorijiujitsu.com/
IL	Robinson	Falconbury Warrior Concepts	http://falconburywarriorconcepts.com/
IL	Roselle	Keith Hackney's Combat Academy	http://www.hackneyscombat.com/
IL	Schaumburg	LCCT Brazilian Jiu Jitsu	https://lcctbjj.com
IL	Schaumburg	P3 Martial Arts	https://p3jiujitsu.com
IL	Waukegan	Ohana Martial Arts	https://ohanamartialarts.net
IL	West Dundee	LCCT Brazilian Jiu-Jitsu West Dundee	https://lcctbjjwestdundee.com/
IN	Greenwood	Indiana Brazilian Jiu-Jitsu Academy	https://ibjja.com
IN	Muncie	Muncie Brazilian Jiu-Jitsu	https://munciebjj.com
KY	Bowling Green	Hicsmma	https://www.hicsmma.com/
KY	Dry Ridge	Grant County Martial Arts Center	https://www.grantcountymartialarts.com/
KY	Elizabethtown	E-town Brazilian Jiu-Jitsu	https://etownjiujitsu.com
KY	Hopkinsville	Hopkinsville BJJ	https://hopkinsvillebjj.com
KY	Lexington	Triple Crown MMA	https://triplecrownnmma.com
KY	Louisville	Louisville Ju Jitsu	https://www.louisvillejujitsu.com
KY	Louisville	Louisville Martial Arts Academy	https://louisvillemartialarts.net/
