# A04 - 84 flagged links - KY LA MD MA MI MO
state	city	name	url
KY	Madisonville	Gracie Jiujitsu of Madisonville	https://www.gjjmadisonville.com/
KY	Madisonville	Myers Martial Arts Center	https://www.myersdojo.net/
KY	Owensboro	Hidden Samurai Martial Arts	https://www.hiddensamurai.cmasdirect.com
KY	Paducah	Premier Martial Arts – Paducah	https://pmapaducah.com/
LA	Abbeville	Vermilion Martial Arts Academy	http://www.abbevillesummercamp.com/
LA	Baton Rouge	Martial Arts America Baton Rouge	https://www.martialartsamericabr.com/
LA	Baton Rouge	Warrior's Cove Baton Rouge	https://www.warriorscovebjj.com/
LA	Breaux Bridge	Gladiators Academy of Breaux Bridge	http://www.gladiatorsbb.com/
LA	Broussard	Fight to Win Lafayette Jiu -Jitsu	http://www.fighttowinlafayette.com/
LA	Central	Langston's Martial Arts	http://langstonsmartialarts.com/
LA	Crowley	Gladiators Academy of Crowley	https://www.gladiatorsofcrowley.com/
LA	Denham Springs	Combat Athletics	https://ccrosbyjiujitsu.com/contact-us/
LA	Houma	Evolution Training	https://www.guerrillajiujitsuhouma.com/
LA	Lafayette	Acadiana Martial Arts Academy	https://www.acadianamartialarts.com/
LA	Lafayette	Premier Martial Arts Lafayette	https://www.premiermartialartsacademy.com/
LA	Metairie	Louisiana Martial Arts Academy	http://www.louisianamaa.com/
LA	New Iberia	Progressive Martial Arts Training Center	https://www.pmatc.com
LA	New Orleans	Danny Daniels' MMA & Fitness	https://www.dannydanielsmma.com/
LA	New Orleans	Mid City Martial Arts & Fitness Academy	https://www.midcitymartialarts.com/
LA	New Orleans	NOLA BJJ Westbank	http://westbanksocialclub.com/
LA	New Orleans	NOLA MMA	https://www.nolammaacademy.com/
LA	New Orleans	The Dojang New Orleans	https://www.thedojangneworleans.com/
LA	Prairieville	Criterion Jiu Jitsu	https://www.criterionjiujitsu.com/home
LA	Shreveport	Carlos Machado Jiu Jitsu of Shreveport	http://shreveportmartialart.com/
LA	Shreveport	Warrior Training Center	https://www.warriortrainingcenterla.com/
LA	Slidell	Alliance Jiu Jitsu Slidell	https://www.alliancebjjslidell.com/
LA	Sulphur	Primal Fitness Lake Charles	https://www.primalfitnessla.com/
LA	Terrytown	Power Extreme Fitness Training Center	http://www.mmanola.com/
MD	Baltimore	Foundation Jiu-Jitsu	https://foundation-jiujitsu.com
MD	Baltimore	Rollstar Jiu Jitsu	https://rsjiujitsumd.com
MD	Frederick	Central Maryland Martial Arts	https://cmmatsd.com
MD	Gaithersburg	Infinite Fighting Concepts MMA	https://ifcmma.com
