# B-named-01 - 58 flagged links, NAMED schools in never-curated regions - AB AK BC DC DE HI IA ID KS ME MN MS NB ND NE NH
state	city	name	url
AB	Calgary	101 Academy Jiu Jitsu	https://101academyjiujitsu.com
AB	Calgary	Alliance Jiu Jitsu Calgary	https://alliancejiujitsucalgary.com
AB	Calgary	Elite Martial Arts Calgary	https://elitemartialarts.ca
AB	St. Albert	Phoenix Martial Arts Club	https://phoenixmartialarts.ca
AK	Juneau	Evolution Jiu Jitsu	https://evojj.com/
BC	Abbotsford	Poderoso Jiu Jitsu	https://poderosojiujitsu.com
BC	Mission	Mission BC BJJ	https://missionbcbjj.com
BC	Richmond	Pinnacle MMA	https://pinncalemma.com
BC	Vancouver	Alliance Jiu Jitsu Vancouver	https://alliancejiujitsuvancouver.com
BC	Victoria	SBG Victoria	https://sbgvictoria.com
BC	Victoria	Van Isle BJJ	https://vanislebjj.com
DC	Washington	Capital City BJJ	https://capitalcitybjj.com
DC	Washington	Capitol Hill BJJ	https://capitolhillbjj.com
DC	Washington	DC BJJ Academy	https://dcbjjacademy.com
DE	Dover	Dover AFB BJJ	https://doverafbbjj.com
DE	Middletown	First State BJJ	https://firststatebjj.com
DE	Milford	Milford BJJ Delaware	https://milfordbjjde.com
HI	Hilo	BJ Penn MMA	https://bjpennmma.com
HI	Honolulu	Purebred Jiu-Jitsu	https://purebredjiujitsu.com
HI	Kahului	Maui BJJ Academy	https://mauibjjacademy.com
HI	Kailua-Kona	Kona BJJ	https://konabjj.com
HI	Maui	Fighting Arts Academy Hawaii	https://fightingartsacademyhi.com
IA	Burlington	Burlington BJJ Iowa	https://burlingtonbjjiowa.com
IA	Cedar Rapids	Alliance Jiu Jitsu Iowa	https://alliancejiujitsuiowa.com
IA	Clinton	Clinton BJJ Iowa	https://clintonbjjiowa.com
IA	Davenport	Fighting Gravity Jiu Jitsu	https://fightinggravityjiujitsu.com
ID	Lewiston	Lewiston ID BJJ	https://lewistonidbjj.com
ID	Meridian	Meridian BJJ Idaho	https://meridianbjjidaho.com
ID	Pocatello	Snake River MMA	https://snakerivermma.com
ID	Star	Authentic BJJ Idaho	https://authenticbjjidaho.com
ID	Twin Falls	Alliance Jiu Jitsu Twin Falls	https://alliancejiujitsutf.com
KS	Lawrence	Alliance Jiu Jitsu Lawrence	https://alliancejiujitsulawrence.com
KS	Manhattan	Manhattan KS BJJ	https://manhattanksbjj.com
KS	Pittsburg	Pittsburg KS BJJ	https://pittsburgksbjj.com
ME	Augusta	Augusta BJJ Maine	https://augustabjjme.com
ME	Bangor	Maine BJJ	https://mainebjj.com
ME	Biddeford	Seacoast Brazilian Jiu-Jitsu	https://seacoastbjjme.com
ME	Brunswick	Brunswick BJJ Maine	https://brunswickbjjme.com
ME	Lewiston	Lewiston-Auburn BJJ	https://lewistonauburnbjj.com
ME	Portland	Portland BJJ Maine	https://portlandbjjmaine.com
MN	Eden Prairie	Alliance Jiu Jitsu Minnesota	https://alliancejiujitsumn.com
MN	Minneapolis	Checkmat S. Minneapolis	https://dangerooms612.com
MN	Moorhead	Fargo BJJ MN side	https://fargobjjmn.com
MN	St. Paul	Akagi Jiu-Jitsu	https://akagijiujitsu.com
MN	St. Paul	TC Martial Arts	https://tcmartialarts.com
MS	Columbus	Columbus MS BJJ	https://columbusmsbjj.com
MS	Greenville	Greenville BJJ MS	https://greenvillebjjms.com
MS	Hattiesburg	Southern Combat Arts	https://southerncombatarts.com
MS	Ridgeland	Mississippi BJJ	https://mississippibjj.com
NB	Dieppe	Victory Jiu Jitsu Dieppe	https://victoryjjdieppe.com
NB	Fredericton	Evolution Training Centre	https://www.evolutiontrainingcenter.ca
NB	Woodstock	Woodstock NB BJJ	https://woodstocknbbjj.com
ND	Jamestown	Jamestown BJJ ND	https://jamestownbjjnd.com
ND	Minot	Prairie Jiu Jitsu	https://prairiejiujitsu.com
NE	Columbus	Columbus NE BJJ	https://columbusnebj.com
NE	Lincoln	Husker Combat Club	https://huskercombatclub.com
NE	Norfolk	Norfolk NE BJJ	https://norfolknebjj.com
NH	Lebanon	Lebanon BJJ NH	https://lebanonbjjnh.com
