# 174 city-stub records in never-curated regions - for REGION REBUILDS, not link blanking
state	city	name	url
AB	Airdrie	Airdrie BJJ	https://airdriebjj.com
AB	Banff	Banff BJJ	https://banffbjj.com
AB	Camrose	Camrose BJJ	https://camrosebjj.com
AB	Cochrane	Cochrane BJJ	https://cochranebjj.com
AB	Fort McMurray	Fort McMurray BJJ	https://fortmcmurraybjj.com
AB	Grande Prairie	Grande Prairie BJJ	https://grandeprairebjj.com
AB	Lethbridge	Lethbridge BJJ	https://lethbridgebjj.com
AB	Medicine Hat	Medicine Hat BJJ	https://medicinehatbjj.com
AB	Red Deer	Red Deer BJJ	https://reddeerbjj.com
AB	Sherwood Park	Sherwood Park BJJ	https://sherwoodparkbjj.com
AB	Wetaskiwin	Wetaskiwin BJJ	https://wetaskiwinbjj.com
AR	Conway	Conway BJJ	https://conwaybjj.com
AR	Fort Smith	Fort Smith BJJ	https://fortsmithbjj.com
AR	Pine Bluff	Pine Bluff BJJ	https://pinebluffbjj.com
AR	Russellville	Russellville BJJ	https://russellvillebjj.com
AR	Springdale	Springdale BJJ	https://springdalebjj.com
BC	Campbell River	Campbell River BJJ	https://campbellriverbjj.com
BC	Chilliwack	Chilliwack BJJ	https://chilliwackbjj.com
BC	Fort St. John	Fort St. John BJJ	https://fortstjohnbjj.com
BC	Kamloops	Kamloops BJJ	https://kamloopsbjj.com
BC	Maple Ridge	Maple Ridge BJJ	https://mapleridgebjj.com
BC	Nanaimo	Nanaimo BJJ	https://nanaimobjj.com
BC	North Vancouver	North Vancouver BJJ	https://northvancouverbjj.com
BC	Penticton	Penticton BJJ	https://pentictonbjj.com
BC	Prince George	Prince George BJJ	https://princegeorgebjj.com
BC	Surrey	Surrey BJJ	https://surreybjj.com
BC	Trail	Trail BJJ	https://trailbjj.com
BC	Vernon	Vernon BJJ	https://vernonbjj.com
BC	Williams Lake	Williams Lake BJJ	https://williamslakebjj.com
DE	Rehoboth Beach	Rehoboth Beach BJJ	https://rehobothbeachbjj.com
HI	Kailua	Kailua BJJ	https://kailuabjj.com
HI	Lihue	Lihue BJJ	https://lihuebjj.com
HI	Pearl City	Pearl City BJJ	https://pearlcitybjj.com
IA	Ames	Ames BJJ	https://amesbjj.com
IA	Council Bluffs	Council Bluffs BJJ	https://councilbluffsbjj.com
IA	Fort Dodge	Fort Dodge BJJ	https://fortdodgebjj.com
IA	Marshalltown	Marshalltown BJJ	https://marshalltownbjj.com
IA	Mason City	Mason City BJJ	https://masoncitybjj.com
IA	Ottumwa	Ottumwa BJJ	https://ottumwabjj.com
IA	Sioux City	Sioux City BJJ	https://siouxcitybjj.com
IA	Waterloo	Waterloo BJJ	https://waterloobjj.com
ID	Coeur d'Alene	Coeur d'Alene BJJ	https://cdalenebjj.com
ID	Nampa	Nampa BJJ	https://nampabjj.com
ID	Sandpoint	Sandpoint BJJ	https://sandpointbjj.com
KS	Dodge City	Dodge City BJJ	https://dodgecitybjj.com
KS	Garden City	Garden City BJJ	https://gardencitybjj.com
KS	Hutchinson	Hutchinson BJJ	https://hutchinsonbjj.com
KS	Junction City	Junction City BJJ	https://junctioncitybjj.com
KS	Leavenworth	Leavenworth BJJ	https://leavenworthbjj.com
KS	Liberal	Liberal BJJ	https://liberalbjj.com
KS	Salina	Salina BJJ	https://salinabjj.com
MB	Brandon	Brandon BJJ	https://brandonbjj.com
MB	Flin Flon	Flin Flon BJJ	https://flinflobbjj.com
MB	Portage la Prairie	Portage la Prairie BJJ	https://portagebjj.com
MB	Steinbach	Steinbach BJJ	https://steinbachbjj.com
MB	Swan River	Swan River BJJ	https://swanriverbjj.com
MB	Thompson	Thompson BJJ	https://thompsonbjj.com
MB	Winkler	Winkler BJJ	https://winklerbjj.com
MB	Winnipeg	Winnipeg BJJ	https://winnipegbjj.com
ME	Ellsworth	Ellsworth BJJ	https://ellsworthbjj.com
ME	Presque Isle	Presque Isle BJJ	https://presqueislebjj.com
ME	Rumford	Rumford BJJ	https://rumfordbjj.com
ME	Saco	Saco BJJ	https://sacobjj.com
ME	Waterville	Waterville BJJ	https://watervillebjj.com
MN	Brainerd	Brainerd BJJ	https://brainerdbjj.com
MN	Duluth	Duluth BJJ	https://duluthbjj.com
MN	Faribault	Faribault BJJ	https://faribaultbjj.com
MN	Hibbing	Hibbing BJJ	https://hibbingbjj.com
MN	Mankato	Mankato BJJ	https://mankatobjj.com
MN	Moorhead	Moorhead BJJ	https://moorheadbjj.com
MN	St. Cloud	St. Cloud BJJ	https://stcloudbjj.com
MN	Willmar	Willmar BJJ	https://willmarbjj.com
MS	Corinth	Corinth BJJ	https://corinthbjj.com
MS	Natchez	Natchez BJJ	https://natchezbjj.com
MS	Starkville	Starkville BJJ	https://starkvillebjj.com
MS	Tupelo	Tupelo BJJ	https://tupelobjj.com
MS	Vicksburg	Vicksburg BJJ	https://vicksburgbjj.com
NB	Campbellton	Campbellton BJJ	https://campbelltonbjj.com
NB	Miramichi	Miramichi BJJ	https://miramichibjj.com
NB	Moncton	Moncton BJJ	https://monctonbjj.com
