# B01 - 79 flagged links - NY AK AB AR BC DE HI ID IA
state	city	name	url
NY	Brooklyn	JG Monster Jiujitsu Fitness	http://www.jgmonsterjiujitsufitness.com
NY	Cicero	Curtis Tillman's Mixed Martial Arts Academy	http://tillman-mma.com
NY	Long Island City	International Training Center of New York	https://www.itcny.com/
NY	Lynbrook	Kfm Martial Arts & Fitness Academy	http://www.kfmnewyork.com
NY	New York	Yojimbo BJJ	http://www.yojimbonyc.com
NY	Niagara Falls	Fight-Sport Training Center	https://www.fightsporttrainingcenter.com/
NY	North Babylon	Gracie Barra North Babylon	https://gbnorthbabylon.com
NY	Patchogue	D'Arce Brazilian Jiu-Jitsu	http://www.darcejiujitsu.com
NY	Queens	Touro Fajardo Brazilian Jiu Jitsu	https://www.tourofajardobrazilianjiujitsu.com
NY	Seldon	East West MMA	http://www.circleofoneny.com
NY	Utica	Utica Combat Athletics	http://www.uticacombat.com
AK	Juneau	Evolution Jiu Jitsu	https://evojj.com/
AB	Airdrie	Airdrie BJJ	https://airdriebjj.com
AB	Banff	Banff BJJ	https://banffbjj.com
AB	Calgary	101 Academy Jiu Jitsu	https://101academyjiujitsu.com
AB	Calgary	Alliance Jiu Jitsu Calgary	https://alliancejiujitsucalgary.com
AB	Calgary	Elite Martial Arts Calgary	https://elitemartialarts.ca
AB	Camrose	Camrose BJJ	https://camrosebjj.com
AB	Cochrane	Cochrane BJJ	https://cochranebjj.com
AB	Fort McMurray	Fort McMurray BJJ	https://fortmcmurraybjj.com
AB	Grande Prairie	Grande Prairie BJJ	https://grandeprairebjj.com
AB	Lethbridge	Lethbridge BJJ	https://lethbridgebjj.com
AB	Medicine Hat	Medicine Hat BJJ	https://medicinehatbjj.com
AB	Red Deer	Red Deer BJJ	https://reddeerbjj.com
AB	Sherwood Park	Sherwood Park BJJ	https://sherwoodparkbjj.com
AB	St. Albert	Phoenix Martial Arts Club	https://phoenixmartialarts.ca
AB	Wetaskiwin	Wetaskiwin BJJ	https://wetaskiwinbjj.com
AR	Fort Smith	Fort Smith BJJ	https://fortsmithbjj.com
AR	Pine Bluff	Pine Bluff BJJ	https://pinebluffbjj.com
AR	Russellville	Russellville BJJ	https://russellvillebjj.com
AR	Springdale	Springdale BJJ	https://springdalebjj.com
BC	Abbotsford	Poderoso Jiu Jitsu	https://poderosojiujitsu.com
BC	Campbell River	Campbell River BJJ	https://campbellriverbjj.com
BC	Chilliwack	Chilliwack BJJ	https://chilliwackbjj.com
BC	Fort St. John	Fort St. John BJJ	https://fortstjohnbjj.com
BC	Kamloops	Kamloops BJJ	https://kamloopsbjj.com
BC	Maple Ridge	Maple Ridge BJJ	https://mapleridgebjj.com
BC	Mission	Mission BC BJJ	https://missionbcbjj.com
BC	Nanaimo	Nanaimo BJJ	https://nanaimobjj.com
BC	North Vancouver	North Vancouver BJJ	https://northvancouverbjj.com
BC	Penticton	Penticton BJJ	https://pentictonbjj.com
BC	Prince George	Prince George BJJ	https://princegeorgebjj.com
BC	Richmond	Pinnacle MMA	https://pinncalemma.com
BC	Surrey	Surrey BJJ	https://surreybjj.com
BC	Trail	Trail BJJ	https://trailbjj.com
BC	Vancouver	Alliance Jiu Jitsu Vancouver	https://alliancejiujitsuvancouver.com
BC	Vernon	Vernon BJJ	https://vernonbjj.com
BC	Victoria	SBG Victoria	https://sbgvictoria.com
BC	Victoria	Van Isle BJJ	https://vanislebjj.com
BC	Williams Lake	Williams Lake BJJ	https://williamslakebjj.com
DE	Dover	Dover AFB BJJ	https://doverafbbjj.com
DE	Middletown	First State BJJ	https://firststatebjj.com
DE	Milford	Milford BJJ Delaware	https://milfordbjjde.com
DE	Rehoboth Beach	Rehoboth Beach BJJ	https://rehobothbeachbjj.com
HI	Hilo	BJ Penn MMA	https://bjpennmma.com
HI	Honolulu	Purebred Jiu-Jitsu	https://purebredjiujitsu.com
HI	Kahului	Maui BJJ Academy	https://mauibjjacademy.com
HI	Kailua-Kona	Kona BJJ	https://konabjj.com
HI	Kailua	Kailua BJJ	https://kailuabjj.com
HI	Lihue	Lihue BJJ	https://lihuebjj.com
HI	Maui	Fighting Arts Academy Hawaii	https://fightingartsacademyhi.com
HI	Pearl City	Pearl City BJJ	https://pearlcitybjj.com
ID	Coeur d'Alene	Coeur d'Alene BJJ	https://cdalenebjj.com
ID	Lewiston	Lewiston ID BJJ	https://lewistonidbjj.com
ID	Meridian	Meridian BJJ Idaho	https://meridianbjjidaho.com
ID	Nampa	Nampa BJJ	https://nampabjj.com
ID	Pocatello	Snake River MMA	https://snakerivermma.com
ID	Sandpoint	Sandpoint BJJ	https://sandpointbjj.com
ID	Star	Authentic BJJ Idaho	https://authenticbjjidaho.com
ID	Twin Falls	Alliance Jiu Jitsu Twin Falls	https://alliancejiujitsutf.com
IA	Ames	Ames BJJ	https://amesbjj.com
IA	Burlington	Burlington BJJ Iowa	https://burlingtonbjjiowa.com
IA	Cedar Rapids	Alliance Jiu Jitsu Iowa	https://alliancejiujitsuiowa.com
IA	Clinton	Clinton BJJ Iowa	https://clintonbjjiowa.com
IA	Council Bluffs	Council Bluffs BJJ	https://councilbluffsbjj.com
IA	Davenport	Fighting Gravity Jiu Jitsu	https://fightinggravityjiujitsu.com
IA	Fort Dodge	Fort Dodge BJJ	https://fortdodgebjj.com
IA	Marshalltown	Marshalltown BJJ	https://marshalltownbjj.com
IA	Mason City	Mason City BJJ	https://masoncitybjj.com
