# Ontario rebuild candidates from the research pass, 7 Aug 2026. NOT YET VERIFIED.
# The researcher body-read only ~10 of these; the rest are search-derived and PROVISIONAL.
# status: NETNEW | URLFIX (existing record, wrong url) | DUPCHECK (may duplicate a listed record)
# bodyread: Y if the researcher actually opened the page, N otherwise
city	name	url	address	status	bodyread
Toronto	Gracie Barra West Downtown Toronto	graciebarra.com/toronto-canada	521 Adelaide St W	NETNEW	Y
Toronto	Gracie Barra North York Toronto	graciebarra.com	100 Bridgeland Ave	NETNEW	N
Toronto	Gracie Barra Toronto East	graciebarra.com	68 Railside Rd	NETNEW	N
Toronto	Grapple Lab BJJ	grapplelabbjj.com	1992 Yonge St	NETNEW	Y
Etobicoke	10th Planet Etobicoke	10thplanetetobicoke.com	486 Evans Ave Unit 11	NETNEW	Y
Etobicoke	Etobicoke BJJ	etobicoke-bjj.com		NETNEW	N
Scarborough	Top Team Martial Arts and Fitness	torontommateam.com		NETNEW	N
Toronto	JT6 Academy	jt6.ca		NETNEW	N
Markham	Markham BJJ	markhambjj.com	50 Torbay Rd	NETNEW	Y
Markham	88 BJJ	eighteightbjj.com		NETNEW	N
Richmond Hill	Richmond Hill Jiu-Jitsu	rh-bjj.com		NETNEW	N
Richmond Hill	905 Brazilian Jiujitsu	905brazilianjiujitsu.com		NETNEW	N
Vaughan	King Jiu Jitsu Vaughan	kingjiujitsuvaughan.com		NETNEW	N
Vaughan	Vaughan Jiu-Jitsu Academy	vaughanbjj.com		NETNEW	N
Mississauga	B9 Jiu-Jitsu	bjjmississauga.com	966 Dundas St E	NETNEW	N
Mississauga	Current Jiu Jitsu	currentbjj.com		NETNEW	N
Mississauga	New Valor BJJ	newvalorbjj.com		NETNEW	N
Mississauga	Octa BJJ Mississauga	mississauga.octabjj.com		NETNEW	N
Mississauga	Nova Uniao BJJ-MMAC	bjj-mmac.ca		NETNEW	N
Mississauga	AMA Dojo	amadojo.ca		NETNEW	N
Brampton	Brampton Jiu Jitsu	bramptonjiujitsu.com		DUPCHECK	N
Oakville	Octa BJJ Oakville	octabjj.com		NETNEW	N
Burlington	Octa BJJ Burlington	burlington.octabjj.com		NETNEW	N
Oakville	VS Brazilian Jiu-Jitsu	vsbjj.com		NETNEW	N
Burlington	MN Brazilian Jiu Jitsu Academy	mnbjj.ca		NETNEW	N
Oakville	Oakville Brazilian Jiu-Jitsu	oakvillejiujitsu.ca		NETNEW	N
Hamilton	Bora Jiu-Jitsu	borabjj.com	625 Greenhill Ave Unit 7	NETNEW	N
Hamilton	Hamilton BJJ	hamilton-bjj.com	166 Green Mountain Rd E	DUPCHECK	N
Hamilton	PURA BJJ	purabjj.ca	1200 Stone Church Rd E	NETNEW	N
Hamilton	The Grappling Garden	grapplinggarden.ca		NETNEW	N
Hamilton	Joslin's MMA	joslinsmma.com	436 Concession St	NETNEW	N
Hamilton	Hamilton School of Martial Arts	hsma1.com	1200 Stone Church Rd E Unit 3	NETNEW	N
St. Catharines	Renzo Gracie Niagara	renzogracieniagara.com	486 Grantham Ave	NETNEW	N
St. Catharines	SBG Niagara	sbgniagara.ca		NETNEW	N
Niagara Falls	Passador BJJ	passadorbjj.com		NETNEW	N
Niagara Falls	Evolve MMA & Fitness	evolvemma.ca		NETNEW	N
Ottawa	Ottawa Academy of Martial Arts	oama.ca		NETNEW	N
Ottawa	Gracie Barra Ottawa	gb-ottawa.com		NETNEW	N
Ottawa	The Ottawa Jiu Jitsu Club	theottawajiujitsuclub.com		DUPCHECK	N
Ottawa	Zen MMA	zenmma.ca		NETNEW	N
Ottawa	Silver 7 Martial Arts	silver7martialarts.com		NETNEW	N
Ottawa	Jiujitsu Culture	jiujitsuculture.ca		NETNEW	N
Ottawa	De la Costa Academy	delacosta.ca		NETNEW	N
Ottawa	Brave Martial Arts Institute	bravemai.com		NETNEW	N
London	The Submission Academy	subacademyldn.com	1068 Dundas St E	NETNEW	N
London	Bindner Academy	bindner.academy	19-1615 North Routledge Park	NETNEW	N
London	Enhanced BJJ	enhancedbjj.com		NETNEW	N
London	Gracie Barra London	graciebarra.com	1712 Hyde Park Rd	NETNEW	N
Waterloo	The Jiu-Jitsu Lab	labjiujitsu.com	420 Weber St N	NETNEW	N
Kitchener	Guardhouse BJJ	guardhousebjj.ca	41 Ardelt Pl 1b	NETNEW	N
Kitchener	Octa BJJ Kitchener	octabjjkitchener.com		NETNEW	N
Kitchener	Return of the Dragon	rotdma.com		NETNEW	N
Kitchener	Olympus Martial Arts	olympusmma.com	50 Ottawa St S 201	NETNEW	N
Cambridge	Grand River BJJ	grandriverbjj.ca		NETNEW	N
Cambridge	Octa BJJ Cambridge	cambridge.octabjj.com		NETNEW	N
Cambridge	Resolve BJJ Academy	resolvebjjacademy.com		NETNEW	N
Cambridge	MAS Academy of Martial Arts		695 Bishop St N	NETNEW	N
Guelph	Royal City BJJ	royalcitybjj.com	20 Cowan Pl Unit 3	NETNEW	N
Guelph	Omerta BJJ	omertabjj.com		NETNEW	N
Sarnia	The Butcher Shop	butchershopjiujitsu.ca		NETNEW	N
Sarnia	Forge Training Centre	forgetrainingcentre.com	1880 London Line	NETNEW	N
Sarnia	META Training Centre	metatrainingcentre.com		NETNEW	N
Windsor	Caique Jiu-Jitsu Academy Windsor Essex	cjjwe.com		NETNEW	N
Windsor	APEX MMA	apexmma.ca		NETNEW	N
Windsor	META BJJ Windsor	metabjj.ca		NETNEW	N
Windsor	Maximum Training Centre	mtcwindsor.ca		NETNEW	N
Ajax	Karma Jiu Jitsu	karmajiujitsu.com		NETNEW	N
Ajax	Mamute Martial Arts	mamutemaa.com	527 Westney Rd S Unit 4	NETNEW	N
Ajax	Elemental Jiu Jitsu	elementaljiujitsu.com	845 Westney Rd S Unit 4	NETNEW	N
Ajax	Moyo Jiu-Jitsu Academy	moyojiujitsu.com	55 Mills Rd Unit 6	NETNEW	N
Whitby	DNA Brazilian Jiu Jitsu	dnabjj.com	2001 Thickson Rd S Unit 15	NETNEW	N
Bowmanville	Kalsamrit Martial Arts	kalsamrit.com	182 Wellington St	NETNEW	N
Barrie	Submission Arts Academy	submissionartsacademy.com	112 Commerce Park Dr	NETNEW	N
Barrie	Legacy Fight Club	legacyfightclub.com		NETNEW	N
Barrie	Champs Academy	champsacademy.ca		NETNEW	N
North Bay	Grounded Studios	grounded.ca		NETNEW	N
North Bay	The Garden BJJ	thegardenbjj.ca	397 Wyld St	NETNEW	N
Orillia	Resolve Martial Arts Academy	resolvemartialartsorillia.com		NETNEW	N
Orillia	Big Country Orillia	bigcountryorillia.gymdesk.com	27 West St S	NETNEW	N
Sault Ste. Marie	Steel City MMA	steelcitymma.com		NETNEW	N
Sault Ste. Marie	Gracie Jiu-Jitsu Sault Ste. Marie		274 Lake St	NETNEW	N
Thunder Bay	BJJFourLife	bjjfourlife.com	180 Martha St	NETNEW	Y
Thunder Bay	Leading Edge MMA	leadingedgemma.ca		NETNEW	N
Thunder Bay	Thunder Valley Martial Arts		1526 Victoria Ave E	NETNEW	N
Kingston	Hayabusa Academy	hayabusa-academy.com	677 Innovation Dr 7	NETNEW	N
Kingston	TRACK2 BJJ	track2.ca		NETNEW	Y
Kingston	Kingston Jiu Jitsu	kingstonjiujitsu.com		NETNEW	N
Peterborough	Eris Martial Arts Academy	erismartialarts.com	306 George St N	NETNEW	N
Peterborough	Kawartha Combat	kawarthacombat.com		NETNEW	N
Peterborough	Peterborough Judo & MMA	peterboroughjudo.com		NETNEW	N
Pickering	AACE Martial Arts Academy	aacemartialartsacademy.com	633 Kingston Rd	NETNEW	N
Pickering	Action & Reaction MMA	actionreactionmma.com		NETNEW	N
Belleville	Alcateia BJJ		40 Hanna Ct	NETNEW	N
Cambridge	Cambridge BJJ	cambridgebjj.ca	55 Raglin Pl	URLFIX	Y
Oshawa	Oshawa BJJ	oshawabjj.com	1160 Simcoe St S	URLFIX	Y
Windsor	Windsor BJJ	windsorbrazilianjiujitsu.com	4471 Tecumseh Rd E	URLFIX	Y
Whitby	Four-Eleven Brazilian Jiu Jitsu	fourelevenbjj.ca		URLFIX	N
Barrie	Barrie BJJ	705bjj.com	571 Bayfield St	URLFIX	N
