# ON-verify-04 - 20 Ontario candidates needing a body read
city	name	url	address	status	bodyread
Barrie	Legacy Fight Club	legacyfightclub.com		NETNEW	N
Barrie	Champs Academy	champsacademy.ca		NETNEW	N
North Bay	Grounded Studios	grounded.ca		NETNEW	N
North Bay	The Garden BJJ	thegardenbjj.ca	397 Wyld St	NETNEW	N
Orillia	Resolve Martial Arts Academy	resolvemartialartsorillia.com		NETNEW	N
Orillia	Big Country Orillia	bigcountryorillia.gymdesk.com	27 West St S	NETNEW	N
Sault Ste. Marie	Steel City MMA	steelcitymma.com		NETNEW	N
Sault Ste. Marie	Gracie Jiu-Jitsu Sault Ste. Marie		274 Lake St	NETNEW	N
Thunder Bay	Leading Edge MMA	leadingedgemma.ca		NETNEW	N
Thunder Bay	Thunder Valley Martial Arts		1526 Victoria Ave E	NETNEW	N
Kingston	Hayabusa Academy	hayabusa-academy.com	677 Innovation Dr 7	NETNEW	N
Kingston	Kingston Jiu Jitsu	kingstonjiujitsu.com		NETNEW	N
Peterborough	Eris Martial Arts Academy	erismartialarts.com	306 George St N	NETNEW	N
Peterborough	Kawartha Combat	kawarthacombat.com		NETNEW	N
Peterborough	Peterborough Judo & MMA	peterboroughjudo.com		NETNEW	N
Pickering	AACE Martial Arts Academy	aacemartialartsacademy.com	633 Kingston Rd	NETNEW	N
Pickering	Action & Reaction MMA	actionreactionmma.com		NETNEW	N
Belleville	Alcateia BJJ		40 Hanna Ct	NETNEW	N
Whitby	Four-Eleven Brazilian Jiu Jitsu	fourelevenbjj.ca		URLFIX	N
Barrie	Barrie BJJ	705bjj.com	571 Bayfield St	URLFIX	N
