# b2-verify-SKNDWY - 27 candidates across SK ND WY
state	city	name	url	address	note
SK	Regina	Expedition Brazilian Jiu-Jitsu	expeditionbjj.ca	1535-B McAra St
SK	Regina	Ascendant Martial Arts	ascendantmartialarts.ca	1171 Winnipeg St
SK	Saskatoon	Valens Jiu Jitsu Academy	valensjiujitsu.ca	510 Lauriston St #20	GFTeam
SK	Saskatoon	Scheer's Martial Arts	scheersmartialarts.com	15 Glazier Rd
SK	Saskatoon	Alliance Training Center	alliancetrainingcenter.com	339 Edson St	name collision not a verified Alliance affiliate
SK	Prince Albert	The Lab Brazilian Jiu-Jitsu Academy	thebjjlab.com	21 11th St E
SK	Prince Albert	North Wake Martial Arts	northwakemartialarts.com	Bay 16 243 S Industrial Dr
SK	Moose Jaw	Control Jiu Jitsu	controlbjj.com	244a River St W
SK	Yorkton	Yorkton Martial Arts Training Center	ymatc.com	295 Broadway St W
SK	North Battleford	Green Dojo	greendojo.ca		ADDRESS CONFLICT two on own site
SK	Estevan	Estevan Combat Sports and Fitness			no own site FB IG only
SK	Weyburn	Weyburn MMA Club		46 13th St	no own site FB only
SK	Melville	WARCRY Martial Arts	warcrymartialarts.com	543 Main St
ND	Bismarck	Ice Dragon Academy	icedragonacademy.com	3007 Morrison Ave
ND	Bismarck	Bismarck MMA	bismarckmma.com	1418 Airport Rd Shop #14
ND	Dickinson	Elite BJJ	elitebjj.org	71 12th St SE
ND	Dickinson	Carlos Machado Jiu Jitsu Dickinson	carlosmachadojiujitsudickinson.com	11 4th Ave E
ND	Fargo	Academy of Combat Arts	fmaca.com	3332 4th Ave S Ste D
ND	Grand Forks	Progressive Martial Arts	progressivemartialartsgf.com	1604 S Washington Ste B2
ND	Minot	Gracie Jiu-jitsu Minot	sites.google.com/view/minotgjj	2825 S Broadway Ste 1	Gracie CTC
WY	Casper	D's Jiu-Jitsu Academy	dsbjjcasper.com	2000 Casper St
WY	Cheyenne	Black Label BJJ of Cheyenne	blacklabel307.com	1121 Old Town Ln
WY	Cody	Potter Combat Academy	pottercombat.com	1713 17th St
WY	Green River	Duality BJJ	dualitybjj.com	142 E Flaming Gorge Way	address aggregator only
WY	Jackson	Jackson Hole MMA	jacksonholemma.com	3580 South Park Dr	JH Indoor Sports Facility
WY	Laramie	Third Way Jiu Jitsu	thirdwayjiujitsu.com	407 S 21st St	no Alliance affiliation on site
WY	Lander	Wind River Dojo	windriverdojo.org	465 Lincoln St	Judo and BJJ 501c3; Lander not Riverton
