region	name	city	state	website	address	research_evidence
IA	Breaking Point Jiu-Jitsu Bettendorf	Bettendorf	IA	https://breakingpointbjj.com	6990 Competition Court, Bettendorf, IA 52722	"Same body announces ""Now Open: Our Bettendorf Location"" and lists 6990 Competition Court, Bettendorf, IA 52722 with its own hours and membership signup"
IA	Clinton BJJ Iowa	Clinton	IA	https://www.iowatopteam.com	123 Main Ave, Clinton, IA 52732	"REAL-BUT-WRONG-URL: body of iowatopteam.com carries ""IOWA TOP TEAM Boxing, 123 Main Ave, CLINTON, IA 52732"" with a current BJJ and boxing schedule; no school trades as ""Clinton BJJ Iowa"""
IA	Breaking Point Jiu-Jitsu	Davenport	IA	https://breakingpointbjj.com	3840 W River Dr, Davenport, IA 52802	Body contact block lists Davenport at 3840 W River Dr with daily hours; founded 2017 by Nate Fenton and Josh Hamilton, over 300 members
IA	Faiferlick Martial Arts	Fort Dodge	IA	https://fortdodgemartialarts.com		Body of the Brazilian Jiu Jitsu page describes an Applied BJJ program serving Fort Dodge, Humboldt, Webster City, Manson and Rockwell City; also runs a Gracie Jiu-Jitsu certified training centre page. No street address in the body
IA	Citadel BJJ	Iowa City	IA	https://bjjiniowacity.com	2325 Naples Ave SW, Iowa City, IA 52240	"Body footer reads ""2325 Naples Ave SW, Iowa City, IA 52240"", phone 319-855-8110, copyright 2026; head coach Matt Leighton, kids and adult programs"
IA	Ottumwa BJJ	Ottumwa	IA	https://www.guardianjj.com	102 S Market St, Suite A, Ottumwa, IA 52501	"REAL-BUT-WRONG-URL: ottumwabjj.com is NXDOMAIN (dns.google Status 3); guardianjj.com body carries ""Guardian Jiujitsu and Judo trains students in the arts of Brazilian Jiujitsu and Kodokan Judo"" plus 102 S Market St Suite A, Ottumwa IA 52501"
IA	Cedar Valley Jiu Jitsu	Waterloo	IA	https://cv-bjj.com	2325 Crossroads Blvd, Waterloo, IA 50701	"Body gives ""2325 Crossroads Blvd. Waterloo, IA 50701"", Jeff Curran affiliate, with current class times and staffed gym hours; site content uploaded 2025"
KS	Laselva MMA	Derby	KS	https://laselvamma.com	124 S Baltimore Ave, Derby, KS 67037	About page body says Laselva MMA moved to Derby in 2016 and lists the S Baltimore Ave address
KS	NWKS Jiu Jitsu Hays	Hays	KS	https://nwksjiujitsu.com	208 E 8th St #1, Hays, KS 67601	Body says the Hays location opened in 2025 inside Aikido of Northwest Kansas and lists the E 8th St address
KS	Ground Theory Jiu Jitsu	Lawrence	KS	https://www.groundtheoryjiujitsu.com	1035 E 23rd St Suite 3, Lawrence, KS 66046	Body says located in Lawrence Kansas with classes seven days a week and gives the E 23rd St address
KS	Louisburg Jiu Jitsu	Louisburg	KS	http://www.louisburgjiujitsu.com	1006 S Metcalf Rd Suite 107, Louisburg, KS 66053	Site title reads Brazilian Jiu-jitsu Studio, Martial Arts Gym, Self-Defense Training Louisburg KS; BJJ Globetrotters and multiple listings confirm the Metcalf Rd address
KS	E3 Jiu-Jitsu	Overland Park	KS	https://www.e3sf.org	7010 W 83rd Street, Overland Park, KS 66204	Body headline reads Overland Park Brazilian Jiu-Jitsu, lists gi, no-gi and kids programs and the W 83rd St address
KS	WaveMan Combat Academy	Salina	KS	https://wavemanjiujitsu.com	740-B Duvall Ave, Salina, KS 67401	Gymdesk site body shows a live weekly BJJ class schedule, instructor John McDowell black belt, and the Duvall Ave Salina address
KS	Burns Martial Arts	Wichita	KS	https://www.burnsmartialarts.com	1711 South Eisenhower Street, Wichita, KS 67209	Body names Austin Burns as a jiu-jitsu black belt, lists Jiu Jitsu among classes and gives the S Eisenhower address
KS	Valor Martial Arts	Wichita	KS	https://www.wichitavalor.com	1836 South Woodlawn, Wichita, KS 67218	Body lists a Brazilian Jiu-Jitsu class page among adult classes and the S Woodlawn address
MB	Precision MMA	Morden	MB	https://www.precisionmma.ca	451 Jefferson Street, Morden, MB	"precisionmma.ca returned an empty body on fetch; verified from a PembinaValleyOnline article body: ""Precision MMA in Morden is bringing the benefits of Brazilian jiu-jitsu (BJJ) to the Pembina Valley"", owner/head coach George Sawatzky, ""offers Brazilian jiu-jitsu classes for ages 5 and up"", ""located at 451 Jefferson Street in Morden"", phone 431-775-1135. Area code 431 confirms Manitoba"
MB	Swan River BJJ	Swan River	MB	https://wamma.site/swanriver	120-6th Avenue North, Swan River, MB R0L 1Z0	"REAL-BUT-WRONG-URL - swanriverbjj.com is NXDOMAIN. WAMMA Swan River body carries ""120-6th Avenue North, Swan River MB R0L 1Z0"", contact Travis Lumax 204 281 5143, and a price list including ""NoGi Jiu Jitsu $75 / Gi jiu jitsu $75 / All Jiu Jitsu $100"". Postal R0L and area code 204 confirm Manitoba. CAUTION - page footer says ""Last updated 28 Jun 2017"""
