region	name	city	state	website	address	research_evidence
AB	Jiu-Jitsu For Life Airdrie	Airdrie	AB	https://jiujitsuforlifeairdrie.com	46 Bayspring Way, Airdrie, AB T4B 4C4	"Body: ""Welcome to Jiu-Jitsu for Life Airdrie ... our academy offers a supportive environment to learn authentic Brazilian Jiu-Jitsu"", with BJJ, Kids, Females Only and No-Gi programs. Header and contact block: ""46 BAYSPRINGS WAY, AIRDRIE-AB"" and ""46 BAYSPRING WAY AIRDRIE T4B4C4 CA"", phone 403 560 6608. Alberta postal T4B, area code 403."
AB	Affinity Academy Varsity	Calgary	AB	https://affinityacademy.ca	5403 Crowchild Trail NW Unit 215, Calgary, AB T3B 4Z1	"Second Affinity site. Directory record read as ""Affinity Academy: Brazilian Jiu Jitsu, Kickboxing and Fitness, 5403 Crowchild Trail NW #215, Calgary, AB T3B 4Z1, Canada""; search result confirms ""Martial Arts Classes in Varsity Calgary and Nolan Hill"". Alberta postal T3B. Body not individually read - lower confidence."
AB	Arashi-Do Martial Arts Calgary SW Rutland Park	Calgary	AB	https://arashido.com/location/calgary-south-rutland-park/	3130 40 Avenue SW, Calgary, AB T3E 4T2	"Location page body: ""ARASHI-DO Calgary SW - Rutland Park. This location offers classes in Karate ~ Muay Thai ~ Brazilian Jiu Jitsu"", Sunday Jiu Jitsu block from Mini Monkeys through Teen/Adult. Address ""3130 40 Avenue SW, Calgary, AB T3E 4T2"", (825) 747-9574. Alberta postal T3E."
AB	Carlson Gracie Calgary	Calgary	AB	https://www.carlsongraciecalgary.com	7060 Farrell Rd SE Bay D, Calgary, AB T2H 0W7	"Carlson Gracie affiliate. Domain resolves (172.67.173.219 / 104.21.30.203). Directory record read as ""Carlson Gracie Calgary, 7060 Farrell Rd SE Bay D, Calgary, AB T2H 0W7, Canada"". Alberta postal T2H. Body not individually read - lower confidence."
AB	Gracie Barra Calgary	Calgary	AB	https://graciebarracalgary.ca	8989 Macleod Trail SW, Calgary, AB T2H 0M2	"Gracie Barra affiliate. graciebarracalgary.ca resolves (66.102.133.110) but returns an empty rendered body, so the address here is from its Alberta BJJ directory record: ""Gracie Barra Calgary, 8989 Macleod Trail SW, Calgary, AB T2H 0M2, Canada - Brazilian Jiu Jitsu and Muay Thai"". Alberta postal T2H. Lower confidence - body not readable."
AB	Upper Alliance Jiu Jitsu	Calgary	AB		2020 32 Avenue NE Bay I, Calgary, AB T2E 6T4	"Alliance Brazilian Jiu Jitsu team affiliate, north Calgary, distinct from Alliance BJJ Calgary in Deer Run. Listed at ""2020 32 Avenue NE, Bay I, Calgary, AB T2E 6T4"". Alberta postal T2E. No own domain found and body not read - lower confidence."
AB	Arashi-Do Martial Arts Edmonton North	Edmonton	AB	https://arashido.com/location/edmonton-north/	12730 St Albert Trail NW, Edmonton, AB T5L 4S5	"Named under AVAILABLE LOCATIONS on the body of the Arashi-Do Behring Brazilian Jiu Jitsu program page. Address from its Alberta directory record ""Arashi-Do Edmonton North, 12730 St Albert Trail NW, Edmonton, AB T5L 4S5, Canada"". Alberta postal T5L."
AB	Black Sails Brazilian Jiu-Jitsu Edmonton	Edmonton	AB	https://blacksailsbjj.com		"Listed in the Alberta BJJ directory as ""Black Sails Brazilian Jiu-Jitsu Edmonton, Edmonton, AB"" with website blacksailsbjj.com. Street address not captured; body not individually read - lower confidence."
AB	Gracie Barra Edmonton	Edmonton	AB	https://graciebarra.com/edmonton-alberta-canada		"Gracie Barra affiliate. Listed on graciebarra.com as ""Jiu-Jitsu Training Edmonton - Gracie Barra Edmonton"". Its Alberta directory record reads ""Gracie Barra Jiu Jitsu, 11500 170 St NW, Edmonton, AB T5S 1J7, Canada"". Alberta postal T5S. Address left blank in the address column because the brand page body was not read - lower confidence."
AB	Straight Blast Gym Edmonton	Edmonton	AB	https://www.straightblastgymedmonton.com	11714 82 St NW, Edmonton, AB T5B 2W1	"Body reads ""This is SBG ... An academic environment centered around the growth and learning of Brazilian Jiu-Jitsu"", owner and head coach Steve Winjet, curriculum credited with producing IBJJF World Champions and UFC veterans. No address in the body; street address from its Alberta directory record, Alberta postal T5B."
AB	Gladiators Martial Arts Academy	Grande Prairie	AB	https://gladiatorsmaa.com		Non-profit martial arts academy in Grande Prairie, Alberta offering Brazilian Jiu-Jitsu among other disciplines. Domain live but the about-us body rendered empty on fetch, so no street address or postal code captured - lower confidence.
AB	Canadian Martial Arts Centre	Lethbridge	AB	https://cmcmma.com	3307 3 Ave S, Lethbridge, AB	"Body: ""Kickboxing - Brazilian Jiu Jitsu - Grappling - Kids Classes ... The CMC has one of the top Grappling and Brazilian Jiu Jitsu programs in Canada"". Address printed twice in the body: ""3307 3 Ave S, Lethbridge, AB Canada"", phone +1 (403) 320-5569 (Alberta area code 403)."
AB	Arashi-Do Martial Arts Penhold	Penhold	AB	https://arashido.com/location/penhold/		Named under AVAILABLE LOCATIONS on the body of the Arashi-Do Behring Brazilian Jiu Jitsu program page and in the CENTRAL ALBERTA locations menu. Penhold is just south of Red Deer, Alberta. Street address not captured.
AB	Black Gold Jiu-Jitsu Academy	Spruce Grove	AB	https://www.blackgoldbjj.com	123-20 Westwind Drive, Spruce Grove, AB T7X 2E3	"Body: ""Brazilian Jiu Jitsu in Spruce Grove near Edmonton ... We've been dreaming of opening a jiu-jitsu gym in Spruce Grove for over 15 years"", Gi, No Gi and Juniors programs, coaches Michael Hay and Pascale Leonard. Footer: ""123 - 20 Westwind Drive, Spruce Grove, Alberta, T7X 2E3"", 587.461.1640. Alberta postal T7X, area code 587."
AB	Phoenix Martial Arts Club	St. Albert	AB	https://phoenixmartialartsclub.ca	215 Carnegie Drive Unit 7, St. Albert, AB T8N 5B1	"REAL-BUT-WRONG-URL - link had been blanked; the .com is NXDOMAIN, the school is on the .ca. Body: ""Phoenix Martial Arts Club - THE HOME OF Phoenix Taekwon-do club, ares MUAY THAI, Limitless brazilian jiujitsu"", phone 780-951-1697 (Alberta area code 780). Footer lists six Alberta locations: St. Albert, Parkland (Spruce Grove), Beaumont, Morinville, Fort Saskatchewan, Devon. This is St. Albert, Alberta - not St Albans England or St Albans VT."
WV	Family Martial Arts and Gracie Jiu-Jitsu Beckley	Beckley	WV		311 Beckley Plaza, Beckley, WV 25801	"MatMade Beckley WV city page body: ""Family Martial Arts/Gracie Jiu-Jitsu Beckley, 311 Beckley Plaza"", Child/Teen/Adult/Women programs, 5.0 from 18 ratings, description ""we combine the proven Gracie Jiu-Jitsu Team Pedro Sauer curriculum"". FindMMAGym corroborates a Beckley MMA / Family Martial Arts BJJ program in the Raleigh Mall, phone (304) 252-5425. Beckley WV ZIP 25801, 304 code. No independent website found."
WV	Team Luiz Palhares of West Virginia - Imperium Jiu-Jitsu	Elkins	WV	https://bjjclub.weebly.com	2285 Beverly Pike Suite 5, Elkins, WV 26241	"Location page body: ""Elkins - Classes are offered at our new facility located at 2285 Beverly Pike, Suite 5 in Elkins, WV. This is the home of Imperium Jiu-Jitsu ... contact Team Luiz Palhares of West Virginia, LLC at 304-444-8111"". Gene Smithson, 2nd degree black belt under Luiz Palhares. ZIP 26241 and 304 code confirm WV."
