region	name	city	state	website	address	research_evidence
BC	Pacific Top Team Abbotsford	Abbotsford	BC		2427 Pauline Street, Abbotsford, BC	"Yelp listing title carries the address in full: ""PACIFIC TOP TEAM ABBOTSFORD BRAZILIAN JIU-JITSU AND MUAY THAI - 2427 Pauline street, Abbotsford, British Columbia"". Parent organisation confirmed real via the pacifictopteam.com body (""Brazilian Jiu Jitsu and Martial Arts Team in Western Canada""). Province explicitly British Columbia. No standalone domain located."
BC	North Burnaby Brazilian Jiu Jitsu	Burnaby	BC	https://northburnabyjiujitsu.com		"bjjblog.ca BC directory body: ""NORTH BURNABY BRAZILIAN JIU JITSU, Burnaby, BC - Join us at North Burnaby BJJ for personalized training"", 5.0 from 43 reviews, site northburnabyjiujitsu.com. Distinct from Gracie Barra North Burnaby."
BC	Pacific Top Team Chilliwack	Chilliwack	BC	https://pttchilliwack.ca		"Search result title and body: ""Pacific Top Team Chilliwack | Brazilian Jiu-Jitsu and Martial Arts Training - Chilliwack's top Brazilian Jiu-Jitsu academy"", open 6 days per week, site pttchilliwack.ca (.ca domain). Parent organisation confirmed real via the pacifictopteam.com body. Chilliwack BC."
BC	Gracie Barra Delta	Delta	BC	https://gbdelta.com	11951 88 Ave, Delta, BC V4C 3C9	"Gracie Barra BC roster body lists ""Gracie Barra Surrey (Newton/Delta), 11951 88 Ave, Delta, BC V4C 3C9"", head Prof. Kevin Yang, est. 2010 - the oldest GB academy in BC. bjjblog.ca body lists the school as ""Gracie Barra Delta - The most friendly school to learn Brazilian Jiu Jitsu and Kickboxing in Delta BC"" with site gbdelta.com. AMBIGUITY: a search result also describes gbdelta.com as being on Bridge Street, Delta, so the brand may run two Delta sites or have relocated - the V4C address above is the one taken from a page body. Delta BC confirmed by V4C postal code, not Delta CO or Delta UT."
BC	Kelowna BJJ	Kelowna	BC	https://www.alliancekelowna.com	110-1854 Kirschner Rd, Kelowna, BC V1Y 4N7	"REAL-BUT-WRONG-URL. kelownabjj.com resolves and 301-redirects to alliancekelowna.com. Body reads ""Alliance Kelowna - Brazilian Jiu Jitsu and Muay-Thai Kickboxing"", 16 years in business, and the footer carries the full address 110-1854 Kirschner Rd, Kelowna, BC, V1Y 4N7, Canada with phone (250) 460 2558. BC confirmed by V1Y postal code and 250 area code. School is real; the stored stub URL merely forwards. Canonical name is Alliance Kelowna."
BC	Mission BC BJJ	Mission	BC	https://www.missionbjj.ca	Unit 301 - 31510 Gill Avenue, Mission, BC V4S 0A1	"REAL-BUT-WRONG-URL - RECOVERED. Live site body at missionmuaythai.ca declares canonical https://www.missionbjj.ca/ and titles itself ""Mission BJJ - Brazilian Jiu Jitsu and Muay Thai in Mission, BC"". Body carries the address Unit #301 - 31510 Gill Avenue, Mission, BC V4S 0A1, email info@missionbjj.ca, coordinates 49.1329 N 122.3095 W, and describes BJJ, No-Gi, Muay Thai, kids and ladies programs. BC confirmed by V4S postal code. Blanked link recovered."
BC	North Vancouver BJJ	North Vancouver	BC	https://northvanbjj.com	Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5	"REAL-BUT-WRONG-URL. northvancouverbjj.com is NXDOMAIN (DNS Status 3), but the school is real at northvanbjj.com. Body reads ""North Vancouver Brazilian Jiu Jitsu"" and ""North Vancouver Gracie Jiujitsu"", a Certified Gracie Jiu-Jitsu Training Center under head instructor Marc Marins running Gracie Combatives, Women Empowered, Bullyproof and Master Cycle. Footer address Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5, phone 604-770-1766. BC confirmed by V7L postal code and 604 area code."
BC	Kaiten Mixed Martial Arts Academy	Prince George	BC			"Search result: ""Kaiten Mixed Martial arts Academy | Prince George BC"" offering Brazilian Jiu-Jitsu along with MMA, Muay Thai, Kickboxing, and classes for women and kids. Prince George BC stated. Only a Facebook presence located - website left blank."
BC	Gracie Barra Richmond Steveston	Richmond	BC	https://gbrichmond.ca	340 - 12211 First Ave, Richmond, BC V7E 3M3	"Gracie Barra BC roster body: ""Gracie Barra Richmond (Steveston), #340 - 12211 First Ave, Richmond, BC V7E 3M3"", head Prof. Bernardo Veiga, est. 2021. bjjblog.ca body gives site gbrichmond.ca, 4.9 from 38 reviews. Steveston is a Richmond BC neighbourhood; V7E postal code confirms BC, not Richmond VA/TX/KY."
BC	Mountain Jiu Jitsu	Squamish	BC	https://www.mtnjjsq.com		"Search result title and body: ""Mountain Jiu Jitsu Squamish | Kids and Adult Academy - Free Trials"", offering BJJ training focused on technique, leverage and ground control, with locations in Squamish, Whistler and Pemberton. Domain mtnjjsq.com encodes ""sq"" for Squamish. Squamish BC in the Sea to Sky corridor."
BC	Gravity Brazilian Jiu-Jitsu	Surrey	BC	https://www.gravitybjj.ca		"bjjblog.ca BC directory body: ""Gravity Brazilian Jiu-Jitsu, Surrey, BC - the best in Brazilian Jiu-Jitsu and martial arts training at Gravity BJJ"", 4.9 from 60 reviews, site gravitybjj.ca (.ca domain)."
BC	Alliance Jiu Jitsu Vancouver	Vancouver	BC	https://www.alliancebjjteam.com	2625 Kingsway, Vancouver, BC V5R 5H4	"REAL-BUT-WRONG-URL - RECOVERED. alliancebjjteam.com body reads ""Alliance BJJ Vancouver - A team of world class champions based in Vancouver, BC"", describes the Alliance team founded 1993 by Jacare Cavalcanti, Fabio Gurgel and Alexandre Paiva, and lists instructors Norm Leung, JP Rubio and Kevin Britton. Footer carries 2625 Kingsway, Vancouver, BC, V5R 5H4 and phone +1 (236) 869-0040. BC confirmed by V5R postal code and 236 area code. Blanked link recovered."
BC	Gracie Barra Vancouver	Vancouver	BC	https://www.gbvancouver.com	2440 Main St, Vancouver, BC V5T 3E2	"Gracie Barra BC roster body at gblakecountry.com lists ""Gracie Barra Vancouver (Main St), 2440 Main St, Vancouver, BC V5T 3E2"", head Prof. Rodrigo Carvalho Silva, est. 2018. Cross-confirmed in bjjblog.ca BC directory body with the same street address and site gbvancouver.com. BC confirmed by V5T postal code."
BC	Pacific Top Team	Vancouver	BC	https://www.pttvancity.com		"The Vancouver academy trades as Pacific Top Team Vancity. Body of pttvancity.com: ""PACIFIC TOP TEAM BRAZILIAN JIU-JITSU SCHOOL IN VANCOUVER"", also home of Dream Fighters Canada Muay Thai, meta description states ""Formerly known as Burnaby Brazilian Jiu-Jitsu"". Parent site pacifictopteam.com body confirms ""Brazilian Jiu Jitsu and Martial Arts Team in Western Canada"" with locations across Western Canada. Both are real BC entities. Recommend pointing the Vancouver record at pttvancity.com."
BC	Hood Rich Jiu Jitsu	Victoria	BC	https://www.hoodrichjj.com		"bjjblog.ca BC directory body: ""Hood Rich Jiu Jitsu, Victoria, BC - Empowering martial arts community offering Brazilian Jiu Jitsu classes for all ages in Victoria, BC"", 5.0 from 24 reviews, site hoodrichjj.com. Victoria BC stated explicitly in the description text."
BC	Zuma Ultimate Martial Arts	Victoria	BC	http://zuma.tv		"bjjblog.ca BC directory body, first entry in the British Columbia list: ""Zuma Ultimate Martial Arts, Victoria, BC - Join ZUMA for an exciting journey in Brazilian Jiu Jitsu, Thai Boxing, and more"", 4.9 from 112 reviews, site zuma.tv. Zuma is one of the long-established BC local networks. Victoria BC."
QC	Centre Evolution	Gatineau	QC	https://www.artsmartiauxevolution.com	74 boulevard Gréber, Gatineau, QC J8T 3P8	"Body of artsmartiauxevolution.com/affiliates: ""Evolution JJB HQ - Evolution BJJ HQ, Centre Evolution, 74 boul Greber, Gatineau, QC, J8T 3P8, 819-246-2787"". IBJJF certified black belt school under Prof. Daniel Guillemette; headquarters of the Evolution BJJ network. Postal J8T and area code 819 confirm Gatineau QUEBEC (not Ottawa ON)."
QC	Renzo Gracie Laval	Laval	QC	https://www.gracielaval.com	3274 Blvd. Saint-Martin O Suite 201, Laval, QC H7T 1A1	"Body of gracielaval.com: ""Renzo Gracie Laval is a Brazilian Jiu-Jitsu Martial Arts academy serving kids and adults across Laval and Montreal. Serving Chomedey, Laval-des-Rapides, Sainte-Dorothee, Sainte-Rose, Fabreville, Vimont, Duvernay"". Footer: ""3274 Blvd. Saint-Martin O Suite 201, Laval, QC H7T 1A1"", tel 438-533-4348. Postal H7T and area code 438 confirm Laval QC (not Laval, France)."
QC	Académie Frontenac	Montreal	QC	https://www.academiefrontenac.com	2600 rue Ontario E. suite 152, Montréal, QC H2K 4K4	"Body of academiefrontenac.com: ""L'Academie Frontenac se distingue comme un centre sportif specialise, offrant une gamme diversifiee de disciplines en arts martiaux, notamment la boxe, le muay thai, le kick-boxing, et le jiu-jitsu bresilien""; dedicated /cours-de-jiu-jitsu page. Contact page body: ""2600 rue Ontario E. suite 152, Montreal, Qc H2K4K4"" and ""(514)525-3037"". Postal H2K and area code 514 confirm Montreal QC."
QC	Renzo Gracie Montreal	Montreal	QC			"NOT RECOVERED - deliberately left blank. Directories still list bjjmontreal.com as the site for ""Renzo Gracie Downtown Montreal OAMA"" (279 Rue Sherbrooke O), but that domain now 301-redirects to plateaubjj.com and the rendered body is ""Plateau BJJ - Jiu-Jitsu x Plateau-Mont-Royal"", a Caio Terra Association academy - a DIFFERENT business. Applying that URL would repeat the rodrigopinheirobjj-style error. Plateau BJJ is added separately as NET-NEW. Renzo Gracie West Island and Renzo Gracie Laval (same Glen MacKenzie / OAMA group) are live and added as NET-NEW."
QC	Royal Jiu-Jitsu Quebec	Quebec City	QC	https://royaljiujitsuqc.com	3347 Rue du Carrefour, Québec, QC G1C 8J9	"LINK RECOVERED. royaljiujitsuqc.com body reads ""Academie de Jiu-Jitsu a Quebec ... Pourquoi Royal Jiu-Jitsu Quebec"", 450+ membres actifs, BJJ Adultes / Enfants / Competition. Contact block: ""3347 Rue du Carrefour, Quebec, QC G1C 8J9, Carrefour Beauport"" and ""418-614-3331"". Postal G1C and area code 418 confirm Quebec City."
QC	1A Newaza Studio Jiujitsu	Rouyn-Noranda	QC		Rouyn-Noranda, QC	FQJJB federation listing (jjbqc.org/listing/1a-newaza-studio-jiujitsu): described as a leading centre for competitive Brazilian jiu-jitsu in Rouyn-Noranda. Rouyn-Noranda is in Abitibi-Temiscamingue, Quebec (819 area, J9X postal). Street address not captured, left blank. NEW CITY SPELLING: Rouyn-Noranda.
QC	École Karaté K2V	Shefford	QC		104 rue Clermont, Shefford, QC	"Body of the Centre Evolution affiliate page: ""Evolution BJJ Bromont/Shefford - Ecole Karate K2V, 104 rue Clermont, Shefford, QC, 514-708-5673"". Shefford is a Monteregie township adjacent to Bromont/Granby, Quebec. Hosts the Evolution BJJ programme. NEW CITY SPELLING: Shefford."
QC	Centre SAGA	Trois-Rivières	QC	https://www.centresaga.ca		"Own site: ""Accueil | Centre SAGA | Arts martiaux & mise en forme (Trois-Rivieres)""; the FQJJB roster carries Centre SAGA and describes it as the BTT (Brazilian Top Team) affiliate in Trois-Rivieres offering Jiu jitsu for children and adults. Trois-Rivieres is in Mauricie, Quebec (819 area, G8/G9 postal). Street address not captured from the body, left blank."
