# batch 3 of 10 - 90 flagged links - regions: CT DE FL GA
state	city	name	url
CT	Danbury	Danbury Academy Mixed Martial Arts	https://www.da-mma.com/
CT	Danbury	Team Delima Brazilian Jiu-Jitsu Association	http://delimajiujitsu.com/
CT	Glastonbury	Fortitude Jiu Jitsu	http://fortitudejj.com/
CT	New London	Strikezone MMA	http://www.strikezonemma.com/
CT	Norwalk	Ronin Martial Arts - Westport	https://www.westportmma.com/
CT	Stamford	Stamford Judo	http://www.stamfordjudo.us/
CT	Watertown	Thunder Martial Arts Academy	http://teamthundermma.net/
CT	West Hartford	Royce Gracie Brazilian Jiu Jitsu	http://gracie-jiu-jitsu.com/
CT	Wethersfield	Hartford Dojo	http://gracieacademy.com/
DE	Dover	Dover AFB BJJ	https://doverafbbjj.com
DE	Middletown	First State BJJ	https://firststatebjj.com
DE	Milford	Milford BJJ Delaware	https://milfordbjjde.com
DE	Rehoboth Beach	Rehoboth Beach BJJ	https://rehobothbeachbjj.com
FL	Aventura	Marcus Aurelio Jiu Jitsu Academy	http://www.maximusmartialarts.com/
FL	Boca Raton	GB Boca Raton	http://braziliantopteamflorida.com/
FL	Boynton Beach	Xcell Jiu Jitsu	https://www.xcelljiujitsu.com/
FL	Cape Coral	Cali Style MMA	http://calistylemma.com/
FL	Clearwater	Grady's Family Mixed Martial Arts	http://www.gradysmma.com
FL	Coral Gables	Refit Academy - Coral Gables	http://www.refitacademycoralgables.com
FL	Dania Beach	Marcelo Meleiro BJJ – Nova Uniao South Florida	http://www.novauniaosouthflorida.com/
FL	Davie	RAIVA Brazilian Jiu Jitsu	http://www.raivabjj.com
FL	DeLand	West Volusia Academy Of Mixed Martial Arts	http://theacademyofmma.com/
FL	Deerfield Beach	Burns Bros Jiu Jitsu	https://burnsbrosjiujitsu.com/
FL	Delray Beach	Carlson Gracie Manny Soares	https://mannysoaresbjj.com
FL	Dunnellon	Team Carvalho Academy	http://www.teamcarvalho.com/home.html
FL	Fort Lauderdale	Renzo Gracie Fort Lauderdale	https://www.renzogracieftlauderdale.com/
FL	Fort Myers	Fight Zone MMA	http://www.fightzonefl.com/
FL	Fort Pierce	Team Carvalho Treasure Coast	http://www.teamcarvalho.com/
FL	Gainesville	Gainesville BJJ Florida	https://gainesvillebjjfl.com
FL	Gulf Breeze	Gulf Breeze Jiu Jitsu	https://gulfbreezejiujitsu.com/
FL	Hallandale Beach	Gracie Barra Hallandale Beach	http://gbhallandale.com
FL	Indian Harbour Beach	BLTeam Brazilian Jiu-Jitsu and Muay Thai Academy	https://blteam1.com/
FL	Inverness	Agogi Academy of Combatives	http://agogiac.com/
FL	Jacksonville Beach	Ludus Martial Arts LLC	http://ludusmartialarts.com/
FL	Jacksonville	Alpha Dogs Martial Arts	https://alphadogsmartialarts.com/
FL	Jupiter	Team Nogueira Bloise Academy	http://www.teamnog.com/
FL	Jupiter	The Jupiter Jiu Jitsu Academy in Jupiter Fl	http://www.jupiterjiujitsu.com/
FL	Key Biscayne	Alliance Jiu Jitsu	http://www.alliancekb.com
FL	Lake Worth	Combat Club Lake Worth	https://combatclublakeworth.com/
FL	Lauderhill	South Florida Fight Club	http://www.sffc.tv/
FL	Longwood	Kokopelli's Gym	http://www.kokogym.com/
