# batch 4 of 10 - 90 flagged links - regions: GA HI ID IL IN IA KS KY
state	city	name	url
GA	Dalton	Veritas Brazilian Jiu-Jitsu - Kuzushi Club Dalton	http://veritasbjj.com/
GA	Flowery Branch	Full Throttle Fitness	http://www.fullthrottleoakwood.com/
GA	Fort Oglethorpe	Blalock International Mixed Martial Arts Academy	http://www.blalocksimb.com/
GA	Gainesville	Gracie Barra Gainesville	https://www.gbgainesville.com/
GA	Grovetown	Liberty Jiu-Jitsu Grovetown	http://libertybjj.community/
GA	Hoboken	Invictus Brazilian Jiu Jitsu & Defensive Arts	http://invictusbjj.online/
GA	Lawrenceville	Gwinnett Training Academy	http://www.gwinnetttrainingacademy.com/
GA	Leesburg	Black Sheep MMA	http://www.blacksheep-mma.com/
GA	Marietta	Advantage Jiu-Jitsu and Self Defense	https://www.advantagejj.com/
GA	Marietta	East Cobb Martial Arts	http://www.eastcobbma.com/
GA	Marietta	Fusion MMA	http://fusionfitnessandmma.com/
GA	Norcross	Nucleus Brazilian Jiu Jitsu	https://nucleusbjj.com
GA	Pooler	Coastal Combatives	http://www.coastalcombatives.com/
GA	Pooler	Redline MMA	http://www.redlinemma.com/
GA	Powder Springs	Tekniques Brazilian Jiu-Jitsu & Fitness	http://www.tekniquesbjj.com/
GA	Savannah	Champions Training Center	http://www.ctcsavannah.com
GA	Smyrna	Atlanta Budokan	http://www.atlantabudokan.com/
GA	Smyrna	Tonchu Martial Arts Academy	http://www.tonchumartialarts.com/
GA	Statesboro	Hanto Jiu-Jitsu Academy	https://hantojiu-jitsuacademy.com/
GA	Sylvester	Sylvester Jiu-Jitsu Academy	http://sylvesterjiujitsu.com/
GA	Tifton	Redemption Martial Arts Academy	http://www.martialartstifton.com/
GA	Valdosta	American Top Team Valdosta	http://att229.com/
GA	Villa Rica	Independent MMA & Fitness - Villa Rica	https://www.independentvillarica.com/
GA	Warner Robins	Zanshin South Gracie Jiu Jitsu	http://www.zanshinsouthgraciejiujitsu.com/
GA	Watkinsville	Megalodon MMA	http://www.megalodonmma.com/
HI	Hilo	BJ Penn MMA	https://bjpennmma.com
HI	Honolulu	Purebred Jiu-Jitsu	https://purebredjiujitsu.com
HI	Kahului	Maui BJJ Academy	https://mauibjjacademy.com
HI	Kailua-Kona	Kona BJJ	https://konabjj.com
HI	Kailua	Kailua BJJ	https://kailuabjj.com
HI	Lihue	Lihue BJJ	https://lihuebjj.com
HI	Maui	Fighting Arts Academy Hawaii	https://fightingartsacademyhi.com
HI	Pearl City	Pearl City BJJ	https://pearlcitybjj.com
ID	Coeur d'Alene	Coeur d'Alene BJJ	https://cdalenebjj.com
ID	Lewiston	Lewiston ID BJJ	https://lewistonidbjj.com
ID	Meridian	Meridian BJJ Idaho	https://meridianbjjidaho.com
ID	Nampa	Nampa BJJ	https://nampabjj.com
ID	Pocatello	Snake River MMA	https://snakerivermma.com
ID	Sandpoint	Sandpoint BJJ	https://sandpointbjj.com
ID	Star	Authentic BJJ Idaho	https://authenticbjjidaho.com
ID	Twin Falls	Alliance Jiu Jitsu Twin Falls	https://alliancejiujitsutf.com
IL	Alton	Alton Family Martial Arts & Fitness	https://www.altonfma.com/
IL	Burr Ridge	Force Brazilian Jiu-Jitsu	http://www.madeyoutap.com/
IL	Chicago	10th Planet Jiu Jitsu Chicago	http://www.10thplanetjjchicago.com
IL	Chicago	TDC MMA + Fitness	http://www.tdcmmaandfitness.com
IL	Downers Grove	Bodhi Collaborative BJJ	http://www.bodhicollaborative.com
IL	Fox Lake	Devine Jiu Jitsu Lake County	http://www.scholarwarriormma.com/devine-jiujitsu-lake-county
IL	Highland Park	Comprido BJJ	http://www.highlandparkbjj.com
IL	Lake Villa	Norse Academy Martial Arts	http://norseacademymartialarts.com/
IL	Lisle	Mequinho Jiu Jitsu	http://www.downersgrovejiujitsu.com
IL	Lombard	10th Planet Jiu Jitsu Lombard	http://www.10thplanetjjlombard.com/
IL	Machesney Park	Northern Illinois Combat Club and Fitness	http://www.niccfitness.com/
IL	Macomb	Cassady Martial Arts Academy Royce Gracie Jiu Jitsu	http://www.cassadymartialarts.com/
IL	Macomb	The Shed JiuJitsu Academy	https://theshedjiujitsuacademy.com/
IL	Mt. Vernon	Pedigo Submission Fighting	https://pedigosubmissionfighting.com
IL	New Baden	Middeke Brazilian Jiu Jitsu	https://www.middekebjj.com/
IL	Orland Park	Randori MMA & Jiu Jitsu	http://www.randorijiujitsu.com/
IL	Robinson	Falconbury Warrior Concepts	http://falconburywarriorconcepts.com/
IL	Roselle	Keith Hackney's Combat Academy	http://www.hackneyscombat.com/
IL	Schaumburg	LCCT Brazilian Jiu Jitsu	https://lcctbjj.com
IL	Schaumburg	P3 Martial Arts	https://p3jiujitsu.com
IL	Waukegan	Ohana Martial Arts	https://ohanamartialarts.net
IL	West Dundee	LCCT Brazilian Jiu-Jitsu West Dundee	https://lcctbjjwestdundee.com/
IN	Greenwood	Indiana Brazilian Jiu-Jitsu Academy	https://ibjja.com
IN	Muncie	Muncie Brazilian Jiu-Jitsu	https://munciebjj.com
IA	Ames	Ames BJJ	https://amesbjj.com
IA	Burlington	Burlington BJJ Iowa	https://burlingtonbjjiowa.com
IA	Cedar Rapids	Alliance Jiu Jitsu Iowa	https://alliancejiujitsuiowa.com
IA	Clinton	Clinton BJJ Iowa	https://clintonbjjiowa.com
IA	Council Bluffs	Council Bluffs BJJ	https://councilbluffsbjj.com
IA	Davenport	Fighting Gravity Jiu Jitsu	https://fightinggravityjiujitsu.com
IA	Fort Dodge	Fort Dodge BJJ	https://fortdodgebjj.com
IA	Marshalltown	Marshalltown BJJ	https://marshalltownbjj.com
IA	Mason City	Mason City BJJ	https://masoncitybjj.com
IA	Ottumwa	Ottumwa BJJ	https://ottumwabjj.com
IA	Sioux City	Sioux City BJJ	https://siouxcitybjj.com
IA	Waterloo	Waterloo BJJ	https://waterloobjj.com
KS	Dodge City	Dodge City BJJ	https://dodgecitybjj.com
KS	Garden City	Garden City BJJ	https://gardencitybjj.com
KS	Hutchinson	Hutchinson BJJ	https://hutchinsonbjj.com
KS	Junction City	Junction City BJJ	https://junctioncitybjj.com
KS	Lawrence	Alliance Jiu Jitsu Lawrence	https://alliancejiujitsulawrence.com
KS	Leavenworth	Leavenworth BJJ	https://leavenworthbjj.com
KS	Liberal	Liberal BJJ	https://liberalbjj.com
KS	Manhattan	Manhattan KS BJJ	https://manhattanksbjj.com
KS	Pittsburg	Pittsburg KS BJJ	https://pittsburgksbjj.com
KS	Salina	Salina BJJ	https://salinabjj.com
KY	Bowling Green	Hicsmma	https://www.hicsmma.com/
KY	Dry Ridge	Grant County Martial Arts Center	https://www.grantcountymartialarts.com/
KY	Elizabethtown	E-town Brazilian Jiu-Jitsu	https://etownjiujitsu.com
