# batch 5 of 10 - 90 flagged links - regions: KY LA ME MB MD MA MI
state	city	name	url
KY	Hopkinsville	Hopkinsville BJJ	https://hopkinsvillebjj.com
KY	Lexington	Triple Crown MMA	https://triplecrownnmma.com
KY	Louisville	Louisville Ju Jitsu	https://www.louisvillejujitsu.com
KY	Louisville	Louisville Martial Arts Academy	https://louisvillemartialarts.net/
KY	Madisonville	Gracie Jiujitsu of Madisonville	https://www.gjjmadisonville.com/
KY	Madisonville	Myers Martial Arts Center	https://www.myersdojo.net/
KY	Owensboro	Hidden Samurai Martial Arts	https://www.hiddensamurai.cmasdirect.com
KY	Paducah	Premier Martial Arts – Paducah	https://pmapaducah.com/
LA	Abbeville	Vermilion Martial Arts Academy	http://www.abbevillesummercamp.com/
LA	Baton Rouge	Martial Arts America Baton Rouge	https://www.martialartsamericabr.com/
LA	Baton Rouge	Warrior's Cove Baton Rouge	https://www.warriorscovebjj.com/
LA	Breaux Bridge	Gladiators Academy of Breaux Bridge	http://www.gladiatorsbb.com/
LA	Broussard	Fight to Win Lafayette Jiu -Jitsu	http://www.fighttowinlafayette.com/
LA	Central	Langston's Martial Arts	http://langstonsmartialarts.com/
LA	Crowley	Gladiators Academy of Crowley	https://www.gladiatorsofcrowley.com/
LA	Denham Springs	Combat Athletics	https://ccrosbyjiujitsu.com/contact-us/
LA	Houma	Evolution Training	https://www.guerrillajiujitsuhouma.com/
LA	Lafayette	Acadiana Martial Arts Academy	https://www.acadianamartialarts.com/
LA	Lafayette	Premier Martial Arts Lafayette	https://www.premiermartialartsacademy.com/
LA	Metairie	Louisiana Martial Arts Academy	http://www.louisianamaa.com/
LA	New Iberia	Progressive Martial Arts Training Center	https://www.pmatc.com
LA	New Orleans	Danny Daniels' MMA & Fitness	https://www.dannydanielsmma.com/
LA	New Orleans	Mid City Martial Arts & Fitness Academy	https://www.midcitymartialarts.com/
LA	New Orleans	NOLA BJJ Westbank	http://westbanksocialclub.com/
LA	New Orleans	NOLA MMA	https://www.nolammaacademy.com/
LA	New Orleans	The Dojang New Orleans	https://www.thedojangneworleans.com/
LA	Prairieville	Criterion Jiu Jitsu	https://www.criterionjiujitsu.com/home
LA	Shreveport	Carlos Machado Jiu Jitsu of Shreveport	http://shreveportmartialart.com/
LA	Shreveport	Warrior Training Center	https://www.warriortrainingcenterla.com/
LA	Slidell	Alliance Jiu Jitsu Slidell	https://www.alliancebjjslidell.com/
LA	Sulphur	Primal Fitness Lake Charles	https://www.primalfitnessla.com/
LA	Terrytown	Power Extreme Fitness Training Center	http://www.mmanola.com/
ME	Augusta	Augusta BJJ Maine	https://augustabjjme.com
ME	Bangor	Maine BJJ	https://mainebjj.com
ME	Biddeford	Seacoast Brazilian Jiu-Jitsu	https://seacoastbjjme.com
ME	Brunswick	Brunswick BJJ Maine	https://brunswickbjjme.com
ME	Ellsworth	Ellsworth BJJ	https://ellsworthbjj.com
ME	Lewiston	Lewiston-Auburn BJJ	https://lewistonauburnbjj.com
ME	Portland	Portland BJJ Maine	https://portlandbjjmaine.com
ME	Presque Isle	Presque Isle BJJ	https://presqueislebjj.com
ME	Rumford	Rumford BJJ	https://rumfordbjj.com
ME	Saco	Saco BJJ	https://sacobjj.com
ME	Waterville	Waterville BJJ	https://watervillebjj.com
MB	Brandon	Brandon BJJ	https://brandonbjj.com
MB	Flin Flon	Flin Flon BJJ	https://flinflobbjj.com
MB	Portage la Prairie	Portage la Prairie BJJ	https://portagebjj.com
MB	Steinbach	Steinbach BJJ	https://steinbachbjj.com
MB	Swan River	Swan River BJJ	https://swanriverbjj.com
MB	Thompson	Thompson BJJ	https://thompsonbjj.com
MB	Winkler	Winkler BJJ	https://winklerbjj.com
MB	Winnipeg	Winnipeg BJJ	https://winnipegbjj.com
MD	Baltimore	Foundation Jiu-Jitsu	https://foundation-jiujitsu.com
MD	Baltimore	Rollstar Jiu Jitsu	https://rsjiujitsumd.com
MD	Frederick	Central Maryland Martial Arts	https://cmmatsd.com
MD	Gaithersburg	Infinite Fighting Concepts MMA	https://ifcmma.com
MD	Hyattsville	Cabrera Jiu Jitsu Academy	https://graciepg.com
MD	Mt Airy	Mount Airy Jiu-Jitsu & MMA	https://mountairybjj.com
MD	Nottingham	New Wave Martial Arts Perry Hall	https://newwavema.com
MD	Rockville	Native Brazilian Jiu Jitsu	https://nativebjj.com
MD	Silver Spring	Gracie Randallstown Jiu Jitsu in Hillandale	https://hillandalejiujitsu.com
MA	Ashland	Cascão Jiu Jitsu Ashland	https://cascaoashland.com
MA	Bridgewater	Lauzon Mixed Martial Arts	https://rsdmma.com
MA	Cambridge	American Martial Arts Center	https://www.americanmartialartscenter.com/
MA	Charlton	Jiu-Jitsu USA Brazilian Jiu-Jitsu & Fitness Club	https://squareup.com
MA	Clinton	Massachusetts Submission Academy	https://masssubmissionacademy.com
MA	Danvers	Brazilian Top Team North Shore	https://bttnorthshore.com
MA	Everett	Brazilian Top Team Boston	https://bttboston.com
MA	Gardner	Fighting Arts Academy Gardner	https://fightingartsgardner.com
MA	Hopkinton	Terrinha Draculino BJJ Team	https://tdtbjj.com
MA	Hudson	Lokahi Academy	https://lokahiacademy.com
MA	Kingston	Thurston Academy (NEU BJJ affiliate)	https://thurstonacademy.com
MA	Lowell	Aldo Batista Brazilian Jiu-Jitsu	https://aldobatistabjj.com
MA	New Bedford	Ko Gym	https://kogymnewbedford.com
MA	Norwell	South Shore Sport Fighting	https://sssfighting.com
MA	Pepperell	Dynamic Martial Athletics	https://pepperellbjj.com
MA	Quincy	Trifecta Martial Arts And Fitness	https://bjj-boston.com
MA	Salem	Dragon Within Mixed Martial Arts	https://dragonwithinmartialarts.com
MA	Saugus	Bochniak Martial Arts & Fitness	https://bochniakmma.com
MA	Springfield	Fighting Arts Academy	https://fightingartsacademy.com
MA	Wareham	Nexus Martial Arts & Fitness	https://nexusma.com
MA	Watertown	CrossFit Arsenal (and BJJ)	https://crossfitarsenal.com
MA	Williamstown	Jon Manley MMA @ Williamstown youth center	https://jonmanleymma.com
MI	Brighton	Gladiator MMA	http://www.gladiator-mma.com
MI	Clarkston	Combat Base Clarkston	https://www.combatbaseclarkston.com
MI	Clawson	Clawson Fit	http://clawsonfit.com
MI	Coldwater	Michigan Sports Camps	https://www.ttsfitness.com/
MI	East Lansing	East Lansing Underground Martial Arts	http://www.elunderground.com/
