# batch 6 of 10 - 90 flagged links - regions: MI MN MS MO MT NE NV NB
state	city	name	url
MI	Lansing	Lansing Brazilian Jiu-Jitsu	http://www.lansingbjj.com/
MI	Livonia	Gracie Barra Livonia	http://graciebarralivonia.com/
MI	Petoskey	The Ludus Martial Arts and Fitness Center	http://www.theludusmartialarts.com/
MI	Saint Joseph	Lakeshore Black Belt Academy	http://www.lakeshorebba.com/
MI	Shelby Charter Township	New Way Martial Arts Academy	http://newwaymartialarts.com
MI	Southgate	Royce Gracie Jiu-Jitsu Academy of Michigan	http://www.roycegracieaom.com/
MI	Troy	Michigan Kickboxing Academy / 10th Planet Troy	https://michigankickboxingacademy.com
MI	Waterford Township	FC Fitness Academy	http://fcfitnessacademy.com
MI	Westland	Master Gauss Martial Arts Center	http://www.gaussmartialarts.com/
MI	Ypsilanti	Ann Arbor Jiu-Jitsu	http://annarborjj.com/wp/
MN	Brainerd	Brainerd BJJ	https://brainerdbjj.com
MN	Duluth	Duluth BJJ	https://duluthbjj.com
MN	Eden Prairie	Alliance Jiu Jitsu Minnesota	https://alliancejiujitsumn.com
MN	Faribault	Faribault BJJ	https://faribaultbjj.com
MN	Hibbing	Hibbing BJJ	https://hibbingbjj.com
MN	Mankato	Mankato BJJ	https://mankatobjj.com
MN	Minneapolis	Checkmat S. Minneapolis	https://dangerooms612.com
MN	Moorhead	Fargo BJJ MN side	https://fargobjjmn.com
MN	Moorhead	Moorhead BJJ	https://moorheadbjj.com
MN	St. Cloud	St. Cloud BJJ	https://stcloudbjj.com
MN	St. Paul	Akagi Jiu-Jitsu	https://akagijiujitsu.com
MN	St. Paul	TC Martial Arts	https://tcmartialarts.com
MN	Willmar	Willmar BJJ	https://willmarbjj.com
MS	Columbus	Columbus MS BJJ	https://columbusmsbjj.com
MS	Corinth	Corinth BJJ	https://corinthbjj.com
MS	Greenville	Greenville BJJ MS	https://greenvillebjjms.com
MS	Hattiesburg	Southern Combat Arts	https://southerncombatarts.com
MS	Natchez	Natchez BJJ	https://natchezbjj.com
MS	Ridgeland	Mississippi BJJ	https://mississippibjj.com
MS	Starkville	Starkville BJJ	https://starkvillebjj.com
MS	Tupelo	Tupelo BJJ	https://tupelobjj.com
MS	Vicksburg	Vicksburg BJJ	https://vicksburgbjj.com
MO	Branson	Branson Jiu Jitsu - Fulcrum 360	http://rkbjjbranson.com/instructors/
MO	Bridgeton	Integrity Fitness	http://www.integrityfit-stl.com/
MO	Chesterfield	S2 Bjj	http://www.s2bjj.com/
MO	Chesterfield	Team Z MMA Fitness Center	http://www.teamzmma.com/
MO	Columbia	Gracie Humaita Columbia	https://graciehumaitacolumbia.com
MO	Festus	Whole Armour Martial Arts	http://whole-armour.com/
MO	Joplin	Joplin Brotherhood Mixed Martial Arts	http://www.jbhmma.com/
MO	Lee's Summit	K2L Martial Arts	http://www.kids2leaders.com/
MO	Nixa	TCB Fight Factory 417	http://tcbfightfactory417.com
MO	North Kansas City	Aegis Jiu Jitsu	http://aegisjiujitsu.com/
MO	Salem	Kifaru Jitsu Martial Arts	http://www.kifarujitsu.com/
MO	Springfield	Gracie Barra Springfield Fight Club	http://www.springfieldfightclub.com/
MO	St Charles	St. Charles MMA and BJJ	http://www.stcharlesmma.com/
MO	St. Louis	Checkmat St. Louis	https://checkmatstl.com
MO	St. Louis	St. Louis Combat Institute	http://www.stlcombatinstitute.com/
MO	Sullivan	Sullivan Athletic Club	http://www.sullivanathleticclub.net/
MO	Warrensburg	Warrior Jiu-Jitsu	http://www.warriorjujitsu.com
MO	Webster Groves	Raven's Ridge MMA	http://www.ravensridgemma.com/
MT	Bozeman	Grizzly Combat Sports	https://grizzlycombatsports.com
MT	Kalispell	Hughes' Grappling Academy	https://www.hughesgrapplingacademy.com
NE	Columbus	Columbus NE BJJ	https://columbusnebj.com
NE	Hastings	Hastings BJJ	https://hastingsbjj.com
