# batch 7 of 10 - 90 flagged links - regions: NB NH NJ NM NL NC ND
state	city	name	url
NB	Moncton	Moncton BJJ	https://monctonbjj.com
NB	Saint John	Saint John BJJ	https://saintjohnbjj.com
NB	Woodstock	Woodstock NB BJJ	https://woodstocknbbjj.com
NH	Derry	Derry BJJ	https://derrybjj.com
NH	Dover	Dover BJJ	https://doverbjjnh.com
NH	Keene	Keene BJJ	https://keenebjj.com
NH	Laconia	Laconia BJJ	https://laconiabjj.com
NH	Lebanon	Lebanon BJJ NH	https://lebanonbjjnh.com
NH	Nashua	Alliance Jiu Jitsu NH	https://alliancejiujitsunh.com
NH	Portsmouth	Seacoast BJJ NH	https://seacoastbjjnh.com
NJ	Barnegat	Green Dragon Warrior Arts	http://greendragonunlimited.com/Home_Page.php
NJ	Brick Township	Misfits Muay Thai & Brazilian Jiu Jitsu	http://www.misfitsmuaythai.com/
NJ	Browns Mills	Clay Jiu Jitsu	http://www.clayjiu-jitsu.com/
NJ	Caldwell	Guerrero BJJ & MMA	http://kneeonbelly.com/
NJ	Cedar Knolls	AMA Fight Club	https://www.amafightclubcedarknolls.com/
NJ	City Of Orange	AJW Martial Arts Academy & Fitness Center	http://www.ajwmartialartsacademy.com
NJ	Clark	Kombat Brazilian Jiu-Jitsu	https://www.kombatbjj.com/
NJ	Clifton	Unity Jiu Jitsu New Jersey	http://unitybjjnj.com
NJ	Cranford	Jfc Training Center	http://www.jerseyfightclub.com/
NJ	Denville	Real World Martial Arts Team Renzo Gracie	http://rwmma.com/
NJ	East Rutherford	Notorious Mixed Martial Arts	http://www.notoriousbjj.com/
NJ	Edgewater Park	JBMFIT - Fitness Center and & Brazilian Jiu Jitsu Academy	http://www.jbmfit.com/
NJ	Edison	Jaguar BJJ	http://jaguarbjj.com/
NJ	Elizabeth	Golden Eagle Judo & Jiu-Jitsu	http://www.goldeneaglejjj.com/
NJ	Ewing Township	Blue Line Defense and Fitness	http://www.bluelinedefenseandfitness.com/
NJ	Flanders	Elite Tactical Martial Arts	http://www.elitetacticalmartialarts.com/
NJ	Freehold	Alliance Jiu Jitsu Freehold	https://www.alliancejiujitsufreehold.com/
NJ	Hamilton Square	Hamilton Martial Arts	http://www.hamiltonmartialarts.com/
NJ	Hoboken	David Branch Jiu Jitsu	https://www.davidbranchbjj.com/
NJ	Hoboken	Renzo Gracie Hoboken	https://www.renzograciehoboken.com/
NJ	Jersey City	CULTR BJJ	https://www.cultrbjj.com/
NJ	Jersey City	Team Endurance MMA/ Brazilian JiuJitsu & Kickboxing Academy	http://www.teamendurancemma.com/
NJ	Jersey City	Thiago Rela BJJ	https://www.thiagorelateam.com/
NJ	Livingston	Amorosi's Mixed Martial Arts	http://www.amorosikarate.com/
NJ	Lyndhurst	Anaconda Brazilian Jiu Jitsu & MMA Academy	http://www.anacondabjjmma.com
NJ	Manville	Red Dragon Martial Arts Academy	http://www.reddragonmaa.com/
NJ	Milltown	Puzon Jiu Jitsu	http://www.puzonjiujitsu.com/
NJ	Montclair	Straight Blast Gym New Jersey	https://www.sbgnj.com/
NJ	Mt. Holly	Jbm Brazilian Jiu-Jitsu Academy	http://www.jbmbjj.com/
NJ	Newark	Roberto Gordo BJJ	https://www.robertogordo.com/
NJ	Newton	Martial Way MMA	https://martialwaymma.com/
NJ	North Brunswick Township	Advanced Martial Arts	http://advancedbjj.com/
NJ	South Amboy	Lionheart MMA	http://www.lionheartmixedmartialarts.com/
NJ	South Pennsauken	Advantage MMA	http://www.advantagemixedmartialarts.com/
NJ	South Plainfield	Renzo Gracie South Plainfield	https://www.renzograciesouthplainfield.com/
NJ	Teterboro	Martial Maxx MMA	http://www.martialmaxxmma.com/
NJ	Toms River	Gracie Barra Toms River	https://www.gbtomsriver.com/
NJ	Vineland	Legion Mixed Martial Arts	http://legionmixedmartialarts.com/
NJ	Vineland	The Shark Tank BJJ	http://sharktankbjj.com/
NJ	Vineland	US Martial Arts Academy Inc	http://www.usmartialarts.biz/
NJ	Wayne	Up Top Martial Arts Academy	http://www.martialartswaynenj.com/
NJ	West Long Branch	Rolles Gracie Academy - Long Branch Jiu Jitsu & Muay Thai	https://rollesgracielongbranchnj.com/
NJ	Westfield	Gracie Barra Westfield	https://www.gbwestfield.com/
NJ	Woodland Park	Extreme Fight Club	http://www.efcchampion.com/
NJ	Woodland	Camal Judo	http://camaljudo.com/
NM	Alamogordo	Alamogordo BJJ	https://alamogordobjj.com
NM	Albuquerque	Duke City BJJ	https://dukecitybjj.com
NM	Farmington	Farmington BJJ	https://farmingtonbjj.com
NM	Las Cruces	Las Cruces BJJ	https://lascrucesbjj.com
NM	Las Vegas	Las Vegas NM BJJ	https://lasvegasnmbjj.com
NM	Portales	Portales BJJ	https://portalesbjj.com
NM	Roswell	Roswell BJJ	https://roswellbjj.com
NM	Santa Fe	New Mexico BJJ	https://newmexicobjj.com
NM	Taos	Taos BJJ	https://taosbjj.com
NL	Clarenville	Velocity Martial Arts Academy	https://www.velocitynl.com
NL	Corner Brook	Corner Brook BJJ	https://cornerbrookbjj.com
NL	Gander	Gander BJJ	https://ganderbjj.com
NL	Labrador City	Labrador City BJJ	https://www.novauniao.ca/lab-city
NL	St. John's	St. John's BJJ	https://stjohnsbjj.com
NC	Cary	Verity Brazilian Jiu-Jitsu	https://veritybjj.com/
NC	Chapel Hill	Chapel Hill Gracie Jiu Jitsu	http://www.chapelhilljiujitsu.net/
NC	Charlotte	Atos Jiu Jitsu of Charlotte	http://martialartscharlottenc.com/
NC	Charlotte	Charlotte Jiu-Jitsu Academy	https://charlottejiujitsuacademy.com
NC	Clayton	Chuva Brazilian Jiu Jitsu	http://chuvabjj.com/
NC	Cornelius	Crossface MMA	http://www.crossface.net/
NC	Durham	Pitbull Martial Arts Center-USA	http://pmacusamma.com/
NC	Durham	Saunders Brazilian Jiu-Jitsu	http://www.saundersbjj.com/
NC	Goldsboro	Triangle Jiu-Jitsu Academy	http://www.trianglejj.com/
NC	Laurinburg	Warrior Fitness Center Laurinburg	http://www.laurinburgbjj.com/
NC	Lincolnton	SAGA Combat Systems	http://www.sagacombat.com/
NC	Spring Lake	Gracie Barra - Spring Lake	http://gbspringlake.com/
NC	Wilmington	Ethos BJJ	https://ubjjnc.com/
NC	Wilmington	Ravensguard BJJ Academy	http://ravensguardacademy.com/
NC	Wilson	Gustavo Machado Brazilian Jiu Jitsu Wilson	https://gmbjjwnc68.com/
NC	Wrightsville Beach	Evolution MMA Academy	http://www.evolutionmixedmartialarts.com/
ND	Bismarck	Bismarck Jiu Jitsu	https://bismarckjiujitsu.com
ND	Dickinson	Dickinson BJJ	https://dickinsonbjj.com
ND	Grand Forks	Grand Forks BJJ	https://grandforksjj.com
ND	Jamestown	Jamestown BJJ ND	https://jamestownbjjnd.com
ND	Mandan	Mandan BJJ	https://mandanbjj.com
