# batch 8 of 10 - 90 flagged links - regions: ND NS OH OK ON OR PA
state	city	name	url
ND	Minot	Prairie Jiu Jitsu	https://prairiejiujitsu.com
ND	Valley City	Valley City BJJ	https://valleycitybjj.com
ND	Williston	Williston BJJ	https://willistonbjj.com
NS	Bridgewater	Team Fortitude NS	https://teamfortitudens.com
NS	Dartmouth	Atlantic BJJ	https://atlanticbjj.com
NS	Shelburne	Shelburne BJJ NS	https://shelburnebjjns.com
NS	Stellarton	Stellarton BJJ	https://stellartonbjj.com
NS	Sydney	Cape Breton BJJ	https://capebretonbjj.com
NS	Yarmouth	Yarmouth BJJ	https://yarmouthbjj.com
OH	Bedford Heights	Rising Dragon Mixed Martial Arts & Fitness	http://risingdragonmma.com/
OH	Brook Park	RTSC Training Center	https://sasclevelandohio.com
OH	Bryan	Bryan Jiu-Jitsu Academy	http://jiujitsubryan.ninja/
OH	Canton	Victory MMA Jujitsu Sbmssn	http://www.victorymmasubmissionfighting.org/
OH	Cincinnati	Kombat Arts Ohio	https://kombatartsohio.com
OH	Cleveland	Cal Crowell Fitness, Athletic & MMA Training Center	http://www.clevelandmmatraining.com/
OH	Cleveland	Renzo Gracie Cleveland	https://renzograciecleveland.com
OH	Columbia Station	Resistance Lab Brazilian Jiu Jitsu	http://resistancelabbjj.com/
OH	Columbus	Bushido Martial Arts Club	http://www.graciebushido.com/
OH	Columbus	Ernie Reyes' Midwest Martial Arts	http://www.columbus-martial-arts.com/
OH	Delaware	Rise Ohio	http://www.riseohio.com
OH	Dublin	Martial Arts Alliance	http://www.martialartsalliance.net/
OH	Hilliard	Endeavor Defense & Fitness	http://www.gymhilliard.com
OH	Lima	Danger Zone Gym	http://www.dangerzonegym.com/contact-us
OH	Newton Falls	Synergy Martial Arts Academy	http://www.synergymartialartsohio.com/
OH	Sunbury	Koguryo Martial Arts Academy	http://www.koguryoma.com/
OH	Walton Hills	Team Chard BJJ	http://ohiobjjc.com/
OH	Warrensville Heights	Love And Chokes Jiu Jitsu Academy	http://loveandchokes.com/
OK	Ada	Conquer BJJ Mixed Martial Arts Academy	https://conquerbjjada.com
OK	Altus	10th Planet Jiu-Jitsu Altus	https://altusmartialarts.ninja
OK	Bixby	Omar French Brazilian Jiu Jitsu	https://omarfrench.com
OK	Broken Arrow	Brothers Jiu Jitsu	https://brothersjiujitsu.com
OK	Broken Arrow	Team Impact Martial Arts & Fitness	https://teamimpactok.com
OK	Collinsville	Northside Brazilian Jiu Jitsu	https://thenorthsidebjj.com
OK	Durant	Empire Jiu-Jitsu Durant	https://empirejiujitsudurant.com
OK	Edmond	American Elite Mixed Martial Arts	https://edmondbjj.com
OK	Edmond	Prodigy Jiu-Jitsu	https://peopleclimbers.com
OK	El Reno	KMG Martial Arts Inc	https://kmgmartialarts.com
OK	McAlester	True Grit Jiu Jitsu and Defense	https://truegritjiu-jitsu.com
OK	Norman	Kaizen Performance LLC	https://kaizenperformance.net
OK	Norman	National Martial Arts of Norman	https://nmanorman.com
OK	Oklahoma City	Sen Shin Kan Dojo	https://senshinkandojo.com
OK	Okmulgee	Prowess Brazilian Jiu-Jitsu	https://prowessbjj.com
OK	Owasso	Clinch Martial Arts Academy - Owasso	https://teamclinch.com
OK	Poteau	Oklahoma Combat Sports / KORE BJJ	https://site.oklahomacombatsports.com
OK	Pryor	Trinity Martial Arts	https://trinitypryor.com
OK	Seminole	Alexander Jiu-Jitsu	https://alexanderjiujitsu.com
OK	Stillwater	Jackson Academy Martial Art Fitness	https://jacksonacademymartialarts.com
OK	Tulsa	Relentless Martial Arts	https://relentlessmartialarts.com
OK	Tulsa	Tulsa Judo and Jiu Jitsu	https://tulsajudoclub.com
ON	Ajax	Ajax BJJ	https://ajaxbjj.com
ON	Cambridge	Cambridge BJJ	https://cambridgebjj.com
ON	Hamilton	Valens Jiu Jitsu Academy	https://valensjiujitsu.com
ON	Kingston	Kingston BJJ	https://kingstonbjj.ca
ON	London	Alliance Jiu Jitsu London Ontario	https://alliancejiujitsulondon.ca
ON	Mississauga	South Mississauga Jiu Jitsu	https://southmississaugabjj.com
ON	North Bay	North Bay BJJ	https://northbaybjj.com
ON	Orillia	Orillia BJJ	https://orilliabjj.com
ON	Oshawa	Oshawa BJJ	https://oshawawbjj.com
ON	Ottawa	Alliance Jiu Jitsu Ottawa	https://alliancejiujitsuottawa.com
ON	Peterborough	Peterborough BJJ	https://peterboroughbjj.com
ON	Pickering	Pickering BJJ	https://pickeringbjj.com
ON	Sault Ste. Marie	Sault Ste. Marie BJJ	https://saultbjj.com
ON	Stratford	Stratford BJJ Ontario	https://stratfordbjjon.com
ON	Thunder Bay	Thunder Bay BJJ	https://thunderbaybjj.com
ON	Toronto	Yorkdale Martial Arts	https://yorkdalemartialarts.com
