# batch 10 of 10 - 89 flagged links - regions: TX UT VT VA WA DC WV WI WY
state	city	name	url
TX	El Paso	El Paso Jiujitsu / Jiu-Jitsu El Paso TX 79936	http://www.elpjiujitsu.com/
TX	Fort Worth	Evolve BJJ	https://www.evolvebjj.com/
TX	Fort Worth	Marcos Santos Academy	http://fwbjj.com/
TX	Fort Worth	TX Black Belt Academy Ft Worth	http://www.txbba-fortworth.com/
TX	Greenville	Chop Shop MMA	http://www.chopshopmma.com/
TX	Harlingen	Harlingen Jiu-Jitsu Club	http://www.harlingenjjc.com/
TX	Houston	Advantage BJJ Martial Arts & Fitness	https://advantagebjj.com/
TX	Hurst	Collins Martial Arts	http://www.collinsmartialarts.com/
TX	La Marque	ACS Mixed Martial Arts	http://acsmmatx.com/
TX	Laredo	Sangue Novo FT / Gallos Prietos Jiu Jitsu	https://sanguenovojj.com/
TX	Longview	Longview BJJ	https://longviewbjj.com
TX	Longview	Pure Jiu-Jitsu Longview	https://pjlvtx.com/
TX	Lubbock	Victory Combat Sports Academy	https://www.victorycombatsportsacademy.com/contact
TX	McKinney	Combat Base TX / Shebaro Jiu Jitsu / We Defy HQ	https://shebarojiujitsu.com
TX	Mesquite	KO Empire Fight Academy / BJJ Mesquite TX 75149	https://www.koempirefa.com/
TX	Midland	Midland BJJ Texas	https://midlandbjjtx.com
TX	Mission	Premier Martial Arts-Mission	http://www.missiontxmartialarts.com/
TX	North Richland Hills	Peak Performance Brazilian Jiu-Jitsu	http://www.peakbjj.com/
TX	Richardson	ASL JunSur Martial Arts	https://www.asljiujitsu.com/
TX	Richardson	Gracie Gym Richardson / Brazilian Jiu-Jitsu	http://graciegymrichardson.com/
TX	River Oaks	Genesis Jiu Jitsu	http://www.genesisjiujitsu.com
TX	Rockwall	CAYA Martial Arts	http://www.cayamartialarts.com/
TX	San Antonio	American Kickboxing Academy Texas	http://www.akatexas.com/
TX	San Antonio	Martial Arts Academy Of San Antonio	http://www.martialartssa.com/
TX	San Antonio	Semper Fortis	https://www.brazil021sanantonio.com
TX	San Benito	Benavides Mixed Martial Arts	http://www.benavidesmma.com/
TX	San Benito	South Texas Grappling Team	https://southtexasgrappling.com
TX	Southlake	Lucky Jiu-Jitsu and Fitness Club	https://luckybjj.com
TX	Spring	Katana Jiu-Jitsu Academy	http://katanajiu-jitsuacademy.com
TX	Sulphur Springs	Ion Jiu Jitsu	http://www.ionjiujitsuandfitness.com/
TX	Tomball	Defenders Martial Arts Academy	http://www.defendersmaa.com
TX	Tomball	McCoy's Brazilian Jiu Jitsu & MMA - Tomball	http://mccoysmma.com/
