name	region	city	website	address	rendered
Core Combat Sports	bjj-schools-illinois	Rockford, IL	https://coremma.com	1618 Featherstone Rd	YES
Midwest Training Center	bjj-schools-illinois	Schaumburg, IL	http://mtcmma.com/	455 E State Pkwy Unit 103	YES
Aurora BJJ	bjj-schools-missouri	Aurora, MO	http://www.aurorabjj.com/	3100 S Elliott Ave Suite 104	YES
Southern Maryland Martial Arts & Fitness	bjj-schools-maryland	Bryans Road, MD	https://smmafitness.com	3065 Marshall Hall Rd	YES
Southern Maryland Martial Arts & Fitness	bjj-schools-maryland	La Plata, MD	https://smmafitness.com	140 Drury Dr	YES
Capital MMA & Elite Fitness	bjj-schools-maryland	Takoma Park, MD	https://capitalmma.com	6836 New Hampshire Ave	YES
Capital MMA & Elite Fitness	bjj-schools-virginia	Fairfax, VA	https://www.capitalmma.com/fairfax/	3226 Old Pickett Rd	YES
Capital MMA & Elite Fitness	bjj-schools-virginia	Sterling, VA	https://www.capitalmma.com/loudoun-dulles/	23520 Overland Dr #164	YES
Carlson Gracie Jiu Jitsu	bjj-schools-florida	Gainesville, FL	https://www.carlsongraciegainesville.com/	Gainesville, FL	YES
Infinite Jiu-Jitsu	bjj-schools-arizona	Phoenix, AZ	https://www.infinitearizona.com/	4220 W Opportunity Way Ste 103	YES
Carlson Gracie Jiu Jitsu	bjj-schools-arizona	Yuma, AZ		1076 S 4th Ave	YES
EchoValor Striking & MMA	bjj-schools-washington	Centralia, WA	https://www.echovalor.com	2417 Harrison Ave	YES
Connection Rio Jiu-Jitsu Academy	bjj-schools-washington	College Place, WA		508 S College Ave	YES
Logic Jiu Jitsu	bjj-schools-washington	Spanaway, WA	https://logicjiujitsu.club	20020 20th Ave Ct E	YES
EchoValor Striking & MMA	bjj-schools-oregon	Beaverton, OR	http://www.echovalor.com	4370 SW Lloyd Ave	YES
Connection Rio Jiu-Jitsu Academy	bjj-schools-oregon	Bend, OR	https://connectionriobjj.com/	1620 A NE 3rd St.	YES
Northwest Fighting Arts	bjj-schools-oregon	Portland, OR	http://nwfighting.com/	1200 SE Morrison St	YES
Core Combat Sports	bjj-schools-kentucky	Louisville, KY	https://corelouisville.com	Louisville, KY	YES
Evolution Jiu Jitsu	bjj-schools-wisconsin	Burlington, WI	https://facebook.com/EvolutionBJJ.Burlington	1104 Milwaukee Ave.	YES
Impact Martial Arts	bjj-schools-wisconsin	Oshkosh, WI	https://impactmartialartswi.com	2325 WI-44	YES
Evolution Jiu Jitsu	bjj-schools-alaska	Juneau, AK	https://evojj.com/	Juneau, AK	YES
Impact Martial Arts	bjj-schools-arkansas	Harrison, AR	https://impactharrison.com/uncategorized/about/	Harrison, AR	YES
Infinite Jiu-Jitsu	bjj-schools-california	Rocklin, CA	http://www.infinitejiujitsu.net/	6508 Lonetree Blvd #107	YES
Logic Jiu Jitsu	bjj-schools-california	Sacramento, CA	https://logicbjj.com	4415 Freeport Blvd	YES
Integrity Martial Arts	bjj-schools-nova-scotia	Sydney, NS	https://www.integritymartialarts.ca	Sydney, NS	YES
Integrity Martial Arts	bjj-schools-oklahoma	Moore, OK	https://integrityma.ninja	1991 Tower Dr Suite E	YES
Zombie Brazilian Jiu-Jitsu and MMA	bjj-schools-texas	Abilene, TX	http://zombiebjj.com/	650 S Leggett Dr #1	YES
Red River BJJ	bjj-schools-texas	Wichita Falls, TX	https://redriverbjj.com	2526 Missile Rd Suite 1	YES
Zombie Brazilian Jiu-Jitsu and MMA	bjj-schools-pennsylvania	Allentown, PA	http://zombiebjjpa.com/	1801 Union Blvd h2	YES
Aurora BJJ	bjj-schools-illinois				NOT-RENDERED
Midwest Training Center	bjj-schools-kansas				NOT-RENDERED
Northwest Fighting Arts	bjj-schools-washington				NOT-RENDERED
Red River BJJ	bjj-schools-manitoba				NOT-RENDERED
