region	name	verdict	removed_url	what_it_served
FL	Elementum Jiu-jitsu	DEAD	http://www.elementumjiujitsu.com/	
GA	Gracie Jiu-Jitsu Balance Academy	DEAD	http://www.graciebalance.com/	
GA	10th Planet Jiu Jitsu Perry	HIJACK	http://www.10thplanetperry.com/	redirects to WARGAPOKER Indonesian IDN poker/gambling site
FL	Imperial Martial Arts	PARKED	http://www.imperialmartialarts.com/	GoDaddy domain-for-sale lander
FL	Villardo Jiu-Jitsu Academy	PARKED	http://www.brjj.com/	"GoDaddy ""Launching Soon"" placeholder"
GA	KnuckleUp Fitness Alpharetta	PARKED	http://www.knuckleupfitness.com/	Nexcess hosting placeholder page
GA	Fit to Fight Atlanta	PARKED	http://www.ftfatl.com/	ExpiredDomains.com domain-for-sale listing
GA	KnuckleUp MMA & Fitness	PARKED	http://www.knuckleupfitness.com/	Nexcess hosting placeholder page
GA	Knuckle Up Fitness	PARKED	http://www.knuckleupfitness.com/	Nexcess hosting placeholder page
IL	LCCT Brazilian Jiu Jitsu Barrington	PARKED	http://www.lcctbjjbarrington.com/	ExpiredDomains.com domain-for-sale listing
IL	Victory Training	WRONG_BUSINESS	http://www.feelthevictory.com	personal-training / reserved-space fitness gym, no martial arts
IL	Patriot Sports and Fitness	WRONG_BUSINESS	http://www.patriotsportsandfitness.com	redirects to Stronger Fighter MMA in Round Rock/Hutto TX, unrelated business
