status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Airdrie BJJ	Airdrie	AB			GONE - airdriebjj.com returns DNS Status 3 NXDOMAIN (conclusive). No Alberta school trades as Airdrie BJJ; Airdrie's operating academies are Airdrie Martial Arts Centre (T4B 0J6) and Jiu-Jitsu For Life Airdrie (T4B 4C4), both listed separately below.
SUSPECT-VERDICT	Banff BJJ	Banff	AB			GONE - banffbjj.com returns DNS Status 3 NXDOMAIN (conclusive). No standing academy found in Banff itself; the Bow Valley's only BJJ club is Dark Horse Martial Arts at 306 Bow Valley Trail, Canmore AB T1W 0N2 (phone 403-679-9554, area code 403). Dark Horse's title tag says "BJJ in Banff" but its rendered body carries one address only, in Canmore, so no Banff row was created.
SUSPECT-VERDICT	Brooks BJJ	Brooks	AB			WRONG-ENTITY - brooksbjj.com resolves (64.29.17.1) but the site is titled "Brooks BJJ - Premier Brazilian Jiu-Jitsu Academy, Dungannon". Dungannon is in Northern Ireland. The body is JS-rendered and returns empty on both / and /contact; zero Alberta street address, postal code or 403/587/780/825/368 area code appears anywhere. Not the Brooks, Alberta record it is filed as.
SUSPECT-VERDICT	Camrose BJJ	Camrose	AB			GONE - camrosebjj.com returns DNS Status 3 NXDOMAIN (conclusive). Camrose BJJ activity now appears to run under GFTeam Camrose, for which no independent website body could be reached; held back as unverified rather than listed.
SUSPECT-VERDICT	Cochrane BJJ	Cochrane	AB			GONE - cochranebjj.com returns DNS Status 3 NXDOMAIN (conclusive). Cochrane does still have BJJ: arashido.com/location/cochrane is listed on the Arashi-Do Brazilian Jiu Jitsu program page as an active BJJ location, entered as a separate NET-NEW row.
SUSPECT-VERDICT	Fort McMurray BJJ	Fort McMurray	AB			GONE - fortmcmurraybjj.com returns DNS Status 3 NXDOMAIN (conclusive). Fort McMurray's operating school is Bowman's Martial Arts (bowmansmma.ca), entered separately.
SUSPECT-VERDICT	Grande Prairie BJJ	Grande Prairie	AB			GONE - both spellings tested. Stored grandeprairebjj.com returns DNS Status 3 NXDOMAIN AND the typo-corrected grandeprairiebjj.com also returns DNS Status 3 NXDOMAIN. Unlike the Oshawa case the corrected spelling is not registered, so this is a genuinely dead record, not a stored typo. Grande Prairie's real academies are Heiho Dojo (T8V 0V2) and The Komodo Academy, entered separately.
SUSPECT-VERDICT	Lethbridge BJJ	Lethbridge	AB			GONE - lethbridgebjj.com returns DNS Status 3 NXDOMAIN (conclusive). Lethbridge has at least three operating BJJ programs (Canadian Martial Arts Centre 403-320-5569, Gracie Barra Lethbridge, Progressive Fighting Academy), all entered separately.
SUSPECT-VERDICT	Medicine Hat BJJ	Medicine Hat	AB			GONE - medicinehatbjj.com returns DNS Status 3 NXDOMAIN (conclusive). Medicine Hat's operating school is Resilience BJJ, 640 Kingsway Ave SE, Medicine Hat AB T1A 2W9, entered separately.
SUSPECT-VERDICT	Red Deer BJJ	Red Deer	AB			GONE - reddeerbjj.com returns DNS Status 3 NXDOMAIN (conclusive). Red Deer BJJ is served by Arashi-Do Red Deer and Kensei Martial Arts, entered separately.
