status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Poderoso Jiu Jitsu	Abbotsford	BC			WRONG-ENTITY. poderosojiujitsu.com is NXDOMAIN (DNS Status 3). The only operating Poderoso Jiu Jitsu is in QUEBEC: ClassPass body gives 5370 Boulevard Saint-Michel, Montreal, QC H1Y 2C7, phone +1 514 820 4614, site poderosobjj.com, affiliated Carlson Gracie Canada. No Abbotsford BC presence found; no 604/778/236 number, no V postal code. Record is a misfiled Quebec school.
ALREADY-IN	Power3 Academy	Burnaby	BC	https://power3academy.com		Body of power3academy.com reads "POWER 3 ACADEMY / BURNABY MARTIAL ARTS GYM", teaches Morganti Ju-Jitsu, kickboxing, Muay Thai, and names the Lower Mainland (Vancouver, Surrey, New Westminster) as its catchment. Also carried in bjjblog.ca BC directory as Power3 Academy, Burnaby BC. Link resolves and is correct.
SUSPECT-VERDICT	Campbell River BJJ	Campbell River	BC			GONE. campbellriverbjj.com is NXDOMAIN (DNS Status 3, a.gtld-servers.net SOA) and returns an empty body. No school trading as "Campbell River BJJ" found. Campbell River is served instead by Disciple BJJ and Pure Martial Arts, both listed separately below.
SUSPECT-VERDICT	Chilliwack BJJ	Chilliwack	BC			GONE. chilliwackbjj.com is NXDOMAIN (DNS Status 3) with an empty body. No entity trades as "Chilliwack BJJ". Chilliwack is served by Gracie Barra Chilliwack, Pacific Top Team Chilliwack, Chilliwack Jiu Jitsu and Hiscoe Jiu-Jitsu, all listed separately below.
SUSPECT-VERDICT	Fort St. John BJJ	Fort St. John	BC			GONE. fortstjohnbjj.com is NXDOMAIN (DNS Status 3), empty body. No school of that name found. Fort St John BJJ training runs out of Iron Forge (ironforge.ca), listed separately below.
SUSPECT-VERDICT	Kamloops BJJ	Kamloops	BC			GONE. kamloopsbjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Kamloops BJJ". Kamloops is served by Boa Martial Arts (Boa BJJ MMA) and Valley Jiu-Jitsu, listed separately below.
SUSPECT-VERDICT	Kelowna BJJ	Kelowna	BC	https://www.alliancekelowna.com	110-1854 Kirschner Rd, Kelowna, BC V1Y 4N7	REAL-BUT-WRONG-URL. kelownabjj.com resolves and 301-redirects to alliancekelowna.com. Body reads "Alliance Kelowna - Brazilian Jiu Jitsu and Muay-Thai Kickboxing", 16 years in business, and the footer carries the full address 110-1854 Kirschner Rd, Kelowna, BC, V1Y 4N7, Canada with phone (250) 460 2558. BC confirmed by V1Y postal code and 250 area code. School is real; the stored stub URL merely forwards. Canonical name is Alliance Kelowna.
SUSPECT-VERDICT	Wise Warrior Gym	Langley	BC			WRONG-ENTITY - NOT IN BC. wisewarriorgym.com resolves and redirects to wisewarriorgym.com/home63973072. Body is a self-defense seminar page for "Wise Warrior Gym, Edmonton, Alberta": venue McCauley Boys and Girls Club, 9425 109A-avenue NW, Edmonton, AB T5H 1G1, in the Little Italy district, taught by Coach Davy at City of Edmonton Recreation Centres. Alberta postal code T5H, zero BC signals. This record does not belong in British Columbia.
SUSPECT-VERDICT	Maple Ridge BJJ	Maple Ridge	BC			GONE. mapleridgebjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Maple Ridge BJJ". Maple Ridge is served by Marcus Soares BJJ Academy Maple Ridge and Gracie Barra Maple Ridge, listed separately below.
SUSPECT-VERDICT	Mission BC BJJ	Mission	BC	https://www.missionbjj.ca	Unit 301 - 31510 Gill Avenue, Mission, BC V4S 0A1	REAL-BUT-WRONG-URL - RECOVERED. Live site body at missionmuaythai.ca declares canonical https://www.missionbjj.ca/ and titles itself "Mission BJJ - Brazilian Jiu Jitsu and Muay Thai in Mission, BC". Body carries the address Unit #301 - 31510 Gill Avenue, Mission, BC V4S 0A1, email info@missionbjj.ca, coordinates 49.1329 N 122.3095 W, and describes BJJ, No-Gi, Muay Thai, kids and ladies programs. BC confirmed by V4S postal code. Blanked link recovered.
SUSPECT-VERDICT	Nanaimo BJJ	Nanaimo	BC			GONE. nanaimobjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Nanaimo BJJ". Nanaimo is served by CJ Martial Arts and Fitness and Tomari Martial Arts, listed separately below.
SUSPECT-VERDICT	North Vancouver BJJ	North Vancouver	BC	https://northvanbjj.com	Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5	REAL-BUT-WRONG-URL. northvancouverbjj.com is NXDOMAIN (DNS Status 3), but the school is real at northvanbjj.com. Body reads "North Vancouver Brazilian Jiu Jitsu" and "North Vancouver Gracie Jiujitsu", a Certified Gracie Jiu-Jitsu Training Center under head instructor Marc Marins running Gracie Combatives, Women Empowered, Bullyproof and Master Cycle. Footer address Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5, phone 604-770-1766. BC confirmed by V7L postal code and 604 area code.
SUSPECT-VERDICT	Penticton BJJ	Penticton	BC			GONE. pentictonbjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Penticton BJJ". Penticton grappling runs through Preta Academy, listed separately below.
SUSPECT-VERDICT	Prince George BJJ	Prince George	BC			GONE. princegeorgebjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Prince George BJJ". Prince George is served by Galbraith Jiu Jitsu and Kaiten Mixed Martial Arts Academy, listed separately below.
SUSPECT-VERDICT	Pinnacle MMA	Richmond	BC	https://pinnaclemma.ca		REAL-BUT-WRONG-URL - RECOVERED. pinnaclemma.ca resolves and its body/title reads "Pinnacle Martial Arts Academy | RICHMOND, British Columbia" with live nav to Facility, Coaches, Classes, Schedule, Shop, Contact and a Gymdesk signup at pinnaclemma.gymdesk.com. Cross-carried in the bjjblog.ca BC directory body as "Pinnacle Combat Martial Arts Academy, Richmond, BC" offering Jiu Jitsu and Muay Thai, 127 reviews. Province stated in the page title as British Columbia. Blanked link recovered.
SUSPECT-VERDICT	Surrey BJJ	Surrey	BC			GONE. surreybjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Surrey BJJ". Note the Surrey BC vs Surrey ENGLAND collision was checked - no English school is involved here, the domain simply does not exist. Surrey BC is densely served (Gracie Barra Guildford, White Rock, Cloverdale, Kaboom, Gravity, Golden Glory and others listed below).
SUSPECT-VERDICT	Trail BJJ	Trail	BC			GONE. trailbjj.com is NXDOMAIN (DNS Status 3), empty body. No entity trades as "Trail BJJ". The Trail/Castlegar/Nelson corridor is served by North Kootenay Martial Arts and Transcendent Combat Sports in Nelson, listed separately below.
SUSPECT-VERDICT	Alliance Jiu Jitsu Vancouver	Vancouver	BC	https://www.alliancebjjteam.com	2625 Kingsway, Vancouver, BC V5R 5H4	REAL-BUT-WRONG-URL - RECOVERED. alliancebjjteam.com body reads "Alliance BJJ Vancouver - A team of world class champions based in Vancouver, BC", describes the Alliance team founded 1993 by Jacare Cavalcanti, Fabio Gurgel and Alexandre Paiva, and lists instructors Norm Leung, JP Rubio and Kevin Britton. Footer carries 2625 Kingsway, Vancouver, BC, V5R 5H4 and phone +1 (236) 869-0040. BC confirmed by V5R postal code and 236 area code. Blanked link recovered.
ALREADY-IN	BUDo Vancouver	Vancouver	BC	https://budojiujitsuteam.com	3163 Kingsway, Vancouver, BC	Stored budovancouver.com is the school's EMAIL domain (info@budovancouver.com) - the live site is budojiujitsuteam.com. Body reads "BUDo Jiu-Jitsu Team Vancouver", head coach Scott Boudreau (3rd-degree IBJJF black belt, 4x World Master champion), Vancouver academy of the Northwest Jiu-Jitsu Team under Brian Johnson. Footer: Visit 3163 Kingsway Vancouver BC, phone (604) 836-2858. BC confirmed by 604 area code. URL should be updated to budojiujitsuteam.com.
ALREADY-IN	Lions MMA	Vancouver	BC	https://www.lionsmma.ca	1256 Granville St, Vancouver, BC V6Z 1M4	Real, but the stored .com should be .ca. Body of lionsmma.ca reads "Vancouvers Premium Mixed Martial Arts and BJJ Studio", serving Vancouver since 2001 with BJJ Gi, No-Gi, wrestling, Muay Thai. Footer lists two locations: 1256 Granville St, Vancouver, BC V6Z 1M4 and 1133 Granville St, Vancouver, BC V6Z 1M1, phone (+1) 604-684-0991. BC confirmed by V6Z postal code and 604 area code.
ALREADY-IN	Pacific Top Team	Vancouver	BC	https://www.pttvancity.com		The Vancouver academy trades as Pacific Top Team Vancity. Body of pttvancity.com: "PACIFIC TOP TEAM BRAZILIAN JIU-JITSU SCHOOL IN VANCOUVER", also home of Dream Fighters Canada Muay Thai, meta description states "Formerly known as Burnaby Brazilian Jiu-Jitsu". Parent site pacifictopteam.com body confirms "Brazilian Jiu Jitsu and Martial Arts Team in Western Canada" with locations across Western Canada. Both are real BC entities. Recommend pointing the Vancouver record at pttvancity.com.
ALREADY-IN	West Coast BJJ	Vancouver	BC	https://westcoastbjj.ca		Real BC entity but note it is an ASSOCIATION site, not a single academy. Body of westcoastbjj.ca: "Welcome to the WEST COAST Brazilian Jiu-Jitsu Association", founder Don Whitefield, and states "We currently have three clubs of our own serving Maple Ridge/Pitt Meadows, Port Coquitlam and Vancouver/Burnaby." Body also names BC affiliates: Deep Cove BJJ North Vancouver, Budo MMA North Burnaby, West Coast BJJ Victoria, Isshindo Martial Arts Cloverdale, Personal Best Martial Arts Coquitlam, Princeton BJJ, Pure Martial Arts Campbell River, CJ Martial Arts Nanaimo, Ultraforce MMA Richmond, Richmond Martial Arts, Unity Martial Arts Vernon, Intrepid MMA Salmon Arm.
SUSPECT-VERDICT	Vernon BJJ	Vernon	BC			GONE. vernonbjj.com is the only one of the thirteen city stubs that RESOLVES (DNS Status 0, A records 15.197.142.173 and 3.33.152.147 - GoDaddy/AWS parking range) but the fetched body is completely empty, i.e. a parked domain with no content. No operating school trades as "Vernon BJJ". Vernon is served by NOS Brazilian Jiu-Jitsu and Mixed Martial Arts and Unity Martial Arts, listed separately below.
SUSPECT-VERDICT	SBG Victoria	Victoria	BC			GONE. sbgvictoria.com is NXDOMAIN (DNS Status 3) and sbgvictoria.ca is also NXDOMAIN (DNS Status 3, CIRA SOA). The Straight Blast Gym organisation body at straightblastgym.com lists official locations by country but shows no Victoria BC academy. WARNING - the nearest lookalike, sbgvancouver.com, is NOT Vancouver BC: its contact page body gives 11505 NE Fourth Plain Blvd, Suite G-1, Vancouver, WA 98662 with phone 360-768-6534 (Washington area code). No SBG presence in British Columbia found.
