status	name	city	state	website	address	evidence
ALREADY-IN	Gracie Technics Hawaii	Honolulu	HI	https://www.gracietechnics.com	1222 Kaumualii St, Honolulu, HI 96817	Body: "Pedro Sauer Black Belt Lineage", Rylan Lizares, 18 years serving Hawaii, kids/adult gi jiu-jitsu - Brazilian lineage, not Danzan-Ryu
ALREADY-IN	BJ Penn MMA	Hilo	HI	https://www.ufcgym.com/locations/hilo	777 Kinoole St, Hilo, HI 96720	Body of UFC GYM Hilo (BJ Penn's Hilo gym) lists "Brazilian Jiu-Jitsu" as a club amenity plus octagon and MMA classes; record had no stored URL
SUSPECT-VERDICT	Kailua BJJ	Kailua	HI	https://graciejiujitsukailua.com	35 Kainehe St Ste 202, Kailua, HI 96734	REAL-BUT-WRONG-URL - kailuabjj.com is NXDOMAIN (DNS Status 3). The Kailua Oahu Gracie school is Gracie Jiu-Jitsu Kailua, body says "original Gracie Self-Defense and Sport Jiu-Jitsu", founder Jason Izaguirre
SUSPECT-VERDICT	Lihue BJJ	Lihue	HI	https://kauaibjj.com	3205 Fujii Street, Lihue, HI 96766	REAL-BUT-WRONG-URL - lihuebjj.com is NXDOMAIN (DNS Status 3). Body of kauaibjj.com: Lions BJJ Kauai, Lihue, founded 2019 by Mory Fernandez, official Caio Terra Association member under Kim Terra
SUSPECT-VERDICT	Pearl City BJJ	Pearl City	HI	https://unitedbjjhawaii.com	1000 Kamehameha Hwy, Pearl City, HI 96782	REAL-BUT-WRONG-URL - pearlcitybjj.com is NXDOMAIN (DNS Status 3). Body: United BJJ Hawaii inside 24 Hour Fitness Pearl City, founded by Bruno Pucci, 2x BJJ No-Gi World Champion; gi and no-gi classes
SUSPECT-VERDICT	Wailuku BJJ	Wailuku	HI	https://bjjwailuku.com	37 Central Ave, Wailuku, HI 96793	REAL-BUT-WRONG-URL - wailukubjj.com resolves but serves a blank parked page. Real Wailuku school is United Team Maui at bjjwailuku.com; body names black belt Mike Taniguchi and official Caio Terra Association membership
SUSPECT-VERDICT	Maui BJJ Academy	Kahului	HI	https://mauigrapplingacademy.com	180 East Wakea Avenue Unit I, Kahului, HI 96732	REAL-BUT-WRONG-URL - no business trades as Maui BJJ Academy. The Kahului BJJ school is Maui Grappling Academy; body: "the art of Brazilian Jiu-Jitsu", Cascao Jiu-Jitsu affiliate, gi and no-gi submission wrestling
SUSPECT-VERDICT	Kona BJJ	Kailua-Kona	HI		73-5563 Olowalu St, Kailua-Kona, HI 96740	GONE - no business trades as Kona BJJ. Kailua-Kona is served by Foundation BJJ, Exodus, Hawaii Jiu Jitsu Academy, Shibui Dojo and The Process, all listed NET-NEW; address shown is Foundation BJJ
SUSPECT-VERDICT	Purebred Jiu-Jitsu	Honolulu	HI			GONE - no Purebred academy operates in Hawaii. Purebred is Enson Inoue's network based in Saitama Japan with affiliates in Guam, Saipan and Thailand; no Honolulu location found in any current source
SUSPECT-VERDICT	Fighting Arts Academy Hawaii	Kahului	HI			GONE - no school of this name found anywhere in Hawaii across five searches, nor on the Maui Youth Sports or Maui Now dojo rosters. Stored city "Maui" is an island; nearest real town would be Kahului
SUSPECT-VERDICT	Hawaii Academy of Brazilian Jiu-Jitsu	Honolulu	HI			WRONG-ENTITY - hawaiibjj.com is an alias domain of Gracie Technics, not a separate school. It resolves to the same IP (50.87.233.33) as gracietechnics.com and is linked from Gracie Technics' own Programs nav; serves a blank page
NET-NEW	Sapateiro Jiu Jitsu Academy	Honolulu	HI	https://www.oahubjj.com	560 N. Nimitz Hwy Suite 112A, Honolulu, HI 96817	Body: BJJ lineage Maeda to Luis Franca to Oswaldo Fadda to Leandro Nyza to Edmund Li, 3rd degree black belt; IBJJF American Nationals medallist, gi and no-gi
NET-NEW	Caveirinha Jiu-Jitsu Family Hawaii Kai	Honolulu	HI	https://www.cjjfhawaii.com	377 Keahole Street D-1D, Honolulu, HI 96825	Body: "premier Brazilian Jiu-Jitsu Academy in Honolulu", Aldo "Caveirinha" Januario Brazilian black belt family, kids and adult BJJ
NET-NEW	Gracie Barra Aloha Stadium	Honolulu	HI	https://graciebarra.com/honolulu-hi	4510 Salt Lake Blvd, Honolulu, HI 96818	Body: Gracie Barra global network school, GB1/GB2/GB3 Jiu-Jitsu programs, no-gi training, founded by Carlos Gracie Jr
NET-NEW	Relson Gracie Jiu-Jitsu Team HK	Honolulu	HI	https://www.graciehonolulu.com	1712 S. King Street 2nd Fl 200, Honolulu, HI 96826	Body: Relson Gracie Jiu-Jitsu, Todd Tanaka 6th degree black belt, Certified Gracie Jiu-Jitsu Training Center, Royce and Rayron Gracie seminars
NET-NEW	Relson Gracie Jiu-Jitsu Ronn Shiraki Academy	Honolulu	HI	https://www.ronnshiraki.com	737 Kapahulu Ave, Honolulu, HI 96816	Body: "highly advanced Brazilian Jiu-Jitsu school" at top of Kapahulu, Relson Gracie affiliate established 2002, methods "originating from Brazil"
NET-NEW	HNL Jiu Jitsu Academy	Honolulu	HI	https://www.hnljiujitsuacademy.com	7192 Kalanianaole Highway Suite C-200, Honolulu, HI 96825	Body: "Relson Gracie Association", Honolulu Aina Haina, adults and kids jiu jitsu plus Gracie self-defense curriculum
NET-NEW	Island Jiu-Jitsu	Honolulu	HI	https://www.islandjiujitsu.com	760 Halekauwila Street, Honolulu, HI 96813	Body: Atos Honolulu, Gracie Jiu-Jitsu with Helio Gracie history, Rickson Gracie quote, hosted Gui Mendes and Richie Martinez seminars
NET-NEW	Kansept Academy	Honolulu	HI	https://kanseptacademy.com	904 Kohou St Suite 201, Honolulu, HI 96817	Body: "BJJ is our main focus", head instructor Miah San Nicolas black belt under Chris Gutierrez at Conde Koma BJJ, competition classes and drop-ins
NET-NEW	Gracie Allegiance Honolulu	Honolulu	HI	https://honolulubjj.com		Body: "Beginner-friendly Brazilian Jiu-Jitsu and self-defense" in the Ala Moana area, Clark Gracie's Gracie Allegiance system, head instructor Mike Chu; no street address published on site
NET-NEW	Egan Inoue Jiu Jitsu	Honolulu	HI		1212 Punahou St, Honolulu, HI 96826	Founded by Egan Inoue, BJJ world champion and Hawaii combat sports pioneer, formerly Grappling Unlimited; kids and adult BJJ. Address from listings, own site body not rendered - verify before publishing
NET-NEW	Mano Jiu Jitsu	Honolulu	HI	https://www.manojiujitsu.com	2752 Woodlawn Drive 2nd floor, Honolulu, HI 96822	BJJ academy in Manoa Valley, Manoa Marketplace; site is JS-rendered and body would not load, identification from site title and Smoothcomp club registration - verify before publishing
NET-NEW	Masters Martial Arts School	Kailua	HI	https://mastersmartialartsschool.com	270 Kuulei Rd Suite 202, Kailua, HI 96734	Body: "Brazilian Jiu-Jitsu and Martial Arts in Kailua", youth/womens/adult BJJ; run by Leandro Nyza, 6th degree Brazilian black belt and Rio de Janeiro State Champion
NET-NEW	K-Team Martial Arts	Kaneohe	HI	https://k-team-martial-arts.com	46-012 Alaloa Street 3rd Warehouse Unit, Kaneohe, HI 96744	Body: "the only IBJJF and USBJJF accredited Jiu-Jitsu academy in Kaneohe and Kahaluu", Gracie/Brazilian Jiu-Jitsu gi plus no-gi submission grappling
NET-NEW	Hawaii Jiu Jitsu Lab	Kaneohe	HI	https://hawaiijiujitsulab.com	47-388 Hui Iwa St 11, Kaneohe, HI 96744	Body: head instructor Professor Scott Wright "promoted under the Relson Gracie lineage", gi and no-gi adult classes, Koolau Center Temple Valley
NET-NEW	CJJF Central	Aiea	HI	https://cjjfcentral.com	98-390 Kamehameha Highway Unit A, Aiea, HI 96701	Body: Caveirinha Jiu-Jitsu Family academy, Adult Gi fundamental/advanced, Adult NoGi, open mat, kids BJJ; reviews reference BJJ belts and NAGA tournaments
NET-NEW	O2 Martial Arts Academy	Aiea	HI		98-019 Kamehameha Hwy Ste 208A, Aiea, HI 96701	Listed on the Relson Gracie federation academy roster as a Relson Gracie Jiu-Jitsu Association school; BJJ plus boxing and wrestling. Address from listings, own site body not read - verify before publishing
NET-NEW	TRXTR Studio	Kapolei	HI	https://bjjkapolei.com	2045 Lauwiliwili St 403, Kapolei, HI 96707	Body: "certified and recognized by the International Brazilian Jiu-Jitsu Federation", Caio Terra Association member, head instructor and black belt Jeremy Nitta
NET-NEW	Gracie Barra Kapolei	Kapolei	HI	https://graciebarra.com/kapolei-hi	1019 Lauia St Bay 7, Kapolei, HI 96707	Body: Gracie Barra network school, GB1 fundamentals through GB3 expert, no-gi training, Gracie Barra Kids
NET-NEW	Island Jiu Jitsu West	Kapolei	HI	https://www.islandjiujitsuwest.com		Site describes "Kids and adult Jiu-Jitsu classes in Kapolei and Ewa Beach, Oahu"; sister school of Island Jiu-Jitsu Atos Honolulu. Square Online body would not render - verify address before publishing
NET-NEW	Mad Tiger Academy	Wahiawa	HI	https://www.madtigerbjj.com	249 Kellogg St, Wahiawa, HI 96786	Body: Caio Terra Association member; owner Eric "Mad Tiger" Goo, 3rd degree BJJ black belt under Kai Garcia, 2007 No-Gi World Championship gold
NET-NEW	Central Oahu Brazilian Jiu-Jitsu	Wahiawa	HI	https://www.graciehi.com	401 N Cane St, Wahiawa, HI 96786	Body footer: "Certified Gracie Jiu-Jitsu Training Center", licensed Gracie Combatives / Bullyproof / Women Empowered programs; kids and adults, Wahiawa testimonials
NET-NEW	Alliance Jiu-Jitsu Hawaii	Waipahu	HI	https://alliancebjjhawaii.com	94-1388 Moaniani St Ste 227, Waipahu, HI 96797	Affiliate of Alliance Jiu Jitsu, the Brazilian association of Romero Cavalcanti and Fabio Gurgel; registered as Alliance BJJ Hawaii LLC in Waipahu. Site is JS-rendered and body would not load - verify before publishing
NET-NEW	Maui Jiu-Jitsu Academy	Haiku	HI	https://mauijiujitsu.com	810 Haiku Rd Unit 230, Haiku, HI 96708	Body: Professor Luis Heredia, 7th degree coral belt under Rickson Gracie, first Brazilian purple belt in the US; Gracie Jiu-Jitsu, no-gi and competition, established 2000
NET-NEW	Hanaloa School of Jiu-Jitsu	Wailuku	HI	http://www.hanaloaschoolofjiujitsu.com	261 Hookahi Street, Wailuku, HI 96793	Body: "Brazilian Jiu-Jitsu on the island of Maui"; schedule lists gi, no-gi and Friday open mat for kids and adults
NET-NEW	Maui Kombat Academy	Wailuku	HI	https://www.mauikombatacademy.com	1161 Main St, Wailuku, HI 96793	Body: "the grappling art of Brazilian Jiu-Jitsu" alongside Muay Thai, adults and kids classes, Wailuku Maui
NET-NEW	Ohana Jiu Jitsu Academy	Kihei	HI	https://www.ohanajiujitsumaui.com	650 Lipoa Pkwy, Kihei, HI 96753	Body: led by Rodrigo Fanti, Brazilian Jiu Jitsu black belt in Carlson Gracie Jiu Jitsu; adult and kids BJJ plus Sunday open mat on the Kihei rooftop deck
NET-NEW	Foundation BJJ	Kailua-Kona	HI	https://www.foundationbjj.net	73-5563 Olowalu St, Kailua-Kona, HI 96740	Body: "world class instruction of Brazilian Jiu Jitsu" since 2014, Professor Horlando; hosts visiting world-class jiu jitsu athletes, drop-ins welcome
NET-NEW	Exodus Martial Arts Academy	Kailua-Kona	HI	https://exodusmaahawaii.squarespace.com	74-5599 Luhia Street Suite E2, Kailua-Kona, HI 96740	Body: "specializing in Brazilian Jiujitsu", Gracie Allegiance affiliate under Professor Clark Gracie; Professor Jason Tanaka black belt 2022, gi and no-gi plus Friday open mat
NET-NEW	Hawaii Jiu Jitsu Academy	Kailua-Kona	HI	https://hawaiijiujitsuacademy.com	74-5603 Alapa Street, Kailua-Kona, HI 96740	Body: jiu jitsu classes in Kailua-Kona for kids, teens and adults across four graded age bands plus adult morning classes; BJJ-only academy, no karate or kenpo programs
NET-NEW	The Process Martial Arts Academy	Kailua-Kona	HI	https://www.theprocessmartialarts.com	73-5590 Kauhola St, Kailua-Kona, HI 96740	Body: "Brazilian Jiu-Jitsu - Gi and No-Gi classes available" as a named program alongside Muay Thai and MMA, plus kids BJJ and wrestling
NET-NEW	Shibui Dojo	Kailua-Kona	HI		73-5619 Kauhola St Ste 105-106, Kailua-Kona, HI 96740	Brazilian Jiu-Jitsu academy run by Professor Champ Tremaine, an established Big Island BJJ black belt; carried in the Hawaii Jiu Jitsu BJJ schools directory. Own site body not read - verify before publishing
NET-NEW	House of Alameda Jiu Jitsu	Keaau	HI	https://alamedajj.com	16-212 Melekahiwa Place, Keaau, HI 96749	Body: full BJJ lineage Maeda to Carlos Gracie to Helio to Rolls to Jacare to Paiva to Terere to Andre Galvao to Jordan Alameda, 2nd degree black belt; started at Nova Uniao Puna
NET-NEW	Bragiao BJJ MMA	Kapaa	HI	https://www.mmaonkauai.com	4-484 Kuhio Hwy L4, Kapaa, HI 96746	Body: "Carlson Gracie Kauai" Brazilian Jiu-Jitsu program, gi required with twice-weekly no-gi submission grappling, affiliate of Longman Jiu Jitsu
NET-NEW	West Kauai Jiu-Jitsu	Waimea	HI	https://www.westkauaijiujitsu.com	Makana Training Center, 9935 Kaumualii Hwy, Waimea, HI 96796	Body: "West Kauai BJJ", no-gi beginners, no-gi advanced and all-levels classes with professor and mat etiquette rules. Note this Waimea is on Kauai, not the Big Island Waimea
