status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Dodge City BJJ	Dodge City	KS	https://www.dodgecitygrappling.com	1701 N 14th Suite 6, Dodge City, KS 67801	REAL-BUT-WRONG-URL - dodgecitybjj.com is NXDOMAIN; Dodge City House of Grappling body lists BJJ youth/adult schedule and the 1701 N 14th address
SUSPECT-VERDICT	Garden City BJJ	Garden City	KS			GONE - gardencitybjj.com is NXDOMAIN and no BJJ school of any name found operating in Garden City KS; only a Kenpo karate school there
SUSPECT-VERDICT	Hutchinson BJJ	Hutchinson	KS			GONE - hutchinsonbjj.com is NXDOMAIN and no entity trades as Hutchinson BJJ; the operating Hutchinson BJJ gym is Elite Combat Sports Center, listed separately
SUSPECT-VERDICT	Junction City BJJ	Junction City	KS			GONE - junctioncitybjj.com is NXDOMAIN and no entity trades as Junction City BJJ; RS MMA and Elite Academy are the operating BJJ gyms there, listed separately
SUSPECT-VERDICT	Leavenworth BJJ	Leavenworth	KS			GONE - leavenworthbjj.com is NXDOMAIN and no BJJ academy found operating in Leavenworth KS; nearest are in Platte City MO and Mission KS
SUSPECT-VERDICT	Liberal BJJ	Liberal	KS			GONE - liberalbjj.com is NXDOMAIN and no entity trades as Liberal BJJ; the operating Liberal gym is Jiu Jitsu Warehouse, listed separately
SUSPECT-VERDICT	Salina BJJ	Salina	KS			GONE - salinabjj.com is NXDOMAIN and no entity trades as Salina BJJ; the operating Salina gym is WaveMan Combat Academy, listed separately
SUSPECT-VERDICT	Kansas BJJ	Wichita	KS			WRONG-ENTITY - kansasbjj.com now redirects to a GoDaddy for-sale landing page offering the domain for USD 99; no school content at all
SUSPECT-VERDICT	Midwest Training Center	Topeka	KS			GONE - midwesttrainingcenter.com body is a Squarespace parking page reading We are under construction; no school by that name found in Topeka
SUSPECT-VERDICT	Alliance Jiu Jitsu Lawrence	Lawrence	KS			GONE - no website on the live record and no Alliance-affiliated academy found in Lawrence; the three Lawrence BJJ schools are Ground Theory, Rivers and Caio Terra Academy
SUSPECT-VERDICT	Manhattan KS BJJ	Manhattan	KS			GONE - no website on the live record and no entity trades under that name; Combative Sports Center is the Manhattan BJJ gym, listed separately
SUSPECT-VERDICT	Pittsburg KS BJJ	Pittsburg	KS			GONE - no website on the live record and no entity trades under that name; Arise Brazilian Jiu-Jitsu Academy is the Pittsburg gym, listed separately
ALREADY-IN	Emporia BJJ	Emporia	KS	https://emporiabjj.com		Live GoDaddy-built site titled Emporia BJJ with 2025 copyright; local KVOE and Emporia Gazette coverage of Emporia Brazilian Jiu-Jitsu Academy competing in 2026
