status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Brandon BJJ	Brandon	MB	https://wammabrandon.com	389 Park Avenue East, Brandon, MB R7A 7A5	REAL-BUT-WRONG-URL - brandonbjj.com is NXDOMAIN (DNS Status 3). School trades as WAMMA Brandon / Brandon Academy of MMA; body reads "Adults & Teens can join us for weekly instructor led group classes in Brazilian Jiu Jitsu, Wrestling, Muay Thai, MMA" with footer "389 Park Avenue East, Brandon, MB, 204-570-2990". Area code 204 confirms Manitoba, not Brandon FL/MS/SD
SUSPECT-VERDICT	Flin Flon BJJ	Flin Flon	MB	https://wamma.site/flinflon	363 Princess Blvd, Flin Flon, MB R8A 0K8	REAL-BUT-WRONG-URL - BOTH flinflobbjj.com and flinflonbjj.com are NXDOMAIN, so the typo hypothesis does not recover a site; the school is nonetheless live as WAMMA Flin Flon. Body lists "363 Princess Blvd, Flin Flon, MB R8A 0K8" and a class schedule "Tuesday 7:00 pm Brazilian Jiu Jitsu (No Gi) / Saturday 12:00 pm Brazilian Jiu Jitsu (Gi)". Postal code R8A confirms Manitoba
SUSPECT-VERDICT	Portage la Prairie BJJ	Portage la Prairie	MB			GONE - portagebjj.com is NXDOMAIN. No Brazilian Jiu Jitsu school found operating in Portage la Prairie. The only jiu-jitsu club there is Portage Jiu-Jitsu (75 Centennaire Dr, Southport, MB R0H 1N1), a traditional self-defence club running "since 1987, focused on teaching self-defence rather than competition" and a Canadian Ju-Jitsu Confederation member - not BJJ. Postal R0H confirms Manitoba
SUSPECT-VERDICT	Steinbach BJJ	Steinbach	MB	https://futuremma.ca	375 North Front Drive Unit 24, Steinbach, MB R5G 0X7	REAL-BUT-WRONG-URL - steinbachbjj.com is NXDOMAIN. Steinbach's BJJ gym is Future MMA; body reads "Steinbach's premier martial arts gym... a modern approach to training in Brazilian Jiu Jitsu, Wrestling, MMA, and Muay Thai" with footer address "375 North Front Drive Unit 24, Steinbach, MB R5G 0X7, CA". Postal R5G confirms Manitoba. See also NET-NEW Revelation Martial Arts, a second Steinbach BJJ school
SUSPECT-VERDICT	Swan River BJJ	Swan River	MB	https://wamma.site/swanriver	120-6th Avenue North, Swan River, MB R0L 1Z0	REAL-BUT-WRONG-URL - swanriverbjj.com is NXDOMAIN. WAMMA Swan River body carries "120-6th Avenue North, Swan River MB R0L 1Z0", contact Travis Lumax 204 281 5143, and a price list including "NoGi Jiu Jitsu $75 / Gi jiu jitsu $75 / All Jiu Jitsu $100". Postal R0L and area code 204 confirm Manitoba. CAUTION - page footer says "Last updated 28 Jun 2017"
SUSPECT-VERDICT	Thompson BJJ	Thompson	MB	https://wamma.site/thompson	25 Station Rd (rear entrance, upstairs), Thompson, MB R8N 0N6	REAL-BUT-WRONG-URL - thompsonbjj.com is NXDOMAIN. WAMMA Thompson body gives "25 Station Rd (rear entrance, upstairs), Thompson MB R8N", contact Jordy Correia 204 679 7552, and instructor bios naming a BJJ brown belt and blue belt. Postal R8N and area code 204 confirm Manitoba
SUSPECT-VERDICT	Winkler BJJ	Winkler	MB	https://www.riseactive.ca	245 Kimberly Road, Winkler, MB R6W 0H7	REAL-BUT-WRONG-URL - winklerbjj.com is NXDOMAIN. Winkler's BJJ is at RISE Athletics; combat-sports page body headed "Martial Arts in Winkler" with a BRAZILIAN JIU-JITSU section (Kids 4-7, Youth 8-13, Open 14+) and "Come visit us - 245 Kimberly Road, Winkler, MB R6W 0H7, Canada". Postal R6W confirms Manitoba. Note the former Level MMA (Marcos Gaubert) operated at this same Kimberly Rd address and is now folded into RISE, so it is not listed separately
SUSPECT-VERDICT	Winnipeg BJJ	Winnipeg	MB	https://winnipegmartialarts.ca	15-1599 Dugald Rd, Winnipeg, MB R2J 0H3	REAL-BUT-WRONG-URL - winnipegbjj.com resolves (51.222.143.2) and 301-redirects to winnipegmartialarts.ca, whose body is titled "Innovative Martial Arts & Fitness Winnipeg", carries a "Brazilian Jiu-Jitsu Ages 15+" program plus "Women's Jiu-Jitsu & Self-Defence", and a contact block "15-1599 Dugald Rd, Winnipeg, MB / phone: 204-505-2787". The record is a real school under a different trading name
SUSPECT-VERDICT	Red River BJJ	Winnipeg	MB			WRONG-ENTITY - redriverbjj.com resolves and loads, but the body reads "Red River Brazilian Jiu-Jitsu / Wichita Falls, TX", "founded by U.S. Air Force veterans", "Proudly serving military families and the Wichita Falls area", phone 940-257-1302. This is a TEXAS school, not Manitoba. No Winnipeg school of this name found
SUSPECT-VERDICT	Thompson Jiu Jitsu Winnipeg	Winnipeg	MB			WRONG-ENTITY - thompsonjiujitsu.com/winnipeg returns an empty body; the root domain body reads "Brazilian Jiu-Jitsu in Leaside for Kids, Teens, and Adults" with footer "B-1518 Bayview Ave, Leaside, Toronto, ON M4G 3B4" and phone 647-462-1950. This is a TORONTO, ONTARIO school with no Winnipeg location
ALREADY-IN	Canadian Fighting Center	Winnipeg	MB	https://www.cfcgym.net	675 Archibald St, Winnipeg, MB R2J 0Y1	cfcgym.com redirects to cfcgym.net; body is titled "Canadian Fighting Center Winnipeg KickBoxing Muay Thai Boxing BJJ MMA Gym", carries a Brazilian Jiu-Jitsu program page and a Jan 2026 post "expanding our BJJ program... Monday through Thursday 6:30pm-8:00pm with Coach Gil Torres". Footer reads "Winnipeg, MB / Phone: 1-204-772-2599"
