status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Brainerd BJJ	Brainerd	MN			GONE. dns.google/resolve name=brainerdbjj.com type=A returned Status 3 NXDOMAIN (conclusive). No Brainerd business trades as Brainerd BJJ; the operating Brainerd BJJ school is Black Arrow Martial Arts, 217 Washington Street, Brainerd MN 56401, phone 218-851-1618 (218 = MN), listed separately as NET-NEW.
SUSPECT-VERDICT	Duluth BJJ	Duluth	MN			GONE. duluthbjj.com returned Status 3 NXDOMAIN. No entity trades as Duluth BJJ. Duluth MN BJJ is Apex Jiu-Jitsu 228 1/2 N Central Ave 55807 and Drengr Jiu-Jitsu 230 E Superior St 55802, both read from page bodies, both 218 area code. Not Duluth GEORGIA.
SUSPECT-VERDICT	Faribault BJJ	Faribault	MN			GONE. faribaultbjj.com returned Status 3 NXDOMAIN. No Faribault MN BJJ academy found under any name in sweeps of Faribault/Northfield/Owatonna. Nearest verified schools are The Flow Lab Owatonna and Imperial Training Center Rochester, whose own body text says it serves Owatonna and Northfield.
SUSPECT-VERDICT	Hibbing BJJ	Hibbing	MN			GONE. hibbingbjj.com returned Status 3 NXDOMAIN. Hibbing does have real BJJ: Iron Academy Martial Arts, 2225 1st Ave, Hibbing MN 55746, phone 218-996-3522, body reads Jiu-Jitsu Instruction On Minnesota's Iron Range. Listed separately as NET-NEW.
SUSPECT-VERDICT	Mankato BJJ	Mankato	MN			GONE. mankatobjj.com returned Status 3 NXDOMAIN. Mankato has two real academies read from bodies: Kato Jiujitsu 410 Park Lane 56001 and Mark44 MMA 1415 1st Ave suite 4 56001. Both 507 area code. Neither trades as Mankato BJJ.
SUSPECT-VERDICT	Moorhead BJJ	Moorhead	MN			GONE. moorheadbjj.com returned Status 3 NXDOMAIN. No dedicated BJJ academy located in Moorhead MN 56560. Only grappling instruction found in Moorhead is a kids-only Jiu Jitsu class at Shou Shu Martial Arts, 900 1st Avenue North, Moorhead MN 56560, a Shou Shu kung fu school, not a BJJ academy. See reply for adjudication.
SUSPECT-VERDICT	St. Cloud BJJ	St. Cloud	MN			GONE. stcloudbjj.com returned Status 3 NXDOMAIN. St. Cloud's real BJJ school is Start BJJ Minnesota, 3333 W Division Street suite 220, Saint Cloud MN 56301, phone 320-469-0728 (320 = MN), owner Brock Larson, read from its own site body. Listed separately as NET-NEW.
SUSPECT-VERDICT	Willmar BJJ	Willmar	MN			GONE. willmarbjj.com returned Status 3 NXDOMAIN. No entity trades as Willmar BJJ. A Willmar candidate exists (Great Lakes Training Group, 3950 US-71, Willmar MN 56201, phone 320-226-3225) but its own site returned an empty body, so it is held back as unverified. See reply.
SUSPECT-VERDICT	Rochester BJJ	Rochester	MN			GONE. rochesterbjj.com resolves (Status 0) to 103.224.212.217, a Trellian/DomainSponsor parking address; both https and http fetches returned a completely empty body, so there is no operating school on it. Rochester MINNESOTA (507 area code, ZIP 55901/55906) has three real academies read from their own bodies - Mario Roberto Jiu-Jitsu Academy, Stock Martial Arts, Imperial Training Center - none of which trades as Rochester BJJ. This is Rochester MN, not Rochester NY.
SUSPECT-VERDICT	Minnesota Martial Arts Academy	Brooklyn Center	MN	https://theacademymn.com	6840 Shingle Creek Pkwy #24, Brooklyn Center, MN 55430	REAL-BUT-WRONG-URL. The stored mmaa.com is a different business entirely: its body reads Miller's Martial Arts Academy, 29 Years Teaching Martial Arts In Kirkland, phone 425 889 9454, a Six Blades BJJ affiliate in Kirkland WASHINGTON. Greg Nelson's school is real and operating, now trading as The Academy MN; its own footer body reads 6840 Shingle Creek Pkwy #24, Brooklyn Center MN 55430, Call/Text 763-560-5696 (763 = MN). Also note the city is Brooklyn Center, not Minneapolis.
