status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Delta BJJ	Biloxi	MS			WRONG-ENTITY. deltabjj.com resolves but body/title reads "Delta BJJ - Brazilian Jiu-Jitsu Training in Culver City" and meta says "Located in Culver City, California." No Biloxi content anywhere on the page. No school trading as Delta BJJ found in Biloxi MS (228).
SUSPECT-VERDICT	Columbus MS BJJ	Columbus	MS			GONE. No entity trading under this name found in Columbus MS. Columbus MS 39702 (662) BJJ is served by Relentless Mixed Martial Arts, 128 S. McCrary Rd, listed separately. Beware: jiujitsucolumbus.com is Columbus GEORGIA 31904.
SUSPECT-VERDICT	Corinth BJJ	Corinth	MS			GONE. corinthbjj.com DNS Status 3 NXDOMAIN, conclusive. Tried corinth variants and a plain city search. Corinth MS 38834 (662) BJJ is Paragon Martial Arts, listed separately as NET-NEW.
SUSPECT-VERDICT	Greenville BJJ MS	Greenville	MS			GONE. No BJJ academy trading under this name found in Greenville MS 38701 (662). groundgrappling.com "Greenville Jiu-Jitsu" body reads 427 Evans Street, Greenville, NC, phone 252-413-0066 and "Eastern North Carolina" - that is North Carolina, not Mississippi. Nothing verified in Greenville MS.
SUSPECT-VERDICT	Coast BJJ	Gulfport	MS			WRONG-ENTITY. coastbjj.com redirects to coastjiujitsu.com; body reads "Train Brazilian Jiu-Jitsu in Myrtle Beach" with address 1011 Suite B Highway 501 Myrtle Beach, SC 29577 and phone 843-213-1432. South Carolina, not Gulfport MS.
SUSPECT-VERDICT	Southern Combat Arts	Hattiesburg	MS			GONE. No entity by this name found in Hattiesburg MS 39401/39402 (601). Hattiesburg BJJ is Team Hopkins and Gracie United Team Jucao, both listed separately.
SUSPECT-VERDICT	Laurel BJJ	Laurel	MS			WRONG-ENTITY. laurelbjj.com redirects to 2ndgearbjj.com; body reads "Jiu Jitsu and Muay Thai in Laurel, MD", address 8730 Cherry Ln Suite 14, Laurel, MD 20707, phone (240) 786-5553, "Prince Georges County". Maryland, not Laurel MS. No BJJ school verified in Laurel MS.
SUSPECT-VERDICT	Meridian BJJ	Meridian	MS			WRONG-ENTITY. meridianbjj.com body reads "Premium Brazilian Jiu Jitsu experience coming to Culverhouse Cross, Cardiff" and "VALEGATE RETAIL PARK, Culverhouse Cross, Cardiff CF5 6EH". That is WALES, UK. Meridian MS 39301 (601) is served by Relson Gracie 601, listed separately.
SUSPECT-VERDICT	Natchez BJJ	Natchez	MS			GONE. natchezbjj.com DNS Status 3 NXDOMAIN, conclusive. No school trading as Natchez BJJ found in Natchez MS 39120 (601). No replacement BJJ academy in Natchez confirmed to body-read standard.
SUSPECT-VERDICT	Oxford BJJ	Oxford	MS			WRONG-ENTITY. oxfordbjj.com body is "Jiu-Jitsu Republic Oxford", og:locale en_GB, serving "Summertown, Jericho, Cowley, Headington, Kidlington, Abingdon, Witney, Didcot" and links UKBJJA and British Wrestling. That is Oxfordshire, ENGLAND. Oxford MS 38655 (662) is 662 JiuJitsu, listed separately.
SUSPECT-VERDICT	Mississippi BJJ	Ridgeland	MS			GONE. mississippibjj.com DNS returns Status 0 but no A record, only an SOA (ns1.whois.com, registrant contact epicmartialarts) - the domain is registered but serves no site. No business trading as "Mississippi BJJ" found in Ridgeland MS 39157. Ridgeland's actual academy is Gracie South Jiu Jitsu Headquarters, 775 Lake Harbour Dr, listed separately.
SUSPECT-VERDICT	Starkville BJJ	Starkville	MS			GONE. starkvillebjj.com DNS Status 3 NXDOMAIN, conclusive. Starkville MS 39759 (662) BJJ is Summit Fitness Kickboxing and Jiu Jitsu, 400 Industrial Park Rd G, listed separately as NET-NEW.
SUSPECT-VERDICT	Tupelo Jiu Jitsu Academy	Tupelo	MS	https://tupelojiujitsuacademy.com	811b Varsity Drive, Tupelo, MS 38801	REAL-BUT-WRONG-URL for the listed "Tupelo BJJ". tupelobjj.com is DNS Status 3 NXDOMAIN, but Tupelo's BJJ academy is operating: body reads "Tupelo Jiu-Jitsu Academy", "811b Varsity Drive Tupelo MS 38801", phone 662-397-4033 (662 = MS), head instructor Cody Floyd, "Tupelo's first Brazilian Jiu Jitsu Black Belt".
SUSPECT-VERDICT	Vicksburg BJJ	Vicksburg	MS			GONE. vicksburgbjj.com DNS Status 3 NXDOMAIN, conclusive. Warning for the rebuild: gracie-jiu-jitsu-vicksburg.gymdesk.com looks like a match but its body footer reads "10726 S Sprinkle Road Vicksburg MI 49097 US" with a 269 area code - that is Vicksburg MICHIGAN. No BJJ academy verified in Vicksburg MS 39180 (601).
