status	name	city	state	website	address	evidence
ALREADY-IN	Lincoln Brazilian Jiu-Jitsu Center - College View	Lincoln	NE	https://lincolnbjj.com	4707 Prescott Ave, Lincoln, NE 68506	Body: "Lincoln Brazilian Jiu-Jitsu Center has two locations in Lincoln, Nebraska"; contact block lists 4707 Prescott Ave Lincoln NE 68506 and phone (402) 483-1258. ZIP 68506 + area code 402 confirm NE. Matches directory record "Lincoln BJJ" but stored name is wrong.
ALREADY-IN	Ares Brazilian Jiu-Jitsu Omaha	Omaha	NE	https://nebraskabjj.com	4307 S. 120th St, Omaha, NE 68137	Body heading "Ares Brazilian Jiu-Jitsu - Omaha, NE"; footer 4307 S. 120th St, Omaha NE 68137, (402)-319-5661. ZIP 68137 + 402. Matches directory record "Nebraska BJJ" but stored name is wrong; real name is Ares BJJ Omaha.
SUSPECT-VERDICT	Hastings BJJ	Hastings	NE			GONE. dns.google/resolve for hastingsbjj.com returned Status 3 (NXDOMAIN), conclusive - domain does not exist. Tried city+BJJ searches; no school trading as "Hastings BJJ" in Hastings NE. The only grappling operation found in Hastings NE is Hastings Combat Academy (listed separately as NET-NEW).
SUSPECT-VERDICT	Norfolk BJJ	Norfolk	NE			GONE. norfolkbjjne.com is NXDOMAIN (Status 3), conclusive. No BJJ school found operating in Norfolk NE 68701. dojos.info Norfolk NE body lists only 3 schools in town: Norfolk Martial Arts Center, Advance Kenpo Karate, Bourelle Martial Arts - Norfolk (708 W Benjamin Ave, Norfolk NE 68701); bourellemartialarts.com Norfolk page offers Taekwondo, Hapkido, Gumdo only - no BJJ. All "Norfolk BJJ" web results are Norfolk VIRGINIA.
SUSPECT-VERDICT	Norfolk NE BJJ	Norfolk	NE			GONE. Duplicate of the Norfolk BJJ record above; no stored URL. Same finding: no BJJ school operating in Norfolk NE. These are two records for one non-existent school, not two distinct schools.
SUSPECT-VERDICT	North Platte BJJ	North Platte	NE			GONE. northplattebjj.com is NXDOMAIN (Status 3), conclusive. No school trades as "North Platte BJJ". North Platte NE does have two real grappling gyms - Vicious Cycle Brazilian Jiu Jitsu and Top Tier MMA and Boxing - both filed separately as NET-NEW. Area code 308, ZIP 69101.
SUSPECT-VERDICT	Scottsbluff BJJ	Scottsbluff	NE			GONE. scottsbluffbjj.com is NXDOMAIN (Status 3), conclusive. dojos.info Scottsbluff NE body lists only Vang's Tae Kwon Do Academy (2423 1/2 Avenue I, Scottsbluff NE 69361) and Gering Martial Arts in town. Real Scottsbluff grappling club is Pagsuko Combat Club, filed separately as NET-NEW.
SUSPECT-VERDICT	Fremont BJJ	Fremont	NE	https://www.fremontbjj.com		WRONG-ENTITY. Domain resolves and the link works, but the page BODY reads "Baem Jiu Jitsu - Fremont", "47900 Warm Springs Boulevard, Fremont, CA, 94539", phone 510-405-9890. This is Fremont CALIFORNIA, not Fremont Nebraska. No BJJ school confirmed in Fremont NE 68025 (dojos.info lists only Rosenbach Warrior Training there, no BJJ evidence). Record must be removed from Nebraska.
SUSPECT-VERDICT	Kearney BJJ	Kearney	NE	https://www.castironbjj.com		WRONG-ENTITY. kearneybjj.com 301-redirects to castironbjj.com. Body: "Cast Iron BJJ", "PLEASANT VALLEY, MO", footer "6603B Royal St., Pleasant Valley, MO 64068", phone 816-520-1764, Renato Tavares Association. That is Kearney/Liberty MISSOURI, not Kearney Nebraska. The real Kearney NE school is Kearney Combat Sports and Fitness, filed separately as NET-NEW. Record must be removed from Nebraska.
SUSPECT-VERDICT	Grand Island BJJ	Grand Island	NE			GONE. grandislandbjj.com resolves (13.248.243.5) but the BODY is a GoDaddy Website Builder placeholder reading only "Launching Soon" repeated, a blank contact form and "Copyright 2025 grandislandbjj.com". No school name, no address, no phone, no schedule. Real Grand Island grappling school is FFC Martial Arts Academy, filed separately as NET-NEW.
