status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Derry BJJ	Derry	NH			GONE. dns.google/resolve name=derrybjj.com type=A returned Status 3 (NXDOMAIN), conclusive - domain does not exist. No NH entity trades as Derry BJJ. Derry NH 03038 (603) is served instead by Primal Jiu Jitsu and Professional Martial Arts Academy, both listed below as NET-NEW.
SUSPECT-VERDICT	Dover BJJ	Dover	NH			GONE. dns.google/resolve name=doverbjjnh.com type=A returned Status 3 (NXDOMAIN), conclusive. No NH entity trades as Dover BJJ. The operating Dover NH 03820 school is Kevin Watson Brazilian Jiu-Jitsu, 1200 Industrial Park Drive, listed below as NET-NEW.
SUSPECT-VERDICT	Keene BJJ	Keene	NH			GONE. dns.google/resolve name=keenebjj.com type=A returned Status 3 (NXDOMAIN), conclusive. No NH entity trades as Keene BJJ. Keene NH 03431 is served by Elements MMA, 310 Marlboro St Suite 264, listed below as NET-NEW.
SUSPECT-VERDICT	Laconia BJJ	Laconia	NH			GONE. dns.google/resolve name=laconiabjj.com type=A returned Status 3 (NXDOMAIN), conclusive. No NH entity trades as Laconia BJJ. Laconia NH 03246 is served by Lakes Region Vale Tudo and Beyond The Belt, listed below as NET-NEW.
SUSPECT-VERDICT	Claremont BJJ	Claremont	NH			WRONG-ENTITY. claremontbjj.com resolves and the rendered body reads Claremont Brazilian Jiu Jitsu, Kids and Adult BJJ in Claremont CA, contact 1420 N Claremont Blvd. #200e Claremont, CA, 91711, phone (909) 493-5276. That is Claremont CALIFORNIA, not Claremont NH 03743. The Claremont NH school teaching BJJ is National Institute of Modern Martial Arts, 140 North Street, listed below as NET-NEW.
SUSPECT-VERDICT	Concord BJJ	Concord	NH			WRONG-ENTITY. concordbjj.com now 301-redirects to maforu.com, whose body reads Integrated Martial Arts Academy, CONTACT US 3770 Hwy 49 S. Harrisburg, NC. 28075 Tel: 704-363-6236, a Pedro Sauer affiliate in NORTH CAROLINA. No NH content on the page. The operating Concord NH 03301 schools are New England BJJ Academy and Leverage BJJ NH, listed below as NET-NEW.
SUSPECT-VERDICT	Lebanon BJJ NH	Lebanon	NH			GONE. Record carries no URL and no NH business trades under this name. Lebanon NH 03766 (603) has two verified operating academies, Infinity Gracie Brazilian Jiu Jitsu at 45 Hanover St and 603 BJJ Brazilian Jiu-Jitsu Academy at 24 Hanover St, both listed below as NET-NEW. Recommend replacing this generic record with those two.
SUSPECT-VERDICT	Alliance Jiu Jitsu NH	Nashua	NH			GONE. Record carries no URL. No Alliance-affiliated academy could be found operating in Nashua NH 03060-03064 in any body text; Alliance publishes no NH location. Nashua NH is served by Blue Wave Brazilian Jiu Jitsu, Triumph Brazilian Jiu-Jitsu, Bazzani BJJ and Gate City MMA, listed below as NET-NEW.
SUSPECT-VERDICT	NH BJJ	Manchester	NH	https://nhbjj.com		UNVERIFIED - not concluded. nhbjj.com resolves (A record present, not NXDOMAIN) but serves an empty JavaScript shell: the fetched body contains only a viewport meta tag, no text, no address, no phone. Per method rules a non-rendering page is not evidence either way, so no verdict is issued. Manchester NH 03101-03104 (603) has seven verified academies listed below as NET-NEW.
ALREADY-IN	Seacoast Brazilian Jiu-Jitsu	Portsmouth	NH	https://seacoastmma.com	141 Banfield Rd Ste 7, Portsmouth, NH 03801	REAL. Matches the live record Seacoast BJJ NH. NH company registry lists SEACOAST BRAZILIAN JIU-JITSU, LLC registered 141 Banfield Rd Ste 7, Portsmouth, NH, 03801; phone (603) 431-2138 confirms the 603 New Hampshire area code. Own site seacoastmma.com resolves but renders an empty JS shell, so address is taken from the state registry plus two independent listings.
NET-NEW	Renzo Gracie NH Manchester	Manchester	NH	https://renzogracienh.org	590 Second Street, Manchester, NH 03102	Locations block in the page body reads Manchester, New Hampshire 590 Second Street, Manchester, NH 03102. Site-wide phone 603-777-2775 confirms the 603 NH area code. ZIP 03102.
NET-NEW	Renzo Gracie NH Windham	Windham	NH	https://renzogracienh.org	16 Rockingham Rd, Windham, NH 03087	Locations block in the page body reads Windham, New Hampshire 16 Rockingham Rd. Windham, NH 03087, phone 603-777-2775. ZIP 03087, NH side of the state line, not Windham CT or ME.
NET-NEW	Renzo Gracie NH Exeter	Exeter	NH	https://renzogracienh.org	34 Portsmouth Avenue, Exeter NH 03833	Locations block in the page body reads Exeter, New Hampshire 34 Portsmouth Avenue, Exeter NH 03833, phone 603-777-2775. ZIP 03833.
NET-NEW	Burgess Academy of BJJ and MMA	Manchester	NH	https://burgessmma.com	9 Old Falls Road, Manchester, New Hampshire 03103	Footer and Contact Us block in the body read Burgess Academy of BJJ and MMA, 9 Old Falls Road, Manchester, New Hampshire 03103, United States. Body states 8 gi BJJ classes per week and only IBJJF certified gym in all of New Hampshire. ZIP 03103.
NET-NEW	The Training Station	Manchester	NH	https://www.thetrainingstationnh.com	200 Elm St, Manchester, NH 03101	Sells a Two Week Brazilian Jiu Jitsu Trial; address 200 Elm St, Manchester, NH 03101, phone (603) 505-0048 confirms 603 NH. Address corroborated independently by the MatMade Manchester NH listing.
NET-NEW	The Martial Arts Zone	Manchester	NH	https://themartialartszone.com	31 Auburn St, Manchester, NH 03103	Site describes Kids and Adult Jiu-Jitsu plus Fitness Kickboxing in Manchester, NH with over 6000 sq ft of training facility. Street address 31 Auburn St corroborated by the MatMade Manchester NH listing. ZIP 03103.
NET-NEW	Northeast Jiu-Jitsu Academy	Manchester	NH		323 S Willow St, Manchester, NH 03103	Listed in MatMade Manchester New Hampshire city index at 323 S Willow St with adult and one-on-one BJJ programs. S Willow St is Manchester NH 03103. No own website found; address held to the aggregator listing only.
NET-NEW	Manchester Gracie Jiu Jitsu	Manchester	NH		371 S Willow St, Manchester, NH 03103	bjjweb New Hampshire dojo record Manchester Karate And Gracie Jiu Jitsu, Manchester, NH - 3103, (603) 625-5835 - the 603 area code and 03103 ZIP confirm New Hampshire. Corroborated by MatMade Manchester listing at 371 S Willow St.
NET-NEW	Bare Knuckle Murphys	Manchester	NH	http://www.bareknucklemurphy.com	163 Lake Ave, Manchester, NH 03103	bjjweb body: Bare Knuckle Murphy, Manchester, NH - 3103, (603) 623-6066, and the description states We teach intro to advanced Boxing, Kickboxing, Thai Boxing, Brazillian Jiu Jitsu, Savate, and MMA. Opened 1978 in Manchester, NH. Street address 163 Lake Ave from MatMade. 603 area code confirms NH.
NET-NEW	Checkmate Martial Arts	Manchester	NH		200 Elm Street, Manchester, NH 03101	Listed in MatMade Manchester New Hampshire city index at 200 Elm Street with child, adult and one-on-one grappling programs. Elm St Manchester is ZIP 03101. Aggregator-only address.
NET-NEW	Blue Wave Brazilian Jiu Jitsu	Nashua	NH	https://bluewavejiujitsu.com	1 Progress Ave, Nashua, NH, 03062	Footer of the rendered body reads Nashua, NH - 1 Progress Ave, Nashua, NH, 03062 with phone (603) 321-5032. ZIP 03062 and 603 area code confirm NH. Note MatMade wrongly lists 433 Amherst St Unit 5; the school's own body carries 1 Progress Ave, which is used here.
