status	name	city	state	website	address	evidence
ALREADY-IN	Jackson Wink MMA Academy	Albuquerque	NM	https://jacksonwink.com	301 Dr Martin Luther King Jr Ave NE, Albuquerque, NM 87102	Body footer gives address and 1 (505) 900-3947; Greg Jackson and Mike Winkeljohn still listed as head coaches; news posts dated 2026; area code 505
SUSPECT-VERDICT	Alamogordo BJJ	Alamogordo	NM			GONE - alamogordobjj.com is DNS Status 3 NXDOMAIN; no Alamogordo business trades under this name; the two operating Alamogordo schools are Desert Dynasty MMA and Otero Combat Sports, both 88310
SUSPECT-VERDICT	Farmington BJJ	Farmington	NM	https://farmingtonjiujitsu.com	2501 E 20th St #17, Farmington, NM 87401	REAL-BUT-WRONG-URL - farmingtonbjj.com is NXDOMAIN; school trades as Farmington Jiu-Jitsu Academy, body carries 2501 E 20th St #17 Farmington NM 87401 and 505-716-0278
SUSPECT-VERDICT	Las Cruces BJJ	Las Cruces	NM			GONE - lascrucesbjj.com is NXDOMAIN; no Las Cruces school trades as Las Cruces BJJ; the operating 88005 schools are Three Crosses BJJ, Kings Jiu Jitsu and Zia Martial Arts
SUSPECT-VERDICT	Portales BJJ	Portales	NM	https://www.sindalubjj.com	1608 E Spruce St #400, Portales, NM 88130	REAL-BUT-WRONG-URL - portalesbjj.com is NXDOMAIN; the Portales school trades as Sindalu Brazilian Jiu-Jitsu, body lists Portales Location 1608 E Spruce St #400 Portales NM 88130
SUSPECT-VERDICT	Roswell BJJ	Roswell	NM			GONE - roswellbjj.com serves an empty body on a lame Cloudflare delegation; no business trades as Roswell BJJ; the two operating Roswell schools are Academy Jiu Jitsu and GB Roswell, both 88201
SUSPECT-VERDICT	Taos BJJ	Taos	NM			GONE - taosbjj.com is NXDOMAIN; no Taos business trades under this name; the two operating Taos schools are Jesse Jacquez BJJ Taos and Mata Leao BJJ, both 87571
SUSPECT-VERDICT	Duke City BJJ	Albuquerque	NM			GONE - no Albuquerque BJJ academy trades as Duke City BJJ; Duke City Dojo at 4312 Lomas Blvd NE teaches aikido, karate and tai chi; absent from every Albuquerque roster checked; area code 505
SUSPECT-VERDICT	Carlsbad BJJ	Carlsbad	NM			WRONG-ENTITY - carlsbadbjj.com body is a bare Apache Index of / listing containing only cgi-bin and favicon.ico, no school content; the operating Carlsbad 88220 schools are Cavern City BJJ and Kingdom Jiu Jitsu Academy
SUSPECT-VERDICT	Clovis BJJ	Clovis	NM			GONE - clovisbjj.com resolves to GoDaddy parking and returns an empty body; no school trades as Clovis BJJ; the operating Clovis 88101 school is Silverback Jiu-Jitsu, 575-799-3356
SUSPECT-VERDICT	Las Vegas NM BJJ	Las Vegas	NM			GONE - no BJJ school found operating in Las Vegas NM 87701; every BJJ result for that ZIP resolves to Santa Fe, Taos or Espanola schools 60 plus miles away
