status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Alma BJJ	Alma	QC			GONE - almabjj.com returns DNS Status 3 (NXDOMAIN), conclusive. No school trading as Alma BJJ found in the Federation Quebecoise de Jiu-jitsu Bresilien roster (jjbqc.org) or in French-language searches for Alma / Lac-Saint-Jean; the nearest operating BJJ school is Jiu-Jitsu Saguenay in Jonquiere (418/581 area).
SUSPECT-VERDICT	Drummondville BJJ	Drummondville	QC			GONE - drummondvillebjj.com returns DNS Status 3 (NXDOMAIN). No entity trades as Drummondville BJJ. The operating BJJ academy in the city is ELITE JIU JITSU, whose contact page body reads "ELITE JIU JITSU EST UN ACADEMIE DE JIU JITSU SITUE A DRUMMONDVILLE QUEBEC, 4587 boulevard allard, DRUMMONDVILLE QUEBEC J2A 1R9" (postal J2A) - added as a separate NET-NEW row.
SUSPECT-VERDICT	Longueuil BJJ	Longueuil	QC			GONE - longueuilbjj.com returns DNS Status 3 (NXDOMAIN). No entity trades as Longueuil BJJ. Longueuil's operating BJJ schools per the FQJJB roster are Volt BJJ (1077 Chemin De Chambly, J4H 3M7) and Outros Caras JiuJitsu (1175 Chem. du Coteau-Rouge, J4K 1X1) - both added as NET-NEW rows.
SUSPECT-VERDICT	Rimouski BJJ	Rimouski	QC			GONE - rimouskibjj.com returns DNS Status 3 (NXDOMAIN). No entity trades as Rimouski BJJ. The operating club is Rimouski Submission Fight, 254 Rue Saint-Germain Est, Rimouski QC G5L 1B4 (postal G5L), listed on the FQJJB federation site - added as a NET-NEW row.
SUSPECT-VERDICT	Saguenay BJJ	Saguenay	QC	https://bjjsaguenay.com	2367 Rue Mathias, Jonquière, QC G7S 3V4	REAL-BUT-WRONG-URL - saguenaybjj.com is NXDOMAIN (DNS Status 3), but the school exists and trades as "Jiu-Jitsu Saguenay" on bjjsaguenay.com. Body reads "Jiu-jitsu bresilien, MMA et kickboxing. 35 cours par semaine" and "Situes a Jonquiere dans le secteur d'Arvida"; footer gives 2367 Rue Mathias, Jonquiere, QC G7S 3V4, tel 438 449-8133. Postal G7S and area code 438/418 confirm Quebec.
SUSPECT-VERDICT	Fearless MMA	Laval	QC			WRONG-ENTITY - fearlessmma.ca resolves and loads, but the rendered body carries exactly one address: "fearless mma, 240 Industrial Parkway South, Unit 7, Aurora, Ontario". Laval is mentioned zero times. This is an ONTARIO gym; the stored link points at a different province. No Laval QC entity named Fearless MMA could be found.
SUSPECT-VERDICT	Carlson Gracie Montreal	Montreal	QC	https://carlsongraciemontreal.com		REAL - carlsongraciemontreal.com resolves (50.87.195.134) and the body reads "CARLSON GRACIE MONTREAL", programs in Brazilian Jiu Jitsu, Wrestling, Muay Thai, Kids Martial Arts in Montreal, Women's Jiu Jitsu. Contact block gives "Tel: (514) 492-1507" - 514 is a Montreal area code. Street address is not printed in the page body, so the address field is left blank.
SUSPECT-VERDICT	NovaGym	Quebec City	QC	https://novagym.ca		REAL-BUT-WRONG-CITY - novagym.ca resolves and the body is titled "Nova Gym Centre MMA de Quebec": "Nova Gym Centre MMA est un gym d'arts martiaux mixtes situe a Quebec etabli en 2014", teaching MMA, Muay thai, Kickboxing, Boxe et Jiu jitsu. Instagram posts in the body are tagged #qc / #quebec. The gym is in QUEBEC CITY (Beauport), not Montreal as currently stored - city corrected here.
SUSPECT-VERDICT	Tristar Gym Montreal	Montreal	QC	https://tristargym.com	5275 Rue Ferrier	REAL - tristargym.com resolves and serves the Tristar Gym site (og:title "Tristar Gym", og:description "World-class MMA training facility"), but the page is a client-side JS app (Replit-hosted) that returns no server-rendered body text, so the street address could NOT be re-confirmed from the body. Georges St-Pierre's gym; stored address 5275 Rue Ferrier (Montreal H4P, 514 area) retained but flagged as unverified.
SUSPECT-VERDICT	Nordik Fight Club	Quebec City	QC	https://nordikfightclub.com	909, boulevard Charest Ouest	REAL - body reads "Le meilleur centre d'entrainement en sports de combat a Quebec ... Jiu jitsu bresilien (avec et sans gi)", dedicated page /jiu-jitsu-bresilien/. Footer: "909, boulevard Charest Ouest, Quebec, QC, G1N 2C9" and tel 418 717-0774. Postal G1N and area code 418 confirm Quebec City. Also listed as "Evolution BJJ Quebec" on the Centre Evolution affiliate page.
ALREADY-IN	Patenaude Martial Arts Gatineau	Gatineau	QC	https://gatineau.patenaudemartialarts.com		LINK RECOVERED. Body of gatineau.patenaudemartialarts.com reads "Bienvenue aux Arts Martiaux Patenaude Gatineau - Ecole d'Arts Martiaux Kickboxing et MMA a Gatineau", with a testimonial naming "AMP Arts Martiaux Patenaude Gatineau ... Gatineau Quebec". This is the QUEBEC side of the river (Gatineau QC), distinct from the chain's Ottawa/Orleans/Kanata Ontario schools which are separate subdomains. No street address printed on the page body.
