status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Bristol BJJ	Bristol	RI	https://bttbristol.com	1 Old Ferry Road, Bristol, RI 02809	REAL-BUT-WRONG-URL - bristolbjj.com is NXDOMAIN (DNS Status 3); the Bristol RI school branding itself Bristol Jiu Jitsu is Brazilian Top Team Bristol on bttbristol.com, ZIP 02809 is Bristol RI
SUSPECT-VERDICT	Cranston BJJ	Cranston	RI			GONE - cranstonbjj.com is NXDOMAIN (DNS Status 3); no BJJ academy in Cranston RI trades under this name, nearest is Gracie Jiu-Jitsu Warwick (401) 647-6513 which only markets to Cranston
SUSPECT-VERDICT	East Providence BJJ	East Providence	RI			GONE - eastprovidencebjj.com is NXDOMAIN (DNS Status 3); the two real East Providence RI schools are Playground Jiu Jitsu (02914) and Ocean State Studios BJJ (02914), neither uses this name
SUSPECT-VERDICT	Pawtucket BJJ	Pawtucket	RI			GONE - pawtucketbjj.com is NXDOMAIN (DNS Status 3); the two real Pawtucket RI schools are Tri-Force MMA and Team Santos, both ZIP 02860, neither uses this name
SUSPECT-VERDICT	Woonsocket BJJ	Woonsocket	RI			GONE - woonsocketbjj.com is NXDOMAIN (DNS Status 3); no operating BJJ academy found anywhere in Woonsocket RI 02895
ALREADY-IN	Coventry Brazilian Jiu Jitsu	Coventry	RI	https://coventryribjj.com	53 Sandy Bottom Rd, Coventry, RI 02816	Body footer reads 53 Sandy Bottom Rd. Coventry, RI 02816 and (844) 926-8255; stored coventrybjj.com is a GoDaddy Launching Soon placeholder with en_GB locale and no address
ALREADY-IN	Mission First Jiu-Jitsu	Middletown	RI	https://www.missionfirstbjj.com	999 West Main Road, Middletown, RI 02842	Body heading gives 999 West Main Road Middletown, Rhode Island 02842 and (401) 787-1690; live page files this under Newport, which is wrong
ALREADY-IN	Two Swords Brazilian Jiu-Jitsu Academy	Middletown	RI	https://www.2swordsjiujitsu.com	999 W Main Rd, Middletown, RI 02842	The real school behind the Middletown BJJ RI record; Abmar Barbosa affiliate at ZIP 02842, phone (401) 500-2557, shares 999 W Main Rd with Trident Training Center
ALREADY-IN	Providence BJJ	Providence	RI	https://providencebjj.com	4 Aurora Street, Providence, RI 02908	Body Address block reads Providence BJJ, 4 Aurora Street, Providence, RI 02908, text or call 401-573-2523
ALREADY-IN	Ricardo Cavalcanti BJJ RI	North Providence	RI	https://rcbjjri.com	1910 Smith St, North Providence, RI 02911	Contact page body reads Address: 1910 Smith St, North Providence, RI 02911, Number (401) 696-6890; live page files this under Providence and carries no URL
