status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Aiken Jiu-Jitsu	Aiken	SC	http://www.aikenjiu-jitsu.com		REAL-BUT-WRONG-URL. Stored aikenjiujitsu.com is NXDOMAIN (dns.google Status 3). School operates at aikenjiu-jitsu.com: body H1 reads AIKEN JIU JITSU, "Home of Aiken's only Jiu-Jitsu Academy", "we believe in the transformative power of Brazilian Jiu Jitsu", "Aiken Jiu Jitsu was founded in 2015 and moved to its current location in 2021", owned by Terra Guerra black belts Ashley Alex New and Brannon New. Site titled South Aiken Jiu-Jitsu; Aiken SC confirmed throughout body. No street address printed in body.
SUSPECT-VERDICT	Beaufort BJJ	Beaufort	SC			GONE. beaufortbjj.com is NXDOMAIN (Status 3). No business trading as Beaufort BJJ found. The operating BJJ school in Beaufort is Beaufort MMA, 2127 Boundary St Suite 14-B, Beaufort SC 29902, phone 843-882-7688 (listed separately as NET-NEW).
SUSPECT-VERDICT	Columbia BJJ	Columbia	SC			GONE. columbiabjj.com is NXDOMAIN (Status 3). No school trading as Columbia BJJ found. Operating Columbia-area BJJ read from body: Spartan Academy MMA (6169 Saint Andrews Rd, Columbia SC 29212, 803-750-0000) and Columbia Self Defense (10071 Broad River Road, Irmo SC 29063, 803.753.8795), both listed separately.
SUSPECT-VERDICT	Orangeburg BJJ	Orangeburg	SC			GONE. orangeburgbjj.com is NXDOMAIN (Status 3). No entity trading as Orangeburg BJJ. Only Orangeburg candidates found were Midlands Jiu-Jitsu and Grappling (midlandsgrappling.mynetworksolutions.com returns an empty body) and JB Martial Arts at 965 Summers Ave; neither verified from a live body, so no SC row created.
SUSPECT-VERDICT	Spartanburg BJJ	Spartanburg	SC	https://www.spartanburgjiujitsu.com		REAL-BUT-WRONG-URL. spartanburgbjj.com is NXDOMAIN (Status 3). The Spartanburg school trades at spartanburgjiujitsu.com and its own page logo alt text still reads "Spartanburg BJJ". Body carries full Adults BJJ, Kids BJJ, Women's BJJ and Masters gi and no-gi schedules, instructor Brandon "born and raised in Spartanburg" who trains with Rafael Rosendo dos Santos of Alliance Greenville, phone (864) 357-2085, embedded map at 34.986 N 81.860 W (Spartanburg). No street address printed in body.
SUSPECT-VERDICT	Summerville BJJ	Summerville	SC			GONE. summervillebjj.com is NXDOMAIN (Status 3). No entity trading as Summerville BJJ. Summerville's operating BJJ read from body is Gracie Barra Summerville, 801 N. Main St, Summerville SC 29483, (843) 765-6903, listed separately as NET-NEW.
SUSPECT-VERDICT	Charleston BJJ	Charleston	SC			WRONG-ENTITY. charlestonbjj.com resolves (76.223.54.146) but redirects to forsale.godaddy.com and the body reads "CharlestonBjj.com is for sale! Buy now for $850". The domain is a GoDaddy parked sale listing, not a school. Charleston's operating academies are listed separately (Gracie Barra West Ashley, Black Label Martial Arts, Charleston Brazilian Jiu-Jitsu Academy in North Charleston).
SUSPECT-VERDICT	American Judo and Jiu-Jitsu	North Charleston	SC	https://judoandbjj.com	9473 Hwy 78, Ladson, SC	WRONG-ENTITY, JUDO ONLY, REJECT. Body of judoandbjj.com reads "Chucktown Judo from American Judo and Jiu-jitsu Academy. Welcome to Charleston's new home for authentic, competitive Judo", "our mission is to spread the powerful culture of judo", "authentic judo techniques", with nav links to Join USA Judo and a judo gi shop. The Class Schedules page lists exactly two offerings: Junior Judo and Adult Judo. The word Brazilian never appears in any page body. City is also wrong: body location is 9473 Hwy 78, Ladson SC (inside Mellow and Play Cafe), not North Charleston, and the contact number 501.844.1883 is an Arkansas area code.
SUSPECT-VERDICT	Florence BJJ SC	Florence	SC			GONE. Record carries no URL on the live page. The obvious domain florencebjj.com is Florence ALABAMA: body reads "Located in the heart of downtown Florence, Alabama", address 212B North Court Street, Florence, Al 35630, phone 256-648-3843, Carlson Gracie Team. It must not be attached to this record. Florence SC's real academy read from body is Ozone Brazilian Jiu-Jitsu, 1735 South Irby St, Florence SC 29505, listed separately as NET-NEW.
SUSPECT-VERDICT	Hilton Head BJJ	Hilton Head Island	SC			GONE. Record carries no URL and no business trading as Hilton Head BJJ could be found. BJJ on the island is taught by McElroy's Martial Arts Academy at the Island Rec Center, 20 Wilborn Rd, Hilton Head Island SC 29926, listed separately as NET-NEW. Gracie Jiu-Jitsu Hilton Head is in Bluffton and its site returned an empty body, so it is held back.
