status	name	city	state	website	address	evidence
ALREADY-IN	Black Hills Brazilian Jiu-Jitsu	Rapid City	SD	https://www.bhbjj.com	3325 W. Main St, Rapid City, SD 57702	Live Gymdesk site body: full weekly BJJ schedule, 14 named instructors incl. black belt Jeremy Schunneman; footer address ZIP 57702, phone 605-391-9032
NET-NEW	Gold Bar Training Center	Rapid City	SD	https://goldbartrainingcenter.com	2090 Deadwood Ave Suite 3, Rapid City, SD 57701	Site body: "learn Jiu Jitsu in Rapid City, SD", Gi/No-Gi/Kids BJJ, kickboxing, wrestling classes; footer ZIP 57701, phone 605-415-7414
NET-NEW	Rapid City Brazilian Jiu Jitsu	Rapid City	SD		101B New York St, Rapid City, SD 57701	No own site; two independent directory bodies give same address, coach Joe Reiter, and dated 2023-2024 student reviews; ZIP 57701, phone 605-254-2665
NET-NEW	Next Edge Academy	Sioux Falls	SD	https://nextedgeacademy.com	909 E 8th St, Sioux Falls, SD 57103	Site body: gi and no-gi BJJ, kids BJJ, boxing, MMA; body names 909 E 8th St and serves Harrisburg, Brandon, Tea, Dell Rapids; ZIP 57103, phone 605-250-1339
NET-NEW	Midwest Martial Arts Academy	Sioux Falls	SD	https://midwestmartialartssf.com	5014 S Marion Rd, Sioux Falls, SD 57106	Site body: Roy Dean Academy affiliated BJJ plus Muay Thai and Judo, head instructor Devin Turner BJJ black belt; "57th & Marion" Sioux Falls SD, ZIP 57106, phone 605-340-0184
NET-NEW	Misfits Grappling Club	Sioux Falls	SD	https://www.misfitsgrapplingclub.com	3506 N Casco Ave, Sioux Falls, SD 57104	Site body: 10th Planet no-gi BJJ, full gi and no-gi weekly schedule, instructors Sawyer Buttweiler (brown) and Tyler Ockenga; footer ZIP 57104
NET-NEW	Gracie Jiu-Jitsu Sioux Falls	Sioux Falls	SD	https://www.gjjsiouxfalls.com	2300 S West Ave, Entrance D, Sioux Falls, SD 57105	Site body: Certified Gracie Jiu-Jitsu Training Center, owners Mitchell and Jenni-Lee Evertse, Gracie University instructor certs; contact block ZIP 57105, phone 605-215-1611
NET-NEW	Hub City MMA and BJJ	Aberdeen	SD	https://hubcitymma.gymdesk.com	206 S Dakota St, Aberdeen, SD 57401	Live Gymdesk site body: Brazilian Jiu-Jitsu gi and no-gi, youth BJJ, kickboxing, open mat schedule; footer "Aberdeen, SD 57401", phone 605-216-4005
NET-NEW	Wolfpack Family Jiujitsu	Aberdeen	SD		313 S Main St, Aberdeen, SD 57401	Own domain is dead; directory body dated 3 Aug 2026 shows current opening hours, gi/no-gi/kids classes, 10 Google reviews; ZIP 57401, phone 605-626-6020
NET-NEW	No Illusions Martial Arts	Brookings	SD	https://www.noillusionsmartialarts.com	308 6th St, Brookings, SD 57006	Site body: "Jiu Jitsu and Muay Thai in Brookings, SD", adult and youth BJJ, IBJJF podium photos; black belt Cary Bingham; ZIP 57006, phone 605-651-1737
NET-NEW	Spearfish Martial Arts	Spearfish	SD	https://www.spearfishmartialarts.com	2431 E Colorado Blvd, Spearfish, SD 57783	Site body: adult gi/no-gi BJJ, youth BJJ, Muay Thai, TaeKwonDo on full weekly schedule; footer ZIP 57783, phone 605-291-4030
SUSPECT-VERDICT	Aberdeen BJJ	Aberdeen	SD			GONE - aberdeenbjj.com returns DNS Status 3 NXDOMAIN; no Aberdeen SD school trades as "Aberdeen BJJ". Real Aberdeen SD schools are Hub City MMA and BJJ and Wolfpack Family Jiujitsu, both ZIP 57401
SUSPECT-VERDICT	Brookings BJJ	Brookings	SD			GONE - brookingsbjj.com returns DNS Status 3 NXDOMAIN; no school trades as "Brookings BJJ". Brookings SD BJJ is No Illusions Martial Arts, ZIP 57006, phone 605-651-1737
SUSPECT-VERDICT	Huron BJJ	Huron	SD			WRONG-ENTITY - huronbjj.com resolves and is live, but the body reads "premier Brazilian Jiu-Jitsu academy in Goderich" with contact address 199 Anglesea St, Goderich, ON and phone 519-567-0094. Ontario, Canada, not Huron SD. No BJJ school found in Huron SD
SUSPECT-VERDICT	Mitchell BJJ	Mitchell	SD			GONE - mitchellbjj.com resolves but body is a GoDaddy placeholder reading only "Launching Soon", no school content. No BJJ school found in Mitchell SD 57301; only karate and taekwondo schools there
SUSPECT-VERDICT	Sioux Falls BJJ	Sioux Falls	SD			GONE - siouxfallsbjj.com returns DNS Status 3 NXDOMAIN; no Sioux Falls school trades as "Sioux Falls BJJ". Real 605-area Sioux Falls BJJ schools are Next Edge, Midwest MA, Misfits and Gracie JJ
SUSPECT-VERDICT	Vermillion BJJ	Vermillion	SD			GONE - vermillionbjj.com returns DNS Status 3 NXDOMAIN; no operating BJJ school found in Vermillion SD 57069. Only prior candidate, Coyote Combat Sports, also has a dead domain
SUSPECT-VERDICT	Joku Dojo	Sioux Falls	SD			GONE - record carries no URL and no trace of the name exists in any Sioux Falls SD 605-area listing, directory or search result
SUSPECT-VERDICT	Watertown BJJ SD	Watertown	SD			GONE - no BJJ school in Watertown SD 57201. The one candidate, Fallout Shelter Ministries, states its jiu jitsu program ended when the instructor left; it now offers only TKD, Hapkido and self-defense
