status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Barre BJJ	Barre	VT			GONE - barrebjj.com DNS Status 3 NXDOMAIN; no school trades as Barre BJJ; central VT is served by Granite City MMA in Graniteville 05654 and Montpelier Martial Arts BJJ in Berlin 05602, both listed separately
SUSPECT-VERDICT	Bennington BJJ	Bennington	VT			GONE - benningtonbjj.com DNS Status 3 NXDOMAIN; Bennington VT 05201 town listings show only Green Mountain Tae Kwon-Do and Okinawan Karate Dojo, no BJJ; nearest BJJ are across the line in NY and MA
SUSPECT-VERDICT	Brattleboro BJJ	Brattleboro	VT	https://www.brattleborojiujitsu.com	55 Marlboro Rd., Suite 14, Brattleboro, VT 05301	REAL-BUT-WRONG-URL - brattleborobjj.com NXDOMAIN; school trades as Gracie Jiu-Jitsu Brattleboro, contact page body shows 55 Marlboro Rd. Suite 14 Brattleboro VT 05301 and phone 802-579-7906
SUSPECT-VERDICT	Montpelier BJJ	Berlin	VT	https://montpeliermartialartsbjj.com	652 Granger Road, Berlin, VT 05602	REAL-BUT-WRONG-URL - montpelierbjj.com NXDOMAIN; school trades as Montpelier Martial Arts BJJ, gi BJJ Tue/Thu plus open mat, at 652 Granger Road Berlin VT 05602, phone 802-223-6309; record city Montpelier is wrong
SUSPECT-VERDICT	Rutland BJJ	Rutland	VT	https://rutlandjiujitsu.com	228 S Main Street, Rutland, VT 05701	REAL-BUT-WRONG-URL - rutlandbjj.com NXDOMAIN; now trades as Rutland American Jiu Jitsu Academy, site body shows RUTLAND 228 S Main Street Rutland VT and phone 802-468-7423
SUSPECT-VERDICT	Burlington Brazilian Jiu Jitsu	Burlington	VT			WRONG-ENTITY - burlingtonbjj.com redirects to burlingtonbjj.ca, body reads Tristar Burlington BJJ, Our Location 1167 Pettit Road Burlington Ontario L7P 2K3, phone 289-208-2551; no VT school of this name
SUSPECT-VERDICT	Green Mountain BJJ	Burlington	VT			GONE - no BJJ school of this name; the only Green Mountain gym is Green Mountain Martial Arts Collaborative, 128 Lakeside Ave Burlington VT 05401, whose classes page body lists only Krabi Krabong, Kali, Thai Boxing and Filipino Dirty Boxing, no BJJ
SUSPECT-VERDICT	White River BJJ	White River Junction	VT			GONE - no BJJ in White River Junction; White River Budokan at 85 N Main St 05001 teaches Goju-ryu karate, judo and Japanese jujutsu only; the Upper Valley BJJ schools are in Lebanon and Hanover NH
ALREADY-IN	Vermont BJJ	Williston	VT	https://vermontbjj.com	55 Leroy Road, Williston, VT 05495	body footer reads VT BJJ LLC is independently located at 55 LEROY ROAD WILLISTON VT, phone 802-598-2839, Carlson Gracie lineage under Julio Foca Fernandez; listed under Burlington but is in Williston
ALREADY-IN	Gracie Jiu Jitsu Vermont	Essex Junction	VT	https://www.gracievermont.com	90 Center Road, Essex Junction, VT 05452	body Our Location block reads 90 Center Road Essex Junction VT 05452; Royce Gracie lineage under Seth Shamp, live class schedule and Saturday open mat; listed under Montpelier but is in Essex Junction
ALREADY-IN	Northeast Kingdom BJJ	Lyndonville	VT		32 Depot Street, Lyndonville, VT 05851	nekbjj.com resolves but serves a blank body and nekmma.com is NXDOMAIN; school trades as Adam LaClair Jiu-Jitsu Academy NEK BJJ, Lyndonville VT 05851, phone 802-473-9080; listed under St. Johnsbury but is in Lyndonville
NET-NEW	Grind BJJ	Burlington	VT		294 N Winooski Ave, Suite 112B, Burlington, VT 05401	Love Burlington business page body lists Grind BJJ, classes in Brazilian Jiu Jitsu and Kickboxing, 294 North Winooski Avenue Burlington Vermont 05401, phone 802-318-8432; grindbjjvt.com resolves but serves a blank body
NET-NEW	Combat Fitness MMA	Winooski	VT	https://combatfitnessmma.com	276 East Allen Street, Unit 8, Winooski, VT 05404	own site body reads proud to provide Winooski with programs for Western Boxing, Brazilian Jiu-Jitsu, Judo and Kickboxing, now offering morning BJJ classes; ZIP 05404, phone 802-655-5425
NET-NEW	United Fighting Arts Institute	South Burlington	VT		1891 Williston Road, Suite 31, South Burlington, VT 05403	listing body reads largest multi-style martial arts training facility in Vermont offering Brazilian Jiu Jitsu Gi and No-Gi, LEO BJJ and Gracie Survival Tactics; 1891 Williston Road South Burlington VT 05403, phone 802-310-4915
