status	name	city	state	website	address	evidence
SUSPECT-VERDICT	Beckley BJJ	Beckley	WV			GONE - dns.google returns Status 3 NXDOMAIN for beckleybjj.com, conclusive. No business anywhere trades as "Beckley BJJ". Beckley's two real academies were found instead and are listed separately: Arte Suave Jiu Jitsu Academy, 321 South Fayette Street, Beckley WV 25801, phone 304-250-8128, and Family Martial Arts / Gracie Jiu-Jitsu Beckley, 311 Beckley Plaza.
SUSPECT-VERDICT	Fairmont BJJ	Fairmont	WV			GONE - dns.google returns Status 3 NXDOMAIN for fairmontbjj.com, conclusive. No school trades as "Fairmont BJJ". The Fairmont-area BJJ academy is The Compound Mixed Martial Arts Training Center, body reads "2331 Rollingwoods Dr, Pleasant Valley, WV" and "304-376-7360" (listed separately).
SUSPECT-VERDICT	Huntington BJJ	Huntington	WV			GONE - dns.google returns Status 3 NXDOMAIN for huntingtonbjj.com, conclusive. Huntington's actual academy is Ground Zero Fighting Systems Brazilian Jiu Jitsu and MMA, 1639 7th Avenue, Huntington WV 25701 (listed separately). Note aforcebjj.com/huntington body reads "Huntington, NY 11743" and was rejected.
SUSPECT-VERDICT	Martinsburg BJJ	Martinsburg	WV			GONE - dns.google returns Status 3 NXDOMAIN for martinsburgbjj.com, conclusive. Martinsburg has three real gyms found instead: Renzo Gracie Martinsburg (1211 N Queen Street, 1-304-433-5336), Nine Realms MMA and Freya BJJ (204 North Queen Street, 681-260-1734) and Elite Martial Arts and MMA (295 Monroe Street, Tel 304-886-7211).
SUSPECT-VERDICT	Wheeling BJJ	Wheeling	WV			GONE - dns.google returns Status 3 NXDOMAIN for wheelingbjj.com, conclusive. No school trades as "Wheeling BJJ". Wheeling's two gyms are Ohio Valley MMA, 27 11th St, Wheeling WV 26003, 304-281-8638, and Bullpen Fight Club WV at the Nelson Jordan Center (both listed separately).
SUSPECT-VERDICT	Clarksburg BJJ	Clarksburg	WV			WRONG-ENTITY - clarksburgbjj.com resolves (15.197.225.128) but 301-redirects to mmaandsport.com, whose body reads "26123 Ridge Road Damascus, MD 20872" and "(240)207-3212". That is a MARYLAND gym serving Clarksburg MD, not Clarksburg WV. No BJJ academy found in Clarksburg WV at all; the nearest is Ground Zero BJJ Bridgeport, 529 E Main St, Bridgeport WV 26330.
SUSPECT-VERDICT	Stellar Jiu Jitsu	Lewisburg	WV	https://stellarjj.com	232 Lee St Building D, Lewisburg, WV 24901	REAL-BUT-WRONG-URL - lewisburgbjj.com resolves (162.255.119.225) but serves an empty body. The operating Lewisburg academy is Stellar Jiu Jitsu; its body reads "A jiu-jitsu academy in Lewisburg, WV", "EST. 2018", address "232 Lee St Building D Lewisburg, WV 24901" and phone "304-900-3250" (304 = WV). Correct URL is stellarjj.com.
SUSPECT-VERDICT	Nitro BJJ	Nitro	WV			WRONG-ENTITY - nitrobjj.com resolves but 301-redirects to altusjiujitsu.com, whose body reads "Brewster, NY & Putnam County's #1 Brazilian Jiu-Jitsu Academy", "1620 NY-22, Brewster, NY 10509", "(845) 582-0076". The domain belongs to the former Nitro Brazilian Jiu Jitsu of Brewster NEW YORK, now rebranded Altus. No BJJ academy operates in Nitro WV; the WV Martial Arts Magazine directory lists only "BCI, Private Classes with Professor Ernie Boggs" for Nitro, with no address.
SUSPECT-VERDICT	Parkersburg Martial Arts Center	Vienna	WV	https://www.parkersburgbjj.com	101 12th St, Vienna, WV 26105	REAL - parkersburgbjj.com body reads "Parkersburg Martial Arts Center is proud to be the premier destination for authentic Gracie Jiu-Jitsu in the Parkersburg area", Pedro Sauer affiliate links, copyright "2026 Parkersburg Martial Arts Center LLC". Contact page body: "We are located in Vienna, WV at 101 12th St. If you are using GPS ... 0 Anns Dr. Vienna, WV 26105". City should be Vienna WV 26105, not Parkersburg.
SUSPECT-VERDICT	West Virginia BJJ	Morgantown	WV			WRONG-ENTITY - wvbjj.com resolves and 301-redirects to stellarjj.com, whose body is Stellar Jiu Jitsu at "232 Lee St Building D Lewisburg, WV 24901" - a Greenbrier County school, not Morgantown. No Morgantown academy trades as "West Virginia BJJ". Morgantown's four real gyms are Team Junqueira (308 Cheat Road), Renzo Gracie Morgantown (300 Frederick Lane), Ground Zero Fighting Systems (5000 Green Bag Road) and Black Cat MMA (9500 Mall Rd), all listed separately.
NET-NEW	Butch Hiles Brazilian Jiu-Jitsu and MMA	Charleston	WV	https://advancedbkj.com	410 Summers Street, Charleston, WV 25301	Body: "Our Main location is in Charleston, West Virginia", footer "410 Summers Street Charleston, WV 25301" and "(304) 549-9370". 304 area code and ZIP 25301 confirm Charleston WV, not Charleston SC. Butch Hiles black belt, Marcello Monteiro / Carlson Gracie lineage. Runs a WV affiliate network.
NET-NEW	Mountain State Jiu-Jitsu	South Charleston	WV	https://mountainstatejiujitsu.com	1101 Jefferson Road, South Charleston, WV 25309	Body: "We are located in South Charleston, West Virginia", "Address 1101 JEFFERSON ROAD SOUTH CHARLESTON, WV 25309", phone "(304) 561-4864". Jiu-Jitsu For Life Team, instructors Scott Layton and Teddie Malone, black belts under Saulo and Xande Ribeiro. ZIP 25309 and 304 code confirm WV.
NET-NEW	SBG West Virginia	St. Albans	WV	https://www.sbgwv.com	66 6th Ave, St Albans, WV 25177	Site is a JS app; served head reads "SBG West Virginia will help you and your kids embark on a journey of self-discovery, martial arts, fitness, and personal growth in St. Albans West Virginia", keywords "st. albans, charleston, west virginia ... brazilian jiu jitsu". Address and ZIP 25177 corroborated by the BJJMetrics WV gym page (Scott Lowther, bjj/mma/self-defense). This is St. Albans WV, not St Albans VT or St Albans England.
NET-NEW	Category Five Jiu-Jitsu	Hurricane	WV	https://c5jj.com	270 Progress Way Unit A2, Hurricane, WV 25526	Body: "Start your journey with Jiu-Jitsu classes in Hurricane, West Virginia today", footer "Category Five Jiu-Jitsu (304) 550-6685, 270 Progress Way Unit A2, Hurricane, WV 25526". Six Blades / Saulo and Xande Ribeiro lineage via Chris Blanke. ZIP 25526 and 304 code confirm WV.
NET-NEW	Relson Gracie Jiu-Jitsu of West Virginia	Hurricane	WV	https://relsongraciewv.com	3551 Teays Valley Rd, Hurricane, WV 25526	Body: "Relson Gracie Jiu Jitsu of West Virginia is WV's premier private self-defense training academy, located in Scott Depot, West Virginia"; Contact block gives "3551 Teays Valley Rd, Hurrican, WV 25526". Head instructor John Arthur, brown belt under Relson Gracie. Phone on bjjweb listing (304) 550-8993. ZIP 25526 confirms WV. Teays Valley corridor between Scott Depot and Hurricane.
NET-NEW	Ground Zero Fighting Systems Huntington	Huntington	WV	https://gzfshuntington.wordpress.com	1639 7th Avenue, Huntington, WV 25701	Site title and body: "Ground Zero Fighting Systems Brazilian Jiu Jitsu and MMA - Huntington, WV", "Team Ground Zero (Huntington) is one of the longest established and most decorated BJJ School in WV ... WV Games Team Champions". Owned by Tim Dunlap and Ashley Lockwood, Jorge Gurgel lineage. Address 1639 7th Avenue Huntington WV 25701 corroborated by MatMade Huntington WV city page. Huntington WV, not Huntington NY or IN.
NET-NEW	Team Junqueira Brazilian Jiu Jitsu	Morgantown	WV	http://teamrjbjj.com	308 Cheat Road, Morgantown, WV 26508	Body footer: "LOCATED INSIDE PRO PERFORMANCE Rx, Team Junqueira Morgantown, 308 Cheat Road, Morgantown, WV 26508". Marcelo Garcia Jiu-Jitsu Association, Professor Rodrigo Junqueira. Phone (304) 276-1787. ZIP 26508 and 304 code confirm WV.
NET-NEW	Renzo Gracie Brazilian Jiu Jitsu Morgantown	Morgantown	WV	https://renzograciemorgantown.com	300 Frederick Lane, Morgantown, WV 26508	Body: "Located in Morgantown, WV, our Brazilian Jiu-Jitsu gym ... over 1,800 sq. ft. of mat space"; footer "Renzo Gracie Brazilian Jiu Jitsu - Morgantown, 300 Frederick Lane Morgantown, WV 26508". ZIP 26508 confirms WV.
NET-NEW	Ground Zero Fighting Systems	Morgantown	WV	https://teamgzfs.com	5000 Green Bag Road Ste E3 and E5, Mountaineer Mall, Morgantown, WV 26501	Body footer: "Ground Zero Fighting Systems Mountaineer Mall, 5000 Green Bag Road Ste E3 & E5, Morgantown, WV 26501", "tel:3042828936". Site describes "the best gym in Morgantown, West Virginia". The BJJ program is documented on the school's bjjweb entry: "Our Brazilian Jiu-Jitsu program is the first in our state. Established in 1996". MatMade Morgantown page lists it as a BJJ academy, 4.8 from 39 ratings. ZIP 26501 and 304 code confirm WV.
NET-NEW	Black Cat MMA	Morgantown	WV	https://morgantownmma.com	9500 Mall Rd Ste 217, Westover, Morgantown, WV 26501	Body: "BLACK CAT MMA - THE #1 JIU JITSU ACADEMY IN Morgantown, West Virginia", program "GRAPPLING (Wrestling and JiuJitsu) - Based in Brazilian Jiu-Jitsu, wrestling, and submission grappling"; "OUR LOCATION 9500 Mall Rd, Ste 217, Westover Morgantown, WV, 26501". Owner Josh Fowler. ZIP 26501 confirms WV.
NET-NEW	Ground Zero BJJ Bridgeport	Bridgeport	WV	http://www.groundzerobjjbridgeport.com	529 E Main St Ste 6, Bridgeport, WV 26330	Site title "Ground Zero BJJ Bridgeport LLP", body offers waivers, drop-in fees, kids and adult BJJ classes; embedded map coordinates -80.2401909 / 39.2884962 are Bridgeport WV. Address 529 E Main St Ste 6, Bridgeport WV 26330 from the BJJMetrics WV page; bjjweb gives phone (304) 641-2631 and "brings the highest quality Brazilian Jiu-Jitsu to the North Central West Virginia area". ZIP 26330 and 304 code confirm WV.
NET-NEW	The Compound Mixed Martial Arts Training Center	Pleasant Valley	WV	https://thecompoundmmatc.com	2331 Rollingwoods Dr, Pleasant Valley, WV 26554	Body: "The Compound Mixed Martial Arts Training Center ... Since 2017", programs "Adults & Teens Brazilian Jiu-Jitsu", "Kids Brazilian Jiu-Jitsu"; footer "2331 Rollingwoods Dr, Pleasant Valley, WV" and "304-376-7360". Luiz Palhares affiliate under Professor Gene Smithson. Pleasant Valley is the Fairmont suburb; ZIP 26554 and 304 code confirm WV.
NET-NEW	Body Armor MMA	Buckhannon	WV	https://www.bodyarmorwv.com	191 Vicksburg Rd, Buckhannon, WV 26201	Contact page body: "Address: 191 Vicksburg Rd, Buckhannon, WV 26201", "Phone: 304.613.4476". Instagram handle bodyarmorjiujitsu; runs kids BJJ, youth jiu-jitsu, adult gi and no-gi jiu-jitsu. ZIP 26201 and 304 code confirm WV.
NET-NEW	Team Luiz Palhares of West Virginia - Imperium Jiu-Jitsu	Elkins	WV	https://bjjclub.weebly.com	2285 Beverly Pike Suite 5, Elkins, WV 26241	Location page body: "Elkins - Classes are offered at our new facility located at 2285 Beverly Pike, Suite 5 in Elkins, WV. This is the home of Imperium Jiu-Jitsu ... contact Team Luiz Palhares of West Virginia, LLC at 304-444-8111". Gene Smithson, 2nd degree black belt under Luiz Palhares. ZIP 26241 and 304 code confirm WV.
NET-NEW	Andrew Pardee Brazilian Jiu-Jitsu Academy	Follansbee	WV	https://andrewpardeebjj.com	134 May Road, Follansbee, WV 26037	Body: "Come join us for Brazilian Jiu-Jitsu in Follansbee! ... We are located in Follansbee right on May Road", "134 May Road Follansbee, WV 26037", "304-374-9651". Andrew Pardee, 1st degree black belt under Shawn Hammonds; only IBJJF-recognised black belt locally. ZIP 26037 and 304 code confirm WV, not Steubenville OH across the river.
NET-NEW	West Karate and Brazilian Jiu Jitsu	Weirton	WV	https://westkarateofweirton.com	328 Penco Rd, Weirton, WV 26062	Body: "a hybrid martial arts school in Weirton, WV ... we consider ourselves a Brazilian Jiu Jitsu academy and a Karate dojo at the same time"; footer "Weirton BJJ Academy, 304-479-5292, 328 Penco Rd, Weirton, WV 26062". Owner Troy Fernandez, BJJ black belt under Lou Armezzani. NOTE their second site, Steubenville BJJ Academy at 227 N 4th St, Steubenville OH 43952, is OHIO and is excluded from this file. ZIP 26062 and 304 code confirm the Weirton site is WV.
NET-NEW	Weirton Bando Martial Arts	Weirton	WV		3420 Main St, Weirton, WV 26062	Listed on the Butch Hiles BJJ affiliate menu (advancedbkj.com body) under "West Virginia - Weirton, WV" with a Facebook link. MatMade's Weirton WV city page body lists "Weirton Bando Martial Arts (Butch Hiles BJJ Affiliate), 3420 Main St", Adult program, 4.6 from 5 ratings. Weirton WV ZIP 26062. No independent website found; Facebook-only.
NET-NEW	Ohio Valley MMA	Wheeling	WV		27 11th St, Wheeling, WV 26003	MatMade Wheeling WV city page body lists "Ohio Valley MMA, 27 11th St", Adult program, 4.3 from 17 ratings. Corroborated by their own Facebook about page: 27 11th St, Wheeling, West Virginia 26003, phone +1 304-281-8638, "emphasis on Bando, Muay Thai, Wrestling, and Brazilian Jiu Jitsu". ZIP 26003 and 304 code confirm Wheeling WV, not the Pittsburgh PA or Steubenville OH side.
NET-NEW	Bullpen Fight Club WV	Wheeling	WV		Nelson Jordan Center, 1100-1198 Charles St, Wheeling, WV 26003	MatMade Wheeling WV city page body lists "Bullpen Fight Club WV at Nelson Jordan Center, 1100-1198 Charles St", 4.9 from 26 ratings. FindMMAGym body: "The Bullpen Fight Club is the premier gym in Wheeling, West Virginia, for MMA/Boxing/Kickboxing/Brazilian Jiu-Jitsu taught by Mike Napple and Thomas J. Hastings ... currently meets at the Nelson Jordan Center", phone (304) 281-1650. Wheeling WV 26003, 304 code. Lower confidence on current status - no live independent site, older aggregator entry.
NET-NEW	Spectrum Jiu Jitsu	Kearneysville	WV	https://spectrumjiujitsu.com	59 Ruland Road Suite A, Kearneysville, WV 25430	Body: "SPECTRUM JIU JITSU, 59 Ruland Rd, Kearneysville, WV, 25430", "3042683241", footer repeats "59 RULAND ROAD, SUITE A, KEARNEYSVILLE, WV 25430 ... 304-268-3241", "SINCE 2015", "the area's premier Brazilian Jiu-Jitsu academy under Team Renzo Gracie". ZIP 25430 and 304 code confirm WV, not Hagerstown MD or Winchester VA.
NET-NEW	True Elevation Brazilian Jiu Jitsu	Kearneysville	WV	https://tpfgym.com/true_elevation_bjj/	362 W Burr Blvd, Kearneysville, WV 25430	Body: "True Elevation Brazilian Jiu Jitsu is here to serve Jefferson and Berkeley Counties in West Virginia and surrounding areas ... Located inside True Performance Fitness, over 1500 sq ft of mat space ... Round Table BJJ Affiliate". Head instructor Joseph Harrison. Address 362 W Burr Blvd Suite BJJ, Kearneysville WV 25430 from the BJJMetrics WV page and MatMade. ZIP 25430 confirms WV.
NET-NEW	Renzo Gracie Martinsburg	Martinsburg	WV	https://www.renzograciemartinsburg.com	1211 N Queen Street, Martinsburg, WV 25405	Body footer: "Renzo Gracie Martinsburg, 1211 N Queen Street, Martinsburg, West Virginia 25405", "1-304-433-5336", "info@renzograciemartinsburg.com". Adult and kids BJJ. ZIP 25405 and 304 code confirm WV, not Hagerstown MD or Winchester VA.
NET-NEW	Nine Realms MMA and Freya Jiu Jitsu	Martinsburg	WV	https://ninerealmsmma.net	204 North Queen Street Suite 100, Martinsburg, WV 25401	Body: "Nine Realms MMA is a mixed martial arts gym located in Martinsburg, West Virginia ... Founded in 2019, we are a proud female-owned business"; contact block "204 North Queen Street, Martinsburg, WV, USA", "681-260-1734". Freya Jiu Jitsu is the in-house BJJ program under Coach Melissa Thompson. 681 is a West Virginia area code; ZIP 25401 confirms WV.
