ref	region	city	name	stored_w	current_override	override_file	new_w	evidence	source_url
b10-3	CA	Anaheim	Javier Blanchard Brazilian Jiu Jitsu / BJJ Anaheim CA 92801	https://www.javierblanchard.com/		websites-2	https://www.facebook.com/javierblanchardbrazilianjiujitsu/	FB page Details lists 2139 W Lincoln Ave, Anaheim, CA 92801 (matches the record zip) and the bio names Jiu Jitsu under Rickson Gracie and the Machado brothers; javierblanchard.com is NXDOMAIN in-browser.	https://www.facebook.com/javierblanchardbrazilianjiujitsu/
b10-18	CA	Fresno	Checkmat Fresno-Roots Brazilian Jiu-Jitsu	http://checkmatfresno.com		websites-2	https://www.facebook.com/rootsbjjfresno/	"FB page ""Checkmat Fresno is the Brazilian Jiu Jitsu academy with world-class instructor Matheus Luna"" lists 1835 E Dakota Ave, Fresno, CA 93726; checkmatfresno.com and rootsbjj.com are both dead."	https://www.facebook.com/rootsbjjfresno/
b10-26	CA	Irvine	Team Oyama MMA & Fitness	http://teamoyamamma.com/		websites-2	https://teamoyama.com/	Site footer gives 16632 Hale Ave #100, Irvine, CA 92606 and (949) 250-3117; class list includes a named No-Gi Jiu-Jitsu class and Ron Turner appears on the instructor roster.	https://teamoyama.com/about
b10-36	CA	Merced	Merced Academy of Jiu Jitsu			NEW	https://www.facebook.com/mercedacademyofjiujitsu/	FB Details section gives 1725 G st Suite B, Merced, CA 95340, category Martial Arts School - a different address from the known-wrong mercedjiujitsu.com (530 W Olive Ave).	https://www.facebook.com/mercedacademyofjiujitsu/
b10-45	CA	Ridgecrest	Flawless Victory MMA	http://www.fvmma.com/		websites-2	https://www.facebook.com/FlawlessVictoryMma/	"FB page gives 737 W Ridgecrest Blvd, Ridgecrest, CA 93555 and the bio names ""Brazilian Jiu Jitsu, kickboxing, submission grappling, Muay Thai, and MMA""; fvmma.com, flawlessvictorymma.com and .net are all NXDOMAIN."	https://www.facebook.com/FlawlessVictoryMma/
b10-54	CA	Simi Valley	Watts Brazilian Jiu-Jitsu & Muay Thai Academy	http://www.wattsbjj.com/		websites-2	https://www.paragonsimivalley.com/	"About page states the school was founded by Dion Watts and ""Known then as Watts Brazilian Jiu-Jitsu and Muay Thai Academy"" before joining Paragon in 2015; footer address 4210 E Los Angeles Ave, Simi Valley, CA 93063 matches - a self-declared rebrand, not a succession."	https://www.paragonsimivalley.com/about-us
b10-57	CA	Stanton	DE LA O Jiu-Jitsu	http://delaojiujitsu.com/		websites-2	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/	"FB page ""De La O Jiu Jitsu Training Center (Stanton, CA)"" lists 8381 Katella Ave, Stanton, CA 90680 and (714) 527-1845; delaojiujitsu.com and delaojj.com are both NXDOMAIN in-browser."	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/
b10-71	CA	West Sacramento	Buena Vida Jiu Jitsu Academy			NEW	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/	"FB page bio ""We are a Brazilian Jiu-Jitsu Academy based out of West Sacramento California"" with address 2551 Del Monte, West Sacramento, CA 95691."	https://www.facebook.com/BuenaVidaJiuJitsuAcademy/
b10-72	CA	Whittier	Gracie Jiu-Jitsu Whittier			NEW	https://graciejiu-jitsuwhittier.com/	"Live site headed ""Welcome to Gracie Jiu-Jitsu Whittier"" listing named Gracie BullyProof and Gracie Combatives classes and Mon-Wed 05:30pm-08:30pm hours; caveat - the site publishes hours but no street address or phone, so identity rests on the name and city."	https://graciejiu-jitsuwhittier.com/
b9-11	FL	Clearwater	Grady's Family Mixed Martial Arts	http://www.gradysmma.com		websites-2	https://www.facebook.com/gradysmma/	"FB page bio ""Mixed Martial Arts Gym based out of Clearwater FL - Boxing, Kickboxing, Submission Grappling, Self-Defense"" with location Clearwater, FL 33764; note the page gives city and zip only, no street address."	https://www.facebook.com/gradysmma/
