id	region	city	name	stored_w	current_override	override_file	new_w	verified	note
8	CO	Castle Rock	Carlson Gracie Jiujitsu Team Castle Rock	http://carlsongracieteamcastlerock.com		websites-2	https://therockjiujitsuteam.com/	PASS_WITH_CAVEAT	Same entity rebranded: site is 488 Crystal Valley Pkwy C with owner email jared@, matching Jared Leblanc's Carlson Gracie Castle Rock move to that address; BJJ classes named.
16	CO	Conifer	Conifer Jiu Jitsu & Fitness			NEW	https://www.conifermartialarts.com/	PASS	Site is Conifer Jiu Jitsu at 25797 Conifer Rd Ste B219, Conifer CO, BJJ named throughout.
17	CO	Denver	Low Summit Jiu Jitsu	http://www.lowsummitjiujitsu.com		websites-2	https://rebellionselfdefensegjj.com/	PASS_WITH_CAVEAT	Renamed to Rebellion Self Defense and GJJ and moved to Westminster; both phones (303)570-3887 and (720)218-6317 match Low Summit listings.
27	CO	Lakewood	Lakewood Martial Arts	http://www.campmartialarts.com		websites-2	https://peakmartialartsdenver.com/	PASS_WITH_CAVEAT	Now Peak Martial Arts, 9100 W 6th Ave Lakewood; phone (303) 986-4255 matches the Lakewood Martial Arts listing; named Adult Jiu-Jitsu program.
36	LA	Amite City	Gracie Barra Amite			NEW	https://www.championfactory.com/gyms/amite	PASS_WITH_CAVEAT	Subpage is real and location-specific: Gracie United Amite, 102 Central Ave Amite LA, (985) 687-7088, full BJJ schedule; school now brands as Gracie United not Gracie Barra.
43	LA	Crowley	Gladiators Academy of Crowley	https://www.gladiatorsofcrowley.com/		websites-2	https://www.gladiatorsacademyofcrowley.com/	PASS	Exact name match, 209 East Park Street Crowley LA 70526, (337) 789-4389, named BJJ Classes program.
62	LA	Shreveport	Carlos Machado Jiu Jitsu of Shreveport	http://shreveportmartialart.com/		websites-2	https://cmjjshreveport.com/	PASS	Carlos Machado Jiujitsu Shreveport, 2539 E. 70th Street Shreveport LA, 318-658-3035, named kids/teen/adult BJJ classes.
71	NJ	Cedar Knolls	AMA Fight Club	https://www.amafightclubcedarknolls.com/		websites-2	https://www.joinamafightclub.com/	PASS	AMA Fight Club, 8 East Frederick Place Unit 106, Cedar Knolls NJ 07927, (973) 877-8294, dedicated Brazilian Jiu Jitsu program page.
108	NJ	Whippany	Gym-Jitsu Mobile Martial Arts			NEW	https://square.site/book/ENGYJXSXQZP1Y/gym-jitsu-mobile-martial-arts-whippany-nj	PASS_WITH_CAVEAT	Claimed booking page with real services and staff: 156 Algonquin Parkway Whippany NJ 07981, (862) 701-3733; grappling named only inside the Leadership class blurb, and its own domain gjmma.com is NXDOMAIN.
115	OK	Blanchard	Munoz BJJ and Combat Sports			NEW	https://www.munozmma.net/	PASS	Munoz Mixed Martial Arts Academy, 109 SE 3rd Street Blanchard OK 73010, BJJ and No Gi Grappling listed as programs, IG handle munozbjjcombatsports.
116	OK	Broken Arrow	Brothers Jiu Jitsu	brothersjiujitsu.com		websites-2	https://brothersjiujitsu.wordpress.com/	PASS	Nogi BJJ academy in Broken Arrow OK owned by James Partridge; contact page gives 3081 W Albany St STE #117, Broken Arrow OK 74012.
117	OK	Broken Arrow	Cohesion Brazilian Jiu-Jitsu & Judo Academy			NEW	https://www.cohesiontrainingacademy.com/	PASS_WITH_CAVEAT	Programs page names Brazilian Jiu Jitsu and Judo, matching the school name; but the location page address is 14720 East Admiral Place Suite E, Tulsa, (918) 944-9415, not Broken Arrow.
124	OK	Edmond	Prodigy Jiu-Jitsu	peopleclimbers.com		websites-2	https://www.prodigyjj.com/	PASS	Page itself states Edmond OK headquarters at 11571 Black Sand Dr Suite B with phone 405-501-1104 and names jiujitsu and no-gi classes; no inference needed.
142	OK	Stillwater	Jackson Academy Martial Art Fitness	jacksonacademymartialarts.com		websites-2	https://www.jackson-academy.com/	PASS	Jackson Academy, 1401 S. Western Rd, Stillwater OK 74074, (405) 780-5961; Jiu Jitsu is one of three named arts with its own section and instructor.
144	OK	Tulsa	Tulsa Judo and Jiu Jitsu	tulsajudoclub.com		websites-2	https://tulsajudo.org/	PASS_WITH_CAVEAT	Tulsa Judo Club, 4343 S Memorial Dr Tulsa OK 74145, +1 918-521-2163, socials tulsajudojiujitsu; judo classes and Judo Open Mat meet the grappling bar though no separate BJJ class is listed.
