# batch 01 verdicts - 90 flagged links
state	city	name	url	verdict	note
NY	Albany	Brandon Abdullah's Martial Arts and Fitness	https://www.albanybjj.com/	LIVE-SCHOOL	live bjj academy, wordpress site
NY	Brooklyn	JG Monster Jiujitsu Fitness	http://www.jgmonsterjiujitsufitness.com	EMPTY	js shell, no body
NY	Cicero	Curtis Tillman's Mixed Martial Arts Academy	http://tillman-mma.com	EMPTY	js shell, no body
NY	Deer Park	American Academy Of Self Defense	http://www.aaofsd.com	LIVE-SCHOOL	live karate/self-defense school
NY	Garden City	Longo and Weidman MMA	http://lawmma.com	PARKED	namebright coming soon
NY	Long Island City	International Training Center of New York	https://www.itcny.com/	EMPTY	js shell, no body
NY	Lynbrook	Kfm Martial Arts & Fitness Academy	http://www.kfmnewyork.com	EMPTY	js shell, no body
NY	Mount Kisco	Westchester Mixed Martial Arts & Fitness	http://www.westchestermmafit.com	PARKED	hugedomains for-sale lander
NY	New Rochelle	Westchester Fight Club	https://westchesterfightclub.com	LIVE-SCHOOL	live mma gym
NY	New York	Bwarrior MMA	http://bwarrior.com	LIVE-SCHOOL	live site, stale content since 2013
NY	New York	Yojimbo BJJ	http://www.yojimbonyc.com	EMPTY	js shell, no body
NY	Niagara Falls	Fight-Sport Training Center	https://www.fightsporttrainingcenter.com/	EMPTY	js shell, no body
NY	North Babylon	Gracie Barra North Babylon	https://gbnorthbabylon.com	EMPTY	js shell, no body
NY	Patchogue	D'Arce Brazilian Jiu-Jitsu	http://www.darcejiujitsu.com	EMPTY	js shell, no body
NY	Point Lookout	Gracie Jiu-Jitsu Point Lookout	https://graciejiujitsuli.com	LIVE-SCHOOL	live gracie jiu-jitsu academy
NY	Queens	Butch's Boxing & MMA	http://www.ny-mma.com	LIVE-SCHOOL	live boxing/mma gym
NY	Queens	Touro Fajardo Brazilian Jiu Jitsu	https://www.tourofajardobrazilianjiujitsu.com	EMPTY	js shell, no body
NY	Rochester	10th Planet Rochester	http://www.10thplanetjiujitsurochester.com	LIVE-SCHOOL	live bjj/muay thai academy
NY	Rochester	Crossfit 585 BJJ	http://www.crossfit585bjj.com/home	LIVE-OTHER	chinese tech news aggregator site
NY	Rockville Centre	Alpha Omega MMA	http://www.alphaomegamma.com	LIVE-SCHOOL	live mma/bjj/judo gym
NY	Seldon	East West MMA	http://www.circleofoneny.com	EMPTY	js shell, no body
NY	Spencerport	Peloton Martial Arts Center	http://www.peloton-bjj.com	LIVE-SCHOOL	live bjj academy
NY	Utica	Utica Combat Athletics	http://www.uticacombat.com	EMPTY	js shell, no body
AL	Athens	Athens Jiu Jitsu	https://www.athensjiujitsu.info/	EMPTY	js shell, no body
AL	Birmingham	Samuel Puccio Brazilian Jiu-Jitsu	https://bhmbjj.com/	LIVE-SCHOOL	live bjj club page
AL	Calera	Calera Fitness and MMA	https://www.calerafitness.com/Calera_Fitness_%26_MMA/Home.html	EMPTY	js shell, no body
AL	Daphne	Yamane Championship Mixed Martial Arts	http://www.ycmma.com/	EMPTY	js shell, no body
