# Ontario verification consolidated - 89 candidates body-checked
city	name_confirmed	url	address	verdict	note
Toronto	Gracie Barra North York Toronto	graciebarra.com		EMPTY	page exists but returns no body after 5 tries
Toronto	Gracie Barra Toronto East	graciebarra.com	68 Railside Rd Unit B, Toronto, ON M1A 1A3	CONFIRMED	real page is graciebarra.com/toronto-east-canada
Etobicoke	Etobicoke BJJ	etobicoke-bjj.com	2918 Lake Shore Blvd W, Toronto, ON M8V 1J4	CONFIRMED	etobicoke is part of toronto
Scarborough	Toronto Top Team Martial Arts and Fitness	torontommateam.com	161 Bartley Drive Unit 3 and 4, North York, ON M4A 1E6	CONFIRMED	actually in north york not scarborough
Toronto	JT6 Academy	jt6.ca	28 Industrial Street Unit 218, Toronto, ON M4G 1Y9	CONFIRMED	leaside location, also has a markham site
Markham	88 BJJ	eighteightbjj.com	Unit 17 - 50 Anderson Ave, Markham, ON L6E 1A6	CONFIRMED	-
Richmond Hill	Richmond Hill Jiu-Jitsu	rh-bjj.com	132 King Rd, Richmond Hill, ON L4E 2T6	CONFIRMED	redirects to rhbjj.ca, also runs maple bjj location
Richmond Hill	905 Brazilian Jiujitsu	905brazilianjiujitsu.com	10 Furbacher Ln Unit 2, Aurora, ON L4G 3V2	CONFIRMED	actual address is in aurora, not richmond hill
Vaughan	King Jiu Jitsu Vaughan	kingjiujitsuvaughan.com	207 Edgeley Blvd #19, Concord, ON L4K 4B5	CONFIRMED	concord is part of vaughan
Vaughan	Vaughan Jiu-Jitsu Academy	vaughanbjj.com	130 Racco Parkway Unit 5, Vaughan, ON L4J 8X9	CONFIRMED	-
Mississauga	Core Jiu-Jitsu	bjjmississauga.com	966 Dundas Street East Unit 13, Mississauga, ON L4Y 4H5	CONFIRMED	site calls itself core jiu-jitsu, b9 is program brand
Mississauga	Current Jiu Jitsu	currentbjj.com	6810 Kitimat Rd Units 8 & 9, Mississauga, ON L5N 5M2	CONFIRMED	-
Mississauga	New Valor Brazilian Jiu-Jitsu Academy	newvalorbjj.com	3250 Ridgeway Dr Unit 7, Mississauga, ON L5L 5Y6	CONFIRMED	inside magnitude martial arts, near ne oakville
Mississauga	Octa BJJ Mississauga	mississauga.octabjj.com	3065 Ridgeway Dr Unit 46 & 47, Mississauga, ON L5L 5M6	CONFIRMED	-
Mississauga	Nova Uniao BJJ-MMAC	bjj-mmac.ca		EMPTY	resolves fine but blank body on root, www and contact
Mississauga	AMA Dojo	amadojo.ca	Unit 8 - 6790 Kitimat Rd, Mississauga, ON L5N 5M1	CONFIRMED	multi-discipline academy, has dedicated bjj program
Brampton	Brampton Brazilian Jiu Jitsu Academy	bramptonjiujitsu.com	1295 Williams Pky E, Brampton, ON L6S 3J8	CONFIRMED	also has georgetown and orangeville sister locations
Oakville	Octa BJJ Oakville	octabjj.com	220 Wyecroft Road Unit 41, Oakville, ON L6K 3V1	CONFIRMED	this is the octa bjj hq location
Burlington	Octa BJJ Burlington	burlington.octabjj.com	1176 Blair Road, Burlington, ON L7M 1K9	CONFIRMED	-
Oakville	VS Brazilian Jiu-Jitsu	vsbjj.com	3114 Dundas St W, Oakville, ON	CONFIRMED	-
Burlington	MN Brazilian Jiu Jitsu Academy	mnbjj.ca	5230 South Service Rd Unit 301, Burlington, ON L7L 5K2	CONFIRMED	-
Oakville	Oakville Brazilian Jiu-Jitsu	oakvillejiujitsu.ca	2828 Kingsway Drive, Oakville, ON L6J 7M2	CONFIRMED	-
Hamilton	Bora Jiu-Jitsu	borabjj.com	625 Greenhill Ave Unit 7, Hamilton, ON L8K 5N8	CONFIRMED	matches hamilton and stoney creek school
Hamilton	Hamilton BJJ	hamilton-bjj.com	166 Green Mountain Rd E, Stoney Creek, ON L8J 3A4	CONFIRMED	dupcheck: probably same as hamiltonbjj.com
Hamilton	PURA BJJ	purabjj.ca		EMPTY	js shell, no body; dns resolves ok
Hamilton	The Grappling Garden	grapplinggarden.ca	100 Frid St. Unit #15, Hamilton, ON	CONFIRMED	bjj gym, kids+adult programs
Hamilton	Joslin's MMA	joslinsmma.com	436 Concession St, Hamilton, ON L9A 1C2	CONFIRMED	mma school with dedicated bjj program
Hamilton	Hamilton School of Martial Arts	hsma1.com	1085 Barton Street East, Hamilton, ON L8L 3E2	CONFIRMED	multi-discipline, has bjj & grappling classes
St. Catharines	Renzo Gracie Niagara	renzogracieniagara.com	486 Grantham Ave, St Catharines, ON	CONFIRMED	matches input address
St. Catharines	SBG Niagara	sbgniagara.ca	11 Seapark Drive, St. Catharines, ON L2M 6S5	CONFIRMED	straight blast gym, bjj + kickboxing
Niagara Falls	Passador BJJ	passadorbjj.com	4536 Portage Road, Niagara Falls, ON L2E 6A8	CONFIRMED	team brasa niagara affiliate
Niagara Falls	Evolve MMA & Fitness	evolvemma.ca	325 Welland Ave, St Catharines, ON L2R 2R2	CONFIRMED	actually in st catharines, not niagara falls
Ottawa	Ottawa Academy of Martial Arts	oama.ca	1810 Carling Ave, Ottawa, ON K2A 1E2	CONFIRMED	bjj, muay thai, mma programs
Ottawa	Gracie Barra Ottawa	gb-ottawa.com	250 Avenue City Centre, Ottawa, ON K1R 6K7	CONFIRMED	matches input, gb affiliate
Ottawa	The Ottawa Jiu Jitsu Club	theottawajiujitsuclub.com	1484 Scott St, Ottawa, ON K1Y 2N4	CONFIRMED	dupcheck flag, no dupe found in this batch
Ottawa	Zen MMA	zenmma.ca	32 Colonnade Rd N #1000, Ottawa (Nepean), ON K2E 7J6	CONFIRMED	carlson gracie bjj affiliate
Ottawa	Silver 7 Martial Arts	silver7martialarts.com	737 Silver Seven Rd, Kanata, ON K2V 1C3	CONFIRMED	marcelo garcia bjj affiliate; 2nd location barrhaven
Ottawa	Jiujitsu Culture	jiujitsuculture.ca	2-397b Richmond Road, Ottawa, ON K2A 0E9	CONFIRMED	westboro ottawa bjj academy
Ottawa	De la Costa Academy	delacosta.ca		EMPTY	js-required redirect, no body; dns resolves
Ottawa	Brave Martial Arts Institute	bravemai.com	2161 Thurston Dr, Ottawa, ON K1G 6C9	CONFIRMED	has dedicated bjj program
London	The Submission Academy	subacademyldn.com	1068 Dundas St., London, ON N5W 3A6	CONFIRMED	matches input address
