verdict	region	name_final	city_final	state_final	website_final	address_final	source_url	note
CONFIRMED	HI	Caveirinha Jiu-Jitsu Family Hawaii Kai	Honolulu	HI	https://www.cjjfhawaii.com	377 Keahole Street #D-1D, Honolulu, HI 96825	https://www.cjjfhawaii.com/	Body reads "We are a premier Brazilian Jiu-Jitsu Academy in Honolulu, HAwaii" and "At Caveirinha Jiu-Jitsu Family (CJJF) Hawaii Kai". Footer block: 377 Keahole Street, #D-1D, Honolulu, Hawaii 96825, 808.983.9203. Aldo "Caveirinha" Januario Brazilian black belt lineage; kids and adult BJJ plus kickboxing. 808 area code and ZIP 96825 both Honolulu (Hawaii Kai). Nothing changed.
CONFIRMED	HI	Island Jiu-Jitsu	Honolulu	HI	https://www.islandjiujitsu.com	760 Halekauwila Street, Honolulu, HI 96813	https://www.islandjiujitsu.com/contact	Contact page body: "FIND THE DOJO ... 760 Halekauwila Street, Honolulu HI 96813", phone (808) 383-9196. Homepage body carries Helio Gracie / Gracie Jiu-Jitsu history, a Rickson Gracie quote and past Gui Mendes and Richie Martinez seminars; Atos Honolulu per its own title and contact page heading. Both "Island Jiu Jitsu" and "Island Jiu-Jitsu" appear on the site; kept the hyphenated form.
CORRECTED	HI	Maui Grappling Academy	Kahului	HI	https://mauigrapplingacademy.com	180 East Wakea Avenue, Unit I, Kahului, HI 96732	https://mauigrapplingacademy.com/	NAME changed, old value "Maui BJJ Academy" - no business by that name appears anywhere on the site. Body brands itself Maui Grappling Academy throughout, "training in the art of Brazilian Jiu-Jitsu", Cascao Jiu-Jitsu affiliate logo, weekly Gi Jiu Jitsu / Submission Wrestling (No-Gi) / kids / womens classes and open mat. Contact block: 180 East Wakea Avenue, Unit I, Kahului, Hawaii 96732, (808) 463-4310. City, state, website unchanged.
CONFIRMED	HI	Shibui Dojo	Kailua-Kona	HI		73-5619 Kauhola St Ste 105-106, Kailua-Kona, HI 96740	https://bjjweb.com/dojo-detail/2204	NO OWN WEBSITE AND NO PRIMARY BODY WAS READ - shibuidojo.com is DNS Status 3 NXDOMAIN. Verified from two independent sources: bjjweb dojo record (73-5619 kauhola st., #105 #106, Kailua-Kona HI 96740, Head Professor Champ Tremaine, "We are a Brazilian Jiu-Jitsu academy located in Kailua Kona, HI") and the hawaiijiujitsu.club schools directory entry plus a Yelp listing filed under Brazilian Jiu-jitsu at the same street address, which describe kids and adult BJJ in Gi and No Gi. ZIP 96740 confirms Kailua-KONA on the Big Island, not Kailua on Oahu (96734). Phones given as (808) 640-1055 and (808) 960-3284.
CORRECTED	HI	Island Jiu Jitsu West	Ewa Beach	HI	https://www.islandjiujitsuwest.com	91-902 Fort Weaver Road, Ewa Beach, HI 96706	https://www.islandjiujitsu.com/affiliates-page	CITY changed, old value "Kapolei"; ADDRESS added, was blank. The school's OWN site returns an EMPTY BODY on every page tried (/, /contact-us, /s/stories/about-us, a product page) - it is a JS-only Square Online site, so no address could be read from it; only meta tags render, and its meta description says "Kapolei and Ewa Beach, Oahu". The mat address was read from the page body of the parent academy, Island Jiu-Jitsu Atos Honolulu, whose IJJ AFFILIATES page lists "Island Jiu-Jitsu West, 91-902 Fort Weaver Road, Ewa Beach, HI, 96706, (808) 936-2680". ZIP 96706 is Ewa Beach; Kapolei is 96707. Caveat: that affiliates page was last modified 2022. The school's own site is live and current (sitemap lastmod 2026-05-10, branded store products). BJJ confirmed via the Island Jiu-Jitsu ohana.
CORRECTED	HI	Central Oahu Jiu-Jitsu Academy	Wahiawa	HI	https://www.graciehi.com	401 North Cane St. #A3, Wahiawa, HI 96786	https://www.graciehi.com/contact	NAME changed, old value "Central Oahu Brazilian Jiu-Jitsu"; ADDRESS changed, old value "401 N Cane St" (suite #A3 was missing). Contact page body address block reads "Central Oahu Jiu-Jitsu, 401 North Cane St. #A3, Wahiawa, HI 96786", phone (808) 367-0700. About page body repeatedly says "Central Oahu Jiu-Jitsu Academy" and confirms BJJ: official Certified Gracie Jiu-Jitsu Training Center since 2015, Gracie Combatives, Bullyproof, Women Empowered and Master Cycle programs under Ryron and Rener Gracie. Footer copyright 2026.
UNVERIFIED	HI	Alliance Jiu-Jitsu Hawaii	Waipahu	HI	https://alliancebjjhawaii.com	94-1388 Moaniani St #227, Waipahu, HI 96797	https://bjjweb.com/dojo-detail/2182	NO PAGE BODY COULD BE READ. alliancebjjhawaii.com/ and /about both return an EMPTY BODY - it is a JS-only single-page app; only meta tags render (title, og:title and meta author all read "Alliance Jiu-Jitsu Hawaii", twitter:site @alliancebjjhi). The domain is live and current (sitemap serves /schedule /pricing /about /gallery /shop; og:image uploaded Feb 2026). The address rests on ONE aggregator, bjjweb, which gives 94-1388 moaniani st., # 227, Waipahu, HI 96797, (808) 222-7967, head professor Rexie Barnum, and links the same domain; its cached logo URL alliancebjjhawaii.com/wp-content/uploads/2020/02/mainlogo.png shows the domain has belonged to this school since at least 2020. Alliance is the Brazilian association of Romero Cavalcanti and Fabio Gurgel, so BJJ is not in doubt, but I could not confirm name, address or current operation from a body.
CONFIRMED	ID	SBG Idaho	Boise	ID	https://sbgidaho.com	1522 W River St, Boise, ID 83702	https://sbgidaho.com/	Body headline "STRAIGHT BLAST GYM IDAHO / BOISE'S BEST JIU JITSU, MARTIAL ARTS & MUAY THAI CLASSES". Footer block: SBG Idaho, 1522 W River St, Boise, ID 83702, United States, phone 208-935-6264. Dedicated Brazilian Jiu Jitsu program page plus kids jiu jitsu, judo, wrestling. 208 area code and ZIP 83702 both Boise ID. Nothing changed.
CONFIRMED	ID	BPi Fighting Systems	Coeur d'Alene	ID	https://www.bpifight.com	1917 North Lakewood Drive, Coeur d'Alene, ID 83814	https://www.bpifight.com/blank-2	The street address IS in a page body, contrary to the research note: the Contact page body reads "1917 North Lakewood Drive, Coeur d'Alene, ID, USA", info@bpifight.com, 208-640-1530 (208 = ID, so not Spokane WA). Home body: "Experience The Difference at BPi Fight / Coeur d'Alene, Idaho's Premier Jiu Jitsu Academy - Prof. Jason Lambert", "third-degree BJJ black belt under Prof. Roy Harris", competitive Jiu-Jitsu in ADCC and IBJJF, separate Adult BJJ and Kid's BJJ class pages. The body carries no ZIP; 83814 is retained from the input and is not contradicted.
CONFIRMED	ID	Jiu-Jitsu 100 Academy	Hailey	ID	https://jiujitsu100.com	111 S Main St, Hailey, ID 83333	https://jiujitsu100.com/	Body mission text: "we are excited to bring that to Hailey, Idaho ... We started in 2020 in Ketchum in a small gym and now are excited to expand". School Info footer: "Jiu-Jitsu 100 Martial Arts Academy, 111 S Main St, Hailey, ID 83333". Dedicated BJJ Overview and Kids Jiu-Jitsu program pages; testimonial calls head coach Joel "a world class black belt". Note the listed phone 808-283-3657 is a Hawaii number carried over (the body says the coach spent 15 years in Maui) - the street address and ZIP 83333 confirm Hailey ID. Nothing changed.
