verdict	region	name_final	city_final	state_final	website_final	address_final	source_url	note
CORRECTED	AB	Main Quest BJJ	Calgary	AB	https://mainquestbjj.com	5, 6020 1A Street SW, Calgary, AB T2H 0G3	https://10thplanetcalgary.com	NAME changed, old value "10th Planet Jiu Jitsu Calgary". WEBSITE populated, old value blank. Rebranded: 10thplanetcalgary.com 301-redirects to mainquestbjj.com; body H1 reads "Main Quest BJJ in Calgary" and footer "(c) 2026 Main Quest". og:site_name still says 10th Planet - stale title, body governs. Body Location block: "5, 6020 1A Street SW, Calgary, AB, T2H 0G3" - matches stored address. Body: "our curriculum is focused on no gi jiujitsu/submission grappling ... courses in gi jiujitsu, wrestling, kickboxing"; four jiu-jitsu black/brown belt coaches listed. Alberta postal T2H. Listed phone (514) 518-2408 is a Montreal area code but the only address on the body is Calgary AB.
CORRECTED	AB	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	Calgary	AB	https://arashido.com/location/calgary-deerfoot-north/	1120 53 Ave NE Unit 101C, Calgary, AB T2E 6N9	https://arashido.com/location/calgary-deerfoot-north/	ADDRESS populated, old value blank. Body: "ARASHI-DO Calgary NE - Deerfoot McCall Lake / This location offers classes in Karate, Muay Thai, Brazilian Jiu Jitsu", address block "1120 53 Ave. NE, Unit 101C / Calgary, AB T2E 6N9 / (403) 612-4050". Rendered class schedule for this location includes a "Deerfoot Jiu Jitsu" filter with Junior and Adult/Teen Jiu Jitsu slots, so BJJ is actually taught here and not just in the chain menu. Alberta postal T2E, area code 403.
CONFIRMED	AB	Authentic Jiu Jitsu	Calgary	AB	https://authenticjiujitsu.com	3616 52 Ave NW, Calgary, AB T2L 1V9	https://authenticjiujitsu.com	Body read. Footer prints "Authentic Jiu Jitsu, 3616 52 Avenue Northwest, Calgary, AB, T2L 1V9, Canada" - matches stored address exactly. Head instructor Ben Kool, BJJ black belt, lineage Maeda > Carlos Gracie > Carlos Gracie Jr > Josh Russell > Kool. Programs: gi and no-gi, cubs/youth, women's only, open mats. "ESTABLISHED 2017". Alberta postal T2L. Canonical is https://authenticjiujitsu.com, no query string.
CONFIRMED	AB	Dynamic MMA	Calgary	AB	https://www.dynamicmma.ca	1237 45 Ave NE, Calgary, AB T2E 2P2	https://www.dynamicmma.ca	Body read on both host forms. Body: "Calgary's First Mixed Martial Arts Gym With A Full Cage. With Instruction In MMA, Kickboxing, Brazilian Jiu Jitsu, Muay Thai, Yoga", "Established in 1995", "contact Vince at 403-680-1521". Adult BJJ is a standing program, not a kids-only add-on. CAVEAT: the street address is NOT printed anywhere on the school's own rendered pages - /contact-us, /contact and /sitemap.xml all return empty bodies on both www and apex, and the homepage says the site is being rebuilt. Stored address retained; it is corroborated only by third-party listings that carry the same 403-680-1521 number that the school's own body prints. Alberta area code 403, postal T2E.
CORRECTED	AB	The Old Way Jiu-Jitsu	Calgary	AB	https://www.theoldwayjiujitsu.com	Unit 150, 10233 Elbow Drive SW, Calgary, AB T2W 1E8	https://www.theoldwayjiujitsu.com	ADDRESS changed, old postal code value "T2W 0S1"; the body's contact block reads "Unit #150, 10233 Elbow Drive SW / Calgary, AB / T2W 1E8". WEBSITE changed, old value "https://theoldwayjiujitsu.com" - apex 301-redirects to https://www.theoldwayjiujitsu.com which is also the declared canonical. Body confirms BJJ: gi classes, no-gi classes, kids classes, "Coach Revoy is a Jiu-Jitsu Black Belt", 403-969-4260. Alberta area code 403.
CORRECTED	AB	Arashi-Do Martial Arts Cochrane	Cochrane	AB	https://arashido.com/location/cochrane/	4105, 101 Sunset Dr, Cochrane, AB T4C 0B4	https://arashido.com/location/cochrane/	ADDRESS populated, old value blank. Body: "ARASHI-DO Cochrane / This location offers classes in Karate, Muay Thai, Brazilian Jiu Jitsu", address block "#4105, 101 Sunset Dr. / Cochrane, AB T4C 0B4 / (403) 618-4418". Rendered schedule for this location shows Adult/Teen Jiu Jitsu Mon and Wed 7:30-9:00pm, Junior Jiu Jitsu Tue and Thu, and a Sunday BJJ Open Mat, so BJJ is genuinely taught here. Alberta postal T4C, area code 403.
CONFIRMED	AB	Bairro Brazilian Jiu-Jitsu Academy	Edmonton	AB	https://bairro.ca	10542 106 St, Edmonton, AB T5H 2X6	https://bairro.ca	Body read. Footer prints two separate academies: "Bairro Brazilian Jiu-Jitsu Academy / 10542 106 St, Edmonton, AB T5H 2X6, Canada" (matches this record) and "Bairro Martial Arts Academy South / 5222 86 st NW, Edmonton, AB T6E 5J6". Programs on body: Adult Jiu-Jitsu gi and no-gi, kids, teen, women's only, wrestling, kickboxing, MMA. Renzo Gracie affiliate logo in footer. Phones 587-404-2823 Central and 587-404-2848 South. Alberta postal T5H, area code 587. NOTE for coverage: the South academy at 5222 86 St NW is a second Edmonton site not present in this batch.
REJECT-NOT-BJJ	AB	Edmonton Ju-Jitsu	Edmonton	AB	https://edmontonjujitsu.com	10752 178 Street NW, Edmonton, AB T5S 1J3	https://edmontonjujitsu.com	Traditional Japanese ju-jitsu, not Brazilian. Body masthead reads "GOSHINKAN JU-JITSU" and the About text says "Originally the hand-to-hand combat art of the Samurai, Japanese Ju-Jitsu is taught to Police and Military personnel worldwide". Class menu is entirely Japanese-system: "Adults Japanese Ju-Jitsu", Tai Ju-Jitsu, Little Samurai, Mini Bushi, Junior Shogun, Shogun Black Stripe. Instructors ranked Shihan 7th degree and Sensei 4th degree. Zero mention of Brazilian jiu-jitsu, gi/no-gi, rolling or any BJJ lineage anywhere in the body. School is open and is in Edmonton AB (T5S postal, 587 phone), but it does not belong in a BJJ directory.
UNVERIFIED	AB	Kingdom MMA and Fitness	Edmonton	AB	https://kingdommixedmartialarts.ca	9785 45 Ave NW, Edmonton, AB T6E 5V8	https://www.kingdommixedmartialarts.ca	JS-ONLY SITE - NO BODY READABLE. Both https://kingdommixedmartialarts.ca (301 to www) and https://www.kingdommixedmartialarts.ca/contact return only the shell text "Kingdom MMA and Fitness / You need to enable JavaScript to run this app." The served head, which is the school's own output, states "Kingdom MMA and Fitness - Muay Thai, BJJ, Boxing & MMA training in Edmonton" and title "Kingdom MMA and Fitness | Edmonton MMA & Fitness Gym", which supports the name, the city and BJJ being offered. The street address and postal code cannot be verified from any page body and I have deliberately not laundered a directory address into a CONFIRMED verdict. Needs a JS-rendering pass.
CORRECTED	AB	Arashi-Do Martial Arts Edson	Edson	AB	https://arashido.com/location/edson/	5023 4 Ave, Edson, AB T7E 1T3	https://arashido.com/location/edson/	ADDRESS populated, old value blank. Body: "ARASHI-DO Edson / This location offers classes in Brazilian Jiu Jitsu" - BJJ only at this site. Address block "5023 - 4 Ave. / Edson, AB T7E 1T3 / (780) 725-3061". Rendered schedule is all BJJ: Adult BJJ Tue/Thu/Sun 7-9pm, Youth BJJ ages 8-14, Mini Monkeys BJJ 4-7, Ladies Jiu Jitsu Sat. Instructors Professor Troy Sorensen and Professor Kevin Deamond. Alberta postal T7E, area code 780.
CORRECTED	AB	Arashi-Do Martial Arts Hinton	Hinton	AB	https://arashido.com/location/hinton/	127 Athabasca Ave, Hinton, AB T7V 2A4	https://arashido.com/location/hinton/	ADDRESS populated, old value blank. Body: "ARASHI-DO Hinton / This location offers classes in Brazilian Jiu Jitsu", address block "127 Athabasca Ave / Hinton, AB T7V 2A4". Rendered schedule: Adult BJJ Gi Tue/Thu 7-9pm, Adult BJJ No Gi Sun, Youth BJJ 8-12, Mini Monkeys BJJ, plus some Shaolin Kung Fu and Qigong slots. Page last modified 2026-01-09, so the location is current. Alberta postal T7V. ANOMALY: the phone printed is 289-407-6038, an Ontario area code, and the map link on the page points at the Edson address - the Hinton street address itself is unambiguous and Alberta.
CONFIRMED	AB	Resilience Brazilian Jiu Jitsu	Medicine Hat	AB	https://www.rbjj.ca	640 Kingsway Ave SE, Medicine Hat, AB T1A 2W9	https://www.rbjj.ca	Body read. Contact block prints "640 Kingsway Ave SE, Medicine Hat, AB T1A 2W9, Canada", medhatbjj@gmail.com, 4035022487 - matches stored address exactly. Body headline "Resilience BJJ / Brazilian Jiu Jitsu / Submission Wrestling/ No - Gi" and "Medicince Hat, AB." (their typo). Programs: Adult BJJ, Submission Wrestling, Kids BJJ. Alberta postal T1A, area code 403. The body's own masthead and footer brand is the short form "Resilience BJJ"; stored longer form retained as it is the same academy.
CORRECTED	AB	Arashi-Do Martial Arts Sherwood Park	Sherwood Park	AB	https://arashido.com/location/sherwood-park/	38 Sioux Rd, Sherwood Park, AB T8A 4X1	https://arashido.com/location/sherwood-park/	ADDRESS populated, old value blank. Body: "ARASHI-DO Sherwood Park / This location offers classes in Karate, Muay Thai, Brazilian Jiu Jitsu", address block "38 Sioux Rd / Sherwood Park, AB T8A 4X1 / (780) 449-2362". Deep BJJ schedule at this site: Adult Jiu Jitsu No Gi, Fundamentals, Intermediate/Advanced, Open Mat, Teen, Junior and Mini Monkeys. Page last modified 2026-06-19. Alberta postal T8A, area code 780. NOTE: the body also prints a dedicated site for this location, www.arashidosherwoodpark.com; I did not switch website_final to it because I read the body on the arashido.com location page, not on that domain.
CORRECTED	AB	Ironside Martial Arts	St. Albert	AB	https://ironsidemartialarts.ca	135 - 44 Riel Drive, St. Albert, AB T8N 3Z8	https://ironsidemartialarts.ca/programs-we-offer	ADDRESS populated, old value blank. WEBSITE changed, old value "https://www.ironsidemartialarts.ca" - www 301-redirects to the apex https://ironsidemartialarts.ca, which is the og:url the site declares. Body of both home and Programs pages prints "Ironside Martial Arts / 135 - 44 Riel Drive, St. Albert, Alberta T8N 3Z8, Canada / (780) 217-0059". BJJ verified on the rendered Programs page: two Brazilian Jiu-Jitsu tiles, ages 5-7 and ages 8+, alongside Kickboxing and Modern Budo; the ages 8+ BJJ program has its own page, so this is not a kids-only jiu-jitsu add-on. Alberta postal T8N, area code 780.
CONFIRMED	WV	Arte Suave Jiu Jitsu Academy	Beckley	WV	https://artesuavebeckley.com	321 South Fayette Street, Beckley, WV 25801	https://artesuavebeckley.com	Body read in full. "Arte Suave is Southern West Virginia's premier Brazilian Jiu Jitsu and MMA academy. Gi, no-gi, boxing, wrestling", facility "right on South Fayette Street in Beckley", address printed three times as "321 South Fayette Street, Beckley WV 25801", phone 304-250-8128. Full adult BJJ schedule six days a week plus kids BJJ ages 5-13. Head coach Chris McKinney, black belt, Six Blades / Ribeiro lineage via Chris Blanke. ZIP 25801 and 304 area code are both West Virginia. Live tuition and Stripe checkout on the page, so trading.
CONFIRMED	WV	Butch Hiles Brazilian Jiu-Jitsu and MMA	Charleston	WV	https://advancedbkj.com	410 Summers Street, Charleston, WV 25301	https://advancedbkj.com	Body read. H1 "Butch Hiles Brazilian Jiu-Jitsu & MMA, LLC"; body states "Our Main location is in Charleston, West Virginia"; footer "410 Summers Street / Charleston, WV 25301", (304) 549-9370, copyright "Butch Hiles Brazilian Jiu Jitsu & MMA, LLC - Charleston, WV". Not Charleston SC - the 304 area code, ZIP 25301 and the embedded Google place for 410 Summers St Charleston WV all agree. Class menu includes Brazilian Jiu-Jitsu, Kids BJJ, no-gi, MMA, Muay Thai. Domain "advancedbkj" is an old Advanced BJJ brand spelling, not a different business. NOTE for coverage: the body carries a WV affiliate roster - Beckley, Bluefield, Logan, Oak Hill, Oceana, Parkersburg and Weirton WV - each a separate school.
CONFIRMED	WV	Category Five Jiu-Jitsu	Hurricane	WV	https://c5jj.com	270 Progress Way Unit A2, Hurricane, WV 25526	https://c5jj.com	Body read. Body: "Start your journey with Jiu-Jitsu classes in Hurricane, West Virginia today"; footer School Info block "Category Five Jiu-Jitsu / (304) 550-6685 / 270 Progress Way Unit A2, Hurricane, WV 25526" - matches stored address exactly. Programs: Kids Jiu-Jitsu 5-12, Adults and Teens Jiu-Jitsu 13+, Kickboxing; body repeatedly says BJJ. Lineage Saulo and Xande Ribeiro via Chris Blanke, Six Blades. Owners Wes and Kristi Thompson since 2020. ZIP 25526 and 304 area code confirm WV. Current school hours posted.
CONFIRMED	WV	Stellar Jiu Jitsu	Lewisburg	WV	https://stellarjj.com	232 Lee St Building D, Lewisburg, WV 24901	https://stellarjj.com/contact	Body read on home and contact pages. Home body: "EST. 2018 // JIU-JITSU ACADEMY", "HQ - LEWISBURG, WV", five-day gi and no-gi schedule, kids ages 4-13, marathon rolls, competition team. Contact page body prints "232 Lee St Building D Lewisburg, WV 24901" and "304-900-3250" - matches stored address exactly. Entity is STELLAR ATHLETICS LLC. Articles dated 07.22.26 and 08.06.26, so the site is actively maintained. ZIP 24901 and 304 area code confirm WV. Confirms the research pass's URL correction away from lewisburgbjj.com.
CONFIRMED	WV	Ground Zero Fighting Systems	Morgantown	WV	https://teamgzfs.com	5000 Green Bag Road Ste E3 and E5, Mountaineer Mall, Morgantown, WV 26501	https://teamgzfs.com/more-info/	Body read. BJJ verified on the school's own rendered class list at /more-info, not from a third party: "Brazilian Jiu-Jitsu - Our Brazilian Jiu-Jitsu program is the first in our state. Established in 1996", plus Boxing and Muay Thai, MMA, Kids and Teens Jiu-Jitsu, and private Jiu-Jitsu lessons. Footer on every page prints "Ground Zero Fighting Systems Mountaineer Mall, 5000 Green Bag Road Ste E3 & E5, Morgantown, WV 26501" and tel 3042828936. ZIP 26501 and 304 area code confirm WV. The homepage alone is a generic Kilo fitness template with no BJJ text - reading only the homepage would have produced a wrong reject.
CONFIRMED	WV	The Compound Mixed Martial Arts Training Center	Pleasant Valley	WV	https://thecompoundmmatc.com	2331 Rollingwoods Dr, Pleasant Valley, WV 26554	https://thecompoundmmatc.com	Body read. H1 "The Compound Mixed Martial Arts Training Center", "Since 2017". Programs on body: Adults & Teens Brazilian Jiu-Jitsu, Kids Brazilian Jiu-Jitsu, MMA, Kickboxing. Weekly schedule shows Adults & Teens No-Gi BJJ Tue, Gi BJJ Thu and Fri, BJJ Open Mat Sun, takedowns and positional sparring Mon. Footer prints "2331 Rollingwoods Dr, Pleasant Valley, WV" and 304-376-7360; the embedded Google map on the body resolves to "2331 Rollingwoods Dr, Pleasant Valley, WV 26554". ZIP 26554 and 304 area code confirm WV. Pleasant Valley is the Fairmont suburb, in WV, not the Maryland or Virginia Pleasant Valleys.
UNVERIFIED	WV	SBG West Virginia	St. Albans	WV	https://www.sbgwv.com	66 6th Ave, St Albans, WV 25177	https://www.sbgwv.com	JS-ONLY SITE - NO BODY READABLE. https://www.sbgwv.com returns only "You need to enable JavaScript to run this app."; /contact and /sitemap.xml return completely empty responses. The served head, which is the school's own output, reads "SBG West Virginia will help you and your kids embark on a journey of self-discovery, martial arts, fitness, and personal growth in St. Albans West Virginia" with keywords "brazilian jiu jitsu, bjj, muay thai, growing gorillas, straight blast gym, st. albans, charleston, west virginia" - that supports the name, the city, the state and BJJ being taught, and Growing Gorillas is the SBG kids curriculum. The street address and ZIP cannot be confirmed from any page body and I have not laundered the BJJMetrics listing into a CONFIRMED verdict. Needs a JS-rendering pass. Note St. Albans WV, not St Albans VT or St Albans England.
