verdict	region	name_final	city_final	state_final	website_final	address_final	source_url	note
CORRECTED	BC	Pacific Top Team Abbotsford	Abbotsford	BC	https://pttabbotsford.com	2427 Pauline Street, Abbotsford, BC	https://pttabbotsford.com/	WEBSITE changed from blank to https://pttabbotsford.com. The school does have its own domain; the research pass missed it. Rendered body reads "Brazilian Jiu-jitsu is the art of the Gracie family" plus Muay Thai, and lists Tiny Champions 3-4, Future Champions 5-9, Teens 10-16, Adults 16+, Women's only. BJJ genuine. The body renders as plain text with no address block (contact and instructor subpages both return EMPTY bodies - JS-only site), so the street address is NOT from the school body; it is from the Yelp listing title only. BC not confirmed by postal code or area code from any primary body.
CORRECTED	BC	North Burnaby Brazilian Jiu Jitsu	Burnaby	BC	https://www.northburnabyjiujitsu.com	4543 Hastings Street, Burnaby, BC V5C 2K3	https://www.northburnabyjiujitsu.com	ADDRESS changed from blank to 4543 Hastings Street, Burnaby, BC V5C 2K3. Footer of the school's own body: "North Burnaby BJJ, 4543 Hastings Street, Burnaby, BC V5C2K3, Canada 6042994590". Body sells Adult Gi, Adult No-Gi, Kids BJJ, Open Mat under Professor Philip Ta. V5C postal and 604 area code confirm BC. Distinct from Gracie Barra North Burnaby, which the GB BC roster puts at 4029 Hastings St - not a duplicate.
CORRECTED	BC	Pacific Top Team Chilliwack	Chilliwack	BC	https://pttchilliwack.ca	7-7355 Vedder Road, Chilliwack, BC	https://pttchilliwack.ca/	ADDRESS changed from blank to 7-7355 Vedder Road, Chilliwack, BC. Body carries "Our studio #7-7355 Vedder Road, Chilliwack, BC" and a footer link to the same. Class list is Adult Gi Fundamentals, Adult No-Gi Fundamentals, Little Kids 4-7, Big Kids 8-13, privates and open mat, 6 days a week. Body states "Your home for Brazilian Jiu-Jitsu in Chilliwack, British Columbia". No postal code published.
CORRECTED	BC	Gracie Barra Delta	Delta	BC	https://www.gbdelta.com	5000 Bridge St #101, Delta, BC V4K 2T8	https://www.gbdelta.com	ADDRESS changed from 11951 88 Ave, Delta, BC V4C 3C9 to 5000 Bridge St #101, Delta, BC V4K 2T8. The stored address was taken from the Gracie Barra BC roster entry for a DIFFERENT academy - "Gracie Barra Surrey (Newton/Delta), 11951 88 Ave, Delta, BC V4C 3C9, Prof. Kevin Yang, est. 2010". gbdelta.com's own body carries "ADDRESS 5000 Bridge St #101, Delta, BC V4K 2T8", phone (778) 879-1870, professors Marcio Antony and Victor Batista. Two separate GB academies. V4K postal and 778 area code confirm Delta BC.
CORRECTED	BC	Alliance Kelowna	Kelowna	BC	https://www.alliancekelowna.com	110-1854 Kirschner Rd, Kelowna, BC V1Y 4N7	https://www.alliancekelowna.com	NAME changed from "Kelowna BJJ" to "Alliance Kelowna". The body trades only as Alliance Kelowna - masthead, footer block and title all read that; "Kelowna BJJ" appears nowhere on the page. Body: "Brazilian Jiu Jitsu and Muay-Thai Kickboxing", 16 years in business, kids 4-14 gi and no-gi, adult/teen gi and no-gi. Footer address 110-1854 Kirschner Rd, Kelowna, BC, V1Y 4N7, Canada, (250) 460 2558. V1Y postal and 250 area code confirm BC.
CORRECTED	BC	Mission Brazilian Jiu Jitsu	Mission	BC	https://www.missionbjj.ca	Unit 301 - 31510 Gill Avenue, Mission, BC V4S 0A1	https://www.missionbjj.ca	NAME changed from "Mission BC BJJ" to "Mission Brazilian Jiu Jitsu". Body: "Mission Brazilian Jiu jitsu is a martial arts school located in Mission, BC. We offer Brazilian jiu jitsu, Muay Thai and Strength & Conditioning". Footer contact block: Unit #301, 31510 Gill Avenue, Mission, BC V4S 0A1, info@missionbjj.ca. Address confirmed against stored value. V4S postal confirms BC. Body-listed phone is (639) 384-8228, a Saskatchewan area code - noted, not acted on.
CORRECTED	BC	North Vancouver Brazilian Jiu Jitsu	North Vancouver	BC	https://northvanbjj.com	Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5	https://northvanbjj.com/	NAME changed from "North Vancouver BJJ" to "North Vancouver Brazilian Jiu Jitsu". Footer block reads "North Vancouver Brazilian Jiu Jitsu, Unit 206, 250 Esplanade E, North Vancouver, BC V7L 1A5, 604-770-1766" and the copyright line is the same. A Certified Gracie Jiu-Jitsu Training Center running Gracie Combatives, Women Empowered, Gracie Bullyproof and Master Cycle under Marc Marins. Address confirmed. V7L postal and 604 area code confirm BC.
CORRECTED	BC	Kaiten Mixed Martial Arts Academy	Prince George	BC	https://princegeorgemma.com	185 Dominion Street, Prince George, BC	https://princegeorgemma.com/about-us/	WEBSITE changed from blank to https://princegeorgemma.com. The school does have its own site; the research pass recorded it as Facebook-only. Body: "Kaiten Mixed Martial Arts Academy and Fitness Ltd. - the most experienced, complete and family-oriented combat sports training center in Northern BC", 4600 sq ft in downtown Prince George, with a dedicated Brazilian Jiu-Jitsu and Submission Grappling section. BJJ genuine - owner Karmjeet Manhas is a BJJ black belt under Bibiano Fernandes, head BJJ coach Chad Belwood is a 3rd degree black belt under Carlos Gracie Jr. ADDRESS: the site's own Contact page carries NO street address and its map embed is mis-set to "United States"; 185 Dominion Street comes from Yellow Pages and other directories, not from the school body. Phone 250-552-6310 (250 area code, BC) is on the site.
CONFIRMED	BC	Gracie Barra Richmond Steveston	Richmond	BC	https://gbrichmond.ca	#340 - 12211 First Ave, Richmond, BC V7E 3M3	https://gblakecountry.com/gracie_barra_locatio/gracie-barra-richmond-steveston	gbrichmond.ca returns an EMPTY BODY - JS-only site. Apex, www and /contact all return headers with no rendered content. Confirmed instead from the Gracie Barra BC roster body at gblakecountry.com, whose dedicated page for this academy reads "Gracie Barra Richmond (Steveston), #340 - 12211 First Ave, Richmond, BC V7E 3M3, (604) 781-4117, Head Instructor Prof. Bernardo Veiga, Established 2021" and whose "Visit Academy Website" button links to https://gbrichmond.ca - so the stored URL belongs to this academy and not to the separate Gracie Barra Richmond (Central) at #21 - 12200 Vulcan Way. V7E postal and 604 area code confirm Richmond BC, not Richmond VA/TX/KY.
CORRECTED	BC	Mountain Jiu Jitsu	Squamish	BC	https://www.mtnjjsq.com	#110, 39455 Discovery Way, Squamish, BC V8B 0R5	https://www.mtnjjsq.com	ADDRESS changed from blank to #110, 39455 Discovery Way, Squamish, BC V8B 0R5, taken from the footer of the school's own body. Body sells Adult Gi and No Gi, Kids 5+, Mini Mountains 3-4 and 5-7, Kids 8-12, Women in Jiu Jitsu, plus kickboxing; 2000 sq ft of mats on a sprung floor in the Sea to Sky business park. V8B postal confirms Squamish BC. The body does NOT mention the Whistler or Pemberton locations the research pass reported - single Squamish address only.
CORRECTED	BC	Gravity Brazilian Jiu-Jitsu	Surrey	BC	https://gravitybjj.ca	#209-13308 76th Ave, Surrey, BC	https://gravitybjj.ca	ADDRESS changed from blank to #209-13308 76th Ave, Surrey, BC. WEBSITE canonicalised from https://www.gravitybjj.ca to https://gravitybjj.ca - www 301s to the apex and og:url is the apex. Contact block on the body carries the address and (778) 859-2995. Body: "Gravity is located in Surrey, BC, Canada, and is affiliated under the Caio Terra Brazilian Jiu Jitsu Association", head instructor Logan Lidemark, black belt. Classes are fundamentals, kids 4-12, no gi, advanced. 778 area code confirms BC - this is Surrey BC, not Surrey England.
CORRECTED	BC	Alliance BJJ Vancouver	Vancouver	BC	https://www.alliancebjjteam.com	2625 Kingsway, Vancouver, BC V5R 5H4	https://www.alliancebjjteam.com/	NAME changed from "Alliance Jiu Jitsu Vancouver" to "Alliance BJJ Vancouver", which is how the site titles itself; the footer copyright reads "Alliance Vancouver BJJ 2026". Body: "A team of world class champions based in Vancouver, BC", Alliance founded 1993 by Jacare Cavalcanti, Fabio Gurgel and Alexandre Paiva; instructors Norm Leung, JP Rubio, Kevin Britton. Footer address 2625 Kingsway, Vancouver, BC, V5R 5H4 with +1 (236) 869-0040, matching the stored value. V5R postal and 236 area code confirm BC.
CONFIRMED	BC	Gracie Barra Vancouver	Vancouver	BC	https://www.gbvancouver.com	2440 Main St, Vancouver, BC V5T 3E2	https://www.gbvancouver.com	Body carries a Location block: "Corner of Main & Broadway, 2440 Main Street, Vancouver BC V5T 3E2", infovancouver@graciebarra.ca, (236) 865-2297. Meta and body both name Gracie Barra Vancouver. Address and website match the stored record exactly. Cross-checked against the Gracie Barra BC roster body, which lists "Gracie Barra Vancouver (Main St), 2440 Main St, Vancouver, BC V5T 3E2, Prof. Rodrigo Carvalho Silva, est. 2018". V5T postal and 236 area code confirm BC.
