verdict	region	name	city	url	action	evidence	source_url
REAL	AK	Anchorage Brazilian Jui-Jitsu	Anchorage	https://www.anchoragebjj.com/	KEEP	Body confirms BJJ/MMA/Muay Thai/Wrestling programs; instructors Mason Spadafore (3rd degree BB), Todd Palmer (3rd degree BB), Daniel Delaney (BB), Dannesh Bastani (BB) all listed with BJJ black belt titles; "part of the Tinguinha BJJ Academy Team"	https://www.anchoragebjj.com/
REAL	AK	Anchorage Grappling Academy	Anchorage	https://www.anchoragegrapplingcoop.com/	KEEP	/classes page body lists "Brazilian Jiujitsu" as first program with full description, plus Kids Jiujitsu, Judo, Jiujitsu Fundamentals	https://www.anchoragegrapplingcoop.com/classes
REAL	AK	Arctic Warrior Brazilian Jiu-Jitsu	Anchorage	https://jberbjj.weebly.com/	SUPPRESS	Own page body: "We offer free Brazilian Jiu-Jitsu classes to Service Members (past and present), their Families (16 and older), and the DoD Civilians who support them. Anyone with access to JBER is welcome to attend any of our classes." Genuinely real BJJ program but explicitly restricted to those with military-base access, not the general public - not a directory listing per addendum rule	https://jberbjj.weebly.com/
REAL	AK	Crazy Monkey Alaska	Anchorage	https://crazymonkeyalaska.com/	KEEP	Body lists "Brazilian Jiu-Jitsu" as one of four core programs alongside Crazy Monkey Striking, Monkey-Fit, Self Defense, with full BJJ description	https://crazymonkeyalaska.com/
NOT-BJJ	AK	Eclipse Martial Arts	Anchorage	https://eclipsemartialartsak.com/	SUPPRESS	Full homepage body confirms only "Seirenkai Karate" and "Seirenkai Jujitsu" (Japanese jujutsu curriculum, "traditional manner"); nav is About/Karate/Jujitsu/Self-Defense; zero mentions of Brazilian, BJJ, gi/no-gi, or any BJJ lineage anywhere on the page	https://eclipsemartialartsak.com/
GONE	AK	Gracie Barra - Jiu Jitsu	Anchorage	https://graciebarra.com	SUPPRESS	OVERTURNED from research's WRONG-URL. graciebarraalaska.com and www.graciebarraalaska.com both confirmed NXDOMAIN (Status 3) by DNS this pass. graciebarra.com/find-a-school has no dedicated Anchorage/Alaska sub-page (checked; only a JS location-search widget). The commonly-cited address "401 W International Airport Rd Ste 1, Anchorage AK 99518" is the SAME address I read directly in Krav Maga Anchorage's own site footer this pass, suggesting the unit is now occupied by a different business. Facebook page unreachable. No primary source located anywhere. GONE is more accurate than WRONG-URL since no live correct URL exists.	https://dns.google/resolve?name=graciebarraalaska.com&type=A
UNVERIFIED	AK	Greatland Martial Arts	Anchorage	https://www.facebook.com/GreatlandMartialArts/	NONE	I could not render greatlandmartialarts.com body myself this pass despite 3 attempts (persistent tooling block, distinct from a DNS-confirmed-dead case). Research's earlier pass read a body citing "Grandmaster Trevor Martin" teaching "Tae Kwon Do, Hapkido, Judo, and Jiu Jitsu" with no Brazilian/BJJ terminology - a plausible NOT-BJJ but NOT independently confirmed by me this pass. Per method rules I cannot assert a verdict I did not personally read. Left live pending a follow-up read.	https://www.greatlandmartialarts.com/
NOT-BJJ	AK	Krav Maga Anchorage	Anchorage	https://www.kravmagaanc.com/	SUPPRESS	Full program menu confirmed on own site: Krav Maga, Juniors, Tiny Tots, Kali, L.A.C.E. women's self-defense, Private Lessons, Courses, On Demand, Private Group, Education (for schools), Corporate, Military. No Jiu-Jitsu or BJJ class of any kind listed anywhere on the page	https://www.kravmagaanc.com/
REAL	AK	Legacy Jiu Jitsu	Anchorage	https://www.legacyjiujitsuak.com/	KEEP	Body: "PROUD AFFILIATE OF THE ARES BJJ ASSOCIATION"; address 501 West International Airport Rd Suite 28, Anchorage AK 99518 read directly in footer	https://www.legacyjiujitsuak.com/
NOT-BJJ	AK	Shoshin Ryu	Anchorage	https://www.shoshinryu.org/about	SUPPRESS	/about page body: "Shoshin Ryu is a Japanese based system of Jujutsu that incorporates traditional methods of martial arts training..." No Brazilian Jiu-Jitsu terminology anywhere on the page	https://www.shoshinryu.org/about
