verdict	region	name	city	url	action	evidence	source_url
WRONG-ENTITY	DC	Capital City BJJ	Washington	hstbjj.com	SUPPRESS	Superseded, not a duplicate to keep alongside Underworld BJJ. hstbjj.com body ("Capital MMA group class ... Get Started at Capital BJJ ... 810 H St NE") carries only a 2019-dated testimonial and no other current content. capitalmma.com's own current Locations list (7 locations, re-fetched this pass) has NO Washington DC address - Alexandria, Burke, Fairfax, Herndon, Lorton, Loudoun-Dulles, Takoma Park only. A web search independently describes the H St NE program as "a partnership of Old City CrossFit and Capital MMA." Underworld BJJ's own site links its Facebook icon to facebook.com/p/Capital-MMA-Team-Old-City, i.e. Underworld is using the legacy "Capital MMA Team Old City" identity for this same address - confirming it is the successor occupant of 810 H St NE, not a second concurrent business. See Underworld BJJ row.	https://hstbjj.com/
WRONG-ENTITY	DC	Capitol Hill BJJ	Washington	(none)	SUPPRESS	No business trades as "Capitol Hill BJJ." This stub matches BETA Academy's Capitol Hill NE location - betaacademy.com/brazilian-jiu-jitsu footer: "BETA Academy Capitol Hill, 316 F Street NE, Washington, DC 20002." Keeping this stub alongside a separate BETA Academy net-new row would create the exact duplicate the brief warns against; suppressed in favor of the single BETA Academy record below.	https://www.betaacademy.com/brazilian-jiu-jitsu/
GONE	DC	Combat Athletics DC	Washington	combatathletics.com	SUPPRESS	Re-fetched this pass: combatathletics.com is a GoDaddy "domain for sale" parking page. Confirmed gone.	https://combatathletics.com/
GONE	DC	DC BJJ Academy	Washington	(none)	SUPPRESS	Targeted search this pass for "DC BJJ Academy" Washington DC Brazilian Jiu-Jitsu returned only other already-known DC schools (BETA, Underworld, Estilo, Urban Boxing, hstbjj, WDC BJJ Hyattsville). No business by this name found; no page to read.	(none)
REAL	DC	Highstyle Jiu-Jitsu	Washington	highstylejiujitsu.com	KEEP	Re-fetched own page this pass: "907 N St NW #C-2, Washington, DC," Shaw neighborhood/Blagden Alley, "Brazilian Jiu-Jitsu, Muay Thai, and Haitian Fencing."	https://www.highstylejiujitsu.com/
WRONG-URL	DC	N-Flux	Washington	staynflux.com	FIX-URL	Re-fetched staynflux.com this pass: "DC's premier center for Self-Defense, Kickboxing, MMA, and No-Gi Jiu-Jitsu" with a dedicated No-Gi Jiu-Jitsu class page. Checked the Facility page for an address - none given there; the address (1722 I Street NW) remains third-party-sourced/UNVERIFIED by the school's own page. n-flux.com itself not re-checked this pass (research found a parking placeholder there).	https://www.staynflux.com/
REAL	DC	Vortex Jiu-Jitsu	Washington	vortexjiujitsu.com	KEEP	Re-fetched own page this pass: black belt coach Kelly Quinn, housed at "Washington DC's ... Edlavitch Jewish Community Center on 16th and Q Street NW"; footer "1529 16th Street NW, Washington DC, 20036."	https://www.vortexjiujitsu.com/
ADD	DC	BETA Academy	Washington	betaacademy.com	ADD	Own page body confirms two DC locations: 1353 Florida Ave NW (14th Street corridor) and 316 F Street NE (Capitol Hill) - "traditional Brazilian Jiu-Jitsu belt progression system endorsed ... by the IBJJF." This record replaces/absorbs the suppressed "Capitol Hill BJJ" stub above - do not add both.	https://www.betaacademy.com/brazilian-jiu-jitsu/
ADD	DC	Estilo Jiu Jitsu	Washington	estilojiujitsu.com	ADD	Own page confirmed this pass: "770 Park Rd NW #T01, Washington, DC 20010," run by "third-degree black belt Luis Pantoja," dedicated Fundamentals/Advanced/Women/Kids BJJ classes.	https://www.estilojiujitsu.com/
ADD	DC	Underworld BJJ	Washington	underworlddc.com	ADD	Own page confirmed this pass: "810 H St NE, Washington DC, 20002," "daily Brazilian Jiu Jitsu (BJJ) classes for kids and adults," head coaches Danielle and Aidan, current 2025/2026-dated content (2025 No-Gi World Champion photo caption). Current occupant of 810 H St NE; replaces "Capital City BJJ" above rather than co-existing with it.	https://www.underworlddc.com/
NOT-BJJ	DC	Urban Boxing Navy Yard	Washington	urbanboxingnavyyard.com	DROP	Overturned from research's ADD. Own page confirmed this pass: fundamentally a boxing brand/gym - "Best boxing and kickboxing gym," 5 locations, 130+ classes/week, majority Boxing Level 1/2, Kickboxing, MMA, Muay Thai, Sparring, Yoga for Boxers. One legitimate BJJ instructor (Ronald Clary, black belt) teaches roughly 3 hours/week (Tue/Wed no-gi + Fri open mat) as a minor add-on program, not a BJJ school. The addendum explicitly flags this listing for a hard discipline-test application; it fails the test.	https://www.urbanboxingnavyyard.com/
