verdict	region	name	city	url	action	evidence	source_url
GONE	DE	Delaware BJJ	Wilmington	delawarebjj.com	SUPPRESS	Domain now permanently redirects to fightdrive.com, entirely rebranded as Dauntless BJJ & MMA (Newark DE); page body has zero mention of Wilmington or "Delaware BJJ". Targeted search for a surviving independent Wilmington "Delaware BJJ" found nothing. Wilmington's BJJ gap is separately filled by 302 BJJ (see net-new row below).	https://fightdrive.com/
GONE	DE	Synergy MMA	Wilmington	synergymma.com	SUPPRESS	Domain redirects to synergybjj.podia.com, confirmed as Bali Indonesia's Synergy BJJ Academy (founder Niko Han, est. 2003); body lists a global academy roster (Bekasi, Jakarta x5, Kalimantan, Ponorogo, Singapore, Solo, Sulawesi, Surabaya, Tangerang, Yogyakarta) with no Delaware or US location anywhere. Targeted search found no surviving Wilmington Synergy business.	https://synergybjj.podia.com/
WRONG-CITY	DE	Rip Tide Brazilian Jiu Jitsu	Lewes	brazilianjiujitsudelaware.com	FIX-CITY	Stored as "Rehoboth Beach BJJ" at rehobothbeachbjj.com. DNS for rehobothbeachbjj.com is Status 3 NXDOMAIN (re-confirmed fresh, conclusive). Own page body: "17314 N Village Main Blvd #51, Lewes, DE 19958" (header and footer); service area explicitly listed as "Lewes, Rehoboth Beach, Milton, Georgetown ... Sussex County." Real, active school; stored city, name and URL are all wrong.	https://www.brazilianjiujitsudelaware.com/
WRONG-CITY	DE	First State Martial Arts Academy	Dover	(no reachable first-party page this pass)	FIX-CITY	Stored as "First State BJJ" in Middletown. Both known domains are dead: doverbjj.com is DNS Status 3 NXDOMAIN (re-confirmed fresh); firststatemartialarts.com resolves but belongs to a DIFFERENT business - its own body reads "DELAWARE HAPKIDO MARTIAL ARTS ACADEMY," Hockessin DE (confirmed by reading the page - this would have been a wrong-entity trap). Multiple independent third-party sources (bjjweb.com, Yelp, Facebook/Instagram @firststatebjj) consistently place the real Pedro Sauer-lineage Gracie BJJ school at 523 S Red Haven Ln, Dover, DE 19901, not Middletown. City correction is well-corroborated; other details remain UNVERIFIED by primary source since no first-party body was reachable this pass.	https://bjjweb.com/delaware-dojos/dover-de-city
DROP	DE	Dover AFB BJJ	Dover	(none)	SUPPRESS	Attempted to re-read the dover.af.mil article research cited (Article/3879189); the URL now redirects to the base's generic News listing and the specific article could not be located this pass. Per the addendum, a base fitness club is not a directory listing unless civilians can train there, and no evidence of civilian access was found in this pass or the prior one. Recommend permanent removal.	https://www.dover.af.mil/News/News/
UNVERIFIED	DE	Tribal BJJ	Dover	tribalbjj.com	NONE	DNS resolves (Status 0, not conclusive either way). Fetched tribalbjj.com and www.tribalbjj.com directly this pass - both return a bare HTML shell (only a viewport meta tag, no title, no visible body text). Facebook and Instagram profile fetches for "tribalbjj" both returned empty. No independent corroborating source found anywhere. Genuinely unresolved; not upgraded from research's UNVERIFIED.	https://tribalbjj.com/
WRONG-ENTITY	DE	Milford BJJ Delaware	Milford	(none)	SUPPRESS	Generic stub, not a real business name. Of the three candidate Milford, DE businesses research flagged, only Bayside Athletics has a live, readable first-party page confirming Brazilian Jiu-Jitsu this pass (see net-new row). Domain guesses for the other two candidates - milfordjiujitsu.com, milfordjj.com, scavengerjiujitsu.com, scavengerbjj.com - are all DNS Status 3 NXDOMAIN. Suppress the generic stub; Bayside Athletics is the resolved replacement.	https://baysideathleticsde.com/adult-jiu-jitsu/
ADD	DE	Dauntless BJJ & MMA	Newark	fightdrive.com	ADD	Own page body (re-fetched this pass): "Dauntless BJJ & MMA," 13 Prestbury Square, Newark DE; Chief Instructor Allen J. Sachetti, 4th-degree BJJ black belt certified by Rickson Gracie, Royler Gracie and Luiz Palhares; family school also teaching Maribeth, Josh and Caleb Sachetti.	https://fightdrive.com/
ADD	DE	302 BJJ	Middletown	302bjj.com	ADD	Own page (302bjj.com redirects to www.302bjj.com); body: "MIDDLETOWN LOCATION 119 Patriot Drive, Suite D, Middletown, DE 19709"; "Balance and Gracie affiliation." Promoted from research's UNVERIFIED to primary-verified this pass.	https://www.302bjj.com
ADD	DE	302 BJJ	Wilmington	302bjj.com	ADD	Same own page; body: "WILMINGTON LOCATION 3904 Evelyn Drive, Wilmington, DE 19808." New finding this pass - research did not surface the Wilmington location. Independently corroborated by a Yelp listing for "302 Jiu-Jistu" at the identical address and facebook.com/302bjj. Fills the gap left by the dead "Delaware BJJ" Wilmington record.	https://www.302bjj.com
ADD	DE	Bayside Athletics	Milford	baysideathleticsde.com	ADD	Own page (baysidebjjde.com redirects to baysideathleticsde.com) and dedicated Adult Jiu-Jitsu page; body: "We teach Brazilian Jiu Jitsu ... flexible schedule of Gi, No Gi for adults," plus a separate Youth Jiu-Jitsu program. Address 239 NE Front Street, Milford, DE 19963 (embedded map). Primarily a gymnastics/cheer/ninja gym with BJJ as one of several programs, but the BJJ program itself is explicit, adult and youth, gi/no-gi - passes the discipline test. Promoted from UNVERIFIED; also resolves the "Milford BJJ Delaware" stub.	https://baysideathleticsde.com/adult-jiu-jitsu/
UNVERIFIED	DE	Loyalty Brazilian Jiu-Jitsu	Dover	(Facebook only)	NONE	Not independently re-verified this pass; no dedicated domain found by research or this pass. Facebook-only presence does not meet the "read the body on the school's own page" bar. Left as UNVERIFIED; do not add without a reachable first-party page.	(none)
ADD	DE	Kaizen Jiu-Jitsu Academy	Dover	kaizen-jiu-jitsu.com	ADD	Research's candidate URL doverjiujitsu.com is empty/unreadable with and without www (bare shell, no content). Found and confirmed the correct live domain this pass: kaizen-jiu-jitsu.com. Own page body: "KAIZEN JIU-JITSU ACADEMY, DOVER, DELAWARE," address "35 Commerce Way, Suite 2, Dover, DE 19904"; Coaches section names Chris Bumgarner (3-stripe Gracie BJJ black belt under Pedro Sauer & Jon Garfield) and Dusty Estrada (BJJ black belt, 15+ years).	https://www.kaizen-jiu-jitsu.com/
