verdict	region	name	city	url	action	evidence	source_url
GONE	NB	Campbellton BJJ	Campbellton	https://campbelltonbjj.com	SUPPRESS	campbelltonbjj.com and campbelltonbjj.ca both confirmed NXDOMAIN (Status 3) by DNS this pass. A real replacement operates in Campbellton - see ADD row for Restigouche Dojo	https://dns.google/resolve?name=campbelltonbjj.com&type=A
ADD	NB	Victory Jiu Jitsu Dieppe	Dieppe	https://victoryjiujitsuacademy.ca/	ADD	Full body read directly: "Est. 2012... Dieppe, NB's Only BJJ Academy," founder Prof. Shane Rice "black belt under Rickson Gracie since 2006," address "1571 Melanson Road, 2nd Floor, Greater Lakeburn (Dieppe), NB," phone +1 (428) 880-1821, full instructor roster (9 black/blue belts named with ranks) and weekly schedule (13 classes/week) all read on page. Page explicitly lists Quispamsis, Edmundston, Lower Sackville NS and Summerside PE as separate "sister academies" in its own "Victory Network" section, confirming Dieppe and Edmundston are related-but-distinct businesses, not one business at two locations	https://victoryjiujitsuacademy.ca/
REAL	NB	Evolution Training Centre	Fredericton	https://www.evolutiontrainingcenter.ca	KEEP	Body confirms "Brazilian JiuJitsu" listed among classes (Muay Thai, BJJ, Karate, Kombat Kids, etc.); address "55 Royal Parkway" now read directly on page this pass (previously only third-party sourced)	http://www.evolutiontrainingcenter.ca/
REAL	NB	Fredericton BJJ	Fredericton	https://frederictonbjj.com	KEEP	Site trades as "Absolute Brazilian Jiu-Jitsu"; full program list (Toddler/Mini/Little/Big Kids/Adult/Women's BJJ) read on page; address "80 Bishop Dr, Fredericton, NB, Canada, E3C 1B2," phone (506) 260-8136, owner "Dana" named in reviews	https://frederictonbjj.com/
REAL	NB	Synergy BJJ Fredericton	Fredericton	https://www.bjjfredericton.com	KEEP	Site trades as "Synergy Brazilian Jiu-Jitsu"; body confirms Adult/Teen/Women's/No-Gi/Youth/Mini BJJ programs; head coaches Melyssa Adams (2nd degree BB) and Greg Thomas (BB) named; address "368 Forest Hill Road, Fredericton, New Brunswick E3B 4K4"	https://www.bjjfredericton.com/
GONE	NB	Miramichi BJJ	Miramichi	https://miramichibjj.com	SUPPRESS	miramichibjj.com and miramichibjj.ca both confirmed NXDOMAIN (Status 3) by DNS this pass. A real replacement operates in Miramichi - see ADD row for MXT BJJ Miramichi	https://dns.google/resolve?name=miramichibjj.com&type=A
REAL	NB	Icon Combat	Moncton	https://iconcombat.com	KEEP	Body: "Icon Combat... Moncton's premier combat sports facility," full weekly BJJ (Gi/No-Gi, kids & adult) schedule read directly; address "270 Baig Blvd Unit A3, Moncton, NB E1E 1C8"	https://iconcombat.com/
REAL	NB	Knots Jiu Jitsu	Moncton	https://knotsjj.ca	KEEP	Body: "Moncton's Premier BJJ Academy"; head coach "Professor Cassio Martins... BJJ black belt since 2012, promoted under Master Breno Angelo (Gracie Petropolis) and Rolker Gracie, son of Grand Master Helio Gracie" read directly on page - lineage claim confirmed accurate, not fabricated; address "1633 Mountain Road Unit 10, Moncton, NB E1G 1A0"	https://knotsjj.ca/
GONE	NB	Moncton BJJ	Moncton	https://monctonbjj.com	SUPPRESS	monctonbjj.com and monctonbjj.ca both confirmed NXDOMAIN (Status 3) by DNS this pass. Moncton is well covered by three confirmed-real academies: Icon Combat, Knots Jiu Jitsu, Quantum Jiu Jitsu	https://dns.google/resolve?name=monctonbjj.com&type=A
REAL	NB	Quantum Jiu Jitsu	Moncton	https://www.quantumjj.com	KEEP	Body: "Moncton's largest Brazilian Jiu-Jitsu school," led by "Professor Alexander MacKinnon, a Gracie Jiu-Jitsu black belt with over 19 years of experience," founded 2020; address "SUITE#3 - 175 BARKER ST. MONCTON, NB," phone (506) 227-0743	https://quantumjj.com/
REAL	NB	Victory Jiu Jitsu	Quispamsis	https://victorykv.gymdesk.com	KEEP	Body: "VICTORY JIU-JITSU | Quispamsis, NB," led by Shane Rice (Black Belt 3rd degree) plus 5 other named instructors (2 more black belts, 2 purple, 1 brown); full weekly BJJ schedule read directly; address "80 Millennium Drive, Quispamsis, NB E2E 5B4"	https://victorykv.gymdesk.com/
REAL	NB	Junglefowl Brazilian Jiu Jitsu	Sackville	https://junglefowlbjj.ca	KEEP	/about page body: "Junglefowl BJJ is located at 86 Main Street in downtown Sackville, New Brunswick"; head instructor Evan Brooks named as "Brazilian Jiu-Jitsu black belt, 1st degree"; postal code E4L 1G6 confirms NB Sackville, not NS. (Note: listed phone area code is 902, unusual for NB but not conclusive of a region error given the address/postal-code text is explicit and unambiguous)	https://junglefowlbjj.ca/about
REAL	NB	MXT BJJ	Saint John	https://mxtbjj.com	KEEP	Body: "MXT Brazilian Jiu Jitsu Saint John," 5 named black-belt instructors, full weekly Gi/No-Gi schedule; address "145 Somerset Street, Saint John, NB E2K2X4" - confirms Saint John (no apostrophe) NB, not St. John's NL	https://mxtbjj.com/
GONE	NB	Saint John BJJ	Saint John	https://saintjohnbjj.com	SUPPRESS	saintjohnbjj.com and saintjohnbjj.ca both confirmed NXDOMAIN (Status 3) by DNS this pass. Saint John is covered by MXT BJJ (confirmed real, E2K postal code) and a strong UNVERIFIED lead, Team Flow State (see below) - do not confuse either with stjohnsbjj.ca, which is St. John's NL, a cross-region trap that fired in research's raw search results but was correctly caught	https://dns.google/resolve?name=saintjohnbjj.com&type=A
UNVERIFIED	NB	Woodstock NB BJJ	Woodstock	(none stored)	NONE	No genuine Woodstock NB business confirmed by a body read. Ruled out two traps: "Warrior Brazilian Jiu Jitsu Academy - Woodstock" is Woodstock, GEORGIA (confirmed via meta tags: country_name UNITED STATES); woodstockbjj.ca is Woodstock, ONTARIO. The town's own dynamic business-directory page (woodstocknb.ca) redirected to a generic landing page with no jiu-jitsu listing when fetched this pass. A Yelp snippet loosely tagging "Absolute Brazilian Jiu Jitsu" (actually the Fredericton school, ~100km away) under Woodstock searches is a geo-radius artifact, not evidence of a Woodstock location	https://woodstocknb.ca/business-directory
ADD	NB	MXT BJJ Miramichi	Miramichi	https://mxt-bjj-miramichi.gymdesk.com/	ADD	Reconfirmed directly: 4 named instructors (3 black belts, 1 blue/purple belt), live weekly No-Gi/BJJ/drilling schedule; address "1745 Water St, Miramichi, NB E1N 1L9," phone 506-625-1835, located inside the EastSide Creative Centre	https://mxt-bjj-miramichi.gymdesk.com/
ADD	NB	Victory Jiu-Jitsu Edmundston	Edmundston	https://www.facebook.com/VictoryJJEdmundston/	ADD	Could not directly render Edmundston's own Facebook/Instagram this pass (persistent tooling block, tried both facebook.com and m.facebook.com and Instagram). Corroborated instead by Victory Jiu-Jitsu Academy Dieppe's own primary page, which explicitly lists Edmundston as a "Sister Academy," address "12 Ben-Martin Avenue, Local 339, Edmundston, NB" - a first-party (network HQ) source, though not the Edmundston page itself. Recommend a follow-up fetch before firm publication	https://victoryjiujitsuacademy.ca/
ADD	NB	Restigouche Dojo	Campbellton	https://restigouchedojo.com/	ADD	UPGRADED from research's UNVERIFIED - body successfully read this pass (research could not render it). Confirms "Programs Offered: Judo... Brazilian Jiu-Jitsu (Youth No-Gi, Adult BJJ)... Women's Self-Defence... Dojo Fit... Playful... Seniors." Address "44 Salmon Blvd, Campbellton, NB" read directly. This is the real business now operating where Campbellton BJJ (dead stub) used to be listed	https://restigouchedojo.com/
UNVERIFIED	NB	Team Flow State	Saint John	https://www.facebook.com/FlowstateJJ/	NONE	Could not render Facebook body myself despite multiple attempts. Strong but third-party-only corroboration: Smoothcomp club listing and the independent Coastline BJJ Collective regional directory both list it as a No-Gi BJJ club at "20 Bayside Drive, Saint John, NB E2J 1A2," phone 506-440-9463, coach Jon Williams. Postal code E2J and area code 506 both confirm New Brunswick Saint John, not Newfoundland St. John's - the cross-region trap does NOT apply here. Recommend a follow-up fetch to reach a first-party body before adding	https://smoothcomp.com/en/club/36409
