verdict	region	name	city	url	action	evidence	source_url
REAL	NL	Velocity Martial Arts Academy	Clarenville	https://www.velocitynl.com	KEEP	Read directly: primarily a gymnastics facility that also runs "Jiu Jitsu (BJJ), Kenpo Karate, Kickboxing and Mixed Martial Arts (MMA) techniques and drills" across age brackets 3-4 through Teen-Adult. BJJ explicitly named, not judo-only, not kids-only.	https://www.velocitynl.com/
REAL	NL	Jason Foley Martial Arts	Conception Bay South	https://www.jasonfoleyma.com	KEEP	Read directly: "Gracie Jiu Jitsu. Karate. Kick Boxing." Address 16 Hops St. Unit 104, A1W 0E8 Conception Bay South (postal A1W confirms NL). Foley cluster: distinct address confirmed independently.	https://www.jasonfoleyma.com/location
REAL	NL	Anchor Combat Academy	Corner Brook	https://www.anchorcombatacademy.com	KEEP	Read directly: "Located in Downtown Corner Brook"; class list names "Gi Brazilian Jiu Jitsu" and "No-Gi Brazilian Jiu Jitsu" as distinct programs; address 2 Herald Ave, Lower Level of the Millbrook Mall.	https://www.anchorcombatacademy.com/
GONE	NL	Corner Brook BJJ	Corner Brook	cornerbrookbjj.com	SUPPRESS	DNS independently re-verified: Status 3 NXDOMAIN, conclusive. No live replacement under this name. Corner Brook is already represented by Anchor Combat Academy (confirmed real, above). Secondary search text (not a page I read myself; CBC article returned blank) suggests a former informal "Corner Brook Brazilian Jiu Jitsu" group at Vine Place Community Centre may be the predecessor lineage that became Anchor Combat Academy, but this is not confirmed on a primary source this pass.	https://dns.google/resolve?name=cornerbrookbjj.com&type=A
GONE	NL	Gander BJJ	Gander	ganderbjj.com	SUPPRESS	DNS independently re-verified: Status 3 NXDOMAIN, conclusive. Targeted search found no confirmed BJJ business in Gander this pass; only a judo club (Sosei Judo) surfaced, which does not qualify as BJJ. No replacement found.	https://dns.google/resolve?name=ganderbjj.com&type=A
REAL	NL	New Found TAO BJJ	Grand Falls-Windsor	https://www.newfoundtaobjj.ca	KEEP	Read directly: "NFT - NL's perfectly centered martial arts club," "strong emphasis on the community and social benefits of Brazilian Jiujitsu," Adult BJJ class card. Address 105 Lincoln Road, Grand Falls-Windsor, NL, phone (709) 486-6454 (709 confirms NL).	https://www.newfoundtaobjj.ca/
WRONG-URL	NL	Labrador City BJJ	Labrador City	novauniao.ca/lab-city	FIX-URL	Stored domain novauniao.ca confirmed NXDOMAIN (Status 3) by independent DNS check. Candidate replacement novauniaocanada.com resolves (Status 0, 3 A records) but returned a completely blank body on every fetch attempt I made (root, /lab-city, www and non-www) -- reproduces the same tool limitation research reported, not evidence the school is gone. A secondary directory (Coastline BJJ Collective) independently lists "Labrador City BJJ" at the identical URL structure "novauniao.ca/lab-city", supporting that novauniaocanada.com/lab-city is simply the renamed live domain for the same page. I could NOT read the page myself; do not carry forward the instructor name/lineage seen only in search snippets.	https://dns.google/resolve?name=novauniao.ca&type=A ; https://dns.google/resolve?name=novauniaocanada.com&type=A
UNVERIFIED	NL	Foley's Martial Arts	Paradise	foleysmartialarts.com	NONE	Domain resolves (DNS Status 0) but returned a blank body on every attempt I made independently (root, /contact, /about, /schedule, /index.html, http, www, and an r.jina.ai reader-proxy workaround) -- same tool limitation research reported. The .ca variant (foleysmartialarts.ca and www.foleysmartialarts.ca) is confirmed NXDOMAIN by DNS, contradicting a stray AI-search-summary claim that .ca is the live site -- do not trust that claim. I independently read a secondary business-directory page (canpages.ca) myself, which lists address 1483 Topsail Rd, Paradise, NL A1L 1P9, phone 709-747-7077 -- but this is a directory, not the school's own page, so it is not asserted as confirmed fact. Existence is plausible but unconfirmed by a primary source this pass.	https://foleysmartialarts.com/ ; https://www.canpages.ca/page/NL/paradise/foleys-martial-arts/4364631
REAL	NL	Alex Foley's Academy of Martial Arts	St. John's	https://www.alexfoley.ca	KEEP	Read directly: "AFAMA," multi-location "St. John's - Paradise - Goulds - Witless Bay - Whitbourne," instructor bios confirm genuine adult BJJ program (Don Sinnott: "started training in our Adult Brazilian Jiu-Jitsu program in 2015"; Ivan Burt: "...opened our first location in the Goulds in 2010"). Not karate-only. Foley cluster: distinct multi-location footprint confirmed independently.	https://www.alexfoley.ca/
WRONG-URL	NL	Evolution Martial Arts NL	St. John's	evolutionbjjstjohns.com	FIX-URL	Stored domain evolutionbjjstjohns.com resolves via DNS (Status 0) but I independently reproduced a completely blank body/title on fetch. Live site is evolutionmartialartsnl.com, which I read directly in full: "Evolution Martial Arts NL... Brazilian Jiu-Jitsu, and functional conditioning," Gi/No-Gi BJJ class cards, address 210 Kenmount Rd, St. John's, NL A1B 3R2, lead instructor Dru Hillyard "Black Belt under Prof. Dan Guillemette and Prof. Steve Burgess."	https://evolutionmartialartsnl.com/
