verdict	region	name	city	url	action	evidence	source_url
REAL	NS	Halifax BJJ Society	Halifax	https://www.halifaxbjj.ca	KEEP	Own page read directly: title/H1 "Halifax Brazilian Jiu-Jitsu Society" aka "HFX BJJ Society"; phone 902-209-8324; email halifaxbjjsociety@gmail.com; Instructors/Schedule/Affiliates pages present and live; own Affiliates page lists 9 current partner links, read directly this pass.	https://www.halifaxbjj.ca
WRONG-ENTITY	NS	Halifax BJJ	Halifax	https://halifaxbjj.com	SUPPRESS	Confirmed research's finding myself: halifaxbjj.com resolves (DNS Status 0) and its rendered body is byte-identical to halifaxbjj.ca (same title, H1, phone 902-209-8324, email). The business trades as "Halifax Brazilian Jiu-Jitsu Society" / "HFX BJJ Society", not plain "Halifax BJJ". This is one business listed twice. Suppress this record; keep the halifaxbjj.ca record only.	https://www.halifaxbjj.com
GONE	NS	Shelburne BJJ NS	Shelburne	(none)	SUPPRESS	DNS NXDOMAIN (Status 3) confirmed this pass on shelburnebjj.com, shelburnebjj.ca AND shelburnebjjns.com. No business by any BJJ name found in Shelburne in the Feb-2025 37-club roster or the 39-club Coastline directory, both read directly.	n/a
GONE	NS	Stellarton BJJ	Stellarton	stellartonbjj.com	SUPPRESS	Re-verified DNS NXDOMAIN (Status 3) myself on both stellartonbjj.com and stellartonbjj.ca. No Stellarton entry in either independent club roster. Nearest confirmed schools are Pictou County Jiu Jitsu (New Glasgow) and the unverified Shiretown Grappling Club (Pictou), same county, different towns and names.	n/a
GONE	NS	Atlantic BJJ	Dartmouth	(none)	SUPPRESS	DNS NXDOMAIN (Status 3) confirmed this pass on atlanticbjj.com. No business by this name found in Dartmouth via search or either club roster; Dartmouth's real schools (Fit Plus, Grant's, Tower 1, Forca Centre) all trade under different names.	n/a
GONE	NS	Cape Breton BJJ	Sydney	(none)	SUPPRESS	DNS NXDOMAIN (Status 3) confirmed this pass on capebretonbjj.com and capebretonbjj.ca. No business by this name found; Sydney's confirmed schools are Integrity Martial Arts and Zombie Proof BJJ, both under different names.	n/a
REAL	NS	Team Fortitude NS	Bridgewater	https://www.facebook.com/FortitudeJiujitsu	FIX-URL	Overturned from UNVERIFIED. Candidate domain teamfortitudemma.ca is DNS NXDOMAIN on both apex and www (verified twice this pass) - it is dead, not merely bot-blocked, contradicting an earlier misleading empty-but-non-erroring fetch. However Halifax BJJ Society's own Affiliates page (read directly by me) currently links facebook.com/FortitudeJiujitsu as an active affiliate, confirming the club exists and operates today. Could not read Team Fortitude's own Facebook body (tool cannot render Facebook this pass). Address 543 Glen Allan Dr, Bridgewater NS B4V 0A8 and instructor name are secondary-sourced only, not read by me on a primary body - flagged as the one gap.	https://www.halifaxbjj.ca/affiliates
REAL	NS	Yarmouth BJJ	Yarmouth	https://www.yarmouthbjj.ca	FIX-URL	Overturned from UNVERIFIED. Stored yarmouthbjj.com is DNS NXDOMAIN (dead, re-verified). Found and read the live replacement yarmouthbjj.ca myself: full class schedule (Gi BJJ, No-Gi BJJ, Kids BJJ, Muay Thai Kickboxing, Open Roll), address "73C Starrs Road, Yarmouth, NS B5A 2T6", email yarmouthbjj@gmail.com. Page is titled plainly "Yarmouth BJJ", matching the original stub name.	https://www.yarmouthbjj.ca
REAL	NS	Breakthrough BJJ	Amherst	https://www.breakthroughbjj.ca	KEEP	Re-read own page directly: address "33 Prince Arthur Street, Amherst, NS B4H 1V5", phone 9026694321, live class schedule with Gi/No-Gi BJJ, Muay Thai and MMA classes, "We are a proud member of the BJJ Society, an Affiliate of Halifax BJJ!" banner confirmed verbatim.	https://www.breakthroughbjj.ca
REAL	NS	Fit Plus MMA	Dartmouth	https://fitplusmma.com	KEEP	Re-read own page directly: dedicated Brazilian Jiu-Jitsu class page linked from main nav, address "135 Main Street, Dartmouth, NS, Canada B2X 1R6", phone (902) 404-8424, Scott MacLean listed as "Head BJJ & Muay Thai Coach".	https://fitplusmma.com
REAL	NS	Grant's Martial Arts	Dartmouth	https://www.grantsmartialarts.ca	KEEP	Re-read own page directly: title "BJJ & Muay Thai | Grant's Martial Arts Academy | Halifax & Dartmouth", address "900 Windmill Road, Unit 302, Dartmouth", phone 902-471-7052, meta description confirms "home of former UFC #1 contender TJ Grant...teaching BJJ and Muay Thai".	https://www.grantsmartialarts.ca
REAL	NS	Abhaya Mixed Martial Arts	Greenwich	https://abhaya.ca/greenwich	KEEP	Re-read own page directly: "located at 38 Highway 358, Greenwich, Nova Scotia"; instructor Jon Foster "holds a second degree black belt in Brazilian Jiu-Jitsu under Alexey Pickerell" confirmed verbatim; full BJJ/No-Gi/Muay Thai/Boxing schedule.	https://abhaya.ca/greenwich
REAL	NS	374 MMA	Halifax	https://374mma.com	KEEP	Re-read own page directly. IMPORTANT: title tag and meta keywords read "374 MMA Windsor Ontario" (templated-site SEO boilerplate) but the page BODY explicitly states "277 Lacewood Drive Halifax NS, Canada, Nova Scotia" and "Transform your mind, body & spirit at Halifax's premier MMA training facility". Body overrides title per method rules - this is a live, textbook example of a lying title tag; confirmed Halifax NS. Footer phone still shows an anomalous 506 (NB) area code, not used as evidence.	https://374mma.com
REAL	NS	Jake MacKenzie School of Jiu Jitsu	Halifax	https://jakemackenziebjj.com	KEEP	Re-read own page directly: address "6430 Lady Hammond Rd, Halifax, NS B3K 2S3", phone 902-580-9594, "Jake Mackenzie...is a third-degree black belt under Julio Cesar Pereira" confirmed verbatim, no fabrication found.	https://jakemackenziebjj.com
REAL	NS	Maritime Jiu-Jitsu	Halifax	https://www.maritimejiujitsu.ca	KEEP	Re-read own page directly: address "6310 Hood St, Halifax, NS B3K 2V7", Jesse Allen listed "Black Belt", live schedule with Gi/No-Gi/Kids BJJ classes.	https://www.maritimejiujitsu.ca
REAL	NS	Titan's Martial Arts and Fitness	Halifax	https://titansmaaf.ca	KEEP	Re-read own page directly: title "Titans MMA | Renzo Gracie Halifax", "conveniently located in Bayer's Lake, at 174 Horseshoe Lake Drive, Halifax, NS", live BJJ class list (Kids BJJ, Advanced/Beginner BJJ, BJJ Open Mat).	https://titansmaaf.ca
REAL	NS	Clinch Training Centre	Lower Sackville	https://clinchtrainingcenter.ca	KEEP	Re-read own page directly: address "22 Glendale Ave, Lower Sackville, NS B4C 3M1", phone 902-220-0603, instructor bios confirm Brad Call's Lovato Jr BJJ affiliation and Kevin Thibault's background verbatim.	https://clinchtrainingcenter.ca
REAL	NS	Integrity Martial Arts	Sydney	https://www.integritymartialarts.ca	KEEP	Re-read own page directly: "Located at 80 Hankard street Sydney Nova Scotia", phone 902-577-7967, dedicated "Kids Brazilian Jiu-Jitsu" and adult "Brazilian Jiu-Jitsu" class pages confirm genuine BJJ program alongside TKD/Krav Maga/Judo/Kickboxing/MMA - not a TKD school faking BJJ.	https://www.integritymartialarts.ca
REAL	NS	Zombie Proof BJJ	Sydney	https://www.zombieproofbjj.com	KEEP	Re-read own page directly: "located in Sydney, Nova Scotia...Owned and operated by BJJ and Judo blackbelt, Kent Peters"; phone 902 371 3969; Gi/No-Gi/Kids/Women's BJJ class pages confirmed. No street address given on own site, consistent with prior pass.	https://www.zombieproofbjj.com
