verdict	region	name	city	url	action	evidence	source_url
REAL	PE	West River Jiu Jitsu	Bonshaw	https://westriverjiujitsu.ca	KEEP	Read directly: address 25 Green Road, Bonshaw, PE C0A 1C0; phone 902-213-6257; "Jiu-Jitsu" and "Children Jiu-Jitsu" programs described on site.	https://westriverjiujitsu.ca/
REAL	PE	Charlottetown BJJ Academy	Charlottetown	https://charlottetownbjj.com	KEEP	Read directly: "Charlottetown Brazilian Jiu Jitsu Society," "Charlottetown's first non-profit BJJ academy," full BJJ class schedule (Gi/No-Gi/Kids), address 152 Kent Street, Charlottetown, PE C1A 1N9, phone (902) 201-2848; affiliated with Halifax BJJ Society and Mavericks Jiu-Jitsu.	https://charlottetownbjj.com/
UNVERIFIED	PE	PEI Brazilian Jiu Jitsu	Charlottetown	(none)	NONE	No business trading verbatim as "PEI Brazilian Jiu Jitsu" found in Charlottetown on any primary source. A distinct Charlottetown school, JM Brazilian Jiu-Jitsu, exists (see ADD row below) but never uses this name on its own page. A Facebook page "Prince Edward Island Jiu Jitsu" also surfaced via a secondary directory, listed as based in Summerside rather than Charlottetown; its Facebook body does not render through the fetch tool and the bare domain peijiujitsu.com is confirmed NXDOMAIN. Not asserting a match either way.	n/a
UNVERIFIED	PE	Montague BJJ	Montague	montaguebjj.ca	NONE	DNS independently confirms Status 0 (domain resolves) but the page returns a completely empty body on every fetch attempt, independently reproduced. A secondary directory (Coastline BJJ Collective, read directly) separately lists "Montague BJJ (Montague)" at the identical URL, and a distinct Facebook business "Montague Brazilian Jiu Jitsu" also surfaced -- consistent with a real club, but no primary-source body was read by me this pass.	https://dns.google/resolve?name=montaguebjj.ca&type=A
WRONG-URL	PE	Souris Brazilian Jiu-Jitsu	Souris	sourisbjj.com	NONE	DNS independently confirms Status 3 NXDOMAIN for both sourisbjj.com and sourisbjj.ca -- conclusive that the stored domain and its .ca counterpart are both dead. Multiple independent secondary sources (a Facebook business page, the Coastline BJJ Collective directory, and Google's stale cached index of the dead site) consistently describe an active club at the Acorn Room, Eastern Kings Sportsplex, Souris PE, but I could not read a primary source this pass (Facebook returns an empty body through the fetch tool). No live corrected URL was found.	https://dns.google/resolve?name=sourisbjj.com&type=A ; https://dns.google/resolve?name=sourisbjj.ca&type=A
WRONG-ENTITY	PE	Stratford BJJ PEI	Stratford	(none)	FIX-URL	Independently read https://www.peimma.com/stratford directly: this is a location of PEI Martial Arts Academy, not a business called "Stratford BJJ PEI." Address 41 Hollis Ave, Stratford, PE C1B 2S6, phone 902-213-7913. Its own schedule names "KIDS NO-GI BRAZILIAN JIU-JITSU (10-15)" and "ADULT BRAZILIAN JIU-JITSU" explicitly. Recommend renaming this record to "PEI Martial Arts Academy Stratford" (matching the naming convention already used by the live "PEI Martial Arts Academy Summerside" record) with URL https://www.peimma.com/stratford -- NOT a bare "PEI Martial Arts Academy," which would collide by name with the existing Summerside record in the name-matched storage format.	https://www.peimma.com/stratford
GONE	PE	Island Grappling Club	Summerside	(none)	SUPPRESS	Independently searched; no business trading as "Island Grappling Club" found anywhere in PEI. It does not appear in the independent 10-club Coastline BJJ Collective PEI directory, which I read directly and which names every other confirmed PEI club. Likely a stale/erroneous stub.	https://www.coastline-bjj-collective.com/clubs-atlantic-canada/prince-edward-island
REAL	PE	PEI Martial Arts Academy Summerside	Summerside	https://www.peimma.com	KEEP	Read directly (home page + /summmerside schedule page): "PEI MMA was founded in Jan 2018 by former UFC Athlete Jason Saggo... Brazilian Jiu-jitsu..."; Summerside schedule explicitly names "BJJ-GI," "BJJ NO-GI," "KIDS BJJ"; address 50 Ashwood Ave, Slemon Park, C0B 2A0, phone (902) 213-7913.	https://www.peimma.com/summmerside
WRONG-ENTITY	PE	Summerside BJJ PEI	Summerside	(none)	SUPPRESS	No business trading verbatim as "Summerside BJJ PEI" found. The only confirmed BJJ program in Summerside is PEI Martial Arts Academy (record above, KEEP), independently confirmed to teach Brazilian Jiu-Jitsu on its own schedule page. This stub duplicates that already-correct record rather than representing a second Summerside school; recommend suppression rather than assigning it a URL.	https://www.peimma.com/summmerside
REAL	PE	Wulfrun Martial Arts	York	https://wulfrunmartialarts.com	KEEP	Read directly: address 370 Route 25, York, PE; phone 902-394-6789; "Gracie Jiu-Jitsu... all the way through to advanced black belt level," dedicated Brazilian Jiu-Jitsu programme page; testimonial names "Prof. Paul Abel."	https://wulfrunmartialarts.com/
ADD	PE	JM Brazilian Jiu-Jitsu	Charlottetown	https://jmbjj.ca	ADD	Read directly: "Juliano Macario | Brazilian Jiu-Jitsu Charlottetown." Professor Juliano Macario, black belt, "World Championship in Brazil," teaching BJJ in Canada since 2015. Address 21 Macaleer Dr, Charlottetown PEI, phone 902 327 2122 -- a second, distinct Charlottetown school at a different address from Charlottetown BJJ Academy's 152 Kent St.	https://jmbjj.ca/
ADD	PE	PEI Martial Arts Academy O'Leary	O'Leary	https://www.peimma.com/oleary	ADD	Read directly (home page + /oleary page): O'Leary location of PEI Martial Arts Academy, address 424 Main St, O'Leary, PE C0B 1V0, phone (902) 213-7913. Own schedule names "KIDS BRAZILIAN JIU-JITSU (8-15)" and "ADULT BJJ" explicitly (Wednesday/Saturday). New city heading "O'Leary, PE" -- PEI has no hardcoded-city-list constraint (that applies only to NL/Nebraska per C7), so this can be added directly. Name follows the same "PEI Martial Arts Academy <City>" convention recommended for the Stratford fix, to avoid collapsing three distinct physical locations into one name-matched record.	https://www.peimma.com/oleary
