verdict	region	name	city	url	action	evidence	source_url
GONE	TN	Athens Brazilian Jiu-Jitsu	Athens	athensbrazilianjiujitsu.com	SUPPRESS	DNS Status 3 NXDOMAIN, re-confirmed independently this pass via dns.google. Successor entity found and added separately as ADD (Athens Jiu Jitsu, athensjiu-jitsu.com).	https://dns.google/resolve?name=athensbrazilianjiujitsu.com&type=A
GONE	TN	Knoxville BJJ	Knoxville	knoxvillebjj.com	SUPPRESS	DNS Status 3 NXDOMAIN, re-confirmed independently this pass. Knoxville already has 4 other REAL confirmed records on the live page; no forced replacement was sought for this stub.	https://dns.google/resolve?name=knoxvillebjj.com&type=A
GONE	TN	Upper Cumberland MMA	Cookeville	uppercumberlandmma.com	SUPPRESS	Re-fetched myself: domain now redirects to a HugeDomains "domain for sale" landing page, confirming the business no longer controls it. No replacement school found in Cookeville this pass; Alpha Jiu-Jitsu Academy and Cookeville Jiu-Jitsu remain the real Cookeville records.	https://www.uppercumberlandmma.com/
WRONG-ENTITY	TN	Kaze BJJ and Judo Institute	Clarksville	kazebjj.com	FIX-URL	Confirmed myself by reading kazebjj.com/location.html: this domain belongs to Kaze Brazilian Jiu Jitsu, 1950 Ellesmere Rd Unit 8, Scarborough, ON M1H 2V8, Canada, an unrelated Ontario business (cross-region debt, Ontario already curated). The real Clarksville TN entity was independently corroborated via a self-authored Smoothcomp club profile (person in charge Eric Schwalm, Krystal Crocker) giving 99 Marion Street, Clarksville, TN, consistent with several aggregators and a Facebook post title, but no working own-domain or readable social page could be reached this pass. Recommend blanking the URL and correcting the address rather than treating the address as fully own-page-verified.	https://kazebjj.com/location.html
UNVERIFIED	TN	Chattanooga BJJ	Chattanooga	chattanoogabjj.com	NONE	DNS resolves (Status 0, re-checked). Re-fetched http, https and www variants myself; all return only a bare viewport meta tag, no title or text (JS-rendered shell unreadable by this tool). Cannot confirm or deny. Chattanooga already has two other REAL confirmed schools (Kioto BJJ Chattanooga, Chattanooga Jiu-Jitsu Academy) so no forced replacement was sought.	https://chattanoogabjj.com/
UNVERIFIED	TN	Kingsport BJJ	Kingsport	kingsportbjj.com	NONE	DNS resolves (Status 0, re-checked). Re-fetched http/https/www variants myself; returns a fully empty response, no readable content. Cannot confirm or deny. A genuine, differently-named replacement was found and added separately (Kingsport JiuJitsu at Duncan MMA, kingsportjiujitsu.com).	http://www.kingsportbjj.com/
UNVERIFIED	TN	Murfreesboro BJJ	Murfreesboro	murfreesborobjj.com	NONE	DNS resolves (Status 0, re-checked). Re-fetched myself; bare viewport meta tag only, no text. Cannot confirm or deny. A genuine, differently-named replacement (Tennessee BJJ Academy Murfreesboro / Asura Combat Sports, bestboromma.com) was independently re-confirmed on its own page and added. Note: graciebarramurfreesboro.com, encountered while researching this row, now redirects to an unrelated gambling/spam site -- it is not a usable source for anything.	https://murfreesborobjj.com/
UNVERIFIED	TN	Alliance Jiu Jitsu Tennessee	Nashville	alliancetnbjj.com	NONE	Re-fetched alliancetnbjj.com myself; still returns an empty body. A search snippet shows the Facebook page is literally titled "Alliance TN | Memphis TN," suggesting this may actually be a Memphis entity misfiled as Nashville, but I could not read that Facebook page's body myself (fetch blocked/empty in this sandbox) so this cannot be stated as confirmed. No dedicated Nashville Alliance BJJ entity was found by search either.	https://alliancetnbjj.com/
UNVERIFIED	TN	Tri-Cities BJJ	Johnson City	(none stored)	NONE	Could not reach a working own page or readable social profile for an entity specifically branded "Tri-Cities BJJ" this pass; Smoothcomp club pages under this name returned empty on fetch. A WebSearch synthesis claimed an address/owner ("113 Cherry Street," "Keith Olson") that I could NOT corroborate and that is directly contradicted by the actual page content of the most plausible candidate, Olson's Martial Arts Academy (olsonsma.com), whose own page names the owner as Grand Master Amanda Olson at 316 Marketplace Blvd Suite 15 -- flagged as a caught search-tool fabrication, not used as evidence. Olson's itself is added separately below as its own record rather than being asserted as "Tri-Cities BJJ."	(aggregator/search only, no reliable own-page found)
REAL	TN	Gracie Barra Knoxville	Knoxville	jiujitsuknoxvilletn.com	FIX-URL	Bonus finding beyond the required 9 non-REAL rows: the stored URL samuelbragabjj.com returns an empty body on fetch, but I located and read the CURRENT own page at jiujitsuknoxvilletn.com myself: "Samuel BragaBJJ - Knoxville TN," Gracie Barra Black Belt, 3x IBJJF World Champion, relocated to Knoxville in 2007. Address on the current page: 5710 Kingston Pike, Suite 2, Knoxville, TN 37919 (differs from an 8373 Kingston Pike address that surfaced only in an unread Yelp search snippet, which I do not rely on). Recommend updating the stored URL to jiujitsuknoxvilletn.com and the address to 5710 Kingston Pike Suite 2.	https://www.jiujitsuknoxvilletn.com/
