name	verdict	note	current_file
Meltons Jiujitsu/MMA	DEAD	Facebook page deleted, content unavailable	NO OVERRIDE
Method BJJ	WRONG_BUSINESS	Edmonton Alberta school, closed Nov 2025	NO OVERRIDE
Mobile MMA Club	WRONG_BUSINESS	Redirects to Population Health Colloquium conference site	NO OVERRIDE
Montague BJJ	DEAD	"Gym platform ""we could not find the gym"" page"	NO OVERRIDE
Murdoc's Brazilian Jiu-Jitsu (MWBJJ) & Self Defense Academy (GD JJ Affiliate)	PARKED	GoDaddy parked lander at /lander	NO OVERRIDE
NWC Martial Arts Academy	STRIKING_ONLY	Kung fu and tai chi only, Westland MI	NO OVERRIDE
Nemesis Jiu Jitsu	PARKED	Parked domain, ParkLogic monetization redirector	NO OVERRIDE
New Braunfels BJJ	WRONG_BUSINESS	Dalua aquarium lighting and filtration e-commerce store	NO OVERRIDE
Northeast Kingdom BJJ	DEAD	Connection times out; www.nekbjj.com returns NXDOMAIN	NO OVERRIDE
ONEPUNCH Boxing and MMA Jujitsu Gym	DEAD	Google business.site returns 404 Not Found	NO OVERRIDE
Ohana Jiu-Jitsu	PARKED	GoDaddy parked lander at /lander	NO OVERRIDE
Ohio Academy of Martial Arts	STRIKING_ONLY	Wooster OH; taekwondo, karate, cardio kickboxing only	NO OVERRIDE
Old School Jiu Jitsu	DEAD	Facebook page deleted, content unavailable	NO OVERRIDE
Parallel Jiu Jitsu	DEAD	Google business.site returns 404 Not Found	NO OVERRIDE
Parma Family Martial Arts Center	STRIKING_ONLY	5596 Ridge Rd Parma OH; taekwondo, kumdo, tai chi only	NO OVERRIDE
Portela Brazilian Jiu-Jitsu	DEAD	Site not found, unpublished on both host forms	NO OVERRIDE
