date_found	name	city	code	url_lead	address_lead	region	note
2026-08-20	Johnson's Martial Arts Academy	Montgomery	AL		1751 Eastern Blvd, Montgomery AL 36117	Alabama	Lead only, NOT browser-verified. Passed name/host/address dedupe against the 5,911-record corpus. Need own site or own FB/IG + grappling programme confirmation.
2026-08-20	Fleming's Martial Arts	Montgomery	AL		5521 Wares Ferry Rd, Montgomery AL 36117	Alabama	Lead only, NOT browser-verified. Passed dedupe. Need own site + grappling programme confirmation.
2026-08-20	Panda BJJ & MMA	Saraland	AL		208 Saraland Blvd S, Saraland AL 36571	Alabama	Lead only, NOT browser-verified. Passed dedupe. Directory name is "Panda BJJ & MMA at Brok Weaver Boxing & Big Jay Jiu-Jitsu" - resolve the real trading name before writing a record; the long form is unwieldy but contains no | or ~.
2026-08-20	Huntsville Judo Club	Huntsville	AL			Alabama	Lead only, NOT browser-verified. Passed dedupe. No website located yet; may be a club hosted inside a gymnastics facility rather than its own school.
2026-08-20	Rubicon Jiu Jitsu & Self Defense		AL/GA	https://rubiconjiujitsu.com		Alabama	Lead only. Listed under Phenix City AL by Yelp but self-describes as "Columbus, Georgia's premier destination". LIKELY GEORGIA, not Alabama - confirm the state before adding, and dedupe against the GA corpus.
2026-08-21	Redemption Mixed Martial Arts	Soldotna	AK		44619 Sterling Hwy Unit 4A	Alaska	Dedupe-clear. Not browser-verified - run hit the 3-addition cap. Lead from MatMade Soldotna city page; no own-site URL identified yet.
2026-08-21	All American Training Center	Kenai	AK		35930 Kenai Spur Hwy	Alaska	Dedupe-clear, wrestling/multi-sport. Not verified - cap reached. CITY AMBIGUOUS: MatMade files it under Soldotna but the address 35930 Kenai Spur Hwy is Kenai. Resolve from the school own site before adding.
2026-08-21	Excel Judo	Palmer	AK	http://excelgymnasticsllc.com	6109 East Mountain Heather Way, Palmer AK	Alaska	Dedupe-clear. Not verified - cap reached. Runs inside Excel Gymnastics; the only site is the gymnastics host, so requirement 1 (its OWN site) is doubtful. Check whether the judo programme has its own page.
2026-08-21	McGrath Judo	McGrath	AK	https://www.facebook.com/rawtalentjudo	38 Amos, McGrath AK	Alaska	Dedupe-clear. Not verified - cap reached. Own Facebook page (fetcher returns blank for FB as a class, so this needs the browser). Address from Alaska Judo.
2026-08-21	Capital City Judo	Juneau	AK	https://capitalcityjudo.com	9105 Mendenhall Mall Road #369, Juneau AK	Alaska	Dedupe-clear but UNVERIFIABLE tonight: capitalcityjudo.com returns ERR_SSL_VERSION_OR_CIPHER_MISMATCH on both apex and www. Address is third-party (Alaska Judo) and "#369" at a mall reads like a mailbox, not a training venue. Retry when the TLS config is fixed.
2026-08-21	KUC Judo Club	Bethel	AK	https://www.facebook.com/groups/1838940216178073		Alaska	Dedupe-clear. No street address and only a Facebook GROUP (not a page). Fails requirement 3 as it stands.
