name	city	code	host	address
Miami Beach Brazilian Jiu-Jitsu	Miami Beach	FL	rioheroes-jorgepereira.com	1510 Alton Rd
Trillo Jiujitsu Academy	Miami Gardens	FL	trillojiujitsu.com	18400 NW 75th Pl Ste 122
Rilion Gracie Jiu-Jitsu of Miami Lakes	Miami Lakes	FL	riliongraciemiamilakes.com	7337 Miami Lakes Dr
Xtreme Gracie Jiu Jitsu	Minneola	FL	xtremegraciejiujitsu.com	544 S Hwy 27
American Top Team Miramar Jiu Jitsu & MMA	Miramar	FL	attmiramar.com	11601 Red Rd
START Jiu Jitsu Academy	Miramar	FL	startjiujitsu.com	12335 Pembroke Rd
Grappling Mastery	Mount Dora	FL	grapplingmastery.com	18838 US-441
Evolution MMA Naples	Naples	FL	evolutionmmanaples.com	3573 Mercantile Ave
Gracie Barra – Naples	Naples	FL	graciebarranaples.com	771 Airport Road North
Inferno MMA	Naples	FL	mindbodyonline.com	5556 Yahl St c
Marcelo Pereira BJJ & MMA	Naples	FL	brazilianjiujitsunaples.com	3275 Pine Ridge Road
Paulo Ribeiro Brazilian Jiu Jitsu	Naples	FL	prbjjnaples.com	1252 Airport-Pulling Rd North
Jacksonville BJJ & MMA	Neptune Beach	FL	jaxbjj.com	1475 Atlantic Blvd.
Gracie Barra Trinity - Brazilian Jiu-Jitsu & Self Defense	New Port Richey	FL	tampabaymma.com	8515 Old County Rd 54
Futures MMA	North Fort Myers	FL	futuresmma.com	931 Pondella Rd
Vital Brothers Brazilian Jiu Jitsu	North Miami	FL	vitalbrothersbjj.com	809 NE 125th Street
Gracie Jiu-Jitsu North Miami Beach	North Miami Beach	FL		16360 NE 26th Avenue
Gracie Jiu-Jitsu North Palm Beach	North Palm Beach	FL		1201 US Highway 1; Suite 10
Nokido Ju-Jitsu, Judo & BJJ	North Port	FL	nokido.net	1050 Innovation Ave #109
Creed BJJ	Ocala	FL	creedbjj.com	1005 SW 10th St #101
Nogi MMA	Ocala	FL	nogishootbox.com	2801 SW 20th St #202
Ocala Brazilian Jiu Jitsu Academy	Ocala	FL		7365 SW 38th St
Gracie Jiu-Jitsu Ocoee	Ocoee	FL		9440 W. Colonial Dr.
Jacaré Brazilian Jiu-Jitsu	Ocoee	FL	jacaremartialarts.com	1681 Amazing Way, Suite 108
Darkwolf MMA	Orange City	FL	darkwolfmma.com	221 Strawberry Oaks Dr
Orange City Academy Of Mixed Martial Arts	Orange City	FL	theacademyofmma.com	2452 S. Volusia Ave.
USD & MMA Fitness	Orange City	FL	mmagetfit.com	2751 Enterprise Rd #214
Art of War Jiu Jitsu	Orange Park	FL	aowjj.com	1105 Park Ave
Combat Athletix	Orange Park	FL	combatathletix.com	3600 Peoria RD #203
American Combat Club	Orlando	FL	americancombatclub.com	1016 W Church St
Atos Orlando - Brazilian Jiu-Jitsu (BJJ) and Self-Defense School	Orlando	FL	atosorlando.com	12445 S Orange Blossom Trl
Central Florida BJJ	Orlando	FL	offers.avbjj.com	1420 Gemini Blvd
Championship Martial Arts/ Spartan Brazilian Jiu Jitsu	Orlando	FL	cmaconway.com	4511 Hoffner Ave
Fabin Rosa Brazilian Jiu Jitsu Academy	Orlando	FL	bjjorlando.com	4085 L B McLeod Rd Suite F
FRBJJ Lake Nona	Orlando	FL	frbjjlakenona.com	7466 Narcoossee Rd #200F
GB Hunters Creek	Orlando	FL	graciebarrahunterscreek.com	13502 Village Park Drive
GB Palm Coast	Orlando	FL		160 Cypress Point Pkwy, Unit A210-A211
Gracie Barra – Orlando-Sandlake	Orlando	FL	marciosimas.com	6236 Kingspointe Pkwy
Gracie Jiu-Jitsu Orlando	Orlando	FL		3873 Avalon Park East Blvd
Martial Arts Nation Lake Nona BJJ	Orlando	FL	manationlakenona.com	6424 Alexandra Louise Dr Suite 160
Renzo Gracie Orlando	Orlando	FL	orlandojiujitsu.com	3837 East Colonial Drive Orlando, FL 32803
Gracie Florida Jiu-Jitsu	Ormond Beach	FL	gracieflorida.com	175 N Yonge St D
Trident Jiu Jitsu	Ormond Beach	FL		615 S Yonge St
GB Oviedo	Oviedo	FL	marciosimas.com	3050 Alafaya Trail
Nelumbo Brazilian Jiu-Jitsu	Oviedo	FL	bjjoviedo.com	119 Geneva Dr
Robson Moura Jiu-Jitsu	Oxford	FL	usajujitsu.net	P.O. Box 40
Pace Gracie Jiu Jitsu Academy	Pace	FL	pacegjj.com	5430 Hwy 90
Fastidious Jiu Jitsu	Palm Bay	FL	fastidiousjiujitsu.com	5070 Minton Rd Unit 6
Vortex Jiu Jitsu Academy	Palm Bay	FL	vortexbjj.com	5132 Minton Rd #3
American Top Team Palm Beach Gardens	Palm Beach Gardens	FL	attpbg.com	4092 PGA Boulevard
Gamblers Jiu-Jitsu & Kickboxing Club	Palm Beach Gardens	FL	gamblersjiujitsuclub.com	10415 Riverside Dr Suite 105
Rilion Gracie Jiu-Jitsu Palm Beach Gardens	Palm Beach Gardens	FL	jiujitsupbg.com	4386 Northlake Blvd
East Coast Combat Club	Palm City	FL	eccombatclub.com	1272 SW 34th St
Spartan Academy Palm Coast / Brazilian Jiu Jitsu & more	Palm Coast	FL	spartanpalmcoast.com	160 Cypress Point Pkwy STE A211
Elemental Jiu Jitsu and Fitness	Palmetto Bay	FL	elementaljiujitsuandfitness.com	13855 S Dixie Hwy
GB Palmetto Bay	Palmetto Bay	FL	graciebarra.com	17377 S. Dixie Hwy
Rilion Gracie Jiu-Jitsu Panama City	Panama City	FL	jiujitsulynnhaven.com	2521 Jenks Ave
Emerald Coast Jiu Jitsu (Beach Jiu Jitsu)	Panama City Beach	FL	emeraldcoastjiujitsullc.sites.zenplanner.com	7131 US-98
Alers Martial Arts	Pembroke Pines	FL	alersmartialarts.com	911 NW 209th Ave Ste 108
American Top Team West Pines	Pembroke Pines	FL	americantopteamwestpines.com	111 Grand Palms Dr #201
Gracie Barra Pembroke Pines	Pembroke Pines	FL	gbpembroke.com	12592 Pines Blvd Ste 103
Valente Brothers Jiu-Jitsu Pembroke Pines	Pembroke Pines	FL	graciemiami.com	12191 Taft St
Team Gladiator MMA & Fitness	Pine Hills	FL		4823 Silver Star Rd
Fight Fitness Center (FFC)	Pinellas Park	FL	fightfitnesscenter.net	6240 39th St N
Mastermind MMA Academy	Pinellas Park	FL	mastermindmmaacademy.com	5675 70th Ave N
Ares BJJ Plant City	Plant City	FL	aresbjjplantcity.com	601 Hitchcock St STE 105
Carlson Gracie Plant City	Plant City	FL	plantcitybjj.com	109 e reynolds st
Kumite Martial Arts	Plantation	FL	kumitemartialarts.com	4150 Peters Rd
Yaniv Rosenberg Jiu Jitsu Team	Plantation	FL	yrjiujitsu.com	6761 W Sunrise Blvd UNIT 18
Gabriel Leite Brazilian Jiu-Jitsu	Pompano Beach	FL	facebook.com	2480 Hammondville Rd Suite #3
Ponte Vedra Brazilian Jiu Jitsu	Ponte Vedra Beach	FL	pvbjj.com	880 us hwy a1a n unit 14
Wolfpack South Brazilian Jiu Jitsu	Port Charlotte	FL	wolfpacksouthbjj.com	19800 Veterans Blvd building b unit 6
Fight Sports Daytona	Port Orange	FL	fightsportsdaytona.com	796 Sanders Rd STE 5
Ralph Gracie Florida Jiu-Jitsu	Port Orange	FL	ralphgraciefl.com	3830 South Nova Road unit: B3
GB Royal Palm Beach	Royal Palm Beach	FL	gbroyalpalmbeach.com	10225 Southern Boulevard
