idx	handle	name	code	country	count_at_setup
0	bjj-schools-alabama	Alabama	AL	US	78
1	bjj-schools-alaska	Alaska	AK	US	14
2	bjj-schools-alberta	Alberta	AB	CA	72
3	bjj-schools-arizona	Arizona	AZ	US	173
4	bjj-schools-arkansas	Arkansas	AR	US	56
5	bjj-schools-british-columbia	British Columbia	BC	CA	101
6	bjj-schools-california	California	CA	US	460
7	bjj-schools-colorado	Colorado	CO	US	155
8	bjj-schools-connecticut	Connecticut	CT	US	85
9	bjj-schools-delaware	Delaware	DE	US	8
10	bjj-schools-florida	Florida	FL	US	328
11	bjj-schools-georgia	Georgia	GA	US	152
12	bjj-schools-hawaii	Hawaii	HI	US	38
13	bjj-schools-idaho	Idaho	ID	US	45
14	bjj-schools-illinois	Illinois	IL	US	130
15	bjj-schools-indiana	Indiana	IN	US	80
16	bjj-schools-iowa	Iowa	IA	US	36
17	bjj-schools-kansas	Kansas	KS	US	37
18	bjj-schools-kentucky	Kentucky	KY	US	65
19	bjj-schools-louisiana	Louisiana	LA	US	100
20	bjj-schools-maine	Maine	ME	US	23
21	bjj-schools-manitoba	Manitoba	MB	CA	21
22	bjj-schools-maryland	Maryland	MD	US	94
23	bjj-schools-massachusetts	Massachusetts	MA	US	140
24	bjj-schools-michigan	Michigan	MI	US	115
25	bjj-schools-minnesota	Minnesota	MN	US	52
26	bjj-schools-mississippi	Mississippi	MS	US	27
27	bjj-schools-missouri	Missouri	MO	US	98
28	bjj-schools-montana	Montana	MT	US	33
29	bjj-schools-nebraska	Nebraska	NE	US	21
30	bjj-schools-nevada	Nevada	NV	US	118
31	bjj-schools-new-brunswick	New Brunswick	NB	CA	15
32	bjj-schools-new-hampshire	New Hampshire	NH	US	33
33	bjj-schools-new-jersey	New Jersey	NJ	US	209
34	bjj-schools-new-mexico	New Mexico	NM	US	34
35	bjj-schools-new-york	New York	NY	US	182
36	bjj-schools-newfoundland-and-labrador	Newfoundland and Labrador	NL	CA	13
37	bjj-schools-north-carolina	North Carolina	NC	US	125
38	bjj-schools-north-dakota	North Dakota	ND	US	11
39	bjj-schools-nova-scotia	Nova Scotia	NS	CA	29
40	bjj-schools-ohio	Ohio	OH	US	137
41	bjj-schools-oklahoma	Oklahoma	OK	US	96
42	bjj-schools-ontario	Ontario	ON	CA	107
43	bjj-schools-oregon	Oregon	OR	US	118
44	bjj-schools-pennsylvania	Pennsylvania	PA	US	148
45	bjj-schools-prince-edward-island	Prince Edward Island	PE	CA	10
46	bjj-schools-quebec	Quebec	QC	CA	63
47	bjj-schools-rhode-island	Rhode Island	RI	US	23
48	bjj-schools-saskatchewan	Saskatchewan	SK	CA	14
49	bjj-schools-south-carolina	South Carolina	SC	US	34
50	bjj-schools-south-dakota	South Dakota	SD	US	11
51	bjj-schools-tennessee	Tennessee	TN	US	52
52	bjj-schools-texas	Texas	TX	US	351
53	bjj-schools-utah	Utah	UT	US	46
54	bjj-schools-vermont	Vermont	VT	US	12
55	bjj-schools-virginia	Virginia	VA	US	137
56	bjj-schools-washington	Washington	WA	US	121
57	bjj-schools-washington-dc	Washington DC	DC	US	6
58	bjj-schools-west-virginia	West Virginia	WV	US	28
59	bjj-schools-wisconsin	Wisconsin	WI	US	85
60	bjj-schools-wyoming	Wyoming	WY	US	10
