name	region	city	url
Pace Gracie Jiu Jitsu Academy	FL	Pace	https://pacegjj.com
Fight Sports Daytona	FL	Port Orange	https://www.cutlerbjj.com/
Relson Gracie Jiu-Jitsu Academy St. Augustine	FL	St. Augustine	https://www.philcardella.com/
Gracie Barra Tucson Jiu-Jitsu	AZ	Tucson	https://gbtucson.com/
Northside BJJ	AZ	Tucson	https://www.nsbjj.com
Strive Jiu Jitsu & Fitness Academy	CA	Lodi	http://www.striveacademylodi.com/
Science of Jiu Jitsu Academy	LA	Harvey	https://scienceofjiujitsu.net
Gracie Stonewall Jiu Jitsu Academy	LA	Stonewall	https://www.facebook.com/Gatorpitbjj/
Son Of Siam Martial Arts	KY	Erlanger	https://www.sonofsiam.com
Finishers Jiu Jitsu	OH	Masury	https://business.facebook.com/10thplanetmasury/
Relson Gracie Jiu-Jitsu Cleveland	OH	Willoughby	http://www.graciecleveland.com/
Assembly Jiu-Jitsu	MI	Bloomfield Hills	http://www.assembly-detroit.com
Masters & Champions Inc	MI	Grand Blanc	http://www.mastersandchampions.net/
Ronin Jiu Jitsu Academy	MI	Harbor Springs	https://petoskeybjj.com/
Mada Krav Maga	MI	Shelby Charter Township	http://madakravmaga.com
Wolfpack Karate & MMA	AL	Dothan	http://www.mmadothan.com/
The Inferno Training and Performance Center	NJ	Marlboro	http://infernotpc.com/
Rolles Gracie Academy	NJ	Old Bridge	https://rollesgracieacademy.com/
Princeton Academy Of Martial Arts	NJ	Princeton Junction	http://www.pamausa.com/
Ftcc	NV	Henderson	http://www.ftcclv.com
Hard Knocks Muay Thai & Judo	NV	Las Vegas	https://hardknocksmuaythaijudo.com/
Taylor Biagi Jiu Jitsu	IL	Chicago	http://taylorbiagijiujitsu.com
Tutaj Brazilian Jiu Jitsu	IL	Forest Park	https://www.tutajbjj.com/
Brasa Jiu-Jitsu Highwood	IL	Highwood	https://highwood.compridobjj.com/
Team Haanpaa Martial Arts	IL	Rockford	http://www.teamhaanpaa.com/
10th Planet Jiu Jitsu Decatur	AL	Decatur	https://decaturbrazilianjiujitsu.com/
Renzo Gracie Pennsylvania	PA	Hatfield	https://renzograciepa.com/
Gracie NEPA Grappling Club	PA	Olyphant	http://www.gracienepa.com/
Element Academy of Jiu-Jitsu	VA	Virginia Beach	http://www.elementbjj.com/
Nucleus Brazilian Jiu Jitsu	GA	Norcross	https://nucleusbjj.com
Royce Gracie Jiu Jitsu Academy of Raleigh	NC	Raleigh	https://roycegracienc.com/
Union Martial Arts	NC	Indian Trail	http://unionmartialarts.com
Thunder Martial Arts Academy	CT	Watertown	http://teamthundermma.net/
Kogen Dojo Self Defense Academy: Brazilian Jiu-Jitsu & Muay Thai	MD	Annapolis	kogendojo.com
Form Jiu Jitsu Academy	MD	Baltimore	formjiujitsu.com
Grapple Academy Martial Arts	MD	Nottingham	perryhallmartialarts.com
Vibrant Jiu Jitsu	CO	Brighton	https://vibrantjj.com
GB Castle Rock	CO	Castle Rock	https://www.gbcastlerock.com
Total Ryu Martial Arts	CO	Fort Collins	http://www.ftcollinsmartialarts.com
Trials Martial Arts & Fitness	CO	Fort Collins	http://trialsmma.com
Pacific Warrior MMA - BJJ with Coach Kyle Hagen	CO	Pueblo	https://coachkylehagen.wordpress.com
Rochester Family Martial Arts	IN	Rochester	rochesterfamilymartialarts.com
American Top Team OKC	OK	Oklahoma City	americantopteamokc.com
New Limits Academy - Mixed Martial Arts in OKC	OK	Oklahoma City	newlimitsmma.com
Stillwater Martial Arts	OK	Stillwater	stillwatermartialarts.com
Broadway Jiu-Jitsu and Fitness	MA	Boston	broadwayjiujitsu.com
Danny Savery Brazilian Jiu Jitsu - Fairhaven MA	MA	Fairhaven	dannysaverybjj.com
Darkside Jiu-Jitsu LLC	MA	Plainville	darksidebjj.com
Evolve Jiu Jitsu Training Center	MA	Uxbridge	massjiujitsu.com
Neutral Ground Grafton Martial Arts	WI	Grafton	graftonmartialarts.com
Fluid Motion Jiu Jitsu	WI	Monroe	fluidmotionbjj.com
Ascension Martial Arts	WI	Oak Creek	ascensionma.com
Foster Brazilian Jiu-Jitsu	WA	Kent	www.fbjjonline.com
Wayne Owen Fighting Arts	OR	Grants Pass	https://www.facebook.com/Wayne-Owen-Fighting-Arts-174709395877709/
Copperhead Jiu Jitsu	OR	Pendleton	https://copperheadjiujitsu.com/
Pacific Rim Martial Arts Academy	OR	Tigard	http://www.prmaa.com/
Bigfoot Gym	OR	Eugene	http://www.bigfootmuaythai.com/
Impact Jiu Jitsu Hillsboro	OR	Hillsboro	https://impacthillsboro.com/
Mayo Kickboxing & MMA Academy	NY	Queens	http://mayomma.com
Guardhouse BJJ	ON	Kitchener	https://guardhousebjj.ca
Resolve Martial Arts Academy Orillia	ON	Orillia	https://resolvemartialartsorillia.com
Fusion Academy	UT	Salt Lake City	https://fusionbjj.com
Absolute MMA	UT	West Jordan	https://absolutemma.com
Citadel BJJ	IA	Iowa City	https://bjjiniowacity.com
TMC Brazilian Jiu-Jitsu	KS	Overland Park	https://tmcbjj.com
Canadian Fighting Center	MB	Winnipeg	https://www.cfcgym.net
No Illusions Martial Arts	SD	Brookings	https://www.noillusionsmartialarts.com
Deliberate Jiu Jitsu at Valley Speedway Athletics	MT	Helena	https://www.valleyspeedwayathletics.com/deliberate-jiu-jitsu
Maui Jiu-Jitsu Academy	HI	Haiku	https://mauijiujitsu.com
CDA Jiu-Jitsu	ID	Dalton Gardens	https://cdajiujitsu.com
Atlas Jiu Jitsu	ID	Meridian	https://atlas-jiujitsu.com
JG Academy Meridian	ID	Meridian	https://www.jgacademy.net/meridian
Danny Savery BJJ and Martial Arts Academy	RI	Bristol	https://dannysaverybjj.com
Kiefer's Martial Arts	RI	Westerly	https://kiefersmartialarts.com
Granite City MMA	VT	Graniteville	https://www.granitecitymmavt.com
Mark44 Martial Arts Academy	MN	Mankato	https://www.mark44mma.com
Shackelford's MMA Center	MS	Olive Branch	https://shackelfordsmma.com
National Institute of Modern Martial Arts	NH	Claremont	https://nimmadojo.com
Rilion Gracie Greenville	SC	Greer	https://riliongraciegreenville.com
Checkmat Myrtle Beach	SC	Myrtle Beach	https://checkmatmbsc.com
Alliance BJJ Calgary	AB	Calgary	https://www.alliancebjjcalgary.com/
Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	AB	Calgary	https://arashido.com/location/calgary-deerfoot-north/
Arashi-Do Martial Arts Calgary SW Rutland Park	AB	Calgary	https://arashido.com/location/calgary-south-rutland-park/
Arashi-Do Martial Arts Edson	AB	Edson	https://arashido.com/location/edson/
Team Junqueira Brazilian Jiu Jitsu	WV	Morgantown	http://teamrjbjj.com
Galbraith Jiu Jitsu	BC	Prince George	https://galbraithjiujitsu.ca
Mountain Jiu Jitsu	BC	Squamish	https://www.mtnjjsq.com
Gracie Barra Boucherville	QC	Boucherville	https://www.gbbou.ca
Académie Frontenac	QC	Montreal	https://www.academiefrontenac.com
Underworld BJJ DC	DC	Washington	underworlddc.com
Restigouche Dojo	NB	Campbellton	https://restigouchedojo.com
Dogwood MMA	TN	Dyersburg	dogwoodmma.com
Greeneville Jiu-Jitsu	TN	Greeneville	greenevillejiujitsu.com
Progressive Martial Arts Academy	TN	Oak Ridge	pmaoakridge.com
Integrity Martial Arts Moore	OK	Moore	https://integrityma.ninja
Logic Jiu Jitsu Spanaway	WA	Spanaway	https://logicjiujitsu.club
GB West Anaheim	CA	Anaheim	https://www.gbwestanaheim.com
Global Fighting Legion / Jiu-Jitsu Chula Vista CA 91914	CA	Chula Vista	https://theinstituteofhealthandfitness.com/Home
Academy Jiu-Jitsu & Kickboxing / Downtown Downey	CA	Downey	http://academyjj.com/
Nam Phan MMA Academy	CA	Garden Grove	https://www.iamnam.com/
Jg Academy	CA	Los Altos	http://www.cscmhk.com
Ares BJJ Modesto	CA	Modesto	http://www.bjjmodesto.com/
10th Planet Jiu JItsu Murrieta	CA	Murrieta	https://www.10thplanetjjmurrieta.com
Rise Jiu Jitsu Academy	CA	Murrieta	https://www.instagram.com/risejiujitsu/
DE LA O Jiu-Jitsu	CA	Stanton	https://www.facebook.com/p/De-La-O-Jiu-Jitsu-Training-Center-Stanton-CA-100067935109362/
Carlson Gracie Wine Country Jiu Jitsu	CA	Temecula	http://www.temeculajiujitsu.com
10th Planet Thousand Oaks	CA	Thousand Oaks	https://www.10thplanetthousandoaks.com/
Infinitum Jiu Jitsu Academy - PSBJJ Lake Conroe	TX	Conroe	https://infinitumjiujitsuconroe.com/contact
Rockstar Martial Arts and Fitness	TX	Frisco	http://www.rockstarmartialarts.com/
Mohler MMA – Brazilian Jiu Jitsu & Boxing	TX	Grapevine	http://www.mohlermma.com/
All American MMA and BJJ	TX	Keller	http://www.allamericanmma.com/
SBG New Braunfels Brazilian Jiu Jitsu	TX	New Braunfels	https://sbgnewbraunfels.com/contact-us/
GB Alamo Ranch	TX	San Antonio	https://graciebarra.com/alamo-ranch-tx/
Legends Brazilian Jiu Jitsu	TX	Temple	http://www.legendsbjj.com/
GB Clermont	FL	Clermont	https://www.bjjclermont.com/
Gladiator Sports Fitness MMA	FL	Hialeah	https://www.facebook.com/gladiatorsportsfitnessmma/
MMA Masters	FL	Hialeah	http://www.mmamasters.com/
Ludus Martial Arts LLC	FL	Jacksonville Beach	https://www.ludusmartialarts.com/
Gadsden BJJ	AL	Gadsden	https://gadsdenbjj.com
MONTGOMERY MARTIAL ARTS	AL	Montgomery	https://montgomerymartialartsonline.com/
Samuel Puccio Brazilian Jiu-Jitsu	AL	Birmingham	https://www.samuelpucciobjj.com/
Blue Collar Grappling Academy	AR	Marion	https://www.facebook.com/bluecollargrapplingacademy870/
The House MMA Academy	AR	Wynne	https://www.wynnegym.com/
Arevalo Academy	AZ	Lake Havasu City	https://arevaloacademy.com/
Chute Boxe Academy	AZ	Sierra Vista	https://chuteboxeacademy.com/
Combat Club Cottonwood	AZ	Cottonwood	https://cottonwoodbjj.com/
Faction Combat Mixed Martial Arts Gym	AZ	Mesa	https://www.factioncombat.com/
Gracie Barra Flagstaff Jiu Jitsu and Self Defense	AZ	Flagstaff	https://graciebarra.com/flagstaff-az/
Penticton BJJ	BC	Penticton	https://pentictonbjj.com
Alliance Jiu Jitsu San Diego	CA	San Diego	https://alliancesandiego.com/
Orange County BJJ	CA	Santa Ana	https://ocbjj.com
Riverside BJJ	CA	Riverside	https://riversidebjj.com
Santa Barbara BJJ	CA	Santa Barbara	https://santabarbarabjj.com
Easton Training Center	CO	Denver	https://eastonbjj.com/denver/
Connecticut Brazilian Jiu-Jitsu	CT	Milford	https://ctbjj.com
Vortex Jiu-Jitsu	DC	Washington	https://vortexjiujitsu.com
Dubuque BJJ	IA	Dubuque	https://dubuquebjj.com
Rockford BJJ	IL	Rockford	https://rockfordbjj.com
Kokomo BJJ	IN	Kokomo	https://kokomobjj.com
Kansas BJJ	KS	Wichita	https://kansasbjj.com
Mid City Martial Arts & Fitness Academy	LA	New Orleans	https://www.midcitymma.com
New Bedford BJJ	MA	New Bedford	https://newbedfordbjj.com
SBG East Coast	MA	Dartmouth	https://sbgdartmouth.com
South Boston BJJ	MA	Boston	https://southbostonbjj.com
VACA BJJ & MMA	MA	West Springfield	https://www.vacabjjmma.com
Miramichi BJJ	NB	Miramichi	https://miramichibjj.com
Saint John BJJ	NB	Saint John	https://saintjohnbjj.com
Rocky Mount BJJ	NC	Rocky Mount	https://rockymountbjj.com
North Platte BJJ	NE	North Platte	https://northplattebjj.com
Sub Zero Brazilian Jiu Jitsu	NY	Hamburg	https://subzerobjj.com
Steubenville BJJ	OH	Steubenville	https://steubenvillebjj.com
Owasso BJJ	OK	Owasso	https://owassobjj.com
Newport BJJ Oregon	OR	Newport	https://newportbjjor.com
York BJJ	PA	York	https://yorkbjj.com
Alma BJJ	QC	Alma	https://almabjj.com
Regina BJJ	SK	Regina	https://reginabjj.com
Alpha Jiu-Jitsu Academy	TN	Cookeville	https://www.alphajiujitsuacademy.com
Crossville MMA	TN	Crossville	https://www.crossvillemma.com
Concept Brazilian Jiu Jitsu	TX	Taylor	http://www.taylorbjj.com/
Vernal BJJ	UT	Vernal	https://vernalbjj.com
Fairmont BJJ	WV	Fairmont	https://fairmontbjj.com
West Virginia BJJ	WV	Morgantown	https://wvbjj.com
