# NY MatMade candidates — 186 records, crawled 5 Aug 2026 (re-crawl of this run)
# buildId Rd7MR1U4ddxhWYs6pVmUV, RE-DERIVED from __NEXT_DATA__ this run, not assumed.
# Sitemap /sitemap/gym-sitemap.xml via /sitemap.xml: 7,311 URLs. Crawled 7,310 at
# concurrency 12, 0 errors (skipped triton-fight-center, known permanent 404).
# MEASURED: 186 records with state.title === "New York". city taken through rel().
# websiteURL_raw is the RAW stored string per METHOD CORRECTION 3 — NOT URL.hostname,
# NOT normalised, scheme preserved or absent as stored. Query strings intact.
# Tab-separated. Two names legitimately contain "|" (a field separator per RULES §5)
# and MUST be renamed before they can be written to a snippet at all.
name	slug	city	postalCode	address1	address2	websiteURL_raw	phone	googleRating	googleReviewCount	affiliation
Sitan Gym Li	sitan-gym-li	East Meadow	11554	2343 Hempstead Turnpike		http://www.sitangymli.com	(516) 520-0503	4.9	58	
Fight Factory	fight-factory	Brooklyn	11235	2915 Ocean Parkway Service Rd		http://www.fightfactoryny.com/	+1 646-401-5657	4.5	70	
Spirit Martial Arts	spirit-martial-arts	Queens	11416	103-11 101st Ave		https://spiritmma.com/	+1 718-849-8400	4.9	169	
Tiger Schulmann's Martial Arts Chelsea (New York City) NY	tiger-schulmanns-martial-arts-chelsea-new-york-city-ny	New York	10010	688 Avenue of the Americas 2nd and 3rd Floor		https://tsk.com/locations/ny/chelsea/	+1 646-494-0994	4.9	151	
East West MMA	east-west-mma	Seldon	11784	600 Middle County Road		http://www.circleofoneny.com/	n/a	5	59	
Pegatessu Fitness	pegatessu-fitness	New York	10128	1425 Lexington Ave		http://www.pegatessu-fitness.com/	+1 212-722-1525	5	13	
NY Ultimate Fitzone - Personal Training Bayside NY, MMA Personal Trainer, Muay Thai Gym Classes	ny-ultimate-fitzone-personal-training-bayside-ny-mma-personal-trainer-muay-thai-gym-classes	Queens	11364	215-11 Horace Harding Expy		http://nyultimatefitzoneny.com/	+1 347-378-3580	4.3	64	
Krystek School of Judo, BJJ, Self Defense and Fitness	krystek-school-of-judo-bjj-self-defense-and-fitness	Queens	11417	96-25 Linden Blvd		http://places.singleplatform.com/krysteks-school-of-self-defense/menu?ref=google	+1 718-835-4330	4.9	41	
Red Dawn Combat Club- Fresh Meadows	red-dawn-combat-club-fresh-meadows	Fresh Meadows	11366	188-18 Union Tpke		http://places.singleplatform.com/red-dawn-combat-club/menu?ref=google	+1 646-369-5062	4.9	43	
Brooklyn BJJ	brooklyn-bjj	Brooklyn	11231	157 Columbia St		http://bkwingtsun.com	(347) 687-9072	4.8	82	
Gracie Jiu-Jitsu New York	gracie-jiu-jitsu-new-york	Bronx	10465	3223 E Tremont Ave		https://gracieny.com	(646) 228-1945	4.9	73	
USA Karate & BJJ	usa-karate-bjj	Pawling	12564	198 route 22		http://www.usakaratepawling.com/	n/a	5	300	
Utica Combat Athletics	utica-combat-athletics	Utica	13501	800 Broad St		http://www.uticacombat.com/	+1 315-542-0525	5	7	
Shōgun Jiu Jitsu Academy	shogun-mma	Webster	14580	60 Barrett Dr		http://www.shogunma.com/	+1 585-216-7883	5	105	
Gracie Jiu-Jitsu Victor	gracie-jiu-jitsu-victor	victor	14564	160 School Street			(585) 924-7450	4.9	84	
Kings Combat Fitness	kings-combat-fitness	Rego Park	11374	98-120 Queens Blvd		https://kingscombatfitness.com	+1 347-788-8787	4.6	51	
Krav Maga Institute NYC	krav-maga-institute-nyc	New York	10023	48 W 68th St		http://www.kravmagainstitutenyc.com/	+1 917-720-3710	4	21	
Tiger Schulmann's Martial Arts Fresh Meadows (Queens) NY	tiger-schulmanns-martial-arts-fresh-meadows-queens-ny	Queens	11366	162-16 Union Tpke		https://tsk.com/locations/ny/queens-fresh-meadows/	+1 718-691-1838	5	25	
