1	Krav Maga Salem	salem	97302	2050 Vista Ave SE	http://www.kravsalem.com/schedule	+1 503-339-7040	27	5	
2	Sunshine Athletics	Canby	97013	207 SW 1st Ave	http://Canbyjiujitsu.com		29	4.9	
3	Danzig MMA	Bend	97701	20340 Empire Ave	http://www.danzigmixedmartialarts.com	(541) 350-9739	41	5	http://www.facebook.com/danzigmma https://instagram.com/danzig_mma http://www.twitter.com/macdanzigmma
4	Sherwood MUSA	Sherwood	97140	16410 SW Langer Dr	http://musasherwood.com	(503) 925-1500	31	5	https://www.facebook.com/MusaSherwood https://www.instagram.com/musasherwood https://x.com/musasherwood https://www.youtube.com/channel/UCpxfqrfBU-EkER5F60mptbg
5	Morizi Jiu-Jitsu	Hermiston	97838	80872 US-395	http://morizijiujitsu.com/	+1 858-692-1468	25	4.6	https://www.instagram.com/morizijiujitsu https://www.facebook.com/morizijiujitsu
6	Straight Blast Gym Portland	portland	97213	1812 NE 43rd	http://www.sbgi-pdx.com	(503) 230-7924	138	4.4	https://www.youtube.com/user/sbgipdx https://www.facebook.com/sbgipdx https://twitter.com/sbgipdx https://www.instagram.com/sbgportland
7	Dynamic MMA	Roseburg	97470	2666 NE Stephens Street	http://www.dynamicjudo.com/	n/a	96	4.9	
8	Full Force Mma	Aloha	97006	20795 SW Tualatin Valley Hwy		+1 503-933-0492			
9	Resolution Jiu Jitsu	Tualatin	97062	18435 SW Pacific Hwy	http://www.resolutionjiujitsu.com/	+1 971-512-1151	23	5	
10	Lebanon Gracie Jiu-Jitsu & Hollywood Dance Studios	Lebanon	97355	853 S Main St	http://www.hollywoodclasses.com/	+1 541-570-1689	54	4.7	
11	Mt. Hood Impact Jiu Jitsu	Sandy	97055	17151 University Ave	http://www.impactmthood.com/	+1 503-954-8700	24	4.7	
12	Checkered Past MMA Gym	Springfield	97477	2600 Main St Unit D	https://www.checkeredpastmma.com/	+1 775-379-8602	37	4.9	
13	CrossFit Tigard - PAW	Tigard	97223	12120 SW Garden Pl	http://www.crossfittigardpaw.com	(971) 344-5826	135	4.9	https://www.facebook.com/crossfit.tigard https://www.youtube.com/channel/UCtYfttiZsCWm0nrHZo8hbVQ https://www.instagram.com/crossfittigard
14	Checkmat Portland	Gresham	97030	400 NW Eastman Pkwy	https://checkmatportland.com/	+1 971-353-1417	65	5	https://www.facebook.com/trueogacademy https://www.instagram.com/trueogacademy https://www.x.com/checkmatpdx https://www.tiktok.com/@trueogacademy_troutdale
15	Roseburg Martial Arts Academy	Roseburg	97470	1523 NE Vine St	http://www.roseburgmartialarts.com/	+1 541-672-6190	14	5	
16	Northwest Martial Arts Coos Bay	North Bend	97459	1955 Union Ave	http://www.nwmacoosbay.com/	+1 541-808-1638	53	5	https://www.instagram.com/union.jiujitsu https://www.facebook.com/unionbrazilianjiujitsu
17	Rogue Jiu Jitsu	Medford	97504	1220 Corona Ave STE 101		+1 541-944-7505	52	4.9	
18	Courthouse Fit Impact JJ South River Lancaster Salem OR	salem	97305	4132 Devonshire Ct NE	https://courthousefit.com/impact-jiu-jitsu/	(503) 364-1731	163	4.1	https://www.youtube.com/@CourthouseClubs https://www.facebook.com/courthouseclubs https://www.instagram.com/courthouseclubs https://www.tiktok.com/@courthouseclubs
19	Impact Jiu Jitsu Salem	salem	97302	2975 River Rd S	https://salemimpactjj.com/	+1 503-544-8180	30	4.9	
20	River City Warriors	Tigard	97224	14935 SW 72nd Ave	http://www.rivercitywarrior.com/	+1 503-360-8692	96	4.7	
21	Unicorn Jiu Jitsu	portland	97216	9220 SE Stark Street	https://www.unicornjiujitsu.com/	(971) 386-5989	51	4.9	https://www.instagram.com/unicornjiujitsupdx https://www.facebook.com/UnicornJiuJitsu
22	Next Level Martial Arts & Fitness	Tigard	97224	14865 SW 74th Ave #110	http://nextlevelmartialartsgym.com/	+1 503-443-1599	42	5	https://www.instagram.com/nextleveljj https://www.youtube.com/@nextlevelmartialartsandfit3285
23	Fabiano Scherner Brazilian Jiu Jitsu	Gresham	97030	39 NW 3rd St	http://www.greshamjiujitsu.com/	+1 503-716-6583	16	4.6	https://www.instagram.com/manosjiujitsu
24	Mata Leao Combat Sports	portland	97214	1115 SE Stephens St	http://www.mataleaocs.com/	+1 503-208-3160	141	4.8	
25	Oregon Triad Jiu-Jitsu	Albany	97321	1245 SW Washington St	https://www.facebook.com/OregonTriadJiuJitsu/	+1 541-791-6205	36	5	https://www.facebook.com/login
26	Five Rings Jiu Jitsu	portland	97225	8775 SW Canyon Lane	http://5rjj.com/	+1 503-327-8265	63	4.8	https://www.facebook.com/fiveringsjiujitsu https://twitter.com/fiveringsjiujit https://www.instagram.com/fiveringsjiujitsu
27	Impact Jiu Jitsu Hood River	Hood River	97031	1531 Osprey Drive	https://www.impacthoodriver.com/	+1 541-645-5144	37	5	
28	Gracie Barra Sw Portland	Tigard	97223	9975 Sw Frewing St Ste 120	http://graciebarra.com	(503) 372-9466	66	4.9	http://instagram.com/gbswpdx https://www.facebook.com/graciebarra http://www.youtube.com/user/gb72videos
29	Wayne Owen Fighting Arts	Grants Pass	97526	113 SE K St	https://www.facebook.com/Wayne-Owen-Fighting-Arts-174709395877709/?ref=settings	+1 541-476-9794	25	5	https://www.facebook.com/people/Wayne-Owen-Fighting-Arts/100063632890796
30	Grey Wolf Brazilian Jiu-Jitsu - Martial Arts	Eugene	97402	1199 Fairfield Ave	https://www.greywolfbjj.com/	+1 541-800-1199	30	5	https://www.instagram.com/grey_wolf_bjj https://www.facebook.com/GreyWolfJiuJitsu https://x.com/GreyWolfBJJ
