id	region	name	city	current_url
1	AK	Evolution Jiu Jitsu	Juneau	https://evojj.com/
9	AZ	Courage Honor Strength Brazilian Jiu-Jitsu	Chandler	http://www.chsbjj.com/
17	CA	Bruno Lima Brazilian Jiu Jitsu	Chico	http://www.brunolimabjj.com/
25	CA	Madera Martial Arts	Madera	http://maderamma.com/
33	CO	Combative Fighting Systems Brazilian Jiu Jitsu	Peyton	https://cfsfalcon.com
41	CT	Ronin Martial Arts - Westport	Norwalk	https://www.westportmma.com/
49	FL	Fight Sports Miami	Miami	https://fightsportsmiami.com/
57	FL	Team Carvalho Academy	Dunnellon	http://www.teamcarvalho.com/home.html
65	GA	Athens Fitness and MMA	Athens	http://www.athensfitnessandmma.com/
73	GA	Nucleus Brazilian Jiu Jitsu	Norcross	https://nucleusbjj.com
81	KY	Hicsmma	Bowling Green	https://www.hicsmma.com/
89	MA	Nexus Martial Arts & Fitness	Wareham	nexusma.com
97	MI	Gracie Jiu-Jitsu Keego Harbor	Keego Harbor	http://www.graciejiujitsumichigan.com
105	MO	Kifaru Jitsu Martial Arts	Salem	http://www.kifarujitsu.com/
113	NJ	Guerrero BJJ & MMA	Caldwell	http://kneeonbelly.com/
121	NL	Labrador City BJJ	Labrador City	https://www.novauniao.ca/lab-city
129	NV	Momentum Martial Arts	Reno	http://momentumreno.com
137	NY	Butch's Boxing & MMA	Queens	http://www.ny-mma.com
145	NY	Gracie Jiu-Jitsu Point Lookout	Point Lookout	https://graciejiujitsuli.com
153	NY	Westchester Fight Club	New Rochelle	https://westchesterfightclub.com
161	OR	Spartan Team Brazilian Jiu-Jitsu	Medford	http://spartanboxinggym.com/
169	TX	Aloisio Silva Brazilian Jiu-Jitsu Academy	Arlington	https://www.aloisiosilvabjj.com/
177	VA	Cheeseman Martial Arts Brazilian Jiu Jitsu	Hampton	http://cheesemanmartialarts.net/
