id	region	name	city	current_url
1	AK	Evolution Jiu Jitsu	Juneau	https://evojj.com/
2	AL	Samuel Puccio Brazilian Jiu-Jitsu	Birmingham	https://bhmbjj.com/
3	AZ	Alliance Jiu Jitsu - Vail	Tucson	https://alliancejiujitsuvail.com/
4	AZ	Baker's MMA & Fitness LLC	Surprise	http://bakersmmaandfitness.com/
5	AZ	Black Flag Submission Co.	Glendale	https://www.blackflagsubco.com/
6	AZ	Bridge City Combat	Lake Havasu City	http://aaeamerica.com/
7	AZ	Cannon Brazilian Jiu-Jitsu	Glendale	https://www.cannonbjj.net/
8	AZ	Checkmat Phoenix	Phoenix	https://mkbjj.com/
9	AZ	Courage Honor Strength Brazilian Jiu-Jitsu	Chandler	http://www.chsbjj.com/
10	AZ	Lopez Martial Arts	Chandler	https://lopezjiujitsu.com/
11	AZ	Southwest MMA	Mesa	http://southwestmma.com/
12	AZ	TeckHit Boxing, Kickboxing, & MMA Gym	Tucson	https://teckhit.com/
13	AZ	The Desert Dojo	Chandler	https://thedesertdojo.com/
14	CA	4S Brazilian Jiu Jitsu / Jiu-Jitsu San Diego CA 92127	San Diego	http://www.4sbjj.com/
15	CA	Atos BJJ San Diego	San Diego	https://atosjiujitsu.com
16	CA	Brazilian Jiu Jitsu Academy of Sacramento	Gold River	http://elementsofjiujitsu.com/
17	CA	Bruno Lima Brazilian Jiu Jitsu	Chico	http://www.brunolimabjj.com/
18	CA	Catch MMA	Oakland	https://www.catchmma.com/
19	CA	Eric Nolan’s Xtreme Training Center	Bakersfield	http://www.ericnolan.com/
20	CA	Fabio Santos BJJ	San Diego	http://www.fabiojiujitsu.com/
21	CA	Global Fighting Legion / Jiu-Jitsu Chula Vista CA 91914	Chula Vista	https://theinstituteofhealthandfitness.com/Home
22	CA	Gracie Jiu-Jitsu Academy	Torrance	http://www.gracieacademy.com/
23	CA	Infinite Jiu-Jitsu	Rocklin	http://www.infinitejiujitsu.net/
24	CA	Institute of Combat	Arcata	https://www.instituteofcombat.com/
25	CA	Madera Martial Arts	Madera	http://maderamma.com/
26	CA	Marcelo Garcia Academy LA	Los Angeles	https://marcelogarciaacademy.com/la
27	CA	OC Carlson Gracie Jiu Jitsu	Orange	https://www.carlsongracieoc.com/
28	CA	Phenom Brazilian Jiu Jitsu	Irvine	http://phenombjjoc.com/
29	CA	Ralph Gracie Vacaville	Vacaville	http://ralphgracievacaville.com/
30	CA	SLL Grappling Academy - Brazilian Jiu-Jitsu (BJJ)	Rocklin	http://sllgrapplingacademy.com/
31	CA	Salinas Jiu Jitsu & Personal Training	Salinas	http://www.salinasbjj.com/
32	CA	Synergy Jiu-Jitsu Academy	Rocklin	http://www.bjj-rocklin.com/
33	CO	Combative Fighting Systems Brazilian Jiu Jitsu	Peyton	https://cfsfalcon.com
34	CO	Golden Fights MMA Gym	Grand Junction	https://cagewarsnow.com
35	CO	Jit Pit Academy	Parker	http://www.jitpit.com
36	CO	Mountain Beast MMA & Fitness	Granby	http://www.mountainbeast.com
37	CO	Northern Colorado Jiu Jitsu	Loveland	http://www.nocojiujitsu.com
38	CO	The Dojo LLC	Fort Collins	http://www.thedojofc.com
39	CT	Casa of Jiu Jitsu	Ansonia	http://www.casabjj.com/
40	CT	Hartford Dojo	Wethersfield	http://gracieacademy.com/
41	CT	Ronin Martial Arts - Westport	Norwalk	https://www.westportmma.com/
42	CT	Royce Gracie Brazilian Jiu Jitsu	West Hartford	http://gracie-jiu-jitsu.com/
43	CT	Stamford Judo	Stamford	http://www.stamfordjudo.us/
44	CT	Strikezone MMA	New London	http://www.strikezonemma.com/
45	CT	Thunder Martial Arts Academy	Watertown	http://teamthundermma.net/
46	FL	American Combat Club	Orlando	http://www.americancombatclub.com/
47	FL	Black House Miami Beach	Miami Beach	http://www.blackhousemiamibeach.com
48	FL	Central Florida BJJ	Orlando	https://offers.avbjj.com/free-2-week-pass
49	FL	Fight Sports Miami	Miami	https://fightsportsmiami.com/
50	FL	GB Lake Park	West Palm Beach	https://lp.gblakepark.com/
51	FL	Gamblers Jiu-Jitsu & Kickboxing Club	Palm Beach Gardens	http://gamblersjiujitsuclub.com/sign-up-for-free-trial/
52	FL	Kokopelli's Gym	Longwood	http://www.kokogym.com/
53	FL	Ludus Martial Arts LLC	Jacksonville Beach	http://ludusmartialarts.com/
54	FL	RAIVA Brazilian Jiu Jitsu	Davie	http://www.raivabjj.com
55	FL	Refit Academy - Wynwood	Miami	http://www.refit-academy.com
56	FL	Rilion Gracie Jiu-Jitsu Panama City	Panama City	http://jiujitsulynnhaven.com/
