verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
KEEP	4	AZ	Baker's MMA & Fitness LLC	Surprise	http://bakersmmaandfitness.com/	http://www.bakersmmaandfitness.com/	REPLACE	Stored apex returns an empty body (http and https); www renders the real Wix site: address "13200 W Foxfire Dr #146-148 Surprise, AZ 85378", head instructor Glen "Bad Boy" Baker, "Kickboxing class combined with Jiu Jitsu classes". Host-normalisation fix	http://www.bakersmmaandfitness.com/
DEAD	12	AZ	TeckHit Boxing, Kickboxing, & MMA Gym	Tucson	https://teckhit.com/		BLANK_IT	DNS dead: apex teckhit.com Status 0 with NO Answer array (Cloudflare SOA only); www.teckhit.com Status 3 NXDOMAIN	
KEEP	20	CA	Fabio Santos BJJ	San Diego	http://www.fabiojiujitsu.com/		KEEP_AS_IS	Own live WordPress site, phone 619.229.0022; "Fabio Santos' Brazilian Jiu-Jitsu Academy has become the most renowned Brazilian Jiu-Jitsu school in San Diego"; footer (c) 2018-2026, page modified 2023-11-19	http://www.fabiojiujitsu.com/
KEEP	28	CA	Phenom Brazilian Jiu Jitsu	Irvine	http://phenombjjoc.com/		KEEP_AS_IS	Own live site: "Phenom Bjj was founded in November of 2012 to spread the Jiu Jitsu life style and make a positive impact in the Orange County, Santa Ana, Tustin, Long Beach, Garden Grove"; "focused solely on Jiu Jitsu"	http://phenombjjoc.com/
KEEP	36	CO	Mountain Beast MMA & Fitness	Granby	http://www.mountainbeast.com		KEEP_AS_IS	Own live GoDaddy site, og:site_name "MOUNTAIN BEAST MMA & FITNESS", "RIGHT IN THE HEART OF GRANBY, CO", nav has a dedicated "BJJ-Brazilian JiuJitsu" class page; "EST. 2013 ... CELEBRATING 13 YEARS"	http://www.mountainbeast.com
KEEP	44	CT	Strikezone MMA	New London	http://www.strikezonemma.com/		KEEP_AS_IS	Own live GoDaddy site: "Under the expert instruction of Darryl MarcAurele ... Team Strike Zone offers Mixed Martial Arts (MMA), Boxing, Wrestling, Brazilian Jiu-Jitsu, Submission Grappling (no-gi)". NOTE: site says Norwich CT (title + meta "Strike Zone MMA in Norwich"), directory says New London; no street address published on the site. Content last updated 2019	http://www.strikezonemma.com/
DEAD	52	FL	Kokopelli's Gym	Longwood	http://www.kokogym.com/		BLANK_IT	DNS Status 2 REFUSED at both kokogym.com and www.kokogym.com (lame delegation at the kokogym.com delegation point)	
DEAD	60	FL	Team Nogueira Bloise Academy	Jupiter	http://www.teamnog.com/	https://jupiterbjj.com	REPLACE	teamnog.com now redirects to https://jupiterbjj.com/page-not-found (live 404). Same owner, relocated site: footer reads "Team Nogueira Bloise Academy ... Jupiter, Florida, 1601 Commerce Ln #104, Jupiter, 561-694-8188"; program nav lists "Brazilian Jiu-Jitsu (13+)", "Little Champs", "MMA". Replacing with the working homepage	http://teamnog.com/
PARKED	68	GA	Coastal Combatives	Pooler	http://www.coastalcombatives.com/		BLANK_IT	Bluehost placeholder page: title "Welcome coastalcombatives.com - BlueHost.com", meta ROBOTS NOINDEX/NOFOLLOW, parking affiliate link iyfubh.com/?dn=coastalcombatives.com. No school content	http://www.coastalcombatives.com/
KEEP	76	IL	Alton Family Martial Arts & Fitness	Alton	https://www.altonfma.com/		KEEP_AS_IS	Own live site: "Alton Family Martial Arts is the Premier Jiu Jitsu, Kickboxing, and Youth Martial Arts Academy in the Riverbend area"; named Gi / No-Gi and kids BJJ programs; owner/BJJ instructor Adam Marburger, purple belt under Kyle Watson	https://www.altonfma.com/
KEEP	84	LA	NOLA BJJ Westbank	New Orleans	http://westbanksocialclub.com/		KEEP_AS_IS	Own live site: "We are the home of NolaBJJ WB, and offer Jiu-Jitsu, Krav Maga, boxing, kickboxing"; address on page "2901 General De Gaulle Drive, New Orleans, LA 70114 - (504) 250-1760"	http://westbanksocialclub.com/
PARKED	92	MD	Infinite Fighting Concepts MMA	Gaithersburg	ifcmma.com		BLANK_IT	Redirects to www.ifcmma.com which serves a Namecheap parking page: "has been recently registered with namecheap.com" plus domain-auction promos. IP 192.64.119.152 (Namecheap parking). No school content	http://ifcmma.com
