verdict	id	region	name	city	current_url	replacement_url	action	evidence	source_url
NEEDS_BROWSER	1	AK	Evolution Jiu Jitsu	Juneau	https://evojj.com/		NEEDS_BROWSER	DNS alive (A 173.236.252.74, apex and www); web_fetch returns empty body on /, /about, /contact, /schedule (http and https) - JS-rendered or bot-blocked, not evidence of death	https://evojj.com/
DEAD	2	AL	Samuel Puccio Brazilian Jiu-Jitsu	Birmingham	https://bhmbjj.com/		BLANK_IT	NXDOMAIN (Status 3) for both bhmbjj.com and www.bhmbjj.com; no A records, SOA returned from com. gTLD servers	https://dns.google/resolve?name=bhmbjj.com&type=A
KEEP	3	AZ	Alliance Jiu Jitsu - Vail	Tucson	https://alliancejiujitsuvail.com/		KEEP_AS_IS	Live BJJ school; address on its own page: 9172 S Houghton Road Suite 140, Tucson, AZ. History section describes Inverse Jiu Jitsu joining the Alliance association	https://alliancejiujitsuvail.com/
KEEP	4	AZ	Baker's MMA & Fitness LLC	Surprise	http://bakersmmaandfitness.com/	http://www.bakersmmaandfitness.com/	REPLACE	"Stored apex returns an empty body (http and https); www renders the real Wix site: address ""13200 W Foxfire Dr #146-148 Surprise, AZ 85378"", head instructor Glen ""Bad Boy"" Baker, ""Kickboxing class combined with Jiu Jitsu classes"". Host-normalisation fix"	http://www.bakersmmaandfitness.com/
DEAD	5	AZ	Black Flag Submission Co.	Glendale	https://www.blackflagsubco.com/		BLANK_IT	DNS NXDOMAIN (Status 3) on both blackflagsubco.com and www.blackflagsubco.com	
WRONG_ENTITY	6	AZ	Bridge City Combat	Lake Havasu City	http://aaeamerica.com/		BLANK_IT	aaeamerica.com is Against All Enemies Armory, a firearms retailer/gunsmith at 2152 McCulloch Blvd (the gym is across the street at 2143 McCulloch). Site is Cloudflare-fronted and returned an empty body on http and https apex plus /contact/, so this identification comes from Google-indexed page titles at aaeamerica.com (Products, Ammo, NFA Parts) and a Yelp/Chamber listing, NOT from a page I read.	
DEAD	9	AZ	Courage Honor Strength Brazilian Jiu-Jitsu	Chandler	http://www.chsbjj.com/		BLANK_IT	NXDOMAIN (Status 3) on both chsbjj.com and www.chsbjj.com	https://dns.google/resolve?name=chsbjj.com&type=A
KEEP	10	AZ	Lopez Martial Arts	Chandler	https://lopezjiujitsu.com/		KEEP_AS_IS	"Root renders empty (JS) but interior pages serve: About page reads ""Welcome to Lopez Jiu Jitsu in Chandler, Arizona... World Class Training Centers located in Chandler and Tempe"" - correct entity and city, grappling named"	https://lopezjiujitsu.com/about-us-1
NEEDS_BROWSER	11	AZ	Southwest MMA	Mesa	http://southwestmma.com/		NEEDS_BROWSER	DNS resolves (A 162.0.217.32, Namecheap). http/https, apex/www, /home, /classes, /index.php, /about-us all return an empty body to the fetcher - not evidence of death. Content not readable without a browser	http://southwestmma.com/
DEAD	12	AZ	TeckHit Boxing, Kickboxing, & MMA Gym	Tucson	https://teckhit.com/		BLANK_IT	DNS dead: apex teckhit.com Status 0 with NO Answer array (Cloudflare SOA only); www.teckhit.com Status 3 NXDOMAIN	
