verdict	region	name	url	note
OK	WA	Gracie Barra Edmonds	graciebarra.com/edmonds-wa	Edmonds WA address and phone shown
REPLACE	WA	GB Renton	graciebarra.com/renton-wa	https://graciebarratacoma.com/locations/renton/
OK	WA	Gracie Barra Seattle	graciebarra.com/seattle-wa	Seattle WA address and timetable shown
REPLACE	WA	GB Tacoma	graciebarra.com/tacoma-wa	https://graciebarratacoma.com/
DEAD	NV	UFC Gym Green Valley	http://ufcgym.com/greenvalley	Empty page; absent from UFC Gym location list
OK	CA	UFC GYM Concord	http://www.ufcgym.com/concord	Concord CA address shown
REPLACE	CA	UFC GYM Sunnyvale	http://www.ufcgym.com/sunnyvale	https://www.ufcgym.com/locations/sunnyvale
REPLACE	CO	10th Planet Denver	https://10thplanetjiujitsu.com/denver	https://10thplanetdenver.com
OK	AB	Arashi-Do Martial Arts Calgary NE Deerfoot McCall Lake	https://arashido.com/location/calgary-deerfoot-north/	Calgary NE Deerfoot McCall Lake page live
OK	AB	Arashi-Do Martial Arts Calgary SE Deerfoot Douglasdale	https://arashido.com/location/calgary-deerfoot-south-douglasdale/	11488 24th Street SE, Calgary AB
OK	AB	Arashi-Do Martial Arts Calgary South Acadia	https://arashido.com/location/calgary-south-acadia/	8318 Fairmount Drive SE, Calgary AB
OK	AB	Arashi-Do Martial Arts Calgary SW Rutland Park	https://arashido.com/location/calgary-south-rutland-park/	3130 40 Avenue SW, Calgary AB
OK	AB	Arashi-Do Martial Arts Calgary West Springbank	https://arashido.com/location/calgary-west-springbank/	250021 Mountain View Trail, Calgary AB
OK	AB	Arashi-Do Martial Arts Cochrane	https://arashido.com/location/cochrane/	101 Sunset Dr, Cochrane AB
OK	AB	Arashi-Do Martial Arts Edmonton East	https://arashido.com/location/edmonton-east/	Edmonton AB address shown
OK	AB	Arashi-Do Martial Arts Edmonton North	https://arashido.com/location/edmonton-north/	12730 St Albert Trail NW, Edmonton
OK	AB	Arashi-Do Martial Arts Edmonton South	https://arashido.com/location/edmonton-south/	1803 91 St SW, Edmonton
OK	AB	Arashi-Do Martial Arts Edmonton West Mayfield	https://arashido.com/location/edmonton-west-mayfield/	Edmonton AB address shown
OK	AB	Arashi-Do Martial Arts Edson	https://arashido.com/location/edson/	5023 4 Ave, Edson AB
OK	AB	Arashi-Do Martial Arts Hinton	https://arashido.com/location/hinton/	127 Athabasca Ave, Hinton AB
OK	AB	Arashi-Do Martial Arts Leduc	https://arashido.com/location/leduc/	6051B 47 St, Leduc AB
OK	AB	Arashi-Do Martial Arts Olds	https://arashido.com/location/olds/	4806 50 Ave, Olds AB
OK	AB	Arashi-Do Martial Arts Penhold	https://arashido.com/location/penhold/	9 Hawkridge Blvd, Penhold AB
